"date","case_total","case_bis4","case_5bis14","case_15bis34","case_35bis59","case_60bis79","case_ab80","death_total","death_bis4","death_5bis14","death_15bis34","death_35bis59","death_60bis79","death_ab80"
2020-03-02,41,0,0,15,17,8,1,0,0,0,0,0,0,0
2020-03-03,85,0,7,24,38,16,0,0,0,0,0,0,0,0
2020-03-04,154,0,3,56,78,13,4,2,0,0,0,0,1,1
2020-03-05,184,4,4,65,92,17,2,1,0,0,0,0,0,1
2020-03-06,186,2,6,36,103,32,7,4,0,0,0,0,1,3
2020-03-07,141,0,6,36,70,27,2,4,0,0,0,0,3,1
2020-03-08,102,2,5,24,60,9,2,1,0,0,0,1,0,0
2020-03-09,347,3,12,89,193,42,8,7,0,0,0,0,3,4
2020-03-10,601,2,20,154,311,100,14,4,0,0,0,0,1,3
2020-03-11,756,6,26,192,383,139,10,10,0,0,0,1,6,3
2020-03-12,991,5,15,214,601,140,16,13,0,0,0,3,4,6
2020-03-13,1452,2,37,344,826,214,28,16,0,0,0,2,3,11
2020-03-14,1309,12,32,345,734,161,25,20,0,0,0,1,8,11
2020-03-15,978,6,18,248,545,128,32,15,0,0,0,2,5,8
2020-03-16,2048,8,41,524,1112,314,49,36,0,0,0,3,17,16
2020-03-17,3045,17,75,820,1614,428,91,44,0,0,0,2,19,23
2020-03-18,3611,29,59,982,1893,553,94,64,0,0,1,4,28,31
2020-03-19,4057,26,57,1099,2091,661,122,65,0,0,1,6,23,35
2020-03-20,4048,20,89,1104,1992,674,163,96,0,0,0,7,33,56
2020-03-21,3355,27,65,927,1558,627,151,95,0,0,0,5,40,50
2020-03-22,2267,16,36,587,1087,423,115,78,0,0,0,8,36,34
2020-03-23,3731,32,71,959,1755,729,185,133,0,0,1,10,56,66
2020-03-24,4883,43,86,1268,2249,948,288,166,0,0,0,7,71,88
2020-03-25,5691,28,110,1404,2725,1091,333,216,0,0,0,25,86,105
2020-03-26,5914,47,99,1503,2654,1194,414,266,0,0,1,20,109,136
2020-03-27,5993,45,111,1458,2603,1281,495,266,0,0,0,16,104,146
2020-03-28,4731,40,99,1181,1936,1026,448,248,0,0,0,13,84,151
2020-03-29,3086,21,52,774,1316,639,283,164,0,0,0,6,63,95
2020-03-30,4128,21,62,968,1740,889,448,266,0,0,0,18,94,154
2020-03-31,6064,45,137,1385,2507,1307,682,375,0,0,0,17,140,218
2020-04-01,6265,57,134,1438,2524,1358,752,377,0,0,1,9,129,238
2020-04-02,6553,47,119,1504,2641,1388,854,415,0,0,0,17,116,282
2020-04-03,6193,48,126,1396,2425,1307,890,395,0,0,2,10,114,269
2020-04-04,4338,30,100,958,1764,908,578,245,0,0,0,8,75,162
2020-04-05,2553,26,43,580,1004,521,379,181,0,0,0,5,56,120
2020-04-06,3677,28,64,848,1384,789,564,292,0,0,0,13,88,191
2020-04-07,5196,60,106,1184,2098,1026,721,337,0,0,1,17,98,221
2020-04-08,5281,42,103,1178,2119,1039,799,337,1,0,1,20,94,221
2020-04-09,4915,26,92,1181,1905,948,763,327,0,0,0,17,99,211
2020-04-10,3354,32,66,776,1272,629,578,207,0,0,0,6,58,143
2020-04-11,2897,38,75,689,1055,507,533,202,0,0,0,5,57,140
2020-04-12,1866,9,32,420,638,340,427,168,0,0,0,2,43,123
2020-04-13,1596,10,33,351,504,331,365,163,0,0,1,5,54,103
2020-04-14,2473,26,56,579,866,468,478,218,0,0,0,9,62,147
2020-04-15,3326,21,68,771,1244,627,593,229,0,0,1,7,59,162
2020-04-16,3421,38,78,893,1344,610,458,189,0,0,0,7,60,122
2020-04-17,3054,29,84,829,1120,538,453,173,0,0,1,8,44,120
2020-04-18,2110,25,55,550,751,402,327,122,0,0,0,9,40,73
2020-04-19,1380,12,25,329,474,258,280,118,0,0,0,3,37,78
2020-04-20,1727,23,32,400,617,318,336,146,0,0,2,3,41,100
2020-04-21,2188,24,74,566,765,401,357,137,0,0,2,6,35,94
2020-04-22,2495,37,60,680,899,419,398,127,0,0,0,3,33,91
2020-04-23,2084,29,69,528,711,360,386,117,0,0,1,2,31,83
2020-04-24,1907,35,60,568,634,344,266,83,0,0,0,3,26,54
2020-04-25,1274,21,34,327,438,231,223,79,0,0,0,5,22,52
2020-04-26,706,15,12,201,236,119,123,29,0,0,0,1,8,20
2020-04-27,1117,16,39,328,366,221,147,75,0,0,0,4,32,39
2020-04-28,1462,30,40,410,521,246,215,81,0,0,1,2,26,52
2020-04-29,1437,18,48,402,503,252,214,60,0,0,0,2,18,40
2020-04-30,1459,20,43,394,520,256,226,69,0,0,0,3,19,47
2020-05-01,918,17,34,236,309,170,152,46,0,0,0,2,12,32
2020-05-02,622,17,36,181,208,99,81,35,0,0,0,3,10,22
2020-05-03,427,14,15,151,164,55,28,15,0,0,0,0,9,6
2020-05-04,724,23,22,218,245,115,101,40,0,0,0,1,14,25
2020-05-05,1092,28,39,305,404,187,129,44,0,0,0,2,11,31
2020-05-06,1216,30,42,328,450,198,168,39,0,0,0,1,11,27
2020-05-07,1197,18,44,349,447,199,140,49,0,0,0,1,16,32
2020-05-08,981,19,50,277,364,149,122,44,0,0,0,0,18,26
2020-05-09,678,12,20,194,260,115,77,23,0,0,0,4,8,11
2020-05-10,341,7,13,102,130,56,33,14,0,0,0,0,7,7
2020-05-11,684,13,33,218,255,90,75,24,0,0,0,1,4,19
2020-05-12,842,15,41,231,317,143,95,32,0,0,0,2,11,19
2020-05-13,910,27,34,247,351,130,121,27,0,0,0,1,9,17
2020-05-14,805,14,34,195,334,119,109,20,0,0,0,0,5,15
2020-05-15,716,16,37,220,244,107,92,31,0,0,0,1,8,22
2020-05-16,462,16,24,149,152,60,61,20,0,0,0,1,5,14
2020-05-17,316,14,25,117,110,35,14,8,0,0,0,1,6,1
2020-05-18,547,23,34,193,189,62,46,22,0,0,0,0,6,16
2020-05-19,729,27,25,215,268,92,102,27,0,0,0,3,4,20
2020-05-20,833,25,47,254,311,129,67,22,0,0,0,1,6,15
2020-05-21,418,13,32,132,147,49,45,7,0,0,0,1,1,5
2020-05-22,527,20,26,171,182,73,54,15,0,0,0,1,3,11
2020-05-23,339,5,18,99,114,62,41,11,0,0,0,0,3,8
2020-05-24,225,9,7,77,75,29,28,5,0,0,0,0,1,4
2020-05-25,414,12,23,121,149,65,44,13,0,0,0,0,2,11
2020-05-26,617,13,46,183,239,93,43,15,0,0,0,2,7,6
2020-05-27,648,14,35,223,232,101,43,11,0,0,0,1,5,5
2020-05-28,530,13,34,167,188,69,58,12,0,0,0,1,5,6
2020-05-29,449,11,39,129,166,54,49,8,0,0,0,0,2,6
2020-05-30,374,14,38,146,122,31,23,4,0,0,0,0,0,4
2020-05-31,179,11,17,67,47,26,11,3,0,0,0,0,1,2
2020-06-01,137,5,12,53,26,25,16,5,0,0,0,0,1,4
2020-06-02,305,21,23,104,90,42,25,8,0,0,0,0,1,7
2020-06-03,498,15,34,181,187,50,31,11,0,0,0,1,5,5
2020-06-04,528,20,61,190,179,50,27,7,0,0,0,1,2,4
2020-06-05,440,19,35,146,153,51,35,5,0,0,0,1,4,0
2020-06-06,285,14,23,98,96,34,20,5,0,0,0,1,2,2
2020-06-07,167,14,15,48,54,21,15,4,0,0,0,0,0,4
2020-06-08,299,18,30,108,98,30,15,3,0,0,0,1,0,2
2020-06-09,428,16,34,161,145,47,25,1,0,0,0,0,0,1
2020-06-10,519,23,49,178,185,55,29,10,0,0,0,2,5,3
2020-06-11,278,11,39,82,96,29,21,1,0,0,0,0,1,0
2020-06-12,350,17,36,119,108,29,41,10,0,0,0,1,2,7
2020-06-13,299,18,46,112,90,17,16,1,0,0,0,0,1,0
2020-06-14,172,8,8,65,57,19,15,6,0,0,0,0,1,5
2020-06-15,260,12,17,84,101,28,18,4,0,0,0,1,0,3
2020-06-16,540,26,49,192,203,43,27,10,0,0,0,1,5,4
2020-06-17,978,24,63,316,472,69,34,7,0,0,0,2,2,3
2020-06-18,635,28,73,224,236,53,21,3,0,0,0,1,0,2
2020-06-19,896,40,95,311,364,65,20,7,0,0,1,1,2,3
2020-06-20,529,17,51,195,210,41,15,4,0,0,0,0,2,2
2020-06-21,257,13,20,89,111,15,9,3,0,0,0,0,2,1
2020-06-22,486,18,47,152,222,31,14,1,0,0,0,0,0,1
2020-06-23,545,15,47,168,241,55,18,7,0,0,0,0,3,4
2020-06-24,503,20,35,179,207,44,18,2,0,0,0,0,2,0
2020-06-25,566,21,42,178,242,55,27,5,0,0,0,0,2,3
2020-06-26,576,28,64,211,205,48,20,6,0,0,0,2,2,2
2020-06-27,332,16,26,129,124,31,6,2,0,0,0,1,1,0
2020-06-28,199,18,24,64,78,6,8,0,0,0,0,0,0,0
2020-06-29,418,16,35,151,160,42,14,4,0,0,0,1,1,2
2020-06-30,460,22,38,171,159,52,18,1,0,0,0,0,1,0
2020-07-01,484,27,47,168,178,42,22,5,0,0,1,1,1,2
