"date","bis4","5bis14","15bis34","35bis59","60bis79","ab80"
2020-03-01,0,0,18,14,4,0
2020-03-02,0,0,15,17,8,1
2020-03-03,0,7,24,38,16,0
2020-03-04,0,3,56,78,13,4
2020-03-05,4,4,65,92,17,2
2020-03-06,2,6,36,103,32,7
2020-03-07,0,6,36,70,27,2
2020-03-08,2,5,23,60,9,2
2020-03-09,3,12,89,193,42,8
2020-03-10,2,20,154,310,100,14
2020-03-11,6,26,192,383,139,11
2020-03-12,5,15,214,600,141,16
2020-03-13,2,37,344,827,214,28
2020-03-14,12,32,346,732,161,23
2020-03-15,6,18,248,545,128,32
2020-03-16,8,41,523,1111,316,49
2020-03-17,17,74,819,1612,429,91
2020-03-18,29,59,979,1893,553,93
2020-03-19,26,57,1099,2088,663,122
2020-03-20,20,88,1104,1993,674,163
2020-03-21,27,65,927,1557,627,151
2020-03-22,16,36,587,1086,423,115
2020-03-23,31,70,957,1753,729,185
2020-03-24,43,86,1268,2250,947,288
2020-03-25,28,110,1405,2721,1090,334
2020-03-26,47,99,1500,2653,1194,415
2020-03-27,45,110,1458,2602,1280,495
2020-03-28,40,99,1182,1935,1026,448
2020-03-29,21,52,773,1318,639,284
2020-03-30,21,62,964,1735,889,448
2020-03-31,45,137,1383,2508,1306,681
2020-04-01,56,134,1437,2523,1358,752
2020-04-02,47,119,1504,2641,1388,854
2020-04-03,48,126,1392,2423,1303,889
2020-04-04,30,100,958,1763,908,578
2020-04-05,25,43,579,1002,521,379
2020-04-06,28,64,845,1382,787,563
2020-04-07,59,106,1184,2097,1026,722
2020-04-08,42,103,1177,2117,1040,799
2020-04-09,26,91,1180,1903,945,763
2020-04-10,32,66,776,1271,627,578
2020-04-11,38,75,688,1053,507,532
2020-04-12,9,32,420,637,341,427
2020-04-13,10,33,351,504,331,365
2020-04-14,24,56,577,862,467,478
2020-04-15,21,68,771,1242,625,595
2020-04-16,38,78,894,1343,608,458
2020-04-17,29,84,828,1118,534,453
2020-04-18,25,55,549,751,402,327
2020-04-19,12,25,328,474,258,279
2020-04-20,23,32,400,613,317,334
2020-04-21,24,74,566,767,400,358
2020-04-22,37,61,678,900,418,397
2020-04-23,29,69,526,712,361,386
2020-04-24,35,60,565,634,344,266
2020-04-25,21,34,327,438,231,223
2020-04-26,15,12,200,235,118,123
2020-04-27,16,39,329,365,220,146
2020-04-28,29,40,409,520,246,215
2020-04-29,18,48,402,503,251,214
2020-04-30,20,42,394,520,255,225
2020-05-01,16,34,236,307,170,152
2020-05-02,17,36,181,208,98,81
2020-05-03,14,15,151,164,55,28
2020-05-04,23,22,218,242,115,101
2020-05-05,28,39,305,404,187,127
2020-05-06,30,42,327,447,198,167
2020-05-07,18,44,348,447,199,140
2020-05-08,19,50,278,365,149,122
2020-05-09,12,20,194,260,115,77
2020-05-10,7,13,103,130,56,33
2020-05-11,13,33,218,254,90,75
2020-05-12,15,41,230,317,143,95
2020-05-13,27,34,246,350,129,119
2020-05-14,14,34,195,334,119,109
2020-05-15,16,37,218,242,107,92
2020-05-16,16,24,149,152,60,61
2020-05-17,14,25,116,109,35,14
2020-05-18,23,34,192,187,62,46
2020-05-19,27,25,215,268,92,102
2020-05-20,25,47,253,310,129,67
2020-05-21,13,32,132,147,49,45
2020-05-22,20,26,171,182,73,54
2020-05-23,5,18,99,114,63,40
2020-05-24,9,7,77,75,29,28
2020-05-25,10,23,121,149,65,44
2020-05-26,13,46,182,239,93,43
2020-05-27,14,35,222,231,100,44
2020-05-28,13,33,167,186,68,57
2020-05-29,11,39,128,165,54,49
2020-05-30,14,38,146,122,31,23
2020-05-31,11,17,67,47,26,11
2020-06-01,5,12,53,27,25,16
2020-06-02,21,23,103,89,41,25
2020-06-03,15,34,180,187,49,31
2020-06-04,20,61,188,178,50,27
2020-06-05,19,35,146,154,52,35
2020-06-06,14,22,98,95,34,20
2020-06-07,13,15,48,53,21,15
2020-06-08,18,30,107,97,30,15
2020-06-09,16,34,161,145,47,25
2020-06-10,23,49,178,185,55,29
2020-06-11,11,39,82,96,28,21
2020-06-12,16,36,119,107,29,41
2020-06-13,18,46,112,90,17,16
2020-06-14,8,8,65,57,19,15
2020-06-15,12,17,83,101,28,18
