stamp,value
1626434100000,132
1626435000000,132
1626435900000,131
1626436800000,131
1626437700000,130
1626438600000,130
1626439500000,130
1626440400000,129
1626441300000,129
1626442200000,129
1626443100000,128
1626444000000,128
1626444900000,128
1626445800000,127
1626446700000,127
1626447600000,127
1626448500000,126
1626449400000,126
1626450300000,126
1626451200000,125
1626452100000,125
1626453000000,124
1626453900000,124
1626454800000,124
1626455700000,124
1626456600000,123
1626457500000,123
1626458400000,123
1626459300000,122
1626460200000,122
1626461100000,121
1626462000000,121
1626462900000,121
1626463800000,120
1626464700000,120
1626465600000,120
1626466500000,120
1626467400000,119
1626468300000,119
1626469200000,119
1626470100000,118
1626471000000,118
1626471900000,118
1626472800000,118
1626473700000,117
1626474600000,117
1626475500000,117
1626476400000,117
1626477300000,116
1626478200000,116
1626479100000,116
1626480000000,115
1626480900000,115
1626481800000,115
1626482700000,115
1626483600000,114
1626484500000,114
1626485400000,114
1626486300000,113
1626487200000,113
1626488100000,113
1626489000000,113
1626489900000,112
1626490800000,112
1626491700000,112
1626492600000,112
1626493500000,112
1626494400000,111
1626495300000,111
1626496200000,111
1626497100000,111
1626498000000,110
1626498900000,110
1626499800000,110
1626500700000,110
1626501600000,109
1626502500000,109
1626503400000,109
1626504300000,109
1626505200000,109
1626506100000,109
1626507000000,108
1626507900000,108
1626508800000,108
1626509700000,107
1626510600000,107
1626511500000,107
1626512400000,107
1626513300000,107
1626514200000,106
1626515100000,106
1626516000000,106
1626516900000,106
1626517800000,106
1626518700000,105
1626519600000,105
1626520500000,105
1626521400000,105
1626522300000,105
1626523200000,104
1626524100000,104
1626525000000,104
1626525900000,104
1626526800000,104
1626527700000,103
1626528600000,103
1626529500000,103
1626530400000,103
1626531300000,103
1626532200000,102
1626533100000,102
1626534000000,102
1626534900000,102
1626535800000,102
1626536700000,101
1626537600000,101
1626538500000,101
1626539400000,101
1626540300000,101
1626541200000,100
1626542100000,100
1626543000000,100
1626543900000,100
1626544800000,100
1626545700000,100
1626546600000,99
1626547500000,99
1626548400000,99
1626549300000,99
1626550200000,99
1626551100000,98
1626552000000,98
1626552900000,98
1626553800000,98
1626554700000,98
1626555600000,97
1626556500000,97
1626557400000,97
1626558300000,96
1626559200000,96
1626560100000,96
1626561000000,96
1626561900000,96
1626562800000,96
1626563700000,96
1626564600000,96
1626565500000,95
1626566400000,95
1626567300000,95
1626568200000,95
1626569100000,95
1626570000000,94
1626570900000,94
1626571800000,94
1626572700000,94
1626573600000,94
1626574500000,94
1626575400000,94
1626576300000,93
1626577200000,93
1626578100000,93
1626579000000,93
1626579900000,93
1626580800000,92
1626581700000,92
1626582600000,92
1626583500000,92
1626584400000,92
1626585300000,91
1626586200000,91
1626587100000,91
1626588000000,91
1626588900000,91
1626589800000,91
1626590700000,91
1626591600000,90
1626592500000,90
1626593400000,90
1626594300000,90
1626595200000,90
1626596100000,90
1626597000000,89
1626597900000,89
1626598800000,89
1626599700000,89
1626600600000,89
1626601500000,89
1626602400000,89
1626603300000,89
1626604200000,88
1626605100000,88
1626606000000,88
