jahr,build,stop,tooltip
1954,1,0,0
1956,1,0,0
1957,3,0,0
1958,1,0,0
1959,5,0,0
1960,4,0,0
1962,9,0,0
1963,9,-1,1
1964,8,-1,1
1965,8,0,0
1966,8,-1,1
1967,11,-2,2
1968,7,-2,2
1969,9,-1,1
1970,6,0,0
1971,16,0,0
1972,16,-2,2
1973,19,-1,1
1974,25,-3,3
1975,15,0,0
1976,19,-2,2
1977,17,-5,5
1978,19,-1,1
1979,8,-1,1
1980,21,-1,1
1981,22,-1,1
1982,18,-2,2
1983,23,-1,1
1984,32,-3,3
1985,32,-2,2
1986,27,-1,1
1987,22,-4,4
1988,14,-5,5
1989,12,-7,7
1990,10,-14,14
1991,4,-6,6
1992,6,-3,3
1993,9,0,0
1994,5,-3,3
1995,5,0,0
1996,6,-2,2
1997,3,-3,3
1998,4,-5,5
1999,4,-2,2
2000,6,-3,3
2001,3,0,0
2002,6,-5,5
2003,2,-6,6
2004,5,-5,5
2005,4,-2,2
2006,2,-8,8
2007,3,-1,1
2008,0,-2,2
2009,2,-3,3
2010,5,-1,1
2011,7,-13,13
2012,3,-3,3
2013,4,-5,5
2014,5,-1,1
2015,10,-7,7
2016,10,-4,4
2017,4,-5,5
2018,9,-6,6
2019,6,-12,12
2020,5,-6,6
2021,6,-8,8
2022,1,-1,1
