date,super,diesel
2020-10-14,1.278,1.046
2020-10-15,1.276,1.044
2020-10-16,1.277,1.046
2020-10-17,1.272,1.044
2020-10-18,1.282,1.053
2020-10-19,1.278,1.049
2020-10-20,1.267,1.042
2020-10-21,1.263,1.04
2020-10-22,1.26,1.04
2020-10-23,1.26,1.04
2020-10-24,1.262,1.043
2020-10-25,1.265,1.046
2020-10-26,1.263,1.044
2020-10-27,1.252,1.036
2020-10-28,1.247,1.033
2020-10-29,1.242,1.031
2020-10-30,1.232,1.024
2020-10-31,1.232,1.026
2020-11-01,1.235,1.03
2020-11-02,1.232,1.028
2020-11-03,1.227,1.026
2020-11-04,1.228,1.032
2020-11-05,1.23,1.034
2020-11-06,1.231,1.035
2020-11-07,1.233,1.038
2020-11-08,1.236,1.04
2020-11-09,1.234,1.038
2020-11-10,1.236,1.041
2020-11-11,1.244,1.049
2020-11-12,1.241,1.046
2020-11-13,1.253,1.058
2020-11-14,1.256,1.059
2020-11-15,1.257,1.062
2020-11-16,1.256,1.062
2020-11-17,1.255,1.059
2020-11-18,1.262,1.066
2020-11-19,1.261,1.065
2020-11-20,1.255,1.064
2020-11-21,1.251,1.062
2020-11-22,1.256,1.067
2020-11-23,1.259,1.069
2020-11-24,1.252,1.062
2020-11-25,1.26,1.074
2020-11-26,1.264,1.077
2020-11-27,1.266,1.079
2020-11-28,1.27,1.083
2020-11-29,1.273,1.087
2020-11-30,1.27,1.083
2020-12-01,1.265,1.079
2020-12-02,1.262,1.077
2020-12-03,1.259,1.076
2020-12-04,1.261,1.079
2020-12-05,1.263,1.083
2020-12-06,1.269,1.088
2020-12-07,1.266,1.087
2020-12-08,1.265,1.087
2020-12-09,1.263,1.085
2020-12-10,1.261,1.087
2020-12-11,1.266,1.093
2020-12-12,1.269,1.096
2020-12-13,1.273,1.101
2020-12-14,1.27,1.099
2020-12-15,1.267,1.101
2020-12-16,1.255,1.09
2020-12-17,1.27,1.103
2020-12-18,1.274,1.109
2020-12-19,1.276,1.11
2020-12-20,1.282,1.116
2020-12-21,1.281,1.115
2020-12-22,1.283,1.117
2020-12-23,1.286,1.123
2020-12-24,1.294,1.131
2020-12-25,1.298,1.137
2020-12-26,1.296,1.136
2020-12-27,1.297,1.138
2020-12-28,1.298,1.14
2020-12-29,1.302,1.14
2020-12-30,1.299,1.14
2020-12-31,1.321,1.163
2021-01-01,1.368,1.211
2021-01-02,1.373,1.218
2021-01-03,1.377,1.221
2021-01-04,1.375,1.214
2021-01-05,1.377,1.216
2021-01-06,1.381,1.222
2021-01-07,1.379,1.22
2021-01-08,1.381,1.221
2021-01-09,1.391,1.225
2021-01-10,1.394,1.23
2021-01-11,1.39,1.227
2021-01-12,1.391,1.228
2021-01-13,1.395,1.23
2021-01-14,1.399,1.233
2021-01-15,1.399,1.234
2021-01-16,1.404,1.236
2021-01-17,1.409,1.242
2021-01-18,1.404,1.236
2021-01-19,1.399,1.235
2021-01-20,1.4,1.232
2021-01-21,1.399,1.231
2021-01-22,1.4,1.232
2021-01-23,1.4,1.23
2021-01-24,1.407,1.236
2021-01-25,1.405,1.232
2021-01-26,1.4,1.228
2021-01-27,1.401,1.228
2021-01-28,1.405,1.231
2021-01-29,1.403,1.23
2021-01-30,1.413,1.238
2021-01-31,1.413,1.238
2021-02-01,1.407,1.236
2021-02-02,1.408,1.234
2021-02-03,1.412,1.237
2021-02-04,1.425,1.246
2021-02-05,1.426,1.248
2021-02-06,1.418,1.245
2021-02-07,1.427,1.254
2021-02-08,1.429,1.255
2021-02-09,1.432,1.258
2021-02-10,1.431,1.26
2021-02-11,1.434,1.265
2021-02-12,1.433,1.268
2021-02-13,1.437,1.272
2021-02-14,1.436,1.27
2021-02-15,1.435,1.272
2021-02-16,1.437,1.272
2021-02-17,1.438,1.273
2021-02-18,1.447,1.279
2021-02-19,1.453,1.283
2021-02-20,1.464,1.293
2021-02-21,1.466,1.294
2021-02-22,1.463,1.291
2021-02-23,1.466,1.295
2021-02-24,1.467,1.295
2021-02-25,1.474,1.298
2021-02-26,1.481,1.3
2021-02-27,1.489,1.305
2021-02-28,1.493,1.308
2021-03-01,1.486,1.304
2021-03-02,1.488,1.303
2021-03-03,1.489,1.303
2021-03-04,1.491,1.302
2021-03-05,1.494,1.305
2021-03-06,1.503,1.312
2021-03-07,1.506,1.315
2021-03-08,1.506,1.317
2021-03-09,1.508,1.322
2021-03-10,1.508,1.318
2021-03-11,1.51,1.319
2021-03-12,1.515,1.319
2021-03-13,1.527,1.328
2021-03-14,1.528,1.328
2021-03-15,1.524,1.325
2021-03-16,1.522,1.322
2021-03-17,1.52,1.319
2021-03-18,1.52,1.321
2021-03-19,1.512,1.315
2021-03-20,1.514,1.316
2021-03-21,1.514,1.315
2021-03-22,1.508,1.311
2021-03-23,1.5,1.305
2021-03-24,1.494,1.298
2021-03-25,1.492,1.295
2021-03-26,1.496,1.297
2021-03-27,1.507,1.302
2021-03-28,1.51,1.305
2021-03-29,1.513,1.308
2021-03-30,1.516,1.308
2021-03-31,1.52,1.31
2021-04-01,1.525,1.312
2021-04-02,1.53,1.315
2021-04-03,1.532,1.317
2021-04-04,1.533,1.318
2021-04-05,1.534,1.32
2021-04-06,1.53,1.315
2021-04-07,1.526,1.308
2021-04-08,1.525,1.31
2021-04-09,1.513,1.302
2021-04-10,1.514,1.303
2021-04-11,1.516,1.306
2021-04-12,1.517,1.308
2021-04-13,1.52,1.31
2021-04-14,1.52,1.309
2021-04-15,1.519,1.306
2021-04-16,1.516,1.304
2021-04-17,1.522,1.308
2021-04-18,1.525,1.311
2021-04-19,1.526,1.31
2021-04-20,1.528,1.312
2021-04-21,1.525,1.309
2021-04-22,1.52,1.307
2021-04-23,1.512,1.3
2021-04-24,1.516,1.304
2021-04-25,1.518,1.306
2021-04-26,1.522,1.31
2021-04-27,1.518,1.305
2021-04-28,1.519,1.309
2021-04-29,1.522,1.312
2021-04-30,1.516,1.308
2021-05-01,1.522,1.314
2021-05-02,1.523,1.315
2021-05-03,1.526,1.315
2021-05-04,1.526,1.313
2021-05-05,1.53,1.319
2021-05-06,1.536,1.324
2021-05-07,1.535,1.324
2021-05-08,1.54,1.328
2021-05-09,1.542,1.33
2021-05-10,1.55,1.337
2021-05-11,1.538,1.325
2021-05-12,1.538,1.327
2021-05-13,1.54,1.331
2021-05-14,1.539,1.331
2021-05-15,1.54,1.333
2021-05-16,1.542,1.336
2021-05-17,1.538,1.329
2021-05-18,1.538,1.329
2021-05-19,1.538,1.331
2021-05-20,1.538,1.329
2021-05-21,1.539,1.331
2021-05-22,1.54,1.333
2021-05-23,1.538,1.333
2021-05-24,1.541,1.337
2021-05-25,1.543,1.338
2021-05-26,1.545,1.339
2021-05-27,1.545,1.341
2021-05-28,1.549,1.342
2021-05-29,1.55,1.346
2021-05-30,1.552,1.348
2021-05-31,1.548,1.343
2021-06-01,1.555,1.349
2021-06-02,1.556,1.351
2021-06-03,1.556,1.352
2021-06-04,1.558,1.357
2021-06-05,1.556,1.357
2021-06-06,1.558,1.36
2021-06-07,1.549,1.351
2021-06-08,1.555,1.356
2021-06-09,1.55,1.352
2021-06-10,1.551,1.353
2021-06-11,1.553,1.356
2021-06-12,1.554,1.358
2021-06-13,1.558,1.362
2021-06-14,1.556,1.361
