date,approve,disapprove,approveave,disapproveave
2021-01-23,58,32,53,36
2021-01-23,52,29,53,36
2021-01-23,52,29,53,36
2021-01-23,58,32,53,36
2021-01-24,54,30,53,36
2021-01-24,48,47,53,36
2021-01-24,48,47,53,36
2021-01-24,56,34,53,36
2021-01-24,53,29,53,36
2021-01-24,54,31,53,36
2021-01-24,54,30,53,36
2021-01-24,53,29,53,36
2021-01-25,57,36,55,37.3
2021-01-25,59,32,55,37.3
2021-01-25,53,30,55,37.3
2021-01-25,56,32,55,37.3
2021-01-25,53,30,55,37.3
2021-01-25,57,36,55,37.3
2021-01-25,48,47,55,37.3
2021-01-25,48,47,55,37.3
2021-01-25,59,32,55,37.3
2021-01-25,56,32,55,37.3
2021-01-26,48,48,54.8,37.5
2021-01-26,53,30,54.8,37.5
2021-01-26,55,33,54.8,37.5
2021-01-26,55,33,54.8,37.5
2021-01-26,58,32,54.8,37.5
2021-01-26,58,32,54.8,37.5
2021-01-26,48,48,54.8,37.5
2021-01-26,51,33,54.8,37.5
2021-01-26,53,30,54.8,37.5
2021-01-26,51,33,54.8,37.5
2021-01-26,52,36,54.8,37.5
2021-01-27,49,48,53.9,35.1
2021-01-27,49,35,53.9,35.1
2021-01-27,54,31,53.9,35.1
2021-01-27,49,35,53.9,35.1
2021-01-27,50,36,53.9,35.1
2021-01-27,49,48,53.9,35.1
2021-01-27,54,31,53.9,35.1
2021-01-28,50,45,54.2,34.7
2021-01-28,56,33,54.2,34.7
2021-01-28,56,33,54.2,34.7
2021-01-28,55,31.5,54.2,34.7
2021-01-28,55,31.5,54.2,34.7
2021-01-28,50,45,54.2,34.7
2021-01-29,56.1,36.4,54.3,34.6
2021-01-29,54,32,54.3,34.6
2021-01-29,54,32,54.3,34.6
2021-01-29,53,29,54.3,34.6
2021-01-29,61,39,54.3,34.6
2021-01-29,53,29,54.3,34.6
2021-01-29,58,29,54.3,34.6
2021-01-29,61,39,54.3,34.6
2021-01-29,56.1,36.4,54.3,34.6
2021-01-30,58,35,54.3,34.6
2021-01-30,55.3,33,54.3,34.6
2021-01-30,58,35,54.3,34.6
2021-01-30,55.3,33,54.3,34.6
2021-01-31,54,33,54.3,34.6
2021-01-31,49,46,54.3,34.6
2021-01-31,54,33,54.3,34.6
2021-01-31,49,46,54.3,34.6
2021-02-01,61,38,53.4,34
2021-02-01,49,36,53.4,34
2021-02-01,61,38,53.4,34
2021-02-01,58,35,53.4,34
2021-02-01,53,39,53.4,34
2021-02-01,57,33,53.4,34
2021-02-01,54,33,53.4,34
2021-02-01,57,33,53.4,34
2021-02-01,56,37,53.4,34
2021-02-01,51,45,53.4,34
2021-02-01,50,36,53.4,34
2021-02-01,49,36,53.4,34
2021-02-01,51,45,53.4,34
2021-02-01,53,39,53.4,34
2021-02-01,58,35,53.4,34
2021-02-01,54,33,53.4,34
2021-02-02,54,33,53.2,34.2
2021-02-02,57,37,53.2,34.2
2021-02-02,57,37,53.2,34.2
2021-02-02,46,38,53.2,34.2
2021-02-02,54,33,53.2,34.2
2021-02-02,51,47,53.2,34.2
2021-02-02,46,38,53.2,34.2
2021-02-02,50,40,53.2,34.2
2021-02-02,51,47,53.2,34.2
2021-02-03,54,33,52.7,35.2
2021-02-03,54,33,52.7,35.2
2021-02-03,52,46,52.7,35.2
2021-02-03,57,34,52.7,35.2
2021-02-03,49,39,52.7,35.2
2021-02-03,49,39,52.7,35.2
2021-02-03,52,46,52.7,35.2
2021-02-03,57,34,52.7,35.2
2021-02-04,54,34,53.8,35.8
2021-02-04,49,48,53.8,35.8
2021-02-04,49,48,53.8,35.8
2021-02-04,54,34,53.8,35.8
2021-02-05,54,34,53.2,36.3
2021-02-05,54,34,53.2,36.3
2021-02-06,60,32,53.2,36.3
2021-02-06,54,34,53.2,36.3
2021-02-06,54,34,53.2,36.3
2021-02-06,60,32,53.2,36.3
2021-02-07,50,47,53.2,36.3
2021-02-07,50,47,53.2,36.3
2021-02-07,59,35,53.2,36.3
2021-02-07,59,35,53.2,36.3
2021-02-07,55,33,53.2,36.3
2021-02-07,55,33,53.2,36.3
2021-02-08,51,46,53.1,36.7
2021-02-08,55,33,53.1,36.7
2021-02-08,51,46,53.1,36.7
2021-02-08,55,33,53.1,36.7
2021-02-08,61,39,53.1,36.7
2021-02-08,61,39,53.1,36.7
2021-02-09,50,37,54.5,36.9
2021-02-09,51,47,54.5,36.9
2021-02-09,53,40,54.5,36.9
2021-02-09,60,40,54.5,36.9
2021-02-09,55,33,54.5,36.9
2021-02-09,55,33,54.5,36.9
2021-02-09,50,37,54.5,36.9
2021-02-09,60,40,54.5,36.9
2021-02-09,51,47,54.5,36.9
2021-02-10,50,47,54.3,37.1
2021-02-10,55,33,54.3,37.1
2021-02-10,57,35,54.3,37.1
2021-02-10,50,47,54.3,37.1
2021-02-10,55,33,54.3,37.1
2021-02-10,57,35,54.3,37.1
2021-02-11,52,45,54.3,37.1
2021-02-11,55,33,54.3,37.1
2021-02-11,55,33,54.3,37.1
2021-02-11,52,45,54.3,37.1
2021-02-12,55,33,54.4,37.2
2021-02-12,55,33,54.4,37.2
2021-02-13,55,34,54.4,37.2
2021-02-13,57,35,54.4,37.2
2021-02-13,55,34,54.4,37.2
2021-02-13,57,35,54.4,37.2
2021-02-14,60.9,32.3,54.4,37.2
2021-02-14,54,34,54.4,37.2
2021-02-14,53,43,54.4,37.2
2021-02-14,54,34,54.4,37.2
2021-02-14,50,38,54.4,37.2
2021-02-14,52,38,54.4,37.2
2021-02-14,53,43,54.4,37.2
2021-02-14,50,38,54.4,37.2
2021-02-14,60.9,32.3,54.4,37.2
2021-02-15,62,33,54.6,37.3
2021-02-15,59,41,54.6,37.3
2021-02-15,56,38,54.6,37.3
2021-02-15,54,34,54.6,37.3
2021-02-15,56,38,54.6,37.3
2021-02-15,56,38,54.6,37.3
2021-02-15,59,41,54.6,37.3
2021-02-15,56,38,54.6,37.3
2021-02-15,56,34.5,54.6,37.3
2021-02-15,53,44,54.6,37.3
2021-02-15,56,34.5,54.6,37.3
2021-02-15,62,33,54.6,37.3
2021-02-15,54,34,54.6,37.3
2021-02-15,53,44,54.6,37.3
2021-02-16,50,47,54.8,37.4
2021-02-16,54,37,54.8,37.4
2021-02-16,54,37,54.8,37.4
2021-02-16,55,40,54.8,37.4
2021-02-16,50,47,54.8,37.4
2021-02-16,54,34,54.8,37.4
2021-02-16,54,34,54.8,37.4
2021-02-17,54,35,54.5,37.8
2021-02-17,54,35,54.5,37.8
2021-02-17,50,48,54.5,37.8
2021-02-17,50,48,54.5,37.8
2021-02-18,49,49,54.4,37.8
2021-02-18,51,42,54.4,37.8
2021-02-18,56,36,54.4,37.8
2021-02-18,56,40,54.4,37.8
2021-02-18,51,42,54.4,37.8
2021-02-18,56,36,54.4,37.8
2021-02-18,49,49,54.4,37.8
2021-02-18,54,35,54.4,37.8
2021-02-18,54,35,54.4,37.8
2021-02-18,56,40,54.4,37.8
2021-02-19,54,35,54.5,38.1
2021-02-19,54,35,54.5,38.1
2021-02-20,58,34,54.5,38.1
2021-02-20,56,37,54.5,38.1
2021-02-20,59,34,54.5,38.1
2021-02-20,54,35,54.5,38.1
2021-02-20,58,34,54.5,38.1
2021-02-20,54,35,54.5,38.1
2021-02-20,56,37,54.5,38.1
2021-02-21,58,42,54.5,38.1
2021-02-21,58,42,54.5,38.1
2021-02-21,54,35,54.5,38.1
2021-02-21,50,49,54.5,38.1
2021-02-21,54,35,54.5,38.1
2021-02-21,50,49,54.5,38.1
2021-02-21,57,33,54.5,38.1
2021-02-21,57,33,54.5,38.1
2021-02-22,51,36,54.7,38.1
2021-02-22,50,48,54.7,38.1
2021-02-22,58,36,54.7,38.1
2021-02-22,51,40,54.7,38.1
2021-02-22,50,48,54.7,38.1
2021-02-22,54,35,54.7,38.1
2021-02-22,58,36,54.7,38.1
2021-02-22,50,38,54.7,38.1
2021-02-22,51,36,54.7,38.1
2021-02-22,54,35,54.7,38.1
2021-02-22,50,38,54.7,38.1
2021-02-23,51.7,38,54.4,38
2021-02-23,54,35,54.4,38
2021-02-23,51.7,38,54.4,38
2021-02-23,54,35,54.4,38
2021-02-23,49,49,54.4,38
2021-02-23,49,49,54.4,38
2021-02-24,54,35,54.3,38.1
2021-02-24,51,38,54.3,38.1
2021-02-24,59,41,54.3,38.1
2021-02-24,50,48,54.3,38.1
2021-02-24,54,35,54.3,38.1
2021-02-24,51,38,54.3,38.1
2021-02-24,50,48,54.3,38.1
2021-02-24,59,41,54.3,38.1
2021-02-25,49,49,54.5,38.2
2021-02-25,49,49,54.5,38.2
2021-02-25,61,39,54.5,38.2
2021-02-25,57,37,54.5,38.2
2021-02-25,54,35,54.5,38.2
2021-02-25,54,35,54.5,38.2
2021-02-25,61,39,54.5,38.2
2021-02-25,57,37,54.5,38.2
2021-02-26,58,42,54.4,38.3
2021-02-26,58,42,54.4,38.3
2021-02-26,54,35,54.4,38.3
2021-02-26,54,35,54.4,38.3
2021-02-27,54,40,54.4,38.3
2021-02-27,54,35,54.4,38.3
2021-02-27,54,40,54.4,38.3
2021-02-27,53,30,54.4,38.3
2021-02-27,54,35,54.4,38.3
2021-02-27,47,43,54.4,38.3
2021-02-27,47,43,54.4,38.3
2021-02-27,57,32,54.4,38.3
2021-02-27,53,30,54.4,38.3
2021-02-28,55,40,54.4,38.3
2021-02-28,49,48,54.4,38.3
2021-02-28,49,48,54.4,38.3
2021-02-28,54,35,54.4,38.3
2021-02-28,54,35,54.4,38.3
2021-02-28,48,38,54.4,38.3
2021-02-28,55,40,54.4,38.3
2021-02-28,48,38,54.4,38.3
2021-03-01,60,40,53.9,37.1
2021-03-01,51,42,53.9,37.1
2021-03-01,50,48,53.9,37.1
2021-03-01,51,42,53.9,37.1
2021-03-01,53,41,53.9,37.1
2021-03-01,53,41,53.9,37.1
2021-03-01,50,48,53.9,37.1
2021-03-01,50,43,53.9,37.1
2021-03-01,60,40,53.9,37.1
2021-03-01,56,37,53.9,37.1
2021-03-01,57,37,53.9,37.1
2021-03-01,54,35,53.9,37.1
2021-03-01,54,35,53.9,37.1
2021-03-01,56,37,53.9,37.1
2021-03-01,57,37,53.9,37.1
2021-03-02,50,39,53.5,37.1
2021-03-02,54,36,53.5,37.1
2021-03-02,52,42,53.5,37.1
2021-03-02,50,39,53.5,37.1
2021-03-02,50,47,53.5,37.1
2021-03-02,54,36,53.5,37.1
2021-03-02,50,47,53.5,37.1
2021-03-03,54,36,52.9,38.3
2021-03-03,54,36,52.9,38.3
2021-03-03,49,48,52.9,38.3
2021-03-03,49,48,52.9,38.3
2021-03-04,49,49,53.1,38.3
2021-03-04,58,35,53.1,38.3
2021-03-04,49,49,53.1,38.3
2021-03-04,54,36,53.1,38.3
2021-03-04,58,35,53.1,38.3
2021-03-04,54,36,53.1,38.3
2021-03-05,54,36,53.6,38.6
2021-03-05,54,36,53.6,38.6
2021-03-06,53,39,53.6,38.6
2021-03-06,54,36,53.6,38.6
2021-03-06,54,36,53.6,38.6
2021-03-06,53,39,53.6,38.6
2021-03-07,53,39,53.6,38.6
2021-03-07,49,49,53.6,38.6
2021-03-07,53,39,53.6,38.6
2021-03-07,55,36,53.6,38.6
2021-03-07,54,42,53.6,38.6
2021-03-07,49,49,53.6,38.6
2021-03-07,55,36,53.6,38.6
2021-03-07,54,42,53.6,38.6
2021-03-08,56,36,53.4,38.8
2021-03-08,49,42,53.4,38.8
2021-03-08,50,48,53.4,38.8
2021-03-08,50,44,53.4,38.8
2021-03-08,55,36,53.4,38.8
2021-03-08,55,36,53.4,38.8
2021-03-08,51,41,53.4,38.8
2021-03-08,58,34,53.4,38.8
2021-03-08,48,43,53.4,38.8
2021-03-08,56,36,53.4,38.8
2021-03-08,51,41,53.4,38.8
2021-03-08,58,42,53.4,38.8
2021-03-08,59,37,53.4,38.8
2021-03-08,58,42,53.4,38.8
2021-03-08,56,37,53.4,38.8
2021-03-08,49,42,53.4,38.8
2021-03-08,58,34,53.4,38.8
2021-03-08,59,37,53.4,38.8
2021-03-08,50,48,53.4,38.8
2021-03-09,50,48,53.4,38.8
2021-03-09,50,40,53.4,38.8
2021-03-09,55,36,53.4,38.8
2021-03-09,55,36,53.4,38.8
2021-03-09,50,48,53.4,38.8
2021-03-09,50,40,53.4,38.8
2021-03-09,52,41,53.4,38.8
2021-03-10,50,47,53,39.3
2021-03-10,60,40,53,39.3
2021-03-10,55,36,53,39.3
2021-03-10,55,36,53,39.3
2021-03-10,60,40,53,39.3
2021-03-10,50,47,53,39.3
2021-03-11,55,36,53,40.3
2021-03-11,51,47,53,40.3
2021-03-11,54,39,53,40.3
2021-03-11,55,36,53,40.3
2021-03-11,54,39,53,40.3
2021-03-11,51,47,53,40.3
2021-03-12,55,36,53.2,40.3
2021-03-12,55,36,53.2,40.3
2021-03-13,56,35,53.2,40.3
2021-03-13,57,37,53.2,40.3
2021-03-13,56,35,53.2,40.3
2021-03-13,57,37,53.2,40.3
2021-03-13,62,38,53.2,40.3
2021-03-13,62,38,53.2,40.3
2021-03-14,56,35,54.1,40.1
2021-03-14,52,46,54.1,40.1
2021-03-14,56,35,54.1,40.1
2021-03-14,59,41,54.1,40.1
2021-03-14,52,46,54.1,40.1
2021-03-14,59,41,54.1,40.1
2021-03-15,54,42,53.8,40.2
2021-03-15,55,36,53.8,40.2
2021-03-15,56,40,53.8,40.2
2021-03-15,55,36,53.8,40.2
2021-03-15,51,47,53.8,40.2
2021-03-15,62,34,53.8,40.2
2021-03-15,56,40,53.8,40.2
2021-03-15,51,47,53.8,40.2
2021-03-15,54,42,53.8,40.2
2021-03-15,62,34,53.8,40.2
2021-03-16,52,46,53.9,40.1
2021-03-16,56,35,53.9,40.1
2021-03-16,56,35,53.9,40.1
2021-03-16,51,44,53.9,40.1
2021-03-16,51,44,53.9,40.1
2021-03-16,52,46,53.9,40.1
2021-03-17,55,41,53.6,40.3
2021-03-17,56,35,53.6,40.3
2021-03-17,53,37,53.6,40.3
2021-03-17,53,37,53.6,40.3
2021-03-17,51,47,53.6,40.3
2021-03-17,51,47,53.6,40.3
2021-03-17,56,35,53.6,40.3
2021-03-18,56,35,54,40
2021-03-18,52,48,54,40
2021-03-18,56,35,54,40
2021-03-18,52,48,54,40
2021-03-18,59,35,54,40
2021-03-18,59,35,54,40
2021-03-19,60,33,54.3,39.9
2021-03-19,56,35,54.3,39.9
2021-03-19,60,33,54.3,39.9
2021-03-19,56,35,54.3,39.9
2021-03-20,56,35,54.3,39.9
2021-03-20,56,35,54.3,39.9
2021-03-20,60,34,54.3,39.9
2021-03-20,60,34,54.3,39.9
2021-03-20,60,34,54.3,39.9
2021-03-20,60,34,54.3,39.9
2021-03-20,60,34,54.3,39.9
2021-03-21,55,36,54.3,39.9
2021-03-21,49,49,54.3,39.9
2021-03-21,51,44,54.3,39.9
2021-03-21,49,49,54.3,39.9
2021-03-21,51,44,54.3,39.9
2021-03-21,55,36,54.3,39.9
2021-03-22,56,36,55.1,39.1
2021-03-22,58.5,35,55.1,39.1
2021-03-22,53,35,55.1,39.1
2021-03-22,56,37,55.1,39.1
2021-03-22,60,40,55.1,39.1
2021-03-22,56,37,55.1,39.1
2021-03-22,48,50,55.1,39.1
2021-03-22,56,36,55.1,39.1
2021-03-22,54,40,55.1,39.1
2021-03-22,57,40,55.1,39.1
2021-03-22,53,35,55.1,39.1
2021-03-22,48,50,55.1,39.1
2021-03-22,58.5,35,55.1,39.1
2021-03-22,54,40,55.1,39.1
2021-03-22,60,40,55.1,39.1
2021-03-22,57,40,55.1,39.1
2021-03-23,48,50,55,39.2
2021-03-23,55,36,55,39.2
2021-03-23,55,36,55,39.2
2021-03-23,48,50,55,39.2
2021-03-23,51,43,55,39.2
2021-03-23,50,41,55,39.2
2021-03-23,50,41,55,39.2
2021-03-24,47,51,54.4,39.8
2021-03-24,55,36,54.4,39.8
2021-03-24,55,36,54.4,39.8
2021-03-24,47,51,54.4,39.8
2021-03-25,52,41,54,39.7
2021-03-25,48,51,54,39.7
2021-03-25,52,40,54,39.7
2021-03-25,61,39,54,39.7
2021-03-25,53,41,54,39.7
2021-03-25,53,41,54,39.7
2021-03-25,56,36,54,39.7
2021-03-25,56,36,54,39.7
2021-03-25,53,36,54,39.7
2021-03-25,61,39,54,39.7
2021-03-25,53,36,54,39.7
2021-03-25,48,51,54,39.7
2021-03-25,52,40,54,39.7
2021-03-26,55,36,54,39.7
2021-03-26,56,42,54,39.7
2021-03-26,61,39,54,39.7
2021-03-26,57,36.5,54,39.7
2021-03-26,56,42,54,39.7
2021-03-26,57,36.5,54,39.7
2021-03-26,61,39,54,39.7
2021-03-26,55,36,54,39.7
2021-03-27,55,36,54,39.7
2021-03-27,55,36,54,39.7
2021-03-28,57,36,54,39.7
