land,inzidenz,hckey,lat,lon
Baden-Württemberg,4.2510868416883598,de-bw,48.2,8.5
Bayern,6.3088923495205496,de-by,49,12
Berlin,1.6648071771202,de-be,52.3,13.4
Brandenburg,4.2669684098154503,de-bb,53,12.8
Bremen,1.6173378618793499,de-hb,53.1,8.2
Hamburg,4.04863107686029,de-hh,53.6,10
Hessen,5.1325615104922004,de-he,50.6,9
Mecklenburg-Vorpommern,10.491850501684301,de-mv,54,12
Niedersachsen,3.5859665510536098,de-ni,52.5,9.5
Nordrhein-Westfalen,5.1825409178062403,de-nw,51.5,7.8
Rheinland-Pfalz,6.6123510421528797,de-rp,49.9,7.8
Saarland,5.0813472887455298,de-sl,49.1,7.4
Sachsen,4.73262983119547,de-sn,51.1,13.5
Sachsen-Anhalt,6.4200039987453499,de-st,51.7,12.2
Schleswig-Holstein,5.8401683342637503,de-sh,54.6,9.3
Thüringen,6.3200481832927196,de-th,51,11.2
