"hc-key","value","tote","bundesland"
"de-bw","77477","2010","Baden-Württemberg"
"de-by","102074","2797","Bayern"
"de-be","30356","253","Berlin"
"de-bb","7468","190","Brandenburg"
"de-hb","5100","70","Bremen"
"de-hh","12947","283","Hamburg"
"de-he","39093","641","Hessen"
"de-mv","2616","23","Mecklenburg-Vorpommern"
"de-ni","34228","743","Niedersachsen"
"de-nw","127447","2102","Nordrhein-Westfalen"
"de-rp","19108","281","Rheinland-Pfalz"
"de-sl","6142","186","Saarland"
"de-sn","16493","315","Sachsen"
"de-st","4804","77","Sachsen-Anhalt"
"de-sh","7716","174","Schleswig-Holstein"
"de-th","6625","204","Thüringen"
