date,Deutschland (Anspruch),Deutschland (Geboosterte),Baden-Württemberg (Anspruch),Baden-Württemberg (Geboosterte),Bayern (Anspruch),Bayern (Geboosterte),Berlin (Anspruch),Berlin (Geboosterte),Brandenburg (Anspruch),Brandenburg (Geboosterte),Bremen (Anspruch),Bremen (Geboosterte),Hamburg (Anspruch),Hamburg (Geboosterte),Hessen (Anspruch),Hessen (Geboosterte),Mecklenburg-Vorpommern (Anspruch),Mecklenburg-Vorpommern (Geboosterte),Niedersachsen (Anspruch),Niedersachsen (Geboosterte),Nordrhein-Westfalen (Anspruch),Nordrhein-Westfalen (Geboosterte),Rheinland-Pfalz (Anspruch),Rheinland-Pfalz (Geboosterte),Saarland (Anspruch),Saarland (Geboosterte),Sachsen (Anspruch),Sachsen (Geboosterte),Sachsen-Anhalt (Anspruch),Sachsen-Anhalt (Geboosterte),Schleswig-Holstein (Anspruch),Schleswig-Holstein (Geboosterte),Thüringen (Anspruch),Thüringen (Geboosterte)
2020-12-29,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2021-01-01,,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
2021-01-21,,3,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,
2021-01-26,,6,,3,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,
2021-02-01,,7,,3,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,
2021-02-09,,8,,3,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,
2021-02-12,1,8,,3,,,,,,,,,,,,,,,1,,,4,,1,,,,,,,,,,
2021-02-14,365,8,,3,,,,,,,,,,,,,,,365,,,4,,1,,,,,,,,,,
2021-02-15,846,8,,3,,,,,,,,,,,,,,,846,,,4,,1,,,,,,,,,,
2021-02-16,1639,8,,3,,,,,,,,,,,,,,,1639,,,4,,1,,,,,,,,,,
2021-02-17,2844,8,,3,,,,,,,,,,,,,,,2844,,,4,,1,,,,,,,,,,
2021-02-18,3622,9,,3,,,,,,,,,,,,,,,3622,,,5,,1,,,,,,,,,,
2021-02-19,4096,9,,3,,,,,,,,,,,,,,,4096,,,5,,1,,,,,,,,,,
2021-02-20,5068,9,,3,,,,,,,,,,,,,,,5068,,,5,,1,,,,,,,,,,
2021-02-21,5472,9,,3,,,,,,,,,,,,,,,5472,,,5,,1,,,,,,,,,,
2021-02-22,9152,9,,3,,,,,,,,,,,,,,,9152,,,5,,1,,,,,,,,,,
2021-02-23,16537,9,,3,,,,,,,,,,,,,,,16537,,,5,,1,,,,,,,,,,
2021-02-24,24991,10,,3,,,,,,,,,,,,,,,24991,,,6,,1,,,,,,,,,,
2021-02-25,33875,11,,3,,,,,,,,,,,,,,,33875,,,7,,1,,,,,,,,,,
2021-02-26,42600,12,,3,,,,,,,,,,,,,,,42600,,,8,,1,,,,,,,,,,
2021-02-27,45666,12,,3,,,,,,,,,,,,,,,45666,,,8,,1,,,,,,,,,,
2021-02-28,46347,25,,3,,,,,,12,,,,,,,,,46347,,,9,,1,,,,,,,,,,
2021-03-01,54675,25,,3,,,,,,12,,,,,,,,,54675,,,9,,1,,,,,,,,,,
2021-03-02,63000,25,,3,,,,,,12,,,,,,,,,63000,,,9,,1,,,,,,,,,,
2021-03-03,70318,25,,3,,,,,,12,,,,,,,,,70318,,,9,,1,,,,,,,,,,
2021-03-04,77288,26,,3,,,,,,12,,,,,,,,,77288,,,10,,1,,,,,,,,,,
2021-03-05,84378,27,,3,,,,,,12,,,,,,,,,84378,,,11,,1,,,,,,,,,,
2021-03-06,86974,27,,3,,,,,,12,,,,,,,,,86974,,,11,,1,,,,,,,,,,
2021-03-07,87484,27,,3,,,,,,12,,,,,,,,,87484,,,11,,1,,,,,,,,,,
2021-03-08,90750,27,,3,,,,,,12,,,,,,,,,90750,,,11,,1,,,,,,,,,,
2021-03-09,93722,28,,3,,,,,,12,,,,,,,,,93722,,,12,,1,,,,,,,,,,
2021-03-10,99071,30,,3,,,,,,12,,,,,,,,,99071,,,14,,1,,,,,,,,,,
2021-03-11,107805,31,,3,,,,,,12,,,,,,,,,107805,,,15,,1,,,,,,,,,,
2021-03-12,117764,31,,3,,,,,,12,,,,,,,,,117764,,,15,,1,,,,,,,,,,
2021-03-13,123567,31,,3,,,,,,12,,,,,,,,,123567,,,15,,1,,,,,,,,,,
2021-03-14,124465,33,,3,,,,,,12,,,,,,,,,124465,,,17,,1,,,,,,,,,,
2021-03-15,129927,33,,3,,,,,,12,,,,,,,,,129927,,,17,,1,,,,,,,,,,
2021-03-16,133101,33,,3,,,,,,12,,,,,,,,,133101,,,17,,1,,,,,,,,,,
2021-03-17,137645,33,,3,,,,,,12,,,,,,,,,137645,,,17,,1,,,,,,,,,,
2021-03-18,140830,33,,3,,,,,,12,,,,,,,,,140830,,,17,,1,,,,,,,,,,
2021-03-19,144585,34,,3,,,,,,12,,,,,,,,,144585,,,18,,1,,,,,,,,,,
2021-03-20,146784,35,,3,,,,,,12,,,,,,,,,146784,,,19,,1,,,,,,,,,,
2021-03-21,148714,35,,3,,,,,,12,,,,,,,,,148714,,,19,,1,,,,,,,,,,
2021-03-22,152288,38,,3,,,,,,12,,,,,,,,,152288,,,22,,1,,,,,,,,,,
2021-03-23,155803,38,,3,,,,,,12,,,,,,,,,155803,,,22,,1,,,,,,,,,,
2021-03-24,159531,38,,3,,,,,,12,,,,,,,,,159531,,,22,,1,,,,,,,,,,
2021-03-25,164309,39,,3,,,,,,12,,,,,,,,,164309,,,23,,1,,,,,,,,,,
2021-03-26,169991,40,,3,,,,,,12,,,,,,,,,169991,,,24,,1,,,,,,,,,,
2021-03-27,172978,40,,3,,,,,,12,,,,,,,,,172978,,,24,,1,,,,,,,,,,
2021-03-29,177020,40,,3,,,,,,12,,,,,,,,,177020,,,24,,1,,,,,,,,,,
2021-03-30,180395,42,,3,,,,,,12,,,,,,,,,180395,,,26,,1,,,,,,,,,,
2021-03-31,185490,43,,3,,,,,,12,,,,,,,,,185490,,,27,,1,,,,,,,,,,
2021-04-01,191179,43,,3,,,,,,12,,,,,,,,,191179,,,27,,1,,,,,,,,,,
2021-04-02,197986,44,,3,,,,,,12,,,,,,,,,197986,,,28,,1,,,,,,,,,,
2021-04-03,202194,44,,3,,,,,,12,,,,,,,,,202194,,,28,,1,,,,,,,,,,
2021-04-04,203384,44,,3,,,,,,12,,,,,,,,,203384,,,28,,1,,,,,,,,,,
2021-04-05,210653,48,,3,,,,,,12,,,,,,,,,210653,,,32,,1,,,,,,,,,,
2021-04-06,218974,51,,3,,,,,,12,,,,,,,,,218974,,,35,,1,,,,,,,,,,
2021-04-07,229699,52,,3,,,,,,12,,,,,,,,,229699,,,36,,1,,,,,,,,,,
2021-04-08,241471,55,,3,,,,,,12,,,,,,,,,241471,,,39,,1,,,,,,,,,,
2021-04-09,253360,55,,3,,,,,,12,,,,,,,,,253360,,,39,,1,,,,,,,,,,
2021-04-10,256179,55,,3,,,,,,12,,,,,,,,,256179,,,39,,1,,,,,,,,,,
2021-04-11,256636,55,,3,,,,,,12,,,,,,,,,256636,,,39,,1,,,,,,,,,,
2021-04-12,266231,57,,3,,,,,,12,,,,,,,,,266231,,,41,,1,,,,,,,,,,
2021-04-13,277658,59,,3,,,,,,12,,,,,,,,,277658,,,43,,1,,,,,,,,,,
2021-04-14,290227,61,,3,,,,,,12,,,,,,,,,290227,,,45,,1,,,,,,,,,,
2021-04-15,301737,61,,3,,,,,,12,,,,,,,,,301737,,,45,,1,,,,,,,,,,
2021-04-16,313600,63,,3,,,,,,12,,,,,,,,,313600,,,47,,1,,,,,,,,,,
2021-04-17,315693,64,,3,,,,,,12,,,,,,,,,315693,,,48,,1,,,,,,,,,,
2021-04-18,315699,66,,3,,,,,,12,,,,,,,,,315699,,,50,,1,,,,,,,,,,
2021-04-19,326009,70,,3,,,,,,12,,,,,,,,,326009,,,54,,1,,,,,,,,,,
2021-04-20,337744,72,,3,,,,,,12,,,,,,,,,337744,,,56,,1,,,,,,,,,,
2021-04-21,351651,73,,3,,,,,,12,,,,,,,,,351651,,,57,,1,,,,,,,,,,
2021-04-22,366104,75,,3,,,,,,12,,,,,,,,,366104,,,59,,1,,,,,,,,,,
2021-04-23,378350,76,,3,,,,,,12,,,,,,,,,378350,,,60,,1,,,,,,,,,,
2021-04-24,383626,76,,3,,,,,,12,,,,,,,,,383626,,,60,,1,,,,,,,,,,
2021-04-25,384227,76,,3,,,,,,12,,,,,,,,,384227,,,60,,1,,,,,,,,,,
2021-04-26,394717,76,,3,,,,,,12,,,,,,,,,394717,,,60,,1,,,,,,,,,,
2021-04-27,404102,81,,3,,,,,,12,,,,,,,,,404102,,,65,,1,,,,,,,,,,
2021-04-28,412581,82,,3,,,,,,12,,,,,,,,,412581,,,66,,1,,,,,,,,,,
2021-04-29,424252,84,,3,,,,,,12,,,,,,,,,424252,,,68,,1,,,,,,,,,,
2021-04-30,427013,84,,3,,,,,,12,,,,,,,,,427013,,,68,,1,,,,,,,,,,
2021-05-01,429311,89,,3,,,,,,12,,,,,,,,,429311,,,73,,1,,,,,,,,,,
2021-05-02,430570,90,,3,,,,,,12,,,,,,,,,430570,,,74,,1,,,,,,,,,,
2021-05-03,433324,92,,3,,,,,,12,,,,,,,,,433324,,,76,,1,,,,,,,,,,
2021-05-04,442849,94,,3,,,,,,12,,,,,,,,,442849,,,78,,1,,,,,,,,,,
2021-05-05,451821,94,,3,,,,,,12,,,,,,,,,451821,,,78,,1,,,,,,,,,,
2021-05-06,461082,97,,3,,,,,,12,,,,,,,,,461082,,,81,,1,,,,,,,,,,
2021-05-07,470485,101,,3,,,,,,12,,,,,,,,,470485,,,84,,2,,,,,,,,,,
2021-05-08,473264,103,,3,,,,,,12,,,,,,,,,473264,,,86,,2,,,,,,,,,,
2021-05-09,473296,103,,3,,,,,,12,,,,,,,,,473296,,,86,,2,,,,,,,,,,
2021-05-10,479936,107,,3,,,,,,12,,,,,,,,,479936,,,90,,2,,,,,,,,,,
2021-05-11,486108,108,,3,,,,,,12,,,,,,,,,486108,,,91,,2,,,,,,,,,,
2021-05-12,492537,110,,3,,,,,,12,,,,,,,,,492537,,,93,,2,,,,,,,,,,
2021-05-13,499534,112,,3,,,,,,12,,,,,,,,,499534,,,95,,2,,,,,,,,,,
2021-05-14,505367,113,,3,,,,,,12,,,,,,,,,505367,,,96,,2,,,,,,,,,,
2021-05-15,507156,115,,3,,,,,,12,,,,,,,,,507156,,,98,,2,,,,,,,,,,
