date,Deutschland (Anspruch),Deutschland (Geboosterte),Baden-Württemberg (Anspruch),Baden-Württemberg (Geboosterte),Bayern (Anspruch),Bayern (Geboosterte),Berlin (Anspruch),Berlin (Geboosterte),Brandenburg (Anspruch),Brandenburg (Geboosterte),Bremen (Anspruch),Bremen (Geboosterte),zweithh,dritthh,Hessen (Anspruch),Hessen (Geboosterte),Mecklenburg-Vorpommern (Anspruch),Mecklenburg-Vorpommern (Geboosterte),Niedersachsen (Anspruch),Niedersachsen (Geboosterte),Nordrhein-Westfalen (Anspruch),Nordrhein-Westfalen (Geboosterte),Rheinland-Pfalz (Anspruch),Rheinland-Pfalz (Geboosterte),Saarland (Anspruch),Saarland (Geboosterte),Sachsen (Anspruch),Sachsen (Geboosterte),Sachsen-Anhalt (Anspruch),Sachsen-Anhalt (Geboosterte),Schleswig-Holstein (Anspruch),Schleswig-Holstein (Geboosterte),Thüringen (Anspruch),Thüringen (Geboosterte)
2020-12-29,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2021-01-01,,2,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
2021-01-21,,3,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,
2021-01-26,,7,,4,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,
2021-02-01,,8,,4,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,
2021-02-04,,9,,4,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,
2021-02-09,,10,,4,,,,,,,,,,,,,,,,,,5,,1,,,,,,,,,,
2021-02-18,,11,,4,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,
2021-02-24,,12,,4,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,
2021-02-25,,13,,4,,,,,,,,,,,,,,,,,,8,,1,,,,,,,,,,
2021-02-26,,14,,4,,,,,,,,,,,,,,,,,,9,,1,,,,,,,,,,
2021-02-28,,27,,4,,,,,,12,,,,,,,,,,,,10,,1,,,,,,,,,,
2021-03-04,,28,,4,,,,,,12,,,,,,,,,,,,11,,1,,,,,,,,,,
2021-03-05,,29,,4,,,,,,12,,,,,,,,,,,,12,,1,,,,,,,,,,
2021-03-09,,30,,4,,,,,,12,,,,,,,,,,,,13,,1,,,,,,,,,,
2021-03-10,,32,,4,,,,,,12,,,,,,,,,,,,15,,1,,,,,,,,,,
2021-03-11,,33,,4,,,,,,12,,,,,,,,,,,,16,,1,,,,,,,,,,
2021-03-14,,35,,4,,,,,,12,,,,,,,,,,,,18,,1,,,,,,,,,,
2021-03-19,,36,,4,,,,,,12,,,,,,,,,,,,19,,1,,,,,,,,,,
2021-03-20,,37,,4,,,,,,12,,,,,,,,,,,,20,,1,,,,,,,,,,
2021-03-22,,40,,4,,,,,,12,,,,,,,,,,,,23,,1,,,,,,,,,,
2021-03-25,,41,,4,,,,,,12,,,,,,,,,,,,24,,1,,,,,,,,,,
2021-03-26,,42,,4,,,,,,12,,,,,,,,,,,,25,,1,,,,,,,,,,
2021-03-30,,44,,4,,,,,,12,,,,,,,,,,,,27,,1,,,,,,,,,,
2021-03-31,,45,,4,,,,,,12,,,,,,,,,,,,28,,1,,,,,,,,,,
2021-04-02,,46,,4,,,,,,12,,,,,,,,,,,,29,,1,,,,,,,,,,
2021-04-05,,50,,4,,,,,,12,,,,,,,,,,,,33,,1,,,,,,,,,,
2021-04-06,,55,,4,,,,,,12,,,,,,,,,,,,38,,1,,,,,,,,,,
2021-04-07,,56,,4,,,,,,12,,,,,,,,,,,,39,,1,,,,,,,,,,
2021-04-08,,59,,4,,,,,,12,,,,,,,,,,,,42,,1,,,,,,,,,,
2021-04-12,,61,,4,,,,,,12,,,,,,,,,,,,44,,1,,,,,,,,,,
2021-04-13,,63,,4,,,,,,12,,,,,,,,,,,,46,,1,,,,,,,,,,
2021-04-14,,65,,4,,,,,,12,,,,,,,,,,,,48,,1,,,,,,,,,,
2021-04-16,,67,,4,,,,,,12,,,,,,,,,,,,50,,1,,,,,,,,,,
2021-04-17,,68,,4,,,,,,12,,,,,,,,,,,,51,,1,,,,,,,,,,
2021-04-18,,70,,4,,,,,,12,,,,,,,,,,,,53,,1,,,,,,,,,,
2021-04-19,,74,,4,,,,,,12,,,,,,,,,,,,57,,1,,,,,,,,,,
2021-04-20,,76,,4,,,,,,12,,,,,,,,,,,,59,,1,,,,,,,,,,
2021-04-21,,77,,4,,,,,,12,,,,,,,,,,,,60,,1,,,,,,,,,,
2021-04-22,,80,,4,,,,,,12,,,,,,,,,,,,63,,1,,,,,,,,,,
2021-04-23,,81,,4,,,,,,12,,,,,,,,,,,,64,,1,,,,,,,,,,
2021-04-27,,86,,4,,,,,,12,,,,,,,,,,,,69,,1,,,,,,,,,,
2021-04-28,,87,,4,,,,,,12,,,,,,,,,,,,70,,1,,,,,,,,,,
2021-04-29,,89,,4,,,,,,12,,,,,,,,,,,,72,,1,,,,,,,,,,
2021-05-01,,94,,4,,,,,,12,,,,,,,,,,,,77,,1,,,,,,,,,,
2021-05-02,,96,,4,,,,,,12,,,,,,,,,,,,79,,1,,,,,,,,,,
2021-05-03,,99,,4,,,,,,12,,,,,,,,,,,,82,,1,,,,,,,,,,
2021-05-04,,101,,4,,,,,,12,,,,,,,,,,,,84,,1,,,,,,,,,,
2021-05-05,,102,,4,,,,,,12,,,,,,,,,,,,85,,1,,,,,,,,,,
2021-05-06,,106,,4,,,,,,12,,,,,,,,,,,,89,,1,,,,,,,,,,
2021-05-07,,110,,4,,,,,,12,,,,,,,,,,,,92,,2,,,,,,,,,,
2021-05-08,,112,,4,,,,,,12,,,,,,,,,,,,94,,2,,,,,,,,,,
2021-05-10,,116,,4,,,,,,12,,,,,,,,,,,,98,,2,,,,,,,,,,
2021-05-11,,117,,4,,,,,,12,,,,,,,,,,,,99,,2,,,,,,,,,,
2021-05-12,,119,,4,,,,,,12,,,,,,,,,,,,101,,2,,,,,,,,,,
2021-05-13,,121,,4,,,,,,12,,,,,,,,,,,,103,,2,,,,,,,,,,
2021-05-14,,122,,4,,,,,,12,,,,,,,,,,,,104,,2,,,,,,,,,,
2021-05-15,,124,,4,,,,,,12,,,,,,,,,,,,106,,2,,,,,,,,,,
2021-05-17,,128,,4,,,,,,12,,,,,,,,,,,,110,,2,,,,,,,,,,
2021-05-18,,131,,4,,,,,,12,,,,,,,,,,,,113,,2,,,,,,,,,,
2021-05-19,,134,,4,,,,,,12,,,,,,,,,,,,116,,2,,,,,,,,,,
2021-05-20,,136,,4,,,,,,12,,,,,,,,,,,,118,,2,,,,,,,,,,
2021-05-21,,137,,4,,,,,,12,,,,,,,,,,,,119,,2,,,,,,,,,,
2021-05-22,,140,,4,,,,,,12,,,,,,,,,,,,122,,2,,,,,,,,,,
2021-05-23,,142,,4,,,,,,12,,,,,,,,,,,,124,,2,,,,,,,,,,
2021-05-24,,148,,4,,,,,,12,,,,,,,,,,,,130,,2,,,,,,,,,,
2021-05-25,,151,,4,,,,,,12,,,,,,,,,,,,133,,2,,,,,,,,,,
2021-05-26,,155,,4,,,,,,12,,,,,,,,,,,,137,,2,,,,,,,,,,
2021-05-27,,160,,4,,,,,,12,,,,,,,,,,,,142,,2,,,,,,,,,,
2021-05-28,,162,,4,,,,,,12,,,,,,,,,,,,144,,2,,,,,,,,,,
2021-05-29,,167,,4,,,,,,12,,,,,,,,,,,,149,,2,,,,,,,,,,
2021-05-30,,168,,4,,,,,,12,,,,,,,,,,,,150,,2,,,,,,,,,,
2021-06-01,,312,,4,,2,,,,12,,,,,,,,,,,,291,,3,,,,,,,,,,
2021-06-02,,315,,4,,2,,,,12,,,,,,,,,,2,,292,,3,,,,,,,,,,
2021-06-03,,317,,4,,2,,,,12,,,,,,,,,,3,,293,,3,,,,,,,,,,
2021-06-04,,318,,4,,2,,,,12,,,,,,,,,,3,,294,,3,,,,,,,,,,
2021-06-05,,320,,4,,2,,,,12,,,,,,,,,,4,,294,,4,,,,,,,,,,
2021-06-06,,321,,4,,2,,,,12,,,,,,,,,,4,,294,,5,,,,,,,,,,
2021-06-07,,324,,5,,2,,,,12,,,,,,,,,,4,,295,,6,,,,,,,,,,
2021-06-08,,371,,6,,40,,,,12,,,,,,,,1,,10,,295,,7,,,,,,,,,,
2021-06-09,,471,,7,,120,,,,12,,,,,,1,,1,,23,,300,,7,,,,,,,,,,
2021-06-10,,489,,8,,121,,,,12,,1,,,,1,,1,,35,,301,,9,,,,,,,,,,
2021-06-11,,503,,8,,122,,,,12,,1,,,,1,,1,,44,,303,,11,,,,,,,,,,
2021-06-12,,504,,8,,122,,,,12,,1,,,,1,,1,,44,,304,,11,,,,,,,,,,
2021-06-14,,508,,8,,122,,,,12,,1,,,,1,,1,,45,,305,,13,,,,,,,,,,
2021-06-15,,516,,8,,122,,,,12,,1,,,,1,,1,,52,,305,,14,,,,,,,,,,
2021-06-16,,542,,24,,122,,,,22,,1,,,,1,,1,,52,,305,,14,,,,,,,,,,
2021-06-17,,543,,24,,122,,,,22,,1,,,,1,,1,,52,,305,,14,,,,,,,,1,,
2021-06-18,,553,,30,,122,,,,22,,1,,,,1,,1,,53,,307,,15,,,,,,,,1,,
2021-06-19,,557,,30,,122,,,,22,,1,,,,1,,1,,56,,308,,15,,,,,,,,1,,
2021-06-21,,560,,30,,122,,,,22,,1,,,,1,,1,,56,,309,,17,,,,,,,,1,,
2021-06-22,,566,,30,,122,,,,22,,1,,,,1,,1,,57,,313,,17,,,,,,,,2,,
2021-06-23,,572,,30,,122,,,,22,,1,,,,3,,1,,58,,315,,18,,,,,,,,2,,
2021-06-24,,576,,30,,122,,,,22,,1,,,,3,,1,,58,,317,,18,,,,,,,,4,,
2021-06-25,11,584,,30,,122,,,,22,,1,,,2,4,,1,,58,9,323,,19,,,,,,,,4,,
2021-06-26,75,589,,30,,122,,,,22,,1,,,20,4,,1,,59,9,326,,20,,,46,,,,,4,,
2021-06-27,727,593,,31,,122,,,,22,,1,,,27,4,,1,,59,627,329,,20,,,73,,,,,4,,
2021-06-28,760,595,,31,1,122,1,,,22,,1,,,35,5,2,1,,59,629,330,,20,,,91,,,,,4,1,
2021-06-29,847,602,,32,3,122,1,,,22,,1,,,38,5,2,1,,59,711,335,,21,,,91,,,,,4,1,
2021-06-30,859,610,2,32,3,122,1,,,22,,1,3,,42,6,2,1,,61,712,340,,21,,,91,,2,,,4,1,
