"hc.key","state","value"
"us-al","Alabama",300402
"us-ak","Alaska",152585
"us-az","Arizona",2471577
"us-ar","Arkansas",854405
"us-ca","California",12090534
"us-co","Colorado",2740104
"us-ct","Connecticut",636000
"us-de","Delaware",148424
"us-dc","District of Columbia",260071
"us-fl","Florida",8974896
"us-ga","Georgia",3912819
"us-hi","Hawaii",484000
"us-id","Idaho",402310
"us-il","Illinois",1832401
"us-in","Indiana",1712012
"us-ia","Iowa",955975
"us-ks","Kansas",770324
"us-ky","Kentucky",1508000
"us-la","Louisiana",977408
"us-me","Maine",499939
"us-md","Maryland",2178906
"us-ma","Massachusetts",2342656
"us-mi","Michigan",2841696
"us-mn","Minnesota",1716575
"us-ms","Mississippi",231031
"us-mo","Missouri",827978
"us-mt","Montana",529168
"us-ne","Nebraska",482919
"us-nv","Nevada",1088775
"us-nh","New Hampshire",181577
"us-nj","New Jersey",3510293
"us-nm","New Mexico",782047
"us-ny","New York",3350037
"us-nc","North Carolina",4550963
"us-nd","North Dakota",251484
"us-oh","Ohio",3000827
"us-ok","Oklahoma",444729
"us-or","Oregon",1969549
"us-pa","Pennsylvania",2414351
"us-ri","Rhode Island",305724
"us-sc","South Carolina",1309598
"us-sd","South Dakota",202464
"us-tn","Tennessee",2280747
"us-tx","Texas",9719101
"us-ut","Utah",1009654
"us-vt","Vermont",255141
"us-va","Virginia",2736282
"us-wa","Washington",3545289
"us-wv","West Virginia",136038
"us-wi","Wisconsin",1886533
"us-wy","Wyoming",131516
