year,FDP,Sonstige,Grüne,SPD,Linke,AfD,Union
1979-01-01,2,1,,,,,1
1980-01-01,1,,,1,,,
1981-01-01,,1,,,,,
1982-01-01,,,,3,,,1
1983-01-01,,,,,,,1
1984-01-01,,1,,1,,,2
1985-01-01,1,2,,,,,
1986-01-01,1,11,2,5,,,4
1987-01-01,3,10,3,6,,,3
1988-01-01,11,7,10,17,,,10
1989-01-01,9,20,26,39,,,16
1990-01-01,10,18,20,22,1,,20
1991-01-01,9,20,15,24,4,,20
1992-01-01,7,19,7,26,5,,15
1993-01-01,5,8,8,26,2,,18
1994-01-01,5,11,8,20,3,,8
1995-01-01,13,34,21,41,5,,33
1996-01-01,8,13,14,23,8,,13
1997-01-01,11,21,14,22,5,,17
1998-01-01,3,25,8,18,3,,6
1999-01-01,13,14,26,24,5,,27
2000-01-01,18,29,39,41,14,,43
2001-01-01,12,31,25,26,13,,27
2002-01-01,15,30,17,25,11,,27
2003-01-01,6,22,17,21,,,33
2004-01-01,19,40,31,40,,,49
2005-01-01,7,23,22,20,1,,29
2006-01-01,16,34,50,31,27,,28
2007-01-01,56,107,99,124,47,,112
2008-01-01,51,98,115,106,49,,105
2009-01-01,33,54,79,60,44,,74
2010-01-01,66,92,107,97,57,,127
2011-01-01,45,51,67,70,40,,95
2012-01-01,34,30,61,53,51,,61
2013-01-01,32,54,57,49,30,,43
2014-01-01,,61,112,84,56,,105
2015-01-01,,61,108,73,43,,100
2016-01-01,,66,107,51,49,,73
2017-01-01,1,32,45,31,30,3,45
2018-01-01,49,80,143,93,61,52,101
2019-01-01,83,104,186,171,89,77,210
2020-01-01,59,83,160,129,85,43,183
2021-01-01,26,31,56,53,27,17,66
