"Code","Name","cduzweit21","spdzweit21","fdpzweit21","linzweit21","gruzweit21","csuzweit21","afdzweit21","unionzweit21","parteizweit21","maxzweit21","Bundesland","URL"
"1","Flensburg – Schleswig",34.2,23.7,11.1,8.2,13.1,0,6.8,34.2,"CDU",1,"SH","https://datawrapper.dwcdn.net/m8EEw/1/"
"10","Herzogtum Lauenburg – Stormarn-Süd",34.4,22.3,13.6,6.5,10.8,0,9.8,34.4,"CDU",1,"SH","https://datawrapper.dwcdn.net/wvK4n/1/"
"100","Rheinisch-Bergischer Kreis",35.6,21,16.7,6.4,9,0,8,35.6,"CDU",1,"NW","https://datawrapper.dwcdn.net/O1nss/1/"
"101","Leverkusen – Köln IV",28.1,27.1,12.2,9.3,8.8,0,9.7,28.1,"CDU",1,"NW","https://datawrapper.dwcdn.net/u7BgP/1/"
"102","Wuppertal I",26.5,26,12.4,10.8,8.6,0,11.1,26.5,"CDU",1,"NW","https://datawrapper.dwcdn.net/k2i4R/1/"
"103","Solingen – Remscheid – Wuppertal II",31.6,25.1,14.1,7.8,7.2,0,10,31.6,"CDU",1,"NW","https://datawrapper.dwcdn.net/VwFSk/1/"
"104","Mettmann I",34,23,16.2,6.4,7.4,0,9.5,34,"CDU",1,"NW","https://datawrapper.dwcdn.net/8PA9V/1/"
"105","Mettmann II",32.6,24.5,15.8,6.8,6.9,0,9.6,32.6,"CDU",1,"NW","https://datawrapper.dwcdn.net/dM97H/1/"
"106","Düsseldorf I",32,19.5,19.7,8.5,10,0,7,32,"CDU",1,"NW","https://datawrapper.dwcdn.net/SUBtu/1/"
"107","Düsseldorf II",28.5,23.3,14.9,9.9,10.1,0,9.1,28.5,"CDU",1,"NW","https://datawrapper.dwcdn.net/1s1Xq/1/"
"108","Neuss I",35.9,23.6,14.9,6.2,6,0,9.4,35.9,"CDU",1,"NW","https://datawrapper.dwcdn.net/9cYVI/1/"
"109","Mönchengladbach",35.8,23.3,13.7,7.4,6.2,0,9.5,35.8,"CDU",1,"NW","https://datawrapper.dwcdn.net/tVS3s/1/"
"11","Lübeck",29.5,25.4,10.9,9.4,12.8,0,8.9,29.5,"CDU",1,"SH","https://datawrapper.dwcdn.net/Qoowj/1/"
"110","Krefeld I – Neuss II",35.6,22.1,17.4,6.4,7.1,0,7.9,35.6,"CDU",1,"NW","https://datawrapper.dwcdn.net/iuSJh/1/"
"111","Viersen",38.1,22.3,16,6,6.7,0,7.5,38.1,"CDU",1,"NW","https://datawrapper.dwcdn.net/pFccq/1/"
"112","Kleve",41.6,23.5,13.5,5.6,6,0,6.9,41.6,"CDU",1,"NW","https://datawrapper.dwcdn.net/Nxn58/1/"
"113","Wesel I",33.7,28.7,12.4,6.7,6.1,0,9,33.7,"CDU",1,"NW","https://datawrapper.dwcdn.net/0Vq4h/1/"
"114","Krefeld II – Wesel II",30.9,27.7,13.6,7.6,7,0,9.2,30.9,"CDU",1,"NW","https://datawrapper.dwcdn.net/mUgyK/1/"
"115","Duisburg I",25.7,31.7,10.4,8.7,6.6,0,11.3,25.7,"SPD",2,"NW","https://datawrapper.dwcdn.net/gPzen/1/"
"116","Duisburg II",22.4,34.1,8.2,8.4,4.4,0,15.5,22.4,"SPD",2,"NW","https://datawrapper.dwcdn.net/7yzww/1/"
"117","Oberhausen – Wesel III",26.3,33,10,8.3,5.5,0,12.5,26.3,"SPD",2,"NW","https://datawrapper.dwcdn.net/ieXxp/1/"
