rn,Wahlkreis 56 (alle Wahlbezirke),Amt Bad Wilsnack/Weisen/Briefwahlbezirk 9120,Amt Bad Wilsnack/Weisen/Briefwahlbezirk 9121,Amt Friesack/Briefwahlbezirk 9127,Amt Friesack/Briefwahlbezirk 9128,Amt Lenzen-Elbtalaue/Briefwahlbezirk 9122,Amt Lindow (Mark)/Briefwahlbezirk 9134,Amt Meyenburg/Briefwahlbezirk 9123,Amt Nennhausen/Briefwahlbezirk 9104,Amt Neustadt (Dosse)/Briefwahlbezirk 9141,Amt Neustadt (Dosse)/Briefwahlbezirk 9142,Amt Putlitz-Berge/Briefwahlbezirk 9124,Amt Putlitz-Berge/Briefwahlbezirk 9125,Amt Rhinow/Briefwahlbezirk 9126,Amt Temnitz/Briefwahlbezirk 9145,Amt Temnitz/Briefwahlbezirk 9155,Fehrbellin/Briefwahlbezirk 9129,Fehrbellin/Briefwahlbezirk 9130,Fehrbellin/Briefwahlbezirk 9153,Fehrbellin/Urnenwahlbezirk 2001,Fehrbellin/Urnenwahlbezirk 2002,Fehrbellin/Urnenwahlbezirk 2003,Fehrbellin/Urnenwahlbezirk 2004,Fehrbellin/Urnenwahlbezirk 2005,Fehrbellin/Urnenwahlbezirk 2006,Fehrbellin/Urnenwahlbezirk 2007,Fehrbellin/Urnenwahlbezirk 2008,Fehrbellin/Urnenwahlbezirk 2009,Fehrbellin/Urnenwahlbezirk 2010,Fehrbellin/Urnenwahlbezirk 2011,Fehrbellin/Urnenwahlbezirk 2012,Fehrbellin/Urnenwahlbezirk 2013,Fehrbellin/Urnenwahlbezirk 2014,Fehrbellin/Urnenwahlbezirk 2015,Fehrbellin/Urnenwahlbezirk 2016,Fehrbellin/Urnenwahlbezirk 2017,Fehrbellin/Urnenwahlbezirk 2018,Fehrbellin/Urnenwahlbezirk 2019,Fehrbellin/Urnenwahlbezirk 2020,Fehrbellin/Urnenwahlbezirk 2021,Groß Pankow (Prignitz)/Briefwahlbezirk 9115,Groß Pankow (Prignitz)/Urnenwahlbezirk 1401,Groß Pankow (Prignitz)/Urnenwahlbezirk 1403,Groß Pankow (Prignitz)/Urnenwahlbezirk 1404,Groß Pankow (Prignitz)/Urnenwahlbezirk 1405,Groß Pankow (Prignitz)/Urnenwahlbezirk 1406,Groß Pankow (Prignitz)/Urnenwahlbezirk 1407,Groß Pankow (Prignitz)/Urnenwahlbezirk 1408,Groß Pankow (Prignitz)/Urnenwahlbezirk 1409,Groß Pankow (Prignitz)/Urnenwahlbezirk 1410,Groß Pankow (Prignitz)/Urnenwahlbezirk 1411,Groß Pankow (Prignitz)/Urnenwahlbezirk 1412,Groß Pankow (Prignitz)/Urnenwahlbezirk 1413,Groß Pankow (Prignitz)/Urnenwahlbezirk 1414,Groß Pankow (Prignitz)/Urnenwahlbezirk 1415,Groß Pankow (Prignitz)/Urnenwahlbezirk 1416,Groß Pankow (Prignitz)/Urnenwahlbezirk 1417,Groß Pankow (Prignitz)/Urnenwahlbezirk 1418,Groß Pankow (Prignitz)/Urnenwahlbezirk 1419,Groß Pankow (Prignitz)/Urnenwahlbezirk 1420,Gumtow/Briefwahlbezirk 9116,Gumtow/Urnenwahlbezirk 1501,Gumtow/Urnenwahlbezirk 1502,Gumtow/Urnenwahlbezirk 1503,Gumtow/Urnenwahlbezirk 1504,Gumtow/Urnenwahlbezirk 1505,Gumtow/Urnenwahlbezirk 1506,Gumtow/Urnenwahlbezirk 1507,Gumtow/Urnenwahlbezirk 1508,Gumtow/Urnenwahlbezirk 1509,Gumtow/Urnenwahlbezirk 1510,Gumtow/Urnenwahlbezirk 1511,Gumtow/Urnenwahlbezirk 1512,Gumtow/Urnenwahlbezirk 1513,Gumtow/Urnenwahlbezirk 1514,Gumtow/Urnenwahlbezirk 1515,Gumtow/Urnenwahlbezirk 1516,Heiligengrabe/Briefwahlbezirk 9131,Heiligengrabe/Urnenwahlbezirk 8031,Heiligengrabe/Urnenwahlbezirk 8032,Heiligengrabe/Urnenwahlbezirk 8033,Heiligengrabe/Urnenwahlbezirk 8034,Heiligengrabe/Urnenwahlbezirk 8035,Heiligengrabe/Urnenwahlbezirk 8036,Heiligengrabe/Urnenwahlbezirk 8037,Heiligengrabe/Urnenwahlbezirk 8038,Heiligengrabe/Urnenwahlbezirk 8039,Heiligengrabe/Urnenwahlbezirk 8040,Heiligengrabe/Urnenwahlbezirk 8041,Heiligengrabe/Urnenwahlbezirk 8042,Heiligengrabe/Urnenwahlbezirk 8043,Heiligengrabe/Urnenwahlbezirk 8044,Karstädt/Briefwahlbezirk 9117,Karstädt/Briefwahlbezirk 9118,Kyritz/Briefwahlbezirk 9132,Kyritz/Briefwahlbezirk 9133,Kyritz/Briefwahlbezirk 9154,Nauen/Briefwahlbezirk 9101,Nauen/Briefwahlbezirk 9102,Nauen/Briefwahlbezirk 9103,Nauen/Urnenwahlbezirk 1,Nauen/Urnenwahlbezirk 10,Nauen/Urnenwahlbezirk 11,Nauen/Urnenwahlbezirk 12,Nauen/Urnenwahlbezirk 13,Nauen/Urnenwahlbezirk 14,Nauen/Urnenwahlbezirk 15,Nauen/Urnenwahlbezirk 16,Nauen/Urnenwahlbezirk 17,Nauen/Urnenwahlbezirk 18,Nauen/Urnenwahlbezirk 19,Nauen/Urnenwahlbezirk 2,Nauen/Urnenwahlbezirk 20,Nauen/Urnenwahlbezirk 21,Nauen/Urnenwahlbezirk 22,Nauen/Urnenwahlbezirk 23,Nauen/Urnenwahlbezirk 24,Nauen/Urnenwahlbezirk 25,Nauen/Urnenwahlbezirk 3,Nauen/Urnenwahlbezirk 4,Nauen/Urnenwahlbezirk 5,Nauen/Urnenwahlbezirk 6,Nauen/Urnenwahlbezirk 7,Nauen/Urnenwahlbezirk 8,Nauen/Urnenwahlbezirk 9,Neuruppin/Briefwahlbezirk 9135,Neuruppin/Briefwahlbezirk 9136,Neuruppin/Briefwahlbezirk 9137,Neuruppin/Briefwahlbezirk 9138,Neuruppin/Briefwahlbezirk 9139,Neuruppin/Briefwahlbezirk 9140,Perleberg/Briefwahlbezirk 9105,Perleberg/Briefwahlbezirk 9106,Perleberg/Briefwahlbezirk 9107,Perleberg/Urnenwahlbezirk 1101,Perleberg/Urnenwahlbezirk 1102,Perleberg/Urnenwahlbezirk 1103,Perleberg/Urnenwahlbezirk 1104,Perleberg/Urnenwahlbezirk 1105,Perleberg/Urnenwahlbezirk 1106,Perleberg/Urnenwahlbezirk 1107,Perleberg/Urnenwahlbezirk 1108,Perleberg/Urnenwahlbezirk 1109,Perleberg/Urnenwahlbezirk 1110,Perleberg/Urnenwahlbezirk 1111,Perleberg/Urnenwahlbezirk 1112,Perleberg/Urnenwahlbezirk 1113,Perleberg/Urnenwahlbezirk 1114,Perleberg/Urnenwahlbezirk 1115,Perleberg/Urnenwahlbezirk 1116,Perleberg/Urnenwahlbezirk 1117,Plattenburg/Briefwahlbezirk 9119,Plattenburg/Urnenwahlbezirk 1701,Plattenburg/Urnenwahlbezirk 1702,Plattenburg/Urnenwahlbezirk 1703,Plattenburg/Urnenwahlbezirk 1704,Plattenburg/Urnenwahlbezirk 1705,Plattenburg/Urnenwahlbezirk 1706,Plattenburg/Urnenwahlbezirk 1707,Plattenburg/Urnenwahlbezirk 1709,Plattenburg/Urnenwahlbezirk 1710,Plattenburg/Urnenwahlbezirk 1711,Plattenburg/Urnenwahlbezirk 1712,Plattenburg/Urnenwahlbezirk 1713,Pritzwalk/Briefwahlbezirk 9108,Pritzwalk/Briefwahlbezirk 9109,Pritzwalk/Briefwahlbezirk 9110,Pritzwalk/Briefwahlbezirk 9151,Pritzwalk/Urnenwahlbezirk 1201,Pritzwalk/Urnenwahlbezirk 1202,Pritzwalk/Urnenwahlbezirk 1203,Pritzwalk/Urnenwahlbezirk 1204,Pritzwalk/Urnenwahlbezirk 1205,Pritzwalk/Urnenwahlbezirk 1206,Pritzwalk/Urnenwahlbezirk 1207,Pritzwalk/Urnenwahlbezirk 1208,Pritzwalk/Urnenwahlbezirk 1209,Pritzwalk/Urnenwahlbezirk 1210,Pritzwalk/Urnenwahlbezirk 1211,Pritzwalk/Urnenwahlbezirk 1212,Pritzwalk/Urnenwahlbezirk 1213,Pritzwalk/Urnenwahlbezirk 1214,Pritzwalk/Urnenwahlbezirk 1215,Pritzwalk/Urnenwahlbezirk 1216,Pritzwalk/Urnenwahlbezirk 1217,Pritzwalk/Urnenwahlbezirk 1218,Pritzwalk/Urnenwahlbezirk 1219,Pritzwalk/Urnenwahlbezirk 1220,Rheinsberg/Briefwahlbezirk 9143,Rheinsberg/Briefwahlbezirk 9144,Rheinsberg/Urnenwahlbezirk 4021,Rheinsberg/Urnenwahlbezirk 4022,Rheinsberg/Urnenwahlbezirk 4023,Rheinsberg/Urnenwahlbezirk 4025,Rheinsberg/Urnenwahlbezirk 4027,Rheinsberg/Urnenwahlbezirk 4028,Rheinsberg/Urnenwahlbezirk 4029,Rheinsberg/Urnenwahlbezirk 4030,Rheinsberg/Urnenwahlbezirk 4031,Rheinsberg/Urnenwahlbezirk 4032,Rheinsberg/Urnenwahlbezirk 4033,Rheinsberg/Urnenwahlbezirk 4034,Rheinsberg/Urnenwahlbezirk 4035,Rheinsberg/Urnenwahlbezirk 4036,Rheinsberg/Urnenwahlbezirk 4037,Rheinsberg/Urnenwahlbezirk 4038,Rheinsberg/Urnenwahlbezirk 4039,Rheinsberg/Urnenwahlbezirk 4040,Rheinsberg/Urnenwahlbezirk 4042,Wittenberge/Briefwahlbezirk 9111,Wittenberge/Briefwahlbezirk 9112,Wittenberge/Briefwahlbezirk 9113,Wittenberge/Briefwahlbezirk 9114,Wittenberge/Briefwahlbezirk 9152,Wittenberge/Urnenwahlbezirk 1301,Wittenberge/Urnenwahlbezirk 1302,Wittenberge/Urnenwahlbezirk 1303,Wittenberge/Urnenwahlbezirk 1304,Wittenberge/Urnenwahlbezirk 1305,Wittenberge/Urnenwahlbezirk 1306,Wittenberge/Urnenwahlbezirk 1307,Wittenberge/Urnenwahlbezirk 1308,Wittenberge/Urnenwahlbezirk 1309,Wittenberge/Urnenwahlbezirk 1310,Wittenberge/Urnenwahlbezirk 1311,Wittenberge/Urnenwahlbezirk 1312,Wittenberge/Urnenwahlbezirk 1313,Wittenberge/Urnenwahlbezirk 1314,Wittenberge/Urnenwahlbezirk 1315,Wittstock/Dosse/Briefwahlbezirk 9146,Wittstock/Dosse/Briefwahlbezirk 9147,Wittstock/Dosse/Briefwahlbezirk 9148,Wittstock/Dosse/Briefwahlbezirk 9149,Wittstock/Dosse/Urnenwahlbezirk 8001,Wittstock/Dosse/Urnenwahlbezirk 8002,Wittstock/Dosse/Urnenwahlbezirk 8003,Wittstock/Dosse/Urnenwahlbezirk 8004,Wittstock/Dosse/Urnenwahlbezirk 8005,Wittstock/Dosse/Urnenwahlbezirk 8006,Wittstock/Dosse/Urnenwahlbezirk 8007,Wittstock/Dosse/Urnenwahlbezirk 8008,Wittstock/Dosse/Urnenwahlbezirk 8009,Wittstock/Dosse/Urnenwahlbezirk 8010,Wittstock/Dosse/Urnenwahlbezirk 8011,Wittstock/Dosse/Urnenwahlbezirk 8012,Wittstock/Dosse/Urnenwahlbezirk 8013,Wittstock/Dosse/Urnenwahlbezirk 8014,Wittstock/Dosse/Urnenwahlbezirk 8015,Wittstock/Dosse/Urnenwahlbezirk 8016,Wittstock/Dosse/Urnenwahlbezirk 8017,Wittstock/Dosse/Urnenwahlbezirk 8018,Wittstock/Dosse/Urnenwahlbezirk 8019,Wittstock/Dosse/Urnenwahlbezirk 8020,Wittstock/Dosse/Urnenwahlbezirk 8021,Wittstock/Dosse/Urnenwahlbezirk 8022,Wittstock/Dosse/Urnenwahlbezirk 8023,Wittstock/Dosse/Urnenwahlbezirk 8024,Wittstock/Dosse/Urnenwahlbezirk 8025,Wittstock/Dosse/Urnenwahlbezirk 8026,Wittstock/Dosse/Urnenwahlbezirk 8027,Wittstock/Dosse/Urnenwahlbezirk 8028,Wusterhausen/Dosse/Briefwahlbezirk 9150,Wusterhausen/Dosse/Briefwahlbezirk 9156,Wusterhausen/Dosse/Urnenwahlbezirk 7001,Wusterhausen/Dosse/Urnenwahlbezirk 7002,Wusterhausen/Dosse/Urnenwahlbezirk 7003,Wusterhausen/Dosse/Urnenwahlbezirk 7004,Wusterhausen/Dosse/Urnenwahlbezirk 7005,Wusterhausen/Dosse/Urnenwahlbezirk 7006,Wusterhausen/Dosse/Urnenwahlbezirk 7007,Wusterhausen/Dosse/Urnenwahlbezirk 7008,Wusterhausen/Dosse/Urnenwahlbezirk 7009,Wusterhausen/Dosse/Urnenwahlbezirk 7010,Wusterhausen/Dosse/Urnenwahlbezirk 7011,Wusterhausen/Dosse/Urnenwahlbezirk 7012,Wusterhausen/Dosse/Urnenwahlbezirk 7013,Wusterhausen/Dosse/Urnenwahlbezirk 7014,Wusterhausen/Dosse/Urnenwahlbezirk 7016,Wusterhausen/Dosse/Urnenwahlbezirk 7017,Wusterhausen/Dosse/Urnenwahlbezirk 7018,Wusterhausen/Dosse/Urnenwahlbezirk 7019,Wusterhausen/Dosse/Urnenwahlbezirk 7021
CDU,40430,304,303,385,371,239,731,638,832,332,340,631,655,822,455,515,405,360,415,1,59,66,29,38,48,53,51,42,34,54,52,42,32,46,29,0,2,30,56,28,967,34,1,90,1,49,50,2,46,23,3,41,89,2,55,2,0,48,3,54,1017,41,82,68,53,1,1,1,35,1,84,8,42,1,3,51,42,698,1,0,88,49,64,46,1,87,1,5,47,12,0,59,517,512,308,312,301,464,463,384,81,75,57,67,37,8,25,31,8,64,46,50,37,8,73,72,8,48,78,100,41,61,57,73,28,392,332,401,361,352,386,305,269,292,46,39,28,53,19,59,101,1,39,13,42,1,4,56,46,67,38,715,39,45,8,51,8,26,50,22,64,8,50,44,317,267,292,292,44,51,67,47,55,75,51,1,36,45,3,43,81,51,7,21,56,28,27,51,569,580,57,58,52,47,43,29,76,54,65,3,6,6,7,32,1,2,2,3,60,197,203,191,144,174,41,60,42,23,53,77,72,70,59,59,49,67,1,51,51,373,401,406,394,90,29,32,59,51,30,29,56,43,51,2,1,8,47,1,68,1,45,11,32,57,26,42,50,103,49,33,56,503,529,28,51,5,28,37,55,1,2,2,1,46,1,46,37,1,1,43,30,1
SPD,33053,249,249,316,303,196,599,523,683,271,279,515,538,673,373,422,331,294,341,3,48,54,24,32,40,44,42,34,27,44,42,34,26,37,24,4,2,25,46,24,793,29,1,73,2,40,41,2,38,19,3,34,74,5,45,2,1,39,3,45,832,33,68,56,43,1,1,2,29,6,68,2,34,1,5,42,34,572,6,5,71,40,54,37,4,71,3,1,39,0,1,49,424,419,253,255,247,381,381,315,65,62,47,55,30,4,20,25,4,54,38,42,30,4,60,59,4,39,64,81,34,50,47,60,22,321,271,329,295,288,316,251,218,238,38,32,22,43,17,49,83,2,33,3,34,6,9,46,37,55,32,585,32,37,4,42,4,22,39,18,53,4,42,37,260,219,238,239,37,42,55,38,46,60,42,6,29,36,13,35,65,42,6,17,46,22,24,42,466,477,46,47,42,38,35,24,63,43,54,3,3,1,1,25,1,5,6,6,47,160,166,154,118,141,33,50,35,20,43,63,59,56,48,49,41,55,5,42,42,306,330,332,324,72,23,25,49,42,24,24,46,35,42,2,0,2,38,4,56,0,37,3,27,46,22,34,41,84,40,27,47,414,433,22,42,3,23,30,45,5,4,2,2,37,1,38,30,4,4,35,25,3
Grüne,23532,176,177,225,217,140,425,372,486,193,199,367,383,479,266,300,236,209,243,6,34,38,17,22,29,30,30,24,19,31,30,25,19,26,17,1,3,17,33,17,564,20,1,51,0,29,29,1,26,14,5,24,53,0,32,2,2,27,0,32,592,24,48,41,30,1,0,3,21,1,48,4,25,1,0,30,24,408,0,0,51,28,38,26,0,50,3,1,28,1,1,34,303,298,181,182,176,272,272,224,47,43,33,39,21,2,14,17,2,38,27,29,21,2,43,42,2,28,46,58,24,35,33,42,16,229,192,234,210,205,225,179,155,170,26,22,16,31,12,34,59,1,22,12,25,1,0,33,26,40,23,417,22,26,2,30,2,16,29,13,38,2,29,26,184,156,170,171,26,29,39,28,33,43,30,1,20,26,3,25,46,30,8,13,33,16,16,30,333,340,33,34,30,27,25,17,44,32,38,3,13,1,6,18,4,2,1,5,34,114,119,110,84,101,24,35,25,13,31,45,42,41,35,34,29,39,1,30,29,217,236,236,231,51,17,18,36,30,17,17,33,25,30,1,1,1,27,1,41,3,26,1,19,33,16,25,29,60,29,20,33,295,308,16,30,1,17,22,31,4,3,1,7,26,1,27,21,2,1,25,19,4
FDP,26701,199,199,254,244,158,480,419,547,218,224,413,431,540,300,338,266,237,273,4,39,43,18,25,32,34,33,28,22,35,34,28,21,30,20,1,4,20,37,18,635,23,1,58,2,32,33,1,30,16,3,28,59,3,36,4,1,31,3,35,667,26,55,45,34,1,1,1,24,13,55,2,27,1,2,34,28,459,1,5,56,32,43,30,13,57,4,8,32,4,1,38,341,336,203,205,199,306,306,253,52,50,38,43,24,6,16,20,6,43,30,33,24,6,48,47,6,31,51,66,28,41,38,49,18,258,217,263,238,231,254,201,175,191,30,26,18,35,13,39,66,1,26,6,27,8,3,37,30,45,25,470,25,30,6,34,6,17,31,14,42,6,33,30,208,175,191,192,29,33,44,31,37,48,33,3,22,29,5,29,52,33,0,14,37,17,18,34,375,383,37,38,34,30,27,20,50,36,43,2,5,2,4,21,2,4,1,6,38,129,134,124,95,114,26,41,28,16,35,50,47,46,39,39,33,45,3,33,33,246,264,266,261,58,19,20,39,34,20,20,37,27,34,2,1,8,31,3,45,1,29,7,22,37,17,27,33,68,32,22,38,331,348,18,34,8,18,25,37,5,3,3,0,30,2,30,24,1,6,27,20,1
Linke,29894,222,223,284,273,177,538,469,613,244,251,463,483,605,335,379,298,264,306,1,43,49,21,29,36,40,38,30,25,39,38,31,24,33,21,3,4,22,41,21,712,25,1,66,2,36,37,2,34,17,3,30,66,0,41,6,1,34,3,39,748,30,61,51,39,1,1,8,26,8,62,5,31,1,3,38,30,513,13,0,64,36,47,33,6,63,6,4,36,8,2,43,380,377,226,230,222,343,342,283,59,55,42,49,28,7,18,23,7,47,34,37,28,7,53,54,7,35,58,73,30,46,42,54,20,288,244,294,265,259,284,226,196,215,34,29,20,39,14,43,75,1,29,1,31,0,7,42,33,50,28,526,29,33,7,38,7,20,35,17,47,7,37,33,233,196,215,215,33,37,50,34,41,55,38,9,26,32,7,31,59,37,7,16,41,20,21,38,419,428,42,42,38,34,31,21,56,39,48,5,2,7,6,22,1,2,1,4,43,143,149,138,106,127,30,45,31,17,39,57,52,51,43,43,37,50,1,37,37,275,296,298,291,64,21,22,43,38,22,21,42,31,38,1,2,4,34,2,50,6,33,1,25,42,20,31,37,76,36,25,42,371,390,20,38,4,21,28,41,2,2,2,0,33,5,34,26,3,5,31,23,1
AfD,36455,275,276,350,336,218,662,580,755,300,309,571,596,746,413,467,367,326,378,2,54,59,26,36,44,48,46,38,30,50,47,38,29,41,26,7,2,27,51,25,877,32,1,81,1,44,44,1,42,22,3,37,82,0,50,8,0,43,3,49,921,37,75,62,47,1,1,4,33,1,76,7,38,1,2,46,38,633,3,0,79,43,59,41,3,79,3,6,43,5,0,53,470,463,280,282,273,423,422,349,72,68,51,60,34,2,22,28,2,59,42,46,34,2,67,66,2,43,71,91,37,56,51,67,25,355,300,363,327,318,350,277,243,265,42,35,25,48,18,54,92,3,35,4,38,3,3,51,41,61,35,648,35,41,2,45,2,24,43,21,59,2,46,40,288,242,263,265,41,46,61,43,50,67,46,3,32,40,5,39,72,46,3,19,51,25,25,47,518,528,51,52,47,42,39,26,69,49,59,4,1,3,2,28,1,1,2,3,53,177,185,171,131,157,37,55,38,21,48,70,65,63,54,54,45,60,2,46,46,339,365,367,359,80,26,28,54,47,26,26,51,39,46,3,3,3,43,3,62,3,41,4,30,51,25,38,44,93,44,30,51,457,480,25,46,1,26,34,50,4,2,1,0,41,1,42,33,2,5,39,28,1
Tierschutzpartei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Die Partei,18226,137,137,174,167,108,329,288,374,149,153,283,296,370,205,231,182,162,187,4,26,29,13,17,22,24,22,18,16,25,24,18,14,20,13,2,3,13,25,13,435,16,1,40,0,23,22,1,21,10,0,18,41,0,25,0,0,21,0,24,457,18,37,32,24,1,0,8,16,0,38,5,19,1,0,24,18,314,0,0,39,22,29,21,0,38,4,3,21,2,0,26,233,230,139,140,136,210,209,173,35,34,26,30,17,3,10,13,3,29,21,22,17,3,33,33,3,21,35,45,18,27,26,33,12,176,149,180,163,158,174,138,120,132,21,17,12,23,9,26,46,3,18,1,20,4,5,25,21,30,17,321,17,20,3,22,3,12,22,10,29,3,22,20,143,120,130,131,20,22,30,21,25,33,22,3,16,19,5,20,35,22,2,9,25,12,13,24,257,262,25,26,24,21,20,13,34,24,29,6,1,8,1,14,2,1,4,3,26,88,92,85,65,77,18,28,20,10,24,34,33,31,26,26,22,30,1,22,22,168,181,182,178,39,13,14,28,24,13,13,25,20,22,0,1,4,21,4,32,0,20,3,14,26,12,20,22,46,22,14,26,227,237,12,24,3,13,17,25,2,4,1,0,21,0,21,16,3,3,20,15,1
Freie Wähler,16050,118,119,150,144,94,285,250,326,130,134,246,257,321,177,201,157,140,162,2,24,26,11,14,19,21,20,16,13,21,20,16,12,17,12,4,2,12,22,11,378,13,1,34,0,19,20,0,18,9,0,16,36,0,21,0,0,18,0,21,397,16,33,26,21,1,0,1,14,3,33,1,17,1,0,20,16,272,0,0,34,18,25,17,0,34,0,1,18,1,0,22,203,200,120,121,118,181,182,149,31,29,22,26,15,8,9,12,8,25,18,20,14,8,29,29,8,18,30,39,16,24,22,29,10,153,129,156,140,137,150,119,104,113,18,16,11,21,8,24,39,1,16,0,17,13,4,22,17,26,15,279,16,17,8,19,8,11,18,9,25,8,20,17,124,103,113,114,17,20,26,18,21,29,20,0,13,17,0,17,31,20,3,8,22,11,10,20,223,228,22,22,21,18,17,12,30,21,26,4,1,1,1,12,2,2,3,3,22,76,80,74,56,68,16,24,17,9,21,30,27,28,24,24,20,26,1,20,20,145,157,157,155,34,12,12,24,20,12,12,22,17,20,0,3,0,18,1,26,6,17,1,13,22,11,17,20,40,18,13,22,198,206,11,20,4,10,14,21,1,1,1,0,17,0,18,14,1,4,17,12,11
NPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DKP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
