rn,Wahlkreis 11 (alle Wahlbezirke),Albert-Schweitzer-Schule 712,Albert-Schweitzer-Schule 714,Ansverus-Haus Lübeck 719,Baltic GGS 402,Baltic GGS 403,Baltic GGS 404,Behlendorf 1321,Berkenthin 1322,Bliestorf 1323,Briefwahl Amt Berkenthin I 1390,Briefwahl Amt Berkenthin II 1391,Briefwahl Amt Sandesneben-Nusse 1490,Bugenhagen-Schule 503,Bugenhagen-Schule 504,Carl-Jacob-Burckhardt-Gymnasium 615,Carl-Jacob-Burckhardt-Gymnasium 619,Carl-Jacob-Burckhardt-Gymnasium 620,Carl-Jacob-Burckhardt-Gymnasium 621,DEKRA Akademie Lübeck 220,Dorfgemeinschaftshaus 602,Düchelsdorf 1324,Emil-Possehl-Schule 610,Entsorgungsbetriebe Lübeck 223,Ernestinenschule 103,Fachhochschule Lübeck 212,Freiwillige Feuerwehr 608,Freiwillige Feuerwehr Lübeck-Dänischburg 901,Freiwillige Feuerwehr Lübeck Dänischburg 901,Gemeinschaftshaus Brandenbaum 717,Gemeinschaftshaus Dornbreite 603,Gemeinschaftshaus Gärtnergasse 209,Geschwister-Prenski-Schule 701,Gesundheitsamt Lübeck 205,Gewerbeschule - Nahrung und Gastronomie 106,GGS St. Jürgen 207,GGS St. Jürgen 208,GGS St. Jürgen 210,GGS St. Jürgen 211,GGS St. Jürgen 222,GGS Stecknitz 218,Göldenitz 1325,Gotthard-Kühl-Schule 617,Gotthard-Kühl-Schule 618,Grinau 1401,Groß Boden 1402,Groß Schenkenberg 1403,Grundschule am Koggenweg 401,Grundschule am Koggenweg 405,Hanse-Schule für Wirtschaft und Verwaltung 101,Hanse-Schule für Wirtschaft und Verwaltung 107,Haus der kleinen Riesen 708,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 302,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 303,Heinrich-Mann-Schule Grund- Und Gemeinschaftsschule 303,Holstentor-Gemeinschaftsschule 507,Holstentor Gemeinschaftsschule 501,Holstentor Gemeinschaftsschule 502,Johanneum 105,Julius-Leber-Schule 614,Julius-Leber-Schule 616,Julius-Leber-Schule 622,Kahlhorst Schule / AS Niederbüssau 219,Kahlhorst Schule 206,Kahlhorst Schule 221,Kastorf 1326,Katharineum 102,KITA Haus Barbara 609,Klempau 1327,Klinkrade 1404,Krummesse 1328,Labenz 1405,Linau 1406,Lüchow 1407,Luther-Schule 505,Luther-Schule 506,Maria-Montessori-Schule 706,Marien-Schule 104,Marli-Hof 707,MGH 720,Mühlenweg-Schule 304,Mühlenweg-Schule 305,Niendorf b. Berkenthin. 1329,Paul-Gerhardt-Schule 604,Paul-Gerhardt-Schule 605,Paul-Gerhardt-Schule 606,Paul-Klee-Schule / AS Wulfsdorf 217,Paul-Klee-Schule 213,Paul-Klee-Schule 214,Paul-Klee-Schule 224,Pestalozzi-Schule 613,Rondeshagen 1330,Sandesneben 1408,Schiphorst 1409,Schönberg 1410,Schule am Meer 924,Schule am Meer 925,Schule am Meer 926,Schule am Meer 927,Schule am Stadtpark 702,Schule an der Wakenitz 718,Schule Eichholz 721,Schule Falkenfeld 611,Schule Grönauer Baum 215,Schule Grönauer Baum 216,Schule Lauerholz / AS Israelsdorf 704,Schule Lauerholz 703,Schule Lauerholz 705,Schule Marli 710,Schule Marli 711,Schule Niendorf 301,Schule Rangenberg 903,Schule Roter Hahn 904,Schule Roter Hahn 908,Schule Roter Hahn 909,Schule Schönböcken 601,Schule Tremser Teich 607,Schule Wilhelmshöhe 612,Schürensöhlen 1411,Seniorenwohnanlage Rosenhof 928,Siebenbäumen 1412,Sierksrade 1331,Sirksfelde 1413,Stadtschule Travemünde 922,Stadtschule Travemünde 923,Stadtverwaltung Verkehrsangelegenheiten 713,Steinhorst 1414,Stubben 1415,Thomas-Mann-Schule 709,Thomas-Mann-Schule 715,Thomas-Mann-Schule 716,Trave- Gymnasium 902,Trave-Gymnasium 902,Trave-Gymnasium 906,Trave-Gymnasium 907,Trave GGS 905,TSV Travemünde Clubhaus 921,Verwaltungszentrum 204,Volkshochschule 201,Volkshochschule 202,Volkshochschule 203,Wentorf A.S. 1416,Willy-Brand-Schule 801,Willy-Brandt-Schule 801,Willy-Brandt-Schule 802,Willy-Brandt-Schule 803
CDU,28266,258,169,88,185,146,170,68,238,63,216,206,462,163,199,171,175,125,151,228,230,26,290,223,128,80,117,59,147,240,311,492,360,332,169,217,370,171,247,164,173,71,242,251,32,25,41,192,309,110,248,187,165,103,38,173,118,123,159,143,131,144,212,265,140,127,121,69,93,77,216,123,215,34,164,201,463,155,266,205,178,126,29,268,156,185,171,188,227,245,189,96,205,92,194,287,512,282,446,416,196,220,178,422,306,390,185,351,228,240,254,317,303,141,144,183,188,190,24,397,67,42,32,360,371,115,64,57,412,132,225,111,71,176,163,246,181,248,189,345,378,71,62,112,226,283
SPD,44315,402,457,164,359,327,419,39,285,104,298,223,555,367,410,388,400,304,303,272,300,26,491,369,319,146,274,101,281,496,549,427,405,347,330,459,445,378,467,321,207,18,446,450,41,27,94,238,359,180,315,345,363,230,68,316,297,361,343,289,334,320,270,450,289,203,267,164,99,91,275,178,184,59,364,462,550,362,337,329,401,348,26,542,382,363,151,338,332,252,341,108,233,90,190,306,388,337,299,416,271,301,351,410,509,509,342,535,440,388,319,559,562,339,247,210,362,359,34,341,111,52,39,441,389,306,96,52,454,242,376,233,128,371,468,457,241,398,449,481,457,109,118,184,423,428
Grüne,27809,204,134,87,95,63,76,48,121,55,156,143,317,469,344,211,160,146,234,223,189,18,161,311,472,170,78,29,67,225,229,445,433,474,539,302,404,277,229,193,140,11,160,191,18,18,52,93,137,328,486,140,89,48,18,223,156,348,527,289,338,345,148,365,177,57,388,99,53,41,143,62,54,9,362,194,377,545,187,214,94,55,17,213,113,152,114,277,396,235,150,57,120,39,83,117,214,135,194,344,182,143,126,322,301,296,334,409,269,287,131,153,122,78,84,88,111,184,12,135,40,18,34,217,153,237,33,35,340,81,147,57,21,109,96,117,79,432,772,603,636,63,42,67,165,168
FDP,9700,81,43,23,56,41,75,26,110,17,80,59,196,116,95,90,71,71,81,96,77,5,73,75,72,41,46,14,58,88,117,100,80,94,63,89,95,74,62,60,47,12,90,90,12,19,42,41,89,48,84,60,47,31,12,83,63,76,66,80,81,70,64,106,57,71,62,40,32,27,75,50,79,16,75,75,98,67,66,74,75,49,14,103,83,84,58,97,90,88,86,34,102,24,83,77,133,65,111,101,45,56,69,94,94,89,58,102,75,85,70,87,115,37,42,77,100,78,13,75,33,18,21,116,88,77,29,28,88,32,63,46,13,57,74,85,46,88,73,98,104,32,20,29,62,75
Linke,4020,38,63,12,25,27,39,3,11,20,32,11,42,68,60,36,42,44,25,33,19,3,19,20,76,25,25,9,17,23,33,23,45,35,37,28,33,40,45,48,17,5,46,26,2,0,10,39,28,29,51,19,25,15,3,25,51,44,83,47,56,52,32,47,51,17,41,21,10,9,14,12,12,5,35,56,37,62,17,53,22,31,3,24,27,32,9,38,29,15,24,7,13,6,23,18,32,16,17,34,26,27,27,20,27,28,18,37,54,68,21,26,35,19,23,10,27,30,4,15,9,5,4,19,26,47,5,5,33,28,28,12,1,36,47,22,15,31,69,54,36,9,5,19,29,26
AfD,8538,76,93,28,65,89,94,15,87,16,66,34,116,65,65,76,84,65,54,86,88,7,95,59,34,24,67,13,67,85,75,40,51,41,31,81,63,47,67,48,30,7,100,96,9,5,23,78,67,26,60,56,98,59,14,49,77,98,42,72,71,73,58,51,53,44,25,43,22,31,47,38,50,26,51,92,60,40,65,83,133,100,11,84,70,94,33,71,30,46,63,31,71,36,70,73,88,54,71,48,52,68,95,42,74,69,52,61,89,82,106,106,124,71,69,39,93,77,5,60,20,23,16,79,68,70,20,19,64,83,62,48,10,70,130,81,39,52,33,37,34,22,18,83,100,100
Die.Partei,2193,23,23,5,8,9,10,3,12,9,15,6,26,26,29,22,13,19,23,22,6,2,15,7,28,11,13,9,12,15,23,20,15,16,36,33,22,30,19,9,10,0,31,21,2,0,5,9,13,23,24,7,18,5,11,12,32,39,31,21,39,35,10,41,22,12,36,16,3,8,13,6,9,5,19,17,14,24,5,22,12,16,1,14,20,29,9,19,13,7,19,5,12,2,14,17,14,12,6,15,10,11,16,10,20,12,5,21,21,36,20,13,19,12,12,12,15,18,2,7,4,2,1,16,14,25,9,3,21,10,15,7,4,14,17,8,8,22,23,21,31,2,4,8,20,22
Freie.Wähler,1788,13,12,1,12,11,19,5,17,5,15,16,34,20,18,19,8,14,14,29,19,1,16,11,10,7,7,2,20,16,22,9,10,7,12,15,12,8,16,17,16,5,14,21,0,1,3,18,14,6,15,13,15,11,4,7,16,18,9,21,13,10,21,6,14,6,13,10,4,9,20,6,6,3,12,12,13,8,11,16,17,6,1,18,11,17,13,7,5,9,21,5,19,10,11,14,22,7,8,9,15,13,9,10,19,21,14,17,22,25,15,26,24,16,13,14,14,18,0,11,5,2,2,28,9,18,5,4,13,7,11,7,3,18,21,16,6,11,13,17,9,5,7,14,12,20
NPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÖDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
