rn,Wahlkreis 11 (alle Wahlbezirke),Albert-Schweitzer-Schule 712,Albert-Schweitzer-Schule 714,Ansverus-Haus Lübeck 719,Baltic GGS 402,Baltic GGS 403,Baltic GGS 404,Behlendorf 1321,Berkenthin 1322,Bliestorf 1323,Briefwahl Amt Berkenthin I 1390,Briefwahl Amt Berkenthin II 1391,Briefwahl Amt Sandesneben-Nusse 1490,Bugenhagen-Schule 503,Bugenhagen-Schule 504,Carl-Jacob-Burckhardt-Gymnasium 615,Carl-Jacob-Burckhardt-Gymnasium 619,Carl-Jacob-Burckhardt-Gymnasium 620,Carl-Jacob-Burckhardt-Gymnasium 621,DEKRA Akademie Lübeck 220,Dorfgemeinschaftshaus 602,Düchelsdorf 1324,Emil-Possehl-Schule 610,Entsorgungsbetriebe Lübeck 223,Ernestinenschule 103,Fachhochschule Lübeck 212,Freiwillige Feuerwehr 608,Freiwillige Feuerwehr Lübeck-Dänischburg 901,Freiwillige Feuerwehr Lübeck Dänischburg 901,Gemeinschaftshaus Brandenbaum 717,Gemeinschaftshaus Dornbreite 603,Gemeinschaftshaus Gärtnergasse 209,Geschwister-Prenski-Schule 701,Gesundheitsamt Lübeck 205,Gewerbeschule - Nahrung und Gastronomie 106,GGS St. Jürgen 207,GGS St. Jürgen 208,GGS St. Jürgen 210,GGS St. Jürgen 211,GGS St. Jürgen 222,GGS Stecknitz 218,Göldenitz 1325,Gotthard-Kühl-Schule 617,Gotthard-Kühl-Schule 618,Grinau 1401,Groß Boden 1402,Groß Schenkenberg 1403,Grundschule am Koggenweg 401,Grundschule am Koggenweg 405,Hanse-Schule für Wirtschaft und Verwaltung 101,Hanse-Schule für Wirtschaft und Verwaltung 107,Haus der kleinen Riesen 708,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 302,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 303,Heinrich-Mann-Schule Grund- Und Gemeinschaftsschule 303,Holstentor-Gemeinschaftsschule 507,Holstentor Gemeinschaftsschule 501,Holstentor Gemeinschaftsschule 502,Johanneum 105,Julius-Leber-Schule 614,Julius-Leber-Schule 616,Julius-Leber-Schule 622,Kahlhorst Schule / AS Niederbüssau 219,Kahlhorst Schule 206,Kahlhorst Schule 221,Kastorf 1326,Katharineum 102,KITA Haus Barbara 609,Klempau 1327,Klinkrade 1404,Krummesse 1328,Labenz 1405,Linau 1406,Lüchow 1407,Luther-Schule 505,Luther-Schule 506,Maria-Montessori-Schule 706,Marien-Schule 104,Marli-Hof 707,MGH 720,Mühlenweg-Schule 304,Mühlenweg-Schule 305,Niendorf b. Berkenthin. 1329,Paul-Gerhardt-Schule 604,Paul-Gerhardt-Schule 605,Paul-Gerhardt-Schule 606,Paul-Klee-Schule / AS Wulfsdorf 217,Paul-Klee-Schule 213,Paul-Klee-Schule 214,Paul-Klee-Schule 224,Pestalozzi-Schule 613,Rondeshagen 1330,Sandesneben 1408,Schiphorst 1409,Schönberg 1410,Schule am Meer 924,Schule am Meer 925,Schule am Meer 926,Schule am Meer 927,Schule am Stadtpark 702,Schule an der Wakenitz 718,Schule Eichholz 721,Schule Falkenfeld 611,Schule Grönauer Baum 215,Schule Grönauer Baum 216,Schule Lauerholz / AS Israelsdorf 704,Schule Lauerholz 703,Schule Lauerholz 705,Schule Marli 710,Schule Marli 711,Schule Niendorf 301,Schule Rangenberg 903,Schule Roter Hahn 904,Schule Roter Hahn 908,Schule Roter Hahn 909,Schule Schönböcken 601,Schule Tremser Teich 607,Schule Wilhelmshöhe 612,Schürensöhlen 1411,Seniorenwohnanlage Rosenhof 928,Siebenbäumen 1412,Sierksrade 1331,Sirksfelde 1413,Stadtschule Travemünde 922,Stadtschule Travemünde 923,Stadtverwaltung Verkehrsangelegenheiten 713,Steinhorst 1414,Stubben 1415,Thomas-Mann-Schule 709,Thomas-Mann-Schule 715,Thomas-Mann-Schule 716,Trave- Gymnasium 902,Trave-Gymnasium 902,Trave-Gymnasium 906,Trave-Gymnasium 907,Trave GGS 905,TSV Travemünde Clubhaus 921,Verwaltungszentrum 204,Volkshochschule 201,Volkshochschule 202,Volkshochschule 203,Wentorf A.S. 1416,Willy-Brand-Schule 801,Willy-Brandt-Schule 801,Willy-Brandt-Schule 802,Willy-Brandt-Schule 803
CDU,21.8,23.1,16.5,20.7,22.7,20.1,18.6,31.9,26.5,20.9,23.9,28.8,25.7,12.2,15.7,16.4,18.1,15.4,16.7,22.7,24.4,29.5,24.6,20.3,10.9,15.1,18.2,24.6,21.5,19.7,22.3,31.1,25,24,13.3,17.3,25.1,16.2,21.1,18.5,26.3,53.4,20.9,21.5,27.4,24.8,14.9,26.4,29.9,14.1,18.7,22.3,19.8,20.1,21.5,19.2,14,10.7,12.2,14.3,12,13.3,25.4,19.3,17,23.2,12.2,14.6,28.9,25.7,26.5,25.6,35,21.4,14.8,17.8,28.2,11.9,27.2,19.8,18.6,16.9,27.9,20.6,17.7,19,29.6,17.8,19.9,26.8,20.8,27,26,30.2,28.4,30.9,35.2,30.4,37.5,29.2,23.8,25.4,19.9,31.3,22,27,17.8,22.3,18.6,19.1,26.8,23.9,22.7,19.4,22,28.1,20.2,19.4,24.5,37.3,22.9,25.3,21.2,27.3,32.1,12.5,24.2,27.5,28.4,20.7,23.8,21.1,27.7,20.1,15.6,23.4,28.7,18.9,11.2,20.4,22,21.9,22.2,21.4,21.2,24.6
SPD,34.1,36.1,44.7,38.5,44,44.9,45.8,18.3,31.8,34.4,32.9,31.2,30.9,27.6,32.4,37.2,41.3,37.4,33.5,27,31.9,29.5,41.6,33.5,27.2,27.5,42.6,42.1,41.1,40.7,39.4,27,28.1,25.1,26.1,36.6,30.2,35.9,39.9,36.2,31.4,13.5,38.4,38.5,35,26.7,34.1,32.8,34.8,23.1,23.8,41.2,43.5,44.8,38.4,35,35.1,31.4,26.3,29,30.6,29.5,32.3,32.8,35.1,37.1,26.9,34.6,30.7,30.3,33.7,37.1,29.9,37.1,32.9,40.9,33.6,27.7,34.5,31.8,42,46.6,25,41.6,43.3,37.2,26.1,32,29.2,27.6,37.5,30.4,29.6,29.5,27.9,32.9,26.7,36.4,25.2,29.2,32.9,34.8,39.3,30.4,36.7,35.3,32.9,34,35.8,30.8,33.6,42.2,42.1,46.6,37.7,32.3,39,36.7,34.7,32.1,38,31.3,25.8,33.4,33.7,33.4,36.2,25.1,31.3,37.9,39.8,44.2,50,42.4,44.9,43.5,38.3,30.3,26.6,28.4,26.6,33.6,42.3,35.2,39.6,37.2
Grüne,21.4,18.3,13.1,20.4,11.7,8.7,8.3,22.5,13.5,18.2,17.2,20,17.7,35.2,27.2,20.2,16.5,18,25.9,22.2,20.1,20.5,13.6,28.2,40.2,32.1,12.1,12.1,9.8,18.5,16.4,28.1,30,34.2,42.6,24.1,27.4,26.3,19.6,21.8,21.2,8.3,13.8,16.3,15.4,17.8,18.8,12.8,13.3,42.1,36.7,16.7,10.7,9.4,10.2,24.7,18.5,30.3,40.4,29,31,31.8,17.7,26.6,21.5,10.4,39.2,20.9,16.5,13.7,17.5,12.9,8.8,5.7,32.7,17.2,23,41.7,19.1,20.7,9.8,7.4,16.3,16.4,12.8,15.6,19.7,26.2,34.8,25.7,16.5,16.1,15.2,12.8,12.2,12.6,14.7,14.6,16.3,24.1,22.1,16.5,14.1,23.9,21.7,20.5,32.2,26,21.9,22.8,13.8,11.5,9.1,10.7,12.8,13.5,11.9,18.8,12.2,12.7,13.7,10.8,22.5,16.5,13.3,25.8,12.5,16.9,23.4,12.7,15.6,10.8,8.2,12.4,9.2,11.1,12.5,32.9,45.7,35.6,37,19.4,15.1,12.8,15.5,14.6
FDP,7.5,7.3,4.2,5.4,6.9,5.6,8.2,12.2,12.3,5.6,8.8,8.3,10.9,8.7,7.5,8.6,7.3,8.7,9,9.5,8.2,5.7,6.2,6.8,6.1,7.7,7.2,5.8,8.5,7.2,8.4,6.3,5.5,6.8,5,7.1,6.4,7,5.3,6.8,7.1,9,7.8,7.7,10.3,18.8,15.2,5.6,8.6,6.2,6.3,7.2,5.6,6,6.8,9.2,7.5,6.6,5.1,8,7.4,6.5,7.7,7.7,6.9,13,6.3,8.4,9.9,9,9.2,10.4,12.8,10.1,6.8,6.6,6,5.1,6.7,7.2,7.9,6.6,13.5,7.9,9.4,8.6,10,9.2,7.9,9.6,9.5,9.6,12.9,7.9,12.2,8.3,9.1,7,9.3,7.1,5.5,6.5,7.7,7,6.8,6.2,5.6,6.5,6.1,6.8,7.4,6.6,8.6,5.1,6.4,11.8,10.8,8,13.3,7.1,11.3,10.8,13.9,8.8,7.6,8.4,10.9,13.5,6.1,5,6.7,8.7,5.1,6.5,7.1,8.1,7.3,6.7,4.3,5.8,6,9.9,7.2,5.5,5.8,6.5
Linke,3.1,3.4,6.2,2.8,3.1,3.7,4.3,1.4,1.2,6.6,3.5,1.5,2.3,5.1,4.7,3.5,4.3,5.4,2.8,3.3,2,3.4,1.6,1.8,6.5,4.7,3.9,3.8,2.5,1.9,2.4,1.5,3.1,2.5,2.9,2.2,2.2,3.8,3.8,5.4,2.6,3.8,4,2.2,1.7,0,3.6,5.4,2.7,3.7,3.8,2.3,3,2.9,1.7,2.8,6,3.8,6.4,4.7,5.1,4.8,3.8,3.4,6.2,3.1,4.1,4.4,3.1,3,1.7,2.5,2,3.1,3.2,5,2.3,4.7,1.7,5.1,2.3,4.2,2.9,1.8,3.1,3.3,1.6,3.6,2.5,1.6,2.6,2,1.6,2,3.4,1.9,2.2,1.7,1.4,2.4,3.2,3.1,3,1.5,1.9,1.9,1.7,2.3,4.4,5.4,2.2,2,2.6,2.6,3.5,1.5,2.9,3.1,4.1,1.4,3.1,3,2.6,1.4,2.3,5.1,1.9,2.4,2.3,4.4,3,2.3,0.4,4.1,4.5,2.1,2.4,2.4,4.1,3.2,2.1,2.8,1.8,3.6,2.7,2.3
AfD,6.6,6.8,9.1,6.6,8,12.2,10.3,7,9.7,5.3,7.3,4.8,6.5,4.9,5.1,7.3,8.7,8,6,8.5,9.4,8,8,5.4,2.9,4.5,10.4,5.4,9.8,7,5.4,2.5,3.5,3,2.4,6.5,4.3,4.5,5.7,5.4,4.6,5.3,8.6,8.2,7.7,5,8.3,10.7,6.5,3.3,4.5,6.7,11.7,11.5,7.9,5.4,9.1,8.5,3.2,7.2,6.5,6.7,6.9,3.7,6.4,8,2.5,9.1,6.8,10.3,5.8,7.9,8.1,16.4,4.6,8.1,3.7,3.1,6.6,8,13.9,13.4,10.6,6.5,7.9,9.6,5.7,6.7,2.6,5,6.9,8.7,9,11.8,10.3,7.9,6.1,5.8,6,3.4,6.3,7.9,10.6,3.1,5.3,4.8,5,3.9,7.2,6.5,11.2,8,9.3,9.8,10.5,6,10,7.9,5.1,5.6,6.8,13.9,10.6,6,5.9,7.6,7.5,9.2,4.4,13,6.6,9.1,3.9,8,12.5,7.7,6.2,4,2,2.2,2,6.8,6.5,15.9,9.4,8.7
Die.Partei,1.7,2.1,2.2,1.2,1,1.2,1.1,1.4,1.3,3,1.7,0.8,1.4,2,2.3,2.1,1.3,2.3,2.5,2.2,0.6,2.3,1.3,0.6,2.4,2.1,2,3.8,1.8,1.2,1.6,1.3,1,1.2,2.8,2.6,1.5,2.8,1.6,1,1.5,0,2.7,1.8,1.7,0,1.8,1.2,1.3,2.9,1.8,0.8,2.2,1,6.2,1.3,3.8,3.4,2.4,2.1,3.6,3.2,1.2,3,2.7,2.2,3.6,3.4,0.9,2.7,1.6,1.2,1.5,3.1,1.7,1.5,0.9,1.8,0.5,2.1,1.3,2.1,1,1.1,2.3,3,1.6,1.8,1.1,0.8,2.1,1.4,1.5,0.7,2.1,1.8,1,1.3,0.5,1.1,1.2,1.3,1.8,0.7,1.4,0.8,0.5,1.3,1.7,2.9,2.1,1,1.4,1.7,1.8,1.8,1.6,1.8,2,0.7,1.4,1.2,0.7,1.2,1.2,2.7,3.4,1.4,1.4,1.6,1.6,1.3,1.6,1.6,1.6,0.8,1.3,1.7,1.4,1.2,1.8,0.6,1.4,1.5,1.9,1.9
Freie.Wähler,1.4,1.2,1.2,0.2,1.5,1.5,2.1,2.3,1.9,1.7,1.7,2.2,1.9,1.5,1.4,1.8,0.8,1.7,1.5,2.9,2,1.1,1.4,1,0.9,1.3,1.1,0.8,2.9,1.3,1.6,0.6,0.7,0.5,0.9,1.2,0.8,0.8,1.4,1.9,2.4,3.8,1.2,1.8,0,1,1.1,2.5,1.4,0.8,1.1,1.6,1.8,2.1,2.3,0.8,1.9,1.6,0.7,2.1,1.2,0.9,2.5,0.4,1.7,1.1,1.3,2.1,1.2,3,2.5,1.2,1,1.9,1.1,1.1,0.8,0.6,1.1,1.5,1.8,0.8,1,1.4,1.2,1.7,2.2,0.7,0.4,1,2.3,1.4,2.4,3.3,1.6,1.5,1.5,0.8,0.7,0.6,1.8,1.5,1,0.7,1.4,1.5,1.3,1.1,1.8,2,1.6,2,1.8,2.2,2,2.2,1.5,1.8,0,1,1.7,1.2,1.3,2.1,0.8,2,1.9,1.9,0.9,1.1,1.2,1.3,1.2,2.1,2,1.5,1,0.8,0.8,1,0.5,1.5,2.5,2.7,1.1,1.7
NPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÖDP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
