rn,Wahlkreis 56 (alle Wahlbezirke),Amt Bad Wilsnack/Weisen/Briefwahlbezirk 9120,Amt Bad Wilsnack/Weisen/Briefwahlbezirk 9121,Amt Friesack/Briefwahlbezirk 9127,Amt Friesack/Briefwahlbezirk 9128,Amt Lenzen-Elbtalaue/Briefwahlbezirk 9122,Amt Lindow (Mark)/Briefwahlbezirk 9134,Amt Meyenburg/Briefwahlbezirk 9123,Amt Nennhausen/Briefwahlbezirk 9104,Amt Neustadt (Dosse)/Briefwahlbezirk 9141,Amt Neustadt (Dosse)/Briefwahlbezirk 9142,Amt Putlitz-Berge/Briefwahlbezirk 9124,Amt Putlitz-Berge/Briefwahlbezirk 9125,Amt Rhinow/Briefwahlbezirk 9126,Amt Temnitz/Briefwahlbezirk 9145,Amt Temnitz/Briefwahlbezirk 9155,Fehrbellin/Briefwahlbezirk 9129,Fehrbellin/Briefwahlbezirk 9130,Fehrbellin/Briefwahlbezirk 9153,Fehrbellin/Urnenwahlbezirk 2001,Fehrbellin/Urnenwahlbezirk 2002,Fehrbellin/Urnenwahlbezirk 2003,Fehrbellin/Urnenwahlbezirk 2004,Fehrbellin/Urnenwahlbezirk 2005,Fehrbellin/Urnenwahlbezirk 2006,Fehrbellin/Urnenwahlbezirk 2007,Fehrbellin/Urnenwahlbezirk 2008,Fehrbellin/Urnenwahlbezirk 2009,Fehrbellin/Urnenwahlbezirk 2010,Fehrbellin/Urnenwahlbezirk 2011,Fehrbellin/Urnenwahlbezirk 2012,Fehrbellin/Urnenwahlbezirk 2013,Fehrbellin/Urnenwahlbezirk 2014,Fehrbellin/Urnenwahlbezirk 2015,Fehrbellin/Urnenwahlbezirk 2016,Fehrbellin/Urnenwahlbezirk 2017,Fehrbellin/Urnenwahlbezirk 2018,Fehrbellin/Urnenwahlbezirk 2019,Fehrbellin/Urnenwahlbezirk 2020,Fehrbellin/Urnenwahlbezirk 2021,Groß Pankow (Prignitz)/Briefwahlbezirk 9115,Groß Pankow (Prignitz)/Urnenwahlbezirk 1401,Groß Pankow (Prignitz)/Urnenwahlbezirk 1403,Groß Pankow (Prignitz)/Urnenwahlbezirk 1404,Groß Pankow (Prignitz)/Urnenwahlbezirk 1405,Groß Pankow (Prignitz)/Urnenwahlbezirk 1406,Groß Pankow (Prignitz)/Urnenwahlbezirk 1407,Groß Pankow (Prignitz)/Urnenwahlbezirk 1408,Groß Pankow (Prignitz)/Urnenwahlbezirk 1409,Groß Pankow (Prignitz)/Urnenwahlbezirk 1410,Groß Pankow (Prignitz)/Urnenwahlbezirk 1411,Groß Pankow (Prignitz)/Urnenwahlbezirk 1412,Groß Pankow (Prignitz)/Urnenwahlbezirk 1413,Groß Pankow (Prignitz)/Urnenwahlbezirk 1414,Groß Pankow (Prignitz)/Urnenwahlbezirk 1415,Groß Pankow (Prignitz)/Urnenwahlbezirk 1416,Groß Pankow (Prignitz)/Urnenwahlbezirk 1417,Groß Pankow (Prignitz)/Urnenwahlbezirk 1418,Groß Pankow (Prignitz)/Urnenwahlbezirk 1419,Groß Pankow (Prignitz)/Urnenwahlbezirk 1420,Gumtow/Briefwahlbezirk 9116,Gumtow/Urnenwahlbezirk 1501,Gumtow/Urnenwahlbezirk 1502,Gumtow/Urnenwahlbezirk 1503,Gumtow/Urnenwahlbezirk 1504,Gumtow/Urnenwahlbezirk 1505,Gumtow/Urnenwahlbezirk 1506,Gumtow/Urnenwahlbezirk 1507,Gumtow/Urnenwahlbezirk 1508,Gumtow/Urnenwahlbezirk 1509,Gumtow/Urnenwahlbezirk 1510,Gumtow/Urnenwahlbezirk 1511,Gumtow/Urnenwahlbezirk 1512,Gumtow/Urnenwahlbezirk 1513,Gumtow/Urnenwahlbezirk 1514,Gumtow/Urnenwahlbezirk 1515,Gumtow/Urnenwahlbezirk 1516,Heiligengrabe/Briefwahlbezirk 9131,Heiligengrabe/Urnenwahlbezirk 8031,Heiligengrabe/Urnenwahlbezirk 8032,Heiligengrabe/Urnenwahlbezirk 8033,Heiligengrabe/Urnenwahlbezirk 8034,Heiligengrabe/Urnenwahlbezirk 8035,Heiligengrabe/Urnenwahlbezirk 8036,Heiligengrabe/Urnenwahlbezirk 8037,Heiligengrabe/Urnenwahlbezirk 8038,Heiligengrabe/Urnenwahlbezirk 8039,Heiligengrabe/Urnenwahlbezirk 8040,Heiligengrabe/Urnenwahlbezirk 8041,Heiligengrabe/Urnenwahlbezirk 8042,Heiligengrabe/Urnenwahlbezirk 8043,Heiligengrabe/Urnenwahlbezirk 8044,Karstädt/Briefwahlbezirk 9117,Karstädt/Briefwahlbezirk 9118,Kyritz/Briefwahlbezirk 9132,Kyritz/Briefwahlbezirk 9133,Kyritz/Briefwahlbezirk 9154,Nauen/Briefwahlbezirk 9101,Nauen/Briefwahlbezirk 9102,Nauen/Briefwahlbezirk 9103,Nauen/Urnenwahlbezirk 1,Nauen/Urnenwahlbezirk 10,Nauen/Urnenwahlbezirk 11,Nauen/Urnenwahlbezirk 12,Nauen/Urnenwahlbezirk 13,Nauen/Urnenwahlbezirk 14,Nauen/Urnenwahlbezirk 15,Nauen/Urnenwahlbezirk 16,Nauen/Urnenwahlbezirk 17,Nauen/Urnenwahlbezirk 18,Nauen/Urnenwahlbezirk 19,Nauen/Urnenwahlbezirk 2,Nauen/Urnenwahlbezirk 20,Nauen/Urnenwahlbezirk 21,Nauen/Urnenwahlbezirk 22,Nauen/Urnenwahlbezirk 23,Nauen/Urnenwahlbezirk 24,Nauen/Urnenwahlbezirk 25,Nauen/Urnenwahlbezirk 3,Nauen/Urnenwahlbezirk 4,Nauen/Urnenwahlbezirk 5,Nauen/Urnenwahlbezirk 6,Nauen/Urnenwahlbezirk 7,Nauen/Urnenwahlbezirk 8,Nauen/Urnenwahlbezirk 9,Neuruppin/Briefwahlbezirk 9135,Neuruppin/Briefwahlbezirk 9136,Neuruppin/Briefwahlbezirk 9137,Neuruppin/Briefwahlbezirk 9138,Neuruppin/Briefwahlbezirk 9139,Neuruppin/Briefwahlbezirk 9140,Perleberg/Briefwahlbezirk 9105,Perleberg/Briefwahlbezirk 9106,Perleberg/Briefwahlbezirk 9107,Perleberg/Urnenwahlbezirk 1101,Perleberg/Urnenwahlbezirk 1102,Perleberg/Urnenwahlbezirk 1103,Perleberg/Urnenwahlbezirk 1104,Perleberg/Urnenwahlbezirk 1105,Perleberg/Urnenwahlbezirk 1106,Perleberg/Urnenwahlbezirk 1107,Perleberg/Urnenwahlbezirk 1108,Perleberg/Urnenwahlbezirk 1109,Perleberg/Urnenwahlbezirk 1110,Perleberg/Urnenwahlbezirk 1111,Perleberg/Urnenwahlbezirk 1112,Perleberg/Urnenwahlbezirk 1113,Perleberg/Urnenwahlbezirk 1114,Perleberg/Urnenwahlbezirk 1115,Perleberg/Urnenwahlbezirk 1116,Perleberg/Urnenwahlbezirk 1117,Plattenburg/Briefwahlbezirk 9119,Plattenburg/Urnenwahlbezirk 1701,Plattenburg/Urnenwahlbezirk 1702,Plattenburg/Urnenwahlbezirk 1703,Plattenburg/Urnenwahlbezirk 1704,Plattenburg/Urnenwahlbezirk 1705,Plattenburg/Urnenwahlbezirk 1706,Plattenburg/Urnenwahlbezirk 1707,Plattenburg/Urnenwahlbezirk 1709,Plattenburg/Urnenwahlbezirk 1710,Plattenburg/Urnenwahlbezirk 1711,Plattenburg/Urnenwahlbezirk 1712,Plattenburg/Urnenwahlbezirk 1713,Pritzwalk/Briefwahlbezirk 9108,Pritzwalk/Briefwahlbezirk 9109,Pritzwalk/Briefwahlbezirk 9110,Pritzwalk/Briefwahlbezirk 9151,Pritzwalk/Urnenwahlbezirk 1201,Pritzwalk/Urnenwahlbezirk 1202,Pritzwalk/Urnenwahlbezirk 1203,Pritzwalk/Urnenwahlbezirk 1204,Pritzwalk/Urnenwahlbezirk 1205,Pritzwalk/Urnenwahlbezirk 1206,Pritzwalk/Urnenwahlbezirk 1207,Pritzwalk/Urnenwahlbezirk 1208,Pritzwalk/Urnenwahlbezirk 1209,Pritzwalk/Urnenwahlbezirk 1210,Pritzwalk/Urnenwahlbezirk 1211,Pritzwalk/Urnenwahlbezirk 1212,Pritzwalk/Urnenwahlbezirk 1213,Pritzwalk/Urnenwahlbezirk 1214,Pritzwalk/Urnenwahlbezirk 1215,Pritzwalk/Urnenwahlbezirk 1216,Pritzwalk/Urnenwahlbezirk 1217,Pritzwalk/Urnenwahlbezirk 1218,Pritzwalk/Urnenwahlbezirk 1219,Pritzwalk/Urnenwahlbezirk 1220,Rheinsberg/Briefwahlbezirk 9143,Rheinsberg/Briefwahlbezirk 9144,Rheinsberg/Urnenwahlbezirk 4021,Rheinsberg/Urnenwahlbezirk 4022,Rheinsberg/Urnenwahlbezirk 4023,Rheinsberg/Urnenwahlbezirk 4025,Rheinsberg/Urnenwahlbezirk 4027,Rheinsberg/Urnenwahlbezirk 4028,Rheinsberg/Urnenwahlbezirk 4029,Rheinsberg/Urnenwahlbezirk 4030,Rheinsberg/Urnenwahlbezirk 4031,Rheinsberg/Urnenwahlbezirk 4032,Rheinsberg/Urnenwahlbezirk 4033,Rheinsberg/Urnenwahlbezirk 4034,Rheinsberg/Urnenwahlbezirk 4035,Rheinsberg/Urnenwahlbezirk 4036,Rheinsberg/Urnenwahlbezirk 4037,Rheinsberg/Urnenwahlbezirk 4038,Rheinsberg/Urnenwahlbezirk 4039,Rheinsberg/Urnenwahlbezirk 4040,Rheinsberg/Urnenwahlbezirk 4042,Wittenberge/Briefwahlbezirk 9111,Wittenberge/Briefwahlbezirk 9112,Wittenberge/Briefwahlbezirk 9113,Wittenberge/Briefwahlbezirk 9114,Wittenberge/Briefwahlbezirk 9152,Wittenberge/Urnenwahlbezirk 1301,Wittenberge/Urnenwahlbezirk 1302,Wittenberge/Urnenwahlbezirk 1303,Wittenberge/Urnenwahlbezirk 1304,Wittenberge/Urnenwahlbezirk 1305,Wittenberge/Urnenwahlbezirk 1306,Wittenberge/Urnenwahlbezirk 1307,Wittenberge/Urnenwahlbezirk 1308,Wittenberge/Urnenwahlbezirk 1309,Wittenberge/Urnenwahlbezirk 1310,Wittenberge/Urnenwahlbezirk 1311,Wittenberge/Urnenwahlbezirk 1312,Wittenberge/Urnenwahlbezirk 1313,Wittenberge/Urnenwahlbezirk 1314,Wittenberge/Urnenwahlbezirk 1315,Wittstock/Dosse/Briefwahlbezirk 9146,Wittstock/Dosse/Briefwahlbezirk 9147,Wittstock/Dosse/Briefwahlbezirk 9148,Wittstock/Dosse/Briefwahlbezirk 9149,Wittstock/Dosse/Urnenwahlbezirk 8001,Wittstock/Dosse/Urnenwahlbezirk 8002,Wittstock/Dosse/Urnenwahlbezirk 8003,Wittstock/Dosse/Urnenwahlbezirk 8004,Wittstock/Dosse/Urnenwahlbezirk 8005,Wittstock/Dosse/Urnenwahlbezirk 8006,Wittstock/Dosse/Urnenwahlbezirk 8007,Wittstock/Dosse/Urnenwahlbezirk 8008,Wittstock/Dosse/Urnenwahlbezirk 8009,Wittstock/Dosse/Urnenwahlbezirk 8010,Wittstock/Dosse/Urnenwahlbezirk 8011,Wittstock/Dosse/Urnenwahlbezirk 8012,Wittstock/Dosse/Urnenwahlbezirk 8013,Wittstock/Dosse/Urnenwahlbezirk 8014,Wittstock/Dosse/Urnenwahlbezirk 8015,Wittstock/Dosse/Urnenwahlbezirk 8016,Wittstock/Dosse/Urnenwahlbezirk 8017,Wittstock/Dosse/Urnenwahlbezirk 8018,Wittstock/Dosse/Urnenwahlbezirk 8019,Wittstock/Dosse/Urnenwahlbezirk 8020,Wittstock/Dosse/Urnenwahlbezirk 8021,Wittstock/Dosse/Urnenwahlbezirk 8022,Wittstock/Dosse/Urnenwahlbezirk 8023,Wittstock/Dosse/Urnenwahlbezirk 8024,Wittstock/Dosse/Urnenwahlbezirk 8025,Wittstock/Dosse/Urnenwahlbezirk 8026,Wittstock/Dosse/Urnenwahlbezirk 8027,Wittstock/Dosse/Urnenwahlbezirk 8028,Wusterhausen/Dosse/Briefwahlbezirk 9150,Wusterhausen/Dosse/Briefwahlbezirk 9156,Wusterhausen/Dosse/Urnenwahlbezirk 7001,Wusterhausen/Dosse/Urnenwahlbezirk 7002,Wusterhausen/Dosse/Urnenwahlbezirk 7003,Wusterhausen/Dosse/Urnenwahlbezirk 7004,Wusterhausen/Dosse/Urnenwahlbezirk 7005,Wusterhausen/Dosse/Urnenwahlbezirk 7006,Wusterhausen/Dosse/Urnenwahlbezirk 7007,Wusterhausen/Dosse/Urnenwahlbezirk 7008,Wusterhausen/Dosse/Urnenwahlbezirk 7009,Wusterhausen/Dosse/Urnenwahlbezirk 7010,Wusterhausen/Dosse/Urnenwahlbezirk 7011,Wusterhausen/Dosse/Urnenwahlbezirk 7012,Wusterhausen/Dosse/Urnenwahlbezirk 7013,Wusterhausen/Dosse/Urnenwahlbezirk 7014,Wusterhausen/Dosse/Urnenwahlbezirk 7016,Wusterhausen/Dosse/Urnenwahlbezirk 7017,Wusterhausen/Dosse/Urnenwahlbezirk 7018,Wusterhausen/Dosse/Urnenwahlbezirk 7019,Wusterhausen/Dosse/Urnenwahlbezirk 7021
CDU,31314,226,233,297,282,183,556,491,633,261,264,479,501,634,346,383,311,285,332,5,47,50,23,32,40,41,40,33,28,42,41,34,32,36,24,1,5,25,43,24,764,29,0,69,0,37,38,1,38,21,3,34,70,0,43,8,0,38,0,42,781,33,65,54,41,1,0,13,30,1,67,1,34,0,5,40,32,539,1,0,67,38,50,36,0,66,1,4,37,13,0,46,402,393,241,247,235,355,365,301,62,59,43,52,30,2,21,25,2,50,37,40,30,2,58,56,2,37,59,76,32,49,45,56,23,300,250,306,284,271,291,232,212,221,36,33,23,43,18,46,75,0,33,1,34,3,1,43,36,51,31,553,32,36,2,41,2,23,38,19,50,2,39,35,250,204,223,222,34,41,53,37,43,60,41,0,29,35,1,35,61,40,1,18,44,23,24,40,438,447,44,45,41,36,34,24,59,42,52,3,4,4,2,26,1,6,1,4,45,150,158,149,141,136,32,47,33,20,41,58,56,54,46,46,38,52,0,39,39,289,313,310,306,66,24,26,45,40,24,24,45,33,40,3,1,5,37,1,53,1,34,4,28,44,22,34,38,82,38,27,45,385,415,23,40,6,24,30,43,4,1,1,1,35,1,36,30,1,1,33,25,1
SPD,25700,185,190,243,232,150,456,402,518,214,217,393,411,518,283,314,255,234,271,5,37,41,17,24,32,32,32,26,21,33,33,26,25,29,18,4,3,19,35,18,627,22,5,56,0,30,31,5,29,15,5,25,57,0,34,3,0,30,0,34,640,25,53,43,32,3,0,2,23,8,55,9,27,0,1,32,26,441,13,0,55,31,40,29,2,54,5,2,29,3,0,37,329,322,197,202,192,290,300,247,51,48,34,42,23,8,15,19,8,41,30,32,23,8,48,46,8,30,48,63,26,39,36,46,17,245,204,251,233,222,239,189,174,181,28,24,17,34,13,37,62,3,24,1,27,2,4,35,28,42,23,452,25,29,8,33,8,17,30,14,42,8,31,28,205,167,182,182,27,33,44,29,35,49,32,1,22,28,4,28,50,32,1,13,35,17,18,32,358,366,35,36,32,28,27,18,49,33,42,5,2,3,2,20,1,8,5,3,36,122,130,121,115,111,25,37,27,14,33,48,46,44,37,37,30,43,2,31,31,238,256,254,250,55,18,19,36,32,18,18,36,26,32,2,8,4,30,1,44,1,27,7,21,35,17,27,31,68,30,20,36,316,340,17,32,4,18,23,34,1,4,1,2,28,0,29,23,4,1,26,19,0
Grüne,18455,132,136,173,165,107,325,286,369,153,154,279,293,370,202,223,181,166,193,1,27,29,12,17,22,23,23,19,15,24,23,18,18,21,13,3,8,13,25,13,446,16,5,40,0,21,22,0,20,11,0,18,41,0,24,3,0,21,5,24,456,18,38,31,23,0,5,1,16,0,39,0,19,5,5,23,18,314,3,10,39,22,29,20,20,39,1,3,21,8,0,26,234,229,141,144,137,207,214,175,37,35,24,30,16,8,11,13,8,29,21,23,16,8,34,33,8,21,35,45,18,28,26,33,12,174,146,178,166,158,170,135,124,129,20,17,12,24,9,26,44,0,17,4,19,3,2,25,20,29,17,322,18,20,8,23,8,12,22,10,29,8,22,20,146,119,130,130,19,23,31,21,25,35,23,3,15,20,4,20,36,23,0,9,25,12,13,23,255,261,25,25,23,20,19,13,35,24,29,2,2,1,5,14,5,5,2,3,26,87,92,87,82,79,18,27,19,10,23,35,33,31,26,26,21,30,5,22,22,169,183,181,178,39,13,14,26,23,13,13,26,19,23,0,1,3,21,7,31,3,19,3,15,25,12,19,22,48,22,15,26,225,242,12,23,1,13,16,24,1,3,2,7,20,0,21,16,3,2,19,13,0
FDP,20466,149,153,195,186,121,366,323,416,172,173,315,330,416,228,251,204,187,218,3,30,32,14,20,25,26,25,21,17,27,26,21,20,23,15,5,1,15,28,14,502,18,0,45,0,24,25,1,23,12,0,20,46,0,27,8,0,24,2,27,513,20,43,35,26,0,0,6,18,3,44,0,22,0,1,25,20,353,1,0,44,25,32,23,1,44,3,1,24,3,0,30,264,258,159,162,154,233,240,197,41,39,27,33,18,3,12,15,3,32,24,26,19,3,39,37,3,24,39,50,21,31,29,37,14,196,164,201,187,178,191,152,140,145,23,19,14,27,10,29,50,2,19,13,22,4,5,28,23,33,19,363,20,23,3,26,3,13,24,11,33,3,25,23,165,135,147,146,22,26,34,24,28,39,26,0,17,22,3,22,41,25,3,10,28,14,14,26,287,295,28,29,26,23,22,14,39,27,33,1,2,1,2,16,1,2,2,2,29,98,104,97,93,89,20,30,21,12,26,39,37,35,30,29,24,34,0,25,25,190,206,203,200,44,14,16,29,26,15,15,29,21,25,3,3,1,24,3,34,0,22,1,17,28,13,21,25,54,24,16,29,253,272,14,26,1,15,19,27,6,1,3,0,22,0,23,18,1,1,21,15,3
Linke,22934,166,171,219,208,135,409,361,466,192,194,352,370,466,255,281,229,210,244,1,34,38,16,22,28,29,28,24,19,30,29,23,23,26,16,2,4,17,31,16,563,20,0,51,0,27,28,1,26,14,3,23,51,10,31,1,0,27,3,30,575,22,48,39,29,5,0,1,21,23,49,13,25,0,0,28,23,396,1,0,49,27,36,26,5,49,0,2,26,5,0,33,295,288,177,182,173,261,268,222,46,44,31,39,20,1,14,17,1,38,27,29,21,1,43,42,1,27,43,56,23,35,32,42,15,221,184,225,210,199,215,170,156,162,26,22,15,31,11,33,56,1,22,6,24,3,8,31,25,39,21,406,22,26,1,29,1,15,27,13,38,1,28,25,184,151,164,163,24,29,40,26,31,44,29,9,20,25,2,25,45,28,3,12,31,15,16,29,322,329,32,32,29,26,24,16,44,30,39,7,3,8,2,18,1,3,3,4,33,110,116,109,103,100,23,34,24,13,30,43,41,41,33,33,27,40,3,28,28,214,231,228,225,49,16,17,32,29,16,17,33,24,28,2,6,8,27,4,41,2,25,3,19,32,15,24,27,61,27,18,32,283,305,16,29,3,16,21,31,3,4,2,0,25,9,26,21,6,3,24,17,2
AfD,28650,205,211,269,257,166,504,445,574,237,240,434,455,574,315,347,282,259,301,2,44,45,19,27,38,39,38,32,24,40,39,28,31,35,20,5,7,21,41,20,693,24,0,62,0,36,37,2,32,17,0,28,63,0,41,8,0,36,0,40,709,28,59,51,39,1,0,8,25,2,61,0,33,0,3,38,31,488,3,0,60,37,48,35,1,60,3,4,36,1,0,44,364,356,219,225,213,322,331,273,56,54,41,47,25,3,17,21,3,45,36,39,26,3,53,51,3,36,53,69,31,46,43,51,19,271,227,277,258,246,264,210,192,200,34,27,19,41,14,43,69,3,27,3,33,12,3,41,34,47,26,501,27,35,3,39,3,19,37,16,46,3,37,34,227,185,202,201,33,39,48,36,41,54,39,3,24,34,2,34,56,38,9,14,42,19,20,38,398,406,42,43,39,35,33,20,54,40,47,2,1,3,2,22,1,6,1,3,43,136,144,135,128,124,31,44,32,16,39,53,50,49,44,44,36,47,1,37,38,263,285,281,277,60,20,21,43,38,20,20,43,32,38,1,3,3,36,3,48,3,33,6,23,42,19,33,37,75,36,23,43,349,377,19,39,8,20,26,41,9,2,1,0,34,1,35,25,3,3,32,21,2
Tierschutzpartei,15979,116,119,153,146,94,287,253,326,135,136,246,258,326,178,196,160,147,171,5,23,25,11,15,20,20,20,16,13,21,21,16,16,18,12,1,2,12,22,11,393,14,0,35,8,19,19,0,18,10,5,16,35,0,21,1,0,19,0,21,402,16,33,27,20,0,0,0,14,1,34,1,17,2,0,20,16,276,0,0,34,19,25,18,4,33,0,0,18,1,0,23,206,201,123,128,120,182,188,155,31,30,21,26,14,2,10,12,2,25,19,20,15,2,29,28,2,19,30,40,16,25,23,29,11,154,129,157,147,140,150,119,109,113,18,15,11,21,8,23,39,4,15,1,17,3,1,22,18,26,15,284,15,18,2,21,2,11,19,9,25,2,20,18,129,105,114,114,17,20,27,18,22,30,20,4,14,18,0,18,31,20,0,8,22,11,11,20,226,231,22,22,20,18,17,11,30,21,26,3,2,6,2,13,1,1,6,1,23,77,81,76,73,70,16,23,17,9,21,30,28,27,23,23,19,26,0,19,20,149,161,159,157,34,11,12,23,20,11,12,23,17,20,0,0,1,19,0,27,1,17,0,13,22,11,17,19,43,19,13,23,198,214,11,20,2,11,14,21,0,6,0,0,18,0,18,14,1,6,16,12,1
Die Partei,14072,102,104,134,128,83,250,221,285,117,118,216,226,285,156,172,140,129,149,1,21,22,10,13,17,18,17,14,12,18,18,14,14,16,10,1,1,10,19,10,344,12,0,30,0,16,17,0,16,8,1,14,31,0,19,1,5,17,0,19,351,14,29,24,18,0,0,0,13,2,29,1,15,3,0,17,14,242,0,0,29,17,22,16,0,29,3,0,16,3,5,20,181,177,108,111,105,160,164,136,27,26,19,23,12,3,9,10,3,22,16,18,13,3,26,25,3,16,26,35,14,21,20,25,9,135,112,138,129,121,132,104,95,99,16,13,9,19,7,20,35,3,13,3,15,5,0,19,15,23,13,249,14,16,3,18,3,9,17,8,22,3,17,15,112,92,100,100,15,18,24,16,19,26,18,3,12,15,6,15,27,17,0,7,19,9,10,17,197,201,19,20,18,16,15,10,26,18,23,2,3,2,3,11,1,1,1,1,20,67,71,67,64,62,14,21,15,8,18,26,24,24,20,20,17,23,0,17,17,131,141,140,138,29,10,11,20,17,10,10,20,15,17,0,3,4,16,1,24,0,15,6,12,19,9,15,17,38,17,11,20,173,186,10,18,8,10,13,19,1,1,1,0,15,0,16,13,3,8,14,10,0
Freie Wähler,12396,88,91,116,110,72,218,191,247,102,103,187,195,247,136,150,121,111,130,1,18,19,8,12,15,16,15,13,10,16,16,12,12,14,9,1,1,9,16,8,299,10,0,26,0,14,15,0,14,7,3,12,27,0,16,3,0,14,5,16,305,12,25,20,15,0,0,5,11,0,26,4,13,0,0,15,12,211,0,0,26,15,19,14,0,25,5,1,14,1,0,18,157,153,94,96,92,139,143,117,24,23,16,20,11,8,7,9,8,19,14,15,11,8,22,22,8,14,23,29,12,19,17,22,8,116,97,119,111,105,114,90,83,86,13,12,8,16,6,17,29,1,12,0,13,1,3,17,13,20,11,216,12,14,8,16,8,8,15,7,19,8,15,13,98,80,87,87,13,16,20,14,17,23,15,0,10,13,0,13,24,15,2,6,17,8,8,15,171,175,17,17,16,13,13,9,23,16,20,5,1,2,1,10,3,1,1,1,17,59,62,58,55,54,12,18,13,7,16,22,21,21,18,17,14,20,1,15,15,113,123,120,119,26,9,9,17,15,9,9,17,13,15,1,3,8,14,3,20,0,13,0,10,17,8,13,15,32,14,10,17,150,162,8,15,1,9,11,16,1,2,1,0,13,0,14,11,0,0,13,9,0
NPD,10449,76,78,99,95,62,186,165,213,88,89,161,168,213,116,129,104,96,111,1,15,16,7,10,13,13,13,11,9,14,13,11,10,12,8,1,1,8,14,7,257,9,0,23,0,12,13,0,12,6,0,10,23,0,14,1,0,12,0,14,262,10,21,18,13,0,0,1,9,0,22,3,11,0,0,13,10,181,0,0,22,12,17,12,0,22,3,3,12,4,0,15,135,132,81,83,79,119,122,101,20,19,14,17,9,1,6,8,1,16,12,13,9,1,19,19,1,12,19,25,11,16,15,19,7,100,84,103,95,91,98,78,71,74,12,10,7,14,5,15,25,1,10,7,11,3,1,14,12,17,10,185,10,12,1,13,1,7,12,6,17,1,13,11,84,69,75,75,11,13,18,12,14,20,13,0,9,11,5,11,20,13,8,5,14,7,7,13,147,151,14,15,13,12,11,7,20,14,17,1,2,1,1,8,3,2,3,1,15,51,53,50,48,46,10,15,11,6,14,19,18,18,15,15,12,17,5,13,13,97,105,104,102,22,7,8,15,13,7,8,15,11,13,0,1,0,12,0,18,4,11,0,9,14,7,11,12,27,12,8,15,130,140,7,13,3,7,9,14,1,1,0,0,11,0,12,9,3,3,11,8,1
DKP,8967,65,67,85,81,53,159,141,181,75,76,137,144,181,99,109,89,82,95,1,13,14,6,9,11,11,11,9,7,12,11,9,9,10,6,1,1,7,12,6,219,8,0,19,0,10,11,0,10,5,0,9,20,0,12,6,0,10,0,12,223,9,18,15,11,0,0,3,8,0,19,1,10,0,0,11,9,154,0,0,19,11,14,10,0,19,1,1,10,3,0,13,115,112,69,71,67,101,104,86,17,17,12,14,8,3,5,6,3,14,10,11,8,3,16,16,3,10,16,22,9,14,12,16,6,86,72,87,81,77,83,66,61,63,10,8,6,12,4,13,21,0,8,1,9,1,5,12,10,14,8,158,9,10,3,11,3,6,11,5,14,3,11,10,72,59,64,64,9,11,15,10,12,17,11,4,8,10,5,10,17,11,1,4,12,6,6,11,126,128,12,12,11,10,9,6,17,12,14,1,3,1,1,7,2,3,2,2,13,43,46,43,41,39,9,13,9,5,11,16,16,15,13,13,10,15,1,11,11,83,89,88,87,19,6,7,13,11,6,6,13,9,11,0,3,3,10,0,15,0,10,1,7,12,6,9,11,23,11,7,12,110,118,6,11,1,6,8,12,1,1,0,0,10,0,10,8,1,0,9,7,0
