rn,Wahlkreis 56 (alle Wahlbezirke),Amt Bad Wilsnack/Weisen (Briefwahlbezirk 9120),Amt Bad Wilsnack/Weisen (Briefwahlbezirk 9121),Amt Friesack (Briefwahlbezirk 9127),Amt Friesack (Briefwahlbezirk 9128),Amt Lenzen-Elbtalaue (Briefwahlbezirk 9122),Amt Lindow (Mark) (Briefwahlbezirk 9134),Amt Meyenburg (Briefwahlbezirk 9123),Amt Nennhausen (Briefwahlbezirk 9104),Amt Neustadt (Dosse) (Briefwahlbezirk 9141),Amt Neustadt (Dosse) (Briefwahlbezirk 9142),Amt Putlitz-Berge (Briefwahlbezirk 9124),Amt Putlitz-Berge (Briefwahlbezirk 9125),Amt Rhinow (Briefwahlbezirk 9126),Amt Temnitz (Briefwahlbezirk 9145),Amt Temnitz (Briefwahlbezirk 9155),Fehrbellin (Urnenwahlbezirk 2001),Fehrbellin (Urnenwahlbezirk 2002),Fehrbellin (Urnenwahlbezirk 2003),Fehrbellin (Urnenwahlbezirk 2004),Fehrbellin (Urnenwahlbezirk 2005),Fehrbellin (Urnenwahlbezirk 2006),Fehrbellin (Urnenwahlbezirk 2007),Fehrbellin (Urnenwahlbezirk 2008),Fehrbellin (Urnenwahlbezirk 2009),Fehrbellin (Urnenwahlbezirk 2010),Fehrbellin (Urnenwahlbezirk 2011),Fehrbellin (Urnenwahlbezirk 2012),Fehrbellin (Urnenwahlbezirk 2013),Fehrbellin (Urnenwahlbezirk 2014),Fehrbellin (Urnenwahlbezirk 2015),Fehrbellin (Urnenwahlbezirk 2016),Fehrbellin (Urnenwahlbezirk 2017),Fehrbellin (Urnenwahlbezirk 2018),Fehrbellin (Urnenwahlbezirk 2019),Fehrbellin (Urnenwahlbezirk 2020),Fehrbellin (Urnenwahlbezirk 2021),Fehrbellin (Briefwahlbezirk 9129),Fehrbellin (Briefwahlbezirk 9130),Fehrbellin (Briefwahlbezirk 9153),Groß Pankow (Prignitz) (Urnenwahlbezirk 1401),Groß Pankow (Prignitz) (Urnenwahlbezirk 1403),Groß Pankow (Prignitz) (Urnenwahlbezirk 1404),Groß Pankow (Prignitz) (Urnenwahlbezirk 1405),Groß Pankow (Prignitz) (Urnenwahlbezirk 1406),Groß Pankow (Prignitz) (Urnenwahlbezirk 1407),Groß Pankow (Prignitz) (Urnenwahlbezirk 1408),Groß Pankow (Prignitz) (Urnenwahlbezirk 1409),Groß Pankow (Prignitz) (Urnenwahlbezirk 1410),Groß Pankow (Prignitz) (Urnenwahlbezirk 1411),Groß Pankow (Prignitz) (Urnenwahlbezirk 1412),Groß Pankow (Prignitz) (Urnenwahlbezirk 1413),Groß Pankow (Prignitz) (Urnenwahlbezirk 1414),Groß Pankow (Prignitz) (Urnenwahlbezirk 1415),Groß Pankow (Prignitz) (Urnenwahlbezirk 1416),Groß Pankow (Prignitz) (Urnenwahlbezirk 1417),Groß Pankow (Prignitz) (Urnenwahlbezirk 1418),Groß Pankow (Prignitz) (Urnenwahlbezirk 1419),Groß Pankow (Prignitz) (Urnenwahlbezirk 1420),Groß Pankow (Prignitz) (Briefwahlbezirk 9115),Gumtow (Urnenwahlbezirk 1501),Gumtow (Urnenwahlbezirk 1502),Gumtow (Urnenwahlbezirk 1503),Gumtow (Urnenwahlbezirk 1504),Gumtow (Urnenwahlbezirk 1505),Gumtow (Urnenwahlbezirk 1506),Gumtow (Urnenwahlbezirk 1507),Gumtow (Urnenwahlbezirk 1508),Gumtow (Urnenwahlbezirk 1509),Gumtow (Urnenwahlbezirk 1510),Gumtow (Urnenwahlbezirk 1511),Gumtow (Urnenwahlbezirk 1512),Gumtow (Urnenwahlbezirk 1513),Gumtow (Urnenwahlbezirk 1514),Gumtow (Urnenwahlbezirk 1515),Gumtow (Urnenwahlbezirk 1516),Gumtow (Briefwahlbezirk 9116),Heiligengrabe (Urnenwahlbezirk 8031),Heiligengrabe (Urnenwahlbezirk 8032),Heiligengrabe (Urnenwahlbezirk 8033),Heiligengrabe (Urnenwahlbezirk 8034),Heiligengrabe (Urnenwahlbezirk 8035),Heiligengrabe (Urnenwahlbezirk 8036),Heiligengrabe (Urnenwahlbezirk 8037),Heiligengrabe (Urnenwahlbezirk 8038),Heiligengrabe (Urnenwahlbezirk 8039),Heiligengrabe (Urnenwahlbezirk 8040),Heiligengrabe (Urnenwahlbezirk 8041),Heiligengrabe (Urnenwahlbezirk 8042),Heiligengrabe (Urnenwahlbezirk 8043),Heiligengrabe (Urnenwahlbezirk 8044),Heiligengrabe (Briefwahlbezirk 9131),Karstädt (Briefwahlbezirk 9117),Karstädt (Briefwahlbezirk 9118),Kyritz (Briefwahlbezirk 9132),Kyritz (Briefwahlbezirk 9133),Kyritz (Briefwahlbezirk 9154),Nauen (Urnenwahlbezirk 1),Nauen (Urnenwahlbezirk 2),Nauen (Urnenwahlbezirk 3),Nauen (Urnenwahlbezirk 4),Nauen (Urnenwahlbezirk 5),Nauen (Urnenwahlbezirk 6),Nauen (Urnenwahlbezirk 7),Nauen (Urnenwahlbezirk 8),Nauen (Urnenwahlbezirk 9),Nauen (Urnenwahlbezirk 10),Nauen (Urnenwahlbezirk 11),Nauen (Urnenwahlbezirk 12),Nauen (Urnenwahlbezirk 13),Nauen (Urnenwahlbezirk 14),Nauen (Urnenwahlbezirk 15),Nauen (Urnenwahlbezirk 16),Nauen (Urnenwahlbezirk 17),Nauen (Urnenwahlbezirk 18),Nauen (Urnenwahlbezirk 19),Nauen (Urnenwahlbezirk 20),Nauen (Urnenwahlbezirk 21),Nauen (Urnenwahlbezirk 22),Nauen (Urnenwahlbezirk 23),Nauen (Urnenwahlbezirk 24),Nauen (Urnenwahlbezirk 25),Nauen (Briefwahlbezirk 9101),Nauen (Briefwahlbezirk 9102),Nauen (Briefwahlbezirk 9103),Neuruppin (Briefwahlbezirk 9135),Neuruppin (Briefwahlbezirk 9136),Neuruppin (Briefwahlbezirk 9137),Neuruppin (Briefwahlbezirk 9138),Neuruppin (Briefwahlbezirk 9139),Neuruppin (Briefwahlbezirk 9140),Perleberg (Urnenwahlbezirk 1101),Perleberg (Urnenwahlbezirk 1102),Perleberg (Urnenwahlbezirk 1103),Perleberg (Urnenwahlbezirk 1104),Perleberg (Urnenwahlbezirk 1105),Perleberg (Urnenwahlbezirk 1106),Perleberg (Urnenwahlbezirk 1107),Perleberg (Urnenwahlbezirk 1108),Perleberg (Urnenwahlbezirk 1109),Perleberg (Urnenwahlbezirk 1110),Perleberg (Urnenwahlbezirk 1111),Perleberg (Urnenwahlbezirk 1112),Perleberg (Urnenwahlbezirk 1113),Perleberg (Urnenwahlbezirk 1114),Perleberg (Urnenwahlbezirk 1115),Perleberg (Urnenwahlbezirk 1116),Perleberg (Urnenwahlbezirk 1117),Perleberg (Briefwahlbezirk 9105),Perleberg (Briefwahlbezirk 9106),Perleberg (Briefwahlbezirk 9107),Plattenburg (Urnenwahlbezirk 1701),Plattenburg (Urnenwahlbezirk 1702),Plattenburg (Urnenwahlbezirk 1703),Plattenburg (Urnenwahlbezirk 1704),Plattenburg (Urnenwahlbezirk 1705),Plattenburg (Urnenwahlbezirk 1706),Plattenburg (Urnenwahlbezirk 1707),Plattenburg (Urnenwahlbezirk 1709),Plattenburg (Urnenwahlbezirk 1710),Plattenburg (Urnenwahlbezirk 1711),Plattenburg (Urnenwahlbezirk 1712),Plattenburg (Urnenwahlbezirk 1713),Plattenburg (Briefwahlbezirk 9119),Pritzwalk (Urnenwahlbezirk 1201),Pritzwalk (Urnenwahlbezirk 1202),Pritzwalk (Urnenwahlbezirk 1203),Pritzwalk (Urnenwahlbezirk 1204),Pritzwalk (Urnenwahlbezirk 1205),Pritzwalk (Urnenwahlbezirk 1206),Pritzwalk (Urnenwahlbezirk 1207),Pritzwalk (Urnenwahlbezirk 1208),Pritzwalk (Urnenwahlbezirk 1209),Pritzwalk (Urnenwahlbezirk 1210),Pritzwalk (Urnenwahlbezirk 1211),Pritzwalk (Urnenwahlbezirk 1212),Pritzwalk (Urnenwahlbezirk 1213),Pritzwalk (Urnenwahlbezirk 1214),Pritzwalk (Urnenwahlbezirk 1215),Pritzwalk (Urnenwahlbezirk 1216),Pritzwalk (Urnenwahlbezirk 1217),Pritzwalk (Urnenwahlbezirk 1218),Pritzwalk (Urnenwahlbezirk 1219),Pritzwalk (Urnenwahlbezirk 1220),Pritzwalk (Briefwahlbezirk 9108),Pritzwalk (Briefwahlbezirk 9109),Pritzwalk (Briefwahlbezirk 9110),Pritzwalk (Briefwahlbezirk 9151),Rheinsberg (Urnenwahlbezirk 4021),Rheinsberg (Urnenwahlbezirk 4022),Rheinsberg (Urnenwahlbezirk 4023),Rheinsberg (Urnenwahlbezirk 4025),Rheinsberg (Urnenwahlbezirk 4027),Rheinsberg (Urnenwahlbezirk 4028),Rheinsberg (Urnenwahlbezirk 4029),Rheinsberg (Urnenwahlbezirk 4030),Rheinsberg (Urnenwahlbezirk 4031),Rheinsberg (Urnenwahlbezirk 4032),Rheinsberg (Urnenwahlbezirk 4033),Rheinsberg (Urnenwahlbezirk 4034),Rheinsberg (Urnenwahlbezirk 4035),Rheinsberg (Urnenwahlbezirk 4036),Rheinsberg (Urnenwahlbezirk 4037),Rheinsberg (Urnenwahlbezirk 4038),Rheinsberg (Urnenwahlbezirk 4039),Rheinsberg (Urnenwahlbezirk 4040),Rheinsberg (Urnenwahlbezirk 4042),Rheinsberg (Briefwahlbezirk 9143),Rheinsberg (Briefwahlbezirk 9144),Wittenberge (Urnenwahlbezirk 1301),Wittenberge (Urnenwahlbezirk 1302),Wittenberge (Urnenwahlbezirk 1303),Wittenberge (Urnenwahlbezirk 1304),Wittenberge (Urnenwahlbezirk 1305),Wittenberge (Urnenwahlbezirk 1306),Wittenberge (Urnenwahlbezirk 1307),Wittenberge (Urnenwahlbezirk 1308),Wittenberge (Urnenwahlbezirk 1309),Wittenberge (Urnenwahlbezirk 1310),Wittenberge (Urnenwahlbezirk 1311),Wittenberge (Urnenwahlbezirk 1312),Wittenberge (Urnenwahlbezirk 1313),Wittenberge (Urnenwahlbezirk 1314),Wittenberge (Urnenwahlbezirk 1315),Wittenberge (Briefwahlbezirk 9111),Wittenberge (Briefwahlbezirk 9112),Wittenberge (Briefwahlbezirk 9113),Wittenberge (Briefwahlbezirk 9114),Wittenberge (Briefwahlbezirk 9152),Wittstock/Dosse (Urnenwahlbezirk 8001),Wittstock/Dosse (Urnenwahlbezirk 8002),Wittstock/Dosse (Urnenwahlbezirk 8003),Wittstock/Dosse (Urnenwahlbezirk 8004),Wittstock/Dosse (Urnenwahlbezirk 8005),Wittstock/Dosse (Urnenwahlbezirk 8006),Wittstock/Dosse (Urnenwahlbezirk 8007),Wittstock/Dosse (Urnenwahlbezirk 8008),Wittstock/Dosse (Urnenwahlbezirk 8009),Wittstock/Dosse (Urnenwahlbezirk 8010),Wittstock/Dosse (Urnenwahlbezirk 8011),Wittstock/Dosse (Urnenwahlbezirk 8012),Wittstock/Dosse (Urnenwahlbezirk 8013),Wittstock/Dosse (Urnenwahlbezirk 8014),Wittstock/Dosse (Urnenwahlbezirk 8015),Wittstock/Dosse (Urnenwahlbezirk 8016),Wittstock/Dosse (Urnenwahlbezirk 8017),Wittstock/Dosse (Urnenwahlbezirk 8018),Wittstock/Dosse (Urnenwahlbezirk 8019),Wittstock/Dosse (Urnenwahlbezirk 8020),Wittstock/Dosse (Urnenwahlbezirk 8021),Wittstock/Dosse (Urnenwahlbezirk 8022),Wittstock/Dosse (Urnenwahlbezirk 8023),Wittstock/Dosse (Urnenwahlbezirk 8024),Wittstock/Dosse (Urnenwahlbezirk 8025),Wittstock/Dosse (Urnenwahlbezirk 8026),Wittstock/Dosse (Urnenwahlbezirk 8027),Wittstock/Dosse (Urnenwahlbezirk 8028),Wittstock/Dosse (Briefwahlbezirk 9146),Wittstock/Dosse (Briefwahlbezirk 9147),Wittstock/Dosse (Briefwahlbezirk 9148),Wittstock/Dosse (Briefwahlbezirk 9149),Wusterhausen/Dosse (Urnenwahlbezirk 7001),Wusterhausen/Dosse (Urnenwahlbezirk 7002),Wusterhausen/Dosse (Urnenwahlbezirk 7003),Wusterhausen/Dosse (Urnenwahlbezirk 7004),Wusterhausen/Dosse (Urnenwahlbezirk 7005),Wusterhausen/Dosse (Urnenwahlbezirk 7006),Wusterhausen/Dosse (Urnenwahlbezirk 7007),Wusterhausen/Dosse (Urnenwahlbezirk 7008),Wusterhausen/Dosse (Urnenwahlbezirk 7009),Wusterhausen/Dosse (Urnenwahlbezirk 7010),Wusterhausen/Dosse (Urnenwahlbezirk 7011),Wusterhausen/Dosse (Urnenwahlbezirk 7012),Wusterhausen/Dosse (Urnenwahlbezirk 7013),Wusterhausen/Dosse (Urnenwahlbezirk 7014),Wusterhausen/Dosse (Urnenwahlbezirk 7016),Wusterhausen/Dosse (Urnenwahlbezirk 7017),Wusterhausen/Dosse (Urnenwahlbezirk 7018),Wusterhausen/Dosse (Urnenwahlbezirk 7019),Wusterhausen/Dosse (Urnenwahlbezirk 7021),Wusterhausen/Dosse (Briefwahlbezirk 9150),Wusterhausen/Dosse (Briefwahlbezirk 9156)
CDU,19416,109,122,66,72,181,173,118,115,112,147,46,70,94,78,67,15,23,15,11,56,46,38,18,21,35,60,25,39,16,23,21,16,13,48,29,38,100,68,71,8,14,27,0,16,24,10,15,15,11,46,9,11,18,10,0,15,15,24,86,26,29,31,13,13,2,0,24,0,25,6,40,6,0,43,34,103,17,6,62,13,50,26,5,26,19,22,19,19,16,47,91,83,75,126,115,53,32,51,38,40,21,28,45,38,21,19,35,53,67,11,18,39,14,44,63,32,23,79,30,23,31,149,142,158,137,149,149,103,174,205,82,93,65,54,27,32,9,22,24,28,20,17,14,40,73,79,49,142,107,85,21,14,7,50,20,25,21,33,12,22,17,23,80,103,41,44,55,48,70,52,0,37,33,0,18,10,11,0,26,13,15,15,28,125,66,127,78,55,59,52,48,31,18,21,5,24,18,13,8,11,10,16,5,7,8,46,162,122,71,66,63,89,82,69,66,44,69,84,89,93,17,25,52,75,53,88,61,125,39,14,37,32,11,20,33,2,25,19,16,14,17,17,16,33,24,40,3,51,43,36,55,42,42,67,41,72,86,89,108,134,31,23,0,4,15,28,8,0,0,0,30,20,47,25,10,17,88,125,0,69,85
SPD,41162,248,185,157,209,268,302,234,270,200,249,92,145,224,152,116,12,36,24,20,89,77,78,42,26,52,71,39,91,44,69,35,25,19,83,60,68,238,148,166,27,19,59,0,46,38,16,40,43,31,90,21,25,51,16,0,33,26,35,161,44,67,45,32,22,14,0,31,0,62,18,26,12,0,97,38,190,34,31,116,30,99,32,19,48,30,21,28,7,38,70,190,160,192,266,206,117,48,122,123,93,136,72,143,93,85,77,74,121,148,18,39,96,30,110,135,75,29,95,62,36,76,384,330,294,311,365,404,404,409,455,137,192,185,128,79,30,35,26,26,24,34,23,20,111,120,154,136,286,211,282,42,14,27,163,16,42,32,36,24,19,51,34,104,211,91,206,137,97,182,167,0,64,58,0,44,46,39,0,54,40,38,37,61,288,239,224,166,164,121,91,135,52,58,48,34,42,34,34,15,39,26,25,15,21,25,75,399,215,157,165,222,298,265,155,157,105,187,214,179,197,36,55,70,253,236,262,126,339,95,31,48,50,32,30,33,19,59,29,17,17,31,30,25,41,28,46,35,143,158,90,127,84,82,123,103,153,168,198,246,234,59,44,0,23,23,39,26,0,0,0,71,42,59,60,30,16,152,229,0,114,142
Grüne,7677,60,44,51,45,44,88,45,74,51,70,22,32,65,54,38,2,16,6,15,16,14,10,13,2,13,12,14,14,7,9,0,9,12,27,10,22,53,37,38,5,5,3,0,2,6,2,4,4,3,6,3,1,4,8,0,7,4,11,43,9,12,5,4,4,1,0,3,0,18,5,4,1,0,15,8,46,9,1,7,3,4,6,3,6,7,2,7,12,2,14,31,27,38,50,36,26,18,7,23,41,25,15,41,10,17,9,10,23,44,1,9,22,11,14,24,7,7,23,8,7,12,109,71,90,139,150,148,65,102,106,44,22,15,14,10,7,10,10,5,0,2,4,2,8,12,23,10,53,50,29,7,3,1,34,4,3,0,6,6,3,5,9,43,22,6,15,14,14,22,24,0,7,1,0,5,4,5,0,1,6,0,1,6,38,18,54,29,20,20,26,18,5,4,9,2,13,5,3,2,4,4,2,5,3,2,10,68,72,32,11,17,32,34,26,21,20,28,16,15,25,6,9,6,51,23,54,27,44,14,3,3,6,8,6,9,12,10,4,3,7,7,7,5,9,0,2,2,18,15,14,16,10,3,27,14,20,46,17,31,51,16,8,0,3,1,3,6,0,0,0,9,6,10,10,1,1,23,34,0,43,33
FDP,9071,63,50,27,40,72,70,54,54,40,55,21,36,53,38,25,4,15,6,3,28,20,15,9,8,10,14,19,17,12,19,6,11,3,21,6,16,69,44,46,4,5,13,0,13,8,23,9,5,5,21,2,1,10,5,0,8,1,8,48,5,21,10,4,3,5,0,7,0,18,8,5,3,0,8,8,29,7,2,28,10,29,13,9,9,2,3,4,4,17,17,33,26,35,54,38,20,20,23,24,35,20,16,46,28,12,11,11,33,51,13,13,14,12,23,34,9,14,27,13,10,13,68,80,78,61,93,62,43,96,86,62,51,37,44,12,10,5,7,14,8,11,7,4,18,30,44,17,81,53,47,10,16,3,25,3,10,7,7,6,5,15,6,44,57,12,18,26,28,37,39,0,10,14,0,17,8,5,0,11,9,10,8,12,73,47,42,26,21,28,25,18,12,14,13,6,6,3,5,4,2,8,6,2,9,4,28,75,58,37,24,15,27,43,40,29,29,24,21,45,45,10,16,23,62,19,44,14,68,11,2,14,13,8,5,5,3,3,6,7,2,5,8,5,3,2,20,8,23,15,15,22,23,26,39,29,33,30,23,29,58,29,9,0,7,8,12,8,0,0,0,10,9,16,15,6,5,42,42,0,43,28
Linke,9754,52,53,47,44,73,96,76,50,57,63,25,39,62,36,17,2,7,3,9,17,20,15,4,10,16,12,15,28,9,15,15,7,6,12,21,21,45,30,34,3,6,12,0,12,3,2,7,8,3,25,8,6,15,5,0,6,3,9,38,23,15,14,6,2,3,0,2,0,15,10,2,5,0,13,6,44,9,5,24,12,25,9,10,8,5,10,10,7,9,17,45,32,31,60,63,22,14,34,31,23,26,9,37,27,23,9,13,28,28,5,11,7,8,21,22,17,5,20,7,8,14,88,61,77,93,99,94,83,82,96,53,52,42,52,17,18,1,6,16,5,13,5,5,27,30,44,39,79,72,69,12,2,6,50,4,17,11,9,9,5,1,7,30,46,27,39,35,12,41,41,0,11,7,0,10,7,4,0,16,6,8,6,13,59,59,51,33,21,28,24,38,13,7,13,9,13,4,4,15,3,8,3,5,2,5,37,72,67,37,32,36,55,44,23,31,48,45,34,39,40,6,11,15,59,42,76,36,60,16,10,15,9,9,8,10,8,18,6,10,6,6,6,6,15,8,11,8,40,37,22,32,17,12,35,55,33,52,44,52,63,19,7,0,6,2,11,7,0,0,0,15,5,12,16,8,4,34,50,0,30,50
AfD,23220,82,69,65,53,91,102,99,133,53,109,52,73,106,58,52,15,26,32,9,48,63,52,13,45,46,40,35,67,29,45,22,16,20,57,47,44,109,68,53,37,15,41,0,20,9,12,14,19,20,56,20,7,36,4,0,31,9,13,71,14,47,61,21,9,25,0,29,0,42,19,18,26,0,38,29,80,26,45,65,35,89,37,34,30,41,23,42,13,29,62,71,64,58,88,71,38,57,90,88,110,66,53,105,75,65,54,87,63,110,27,29,48,18,74,77,46,28,103,65,26,50,184,152,116,71,87,87,73,97,141,112,88,85,95,48,38,25,17,42,15,27,20,10,56,93,75,52,107,75,78,10,18,11,110,25,28,26,17,20,8,19,29,45,113,70,107,63,77,111,90,0,38,44,0,35,37,36,0,40,18,56,34,27,72,56,72,74,84,78,55,106,51,34,37,15,26,23,16,11,19,28,18,15,14,22,88,98,94,139,103,76,79,124,99,116,98,75,105,89,101,11,33,72,75,46,79,48,107,97,27,40,56,12,28,17,10,22,31,19,19,23,24,11,33,23,52,25,94,80,89,93,118,101,110,91,118,92,74,86,90,53,8,0,19,31,22,18,0,0,0,30,15,33,35,20,9,70,128,0,52,43
Tierschutzpartei,2556,21,11,15,20,3,26,19,16,10,15,14,10,10,16,1,2,0,3,4,8,4,3,2,2,6,5,5,6,5,1,3,7,2,6,3,6,15,12,12,1,0,1,0,4,2,0,1,1,5,8,0,0,1,0,0,2,2,1,10,4,5,4,2,3,1,0,1,0,1,2,1,0,0,4,4,9,5,0,9,1,7,4,2,3,1,2,0,1,1,3,18,6,9,18,7,13,7,13,9,16,8,5,9,7,10,13,6,10,19,2,2,2,4,10,8,5,4,8,8,4,8,36,37,27,22,12,21,13,22,23,11,6,6,16,2,2,0,0,2,1,2,0,0,5,8,8,3,13,10,10,0,1,0,8,1,2,4,3,4,3,2,3,8,6,8,4,10,9,17,12,0,5,6,0,4,0,0,0,5,0,5,2,4,4,8,14,8,10,7,6,14,4,5,1,1,0,0,3,0,2,3,0,2,2,2,7,23,6,12,11,2,13,10,13,11,12,9,15,12,5,1,3,2,21,12,14,7,14,9,0,2,6,0,1,2,1,5,1,1,0,0,3,1,5,0,1,0,7,7,5,15,9,8,12,9,10,17,6,20,14,7,1,0,0,2,0,0,0,0,0,5,2,6,3,4,1,11,14,0,5,10
Die Partei,1371,9,9,3,1,9,8,4,7,7,5,6,3,4,5,3,0,1,3,1,5,5,5,4,2,3,0,3,5,1,1,0,0,0,3,3,2,4,4,1,1,0,1,0,2,0,0,4,0,0,8,1,0,5,0,0,2,5,2,3,2,3,3,0,1,2,0,0,0,4,2,0,1,0,1,0,7,4,1,1,1,2,4,0,0,1,0,3,1,1,5,10,3,8,10,9,2,4,4,5,7,4,0,9,5,7,6,7,2,11,0,0,2,0,3,3,1,0,3,1,2,4,11,8,9,15,5,12,7,10,6,9,9,2,8,1,2,1,0,3,0,1,2,0,5,0,6,3,10,7,4,1,0,1,10,0,1,1,2,1,0,1,1,5,8,7,7,7,2,10,7,0,2,2,0,1,0,2,0,1,0,1,1,0,5,11,12,2,5,2,3,7,0,2,2,0,1,1,0,1,0,0,2,0,0,1,3,6,5,10,5,3,4,5,16,10,12,11,7,9,6,1,1,1,10,1,8,4,6,1,0,1,2,0,0,0,2,1,2,2,1,0,0,1,0,1,3,0,5,4,2,7,5,3,6,7,2,7,6,7,15,1,1,0,2,1,3,0,0,0,0,2,1,2,2,0,0,4,1,0,7,3
Freie Wähler,3062,20,18,8,11,17,23,26,25,8,17,12,10,23,15,5,2,4,1,2,11,9,7,0,4,9,6,1,11,6,7,5,1,1,6,9,3,20,13,13,2,0,4,0,0,3,4,2,4,1,7,1,0,4,2,0,5,3,0,21,4,4,2,2,2,0,0,7,0,7,3,1,0,0,1,2,11,2,2,7,5,5,6,0,14,1,3,8,1,5,3,15,5,3,19,8,10,2,10,12,8,7,6,7,8,2,7,5,5,14,6,8,5,1,7,12,4,6,9,9,7,9,31,26,20,12,26,19,14,23,34,17,18,12,14,4,4,1,0,3,6,9,2,2,3,9,8,6,28,13,20,2,0,3,22,5,6,8,0,2,2,5,5,16,19,10,10,15,11,14,9,0,5,6,0,6,1,10,0,7,6,9,4,1,21,11,24,11,8,7,4,10,4,1,7,1,1,5,4,2,0,6,1,2,1,0,13,32,28,9,5,8,9,17,6,8,25,14,14,8,11,1,3,7,7,12,17,9,16,11,1,5,2,1,4,1,0,1,7,5,3,2,1,3,6,0,3,2,5,7,4,6,4,8,7,8,16,11,19,9,29,5,1,0,3,1,3,2,0,0,0,11,3,4,1,1,0,8,15,0,9,9
NPD,473,2,0,1,1,4,0,0,3,0,0,1,0,2,3,1,0,3,1,0,0,2,0,1,1,2,2,0,2,1,2,1,0,0,0,3,2,2,1,2,1,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,2,4,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,1,1,2,0,2,1,1,3,2,1,2,2,1,1,3,5,1,0,1,2,2,0,3,1,2,1,0,0,0,1,3,0,0,2,1,0,0,3,0,0,4,1,2,1,2,5,3,2,1,1,2,0,0,0,0,0,1,0,0,0,1,2,0,4,2,1,0,0,0,4,1,1,0,0,0,0,0,0,1,2,1,3,6,0,6,3,0,1,2,0,0,0,1,0,3,2,0,0,0,0,3,2,1,2,1,2,2,1,1,0,0,2,0,1,0,0,0,0,0,0,1,2,2,1,2,2,0,0,0,2,0,2,2,2,1,2,0,0,0,0,2,1,1,2,1,0,0,2,2,0,0,0,1,1,3,1,0,0,0,1,0,2,1,5,2,1,5,10,2,4,1,1,6,0,2,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,5
DKP,82,2,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
