rn,Wahlkreis 11 (alle Wahlbezirke),Albert-Schweitzer-Schule 712,Albert-Schweitzer-Schule 714,Ansverus-Haus Lübeck 719,Baltic GGS 402,Baltic GGS 403,Baltic GGS 404,Behlendorf 1321,Berkenthin 1322,Bliestorf 1323,Briefwahl Amt Berkenthin I 1390,Briefwahl Amt Berkenthin II 1391,Briefwahl Amt Sandesneben-Nusse 1490,Bugenhagen-Schule 503,Bugenhagen-Schule 504,Carl-Jacob-Burckhardt-Gymnasium 615,Carl-Jacob-Burckhardt-Gymnasium 619,Carl-Jacob-Burckhardt-Gymnasium 620,Carl-Jacob-Burckhardt-Gymnasium 621,DEKRA Akademie Lübeck 220,Dorfgemeinschaftshaus 602,Düchelsdorf 1324,Emil-Possehl-Schule 610,Entsorgungsbetriebe Lübeck 223,Ernestinenschule 103,Fachhochschule Lübeck 212,Freiwillige Feuerwehr 608,Freiwillige Feuerwehr Lübeck-Dänischburg 901,Freiwillige Feuerwehr Lübeck Dänischburg 901,Gemeinschaftshaus Brandenbaum 717,Gemeinschaftshaus Dornbreite 603,Gemeinschaftshaus Gärtnergasse 209,Geschwister-Prenski-Schule 701,Gesundheitsamt Lübeck 205,Gewerbeschule - Nahrung und Gastronomie 106,GGS St. Jürgen 207,GGS St. Jürgen 208,GGS St. Jürgen 210,GGS St. Jürgen 211,GGS St. Jürgen 222,GGS Stecknitz 218,Göldenitz 1325,Gotthard-Kühl-Schule 617,Gotthard-Kühl-Schule 618,Grinau 1401,Groß Boden 1402,Groß Schenkenberg 1403,Grundschule am Koggenweg 401,Grundschule am Koggenweg 405,Hanse-Schule für Wirtschaft und Verwaltung 101,Hanse-Schule für Wirtschaft und Verwaltung 107,Haus der kleinen Riesen 708,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 302,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 303,Heinrich-Mann-Schule Grund- Und Gemeinschaftsschule 303,Holstentor-Gemeinschaftsschule 507,Holstentor Gemeinschaftsschule 501,Holstentor Gemeinschaftsschule 502,Johanneum 105,Julius-Leber-Schule 614,Julius-Leber-Schule 616,Julius-Leber-Schule 622,Kahlhorst Schule / AS Niederbüssau 219,Kahlhorst Schule 206,Kahlhorst Schule 221,Kastorf 1326,Katharineum 102,KITA Haus Barbara 609,Klempau 1327,Klinkrade 1404,Krummesse 1328,Labenz 1405,Linau 1406,Lüchow 1407,Luther-Schule 505,Luther-Schule 506,Maria-Montessori-Schule 706,Marien-Schule 104,Marli-Hof 707,MGH 720,Mühlenweg-Schule 304,Mühlenweg-Schule 305,Niendorf b. Berkenthin. 1329,Paul-Gerhardt-Schule 604,Paul-Gerhardt-Schule 605,Paul-Gerhardt-Schule 606,Paul-Klee-Schule / AS Wulfsdorf 217,Paul-Klee-Schule 213,Paul-Klee-Schule 214,Paul-Klee-Schule 224,Pestalozzi-Schule 613,Rondeshagen 1330,Sandesneben 1408,Schiphorst 1409,Schönberg 1410,Schule am Meer 924,Schule am Meer 925,Schule am Meer 926,Schule am Meer 927,Schule am Stadtpark 702,Schule an der Wakenitz 718,Schule Eichholz 721,Schule Falkenfeld 611,Schule Grönauer Baum 215,Schule Grönauer Baum 216,Schule Lauerholz / AS Israelsdorf 704,Schule Lauerholz 703,Schule Lauerholz 705,Schule Marli 710,Schule Marli 711,Schule Niendorf 301,Schule Rangenberg 903,Schule Roter Hahn 904,Schule Roter Hahn 908,Schule Roter Hahn 909,Schule Schönböcken 601,Schule Tremser Teich 607,Schule Wilhelmshöhe 612,Schürensöhlen 1411,Seniorenwohnanlage Rosenhof 928,Siebenbäumen 1412,Sierksrade 1331,Sirksfelde 1413,Stadtschule Travemünde 922,Stadtschule Travemünde 923,Stadtverwaltung Verkehrsangelegenheiten 713,Steinhorst 1414,Stubben 1415,Thomas-Mann-Schule 709,Thomas-Mann-Schule 715,Thomas-Mann-Schule 716,Trave- Gymnasium 902,Trave-Gymnasium 902,Trave-Gymnasium 906,Trave-Gymnasium 907,Trave GGS 905,TSV Travemünde Clubhaus 921,Verwaltungszentrum 204,Volkshochschule 201,Volkshochschule 202,Volkshochschule 203,Wentorf A.S. 1416,Willy-Brand-Schule 801,Willy-Brandt-Schule 801,Willy-Brandt-Schule 802,Willy-Brandt-Schule 803
CDU,23628,218,147,78,168,119,156,57,204,56,180,173,393,133,168,156,154,105,127,203,187,27,237,173,86,58,102,49,134,216,251,374,280,238,132,194,270,148,205,132,138,66,211,210,23,22,39,165,262,84,185,169,152,89,30,139,89,107,130,123,118,114,171,228,123,103,95,54,80,61,192,110,189,30,134,170,375,118,233,168,164,111,26,232,143,165,138,153,152,208,169,83,188,79,173,231,411,235,360,345,167,178,160,351,242,344,162,275,179,218,217,281,261,123,122,168,158,167,21,335,54,45,29,309,305,88,54,55,339,112,200,96,62,147,140,214,156,188,162,274,285,59,48,98,192,235
SPD,39704,377,398,134,304,307,390,31,258,90,255,199,496,331,351,374,373,272,268,256,261,28,476,331,299,133,236,84,262,448,479,346,358,308,281,421,382,306,397,305,176,21,394,418,32,21,76,220,346,154,258,303,329,209,65,304,243,313,264,261,288,259,250,392,263,178,206,154,88,81,241,153,190,57,305,430,460,286,303,283,376,326,25,469,336,329,130,319,255,210,308,104,238,78,177,301,379,339,302,369,225,267,330,395,458,435,289,481,394,343,288,520,514,334,215,191,340,308,38,358,88,45,38,441,388,277,89,49,365,223,333,223,116,346,425,402,225,334,402,420,379,104,94,161,352,413
Grüne,29229,197,143,101,113,69,82,54,123,68,197,168,357,463,368,212,163,136,253,216,211,13,164,331,462,173,90,38,77,225,245,510,473,477,546,312,456,300,254,195,158,7,160,198,22,23,61,104,139,336,504,168,105,42,21,229,188,333,548,277,334,349,152,372,183,62,384,95,62,46,157,73,54,9,368,198,413,561,206,254,87,77,21,239,124,167,118,269,455,264,136,51,106,42,92,127,224,137,204,352,206,152,122,332,326,332,350,431,289,280,148,182,151,89,88,97,114,191,12,135,50,14,35,195,148,210,36,41,366,89,170,59,26,113,102,143,90,453,739,640,641,61,61,74,202,162
FDP,13626,123,66,30,70,55,76,35,131,26,104,73,257,146,126,90,90,99,105,123,129,4,102,114,102,63,62,21,63,120,188,190,129,187,95,96,156,92,105,80,72,17,120,126,20,21,43,50,113,73,126,72,62,49,17,111,84,103,94,101,109,103,88,143,65,85,106,51,39,43,90,54,90,21,106,104,199,96,97,97,98,56,14,127,91,101,96,138,146,121,116,44,112,35,103,116,234,100,196,163,70,77,81,151,138,150,85,177,96,122,93,99,141,47,50,96,114,108,12,117,46,16,22,175,144,93,33,27,165,55,77,55,18,73,98,101,72,135,119,142,200,46,28,49,105,118
Linke,5785,48,83,25,29,25,37,3,19,23,56,16,62,92,75,58,47,51,34,51,15,5,40,32,99,40,32,17,22,31,49,46,68,62,87,52,46,57,69,49,28,4,67,39,3,3,7,33,42,48,91,19,23,16,5,30,63,90,124,67,83,93,37,59,67,21,93,25,14,14,19,17,14,5,60,57,62,104,24,58,26,30,2,33,33,37,14,44,41,18,40,9,20,9,35,27,38,24,19,53,45,44,38,32,57,36,36,64,82,83,30,30,44,25,35,14,38,47,3,29,9,9,3,32,34,72,5,5,51,29,46,16,9,39,45,42,18,65,124,100,80,11,11,17,37,32
AfD,8827,68,91,30,74,96,94,19,94,21,69,37,106,67,73,74,79,64,55,83,93,5,95,70,35,22,65,12,73,92,95,47,56,42,31,78,72,54,66,49,32,7,108,102,10,4,25,88,67,34,60,59,94,67,15,48,81,94,40,80,69,73,61,68,49,53,27,46,21,26,59,47,51,28,50,86,59,42,70,79,133,104,10,93,72,94,38,69,34,49,65,32,69,38,58,77,88,51,68,60,56,68,99,42,83,77,55,58,93,81,109,103,133,68,79,44,92,74,8,58,18,28,17,75,75,71,19,20,72,79,68,51,11,72,136,79,39,55,29,46,40,21,21,81,93,104
Die Partei,1329,14,16,1,6,4,5,2,8,3,9,1,17,19,14,14,9,12,9,9,3,3,9,10,23,7,12,3,11,5,14,8,10,9,23,20,12,16,13,8,7,1,13,15,1,1,4,7,5,8,16,7,5,3,5,10,12,20,24,18,16,16,10,25,20,3,22,6,2,3,11,3,4,3,12,8,10,18,2,9,16,8,0,8,22,19,6,7,7,6,7,4,6,3,6,12,10,5,3,13,2,12,14,7,11,9,1,14,11,19,9,7,18,6,10,5,7,14,1,1,3,0,3,15,7,18,1,2,16,6,4,4,0,13,6,5,2,14,16,8,23,2,2,8,14,15
Freie Wähler,1296,12,8,1,9,11,14,3,12,2,10,12,20,9,17,12,9,12,6,15,14,1,14,5,10,6,6,1,14,11,17,9,4,4,10,15,9,8,12,12,11,5,12,10,0,1,4,12,9,8,6,18,13,9,7,3,8,13,4,11,10,8,15,5,10,12,7,4,3,7,13,5,6,2,8,14,9,6,4,7,13,4,1,12,10,18,8,9,4,3,22,3,17,8,7,10,16,9,6,5,10,8,4,7,10,9,11,12,18,13,12,18,16,10,9,9,14,14,1,5,3,2,2,18,6,11,3,3,7,4,4,6,4,14,15,11,5,10,8,10,5,5,7,13,15,15
NPD,166,6,5,1,2,2,1,0,0,0,0,0,6,1,0,3,1,1,0,2,1,0,1,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0,2,2,0,0,3,0,0,0,0,2,0,0,0,1,2,0,0,0,2,1,2,1,0,2,2,2,1,0,1,1,2,2,0,2,1,0,3,1,1,1,0,2,4,0,0,1,2,1,0,2,0,0,0,2,1,0,2,2,0,2,3,0,1,0,2,0,3,0,1,3,1,8,2,0,2,0,4,0,0,3,0,1,1,1,0,1,5,2,2,0,1,1,1,0,0,2,1,3,0,2,2,0,0,1,0,3,1,1
ÖDP,134,0,0,0,0,0,2,0,1,0,0,1,1,0,1,1,1,0,1,0,2,0,1,2,2,2,1,0,0,6,1,5,1,3,1,0,2,2,3,2,1,0,2,1,0,0,1,0,1,0,2,1,0,0,0,0,1,1,2,2,2,3,1,0,2,0,0,1,0,0,1,0,0,0,0,1,3,1,0,1,3,0,1,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,4,0,0,1,0,3,0,3,1,0,0,1,0,0,0,1,0,0,0,2,1,1,0,2,0,1,2,0,1,4,1,5,0,0,2,1,1
MLDP,74,0,2,2,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,0,6,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,3,0,3,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1,1,0,0,4,1,0,0,0,0,0,2
Basis,1525,10,14,9,6,2,4,5,12,9,14,10,27,11,9,11,5,9,7,13,9,1,8,12,15,7,0,2,8,14,20,14,21,25,25,16,19,15,7,11,9,3,14,10,1,2,5,6,5,9,24,6,11,4,2,7,14,10,20,9,4,18,13,18,11,4,7,8,2,5,4,2,3,1,15,7,16,27,10,22,5,6,2,17,4,11,16,11,6,8,10,11,8,5,9,6,20,4,18,22,15,21,9,8,21,14,26,23,18,25,17,20,10,3,14,9,5,9,2,5,5,0,2,14,8,3,2,2,15,8,7,5,2,16,11,13,3,14,48,10,17,7,1,3,17,15
DKP,46,0,1,0,2,3,0,0,0,0,3,0,1,1,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
