rn,Wahlkreis 11 (alle Wahlbezirke),Albert-Schweitzer-Schule 712,Albert-Schweitzer-Schule 714,Ansverus-Haus Lübeck 719,Baltic GGS 402,Baltic GGS 403,Baltic GGS 404,Behlendorf 1321,Berkenthin 1322,Bliestorf 1323,Briefwahl Amt Berkenthin I 1390,Briefwahl Amt Berkenthin II 1391,Briefwahl Amt Sandesneben-Nusse 1490,Bugenhagen-Schule 503,Bugenhagen-Schule 504,Carl-Jacob-Burckhardt-Gymnasium 615,Carl-Jacob-Burckhardt-Gymnasium 619,Carl-Jacob-Burckhardt-Gymnasium 620,Carl-Jacob-Burckhardt-Gymnasium 621,DEKRA Akademie Lübeck 220,Dorfgemeinschaftshaus 602,Düchelsdorf 1324,Emil-Possehl-Schule 610,Entsorgungsbetriebe Lübeck 223,Ernestinenschule 103,Fachhochschule Lübeck 212,Freiwillige Feuerwehr 608,Freiwillige Feuerwehr Lübeck-Dänischburg 901,Freiwillige Feuerwehr Lübeck Dänischburg 901,Gemeinschaftshaus Brandenbaum 717,Gemeinschaftshaus Dornbreite 603,Gemeinschaftshaus Gärtnergasse 209,Geschwister-Prenski-Schule 701,Gesundheitsamt Lübeck 205,Gewerbeschule - Nahrung und Gastronomie 106,GGS St. Jürgen 207,GGS St. Jürgen 208,GGS St. Jürgen 210,GGS St. Jürgen 211,GGS St. Jürgen 222,GGS Stecknitz 218,Göldenitz 1325,Gotthard-Kühl-Schule 617,Gotthard-Kühl-Schule 618,Grinau 1401,Groß Boden 1402,Groß Schenkenberg 1403,Grundschule am Koggenweg 401,Grundschule am Koggenweg 405,Hanse-Schule für Wirtschaft und Verwaltung 101,Hanse-Schule für Wirtschaft und Verwaltung 107,Haus der kleinen Riesen 708,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 302,Heinrich-Mann-Schule Grund- und Gemeinschaftsschule 303,Heinrich-Mann-Schule Grund- Und Gemeinschaftsschule 303,Holstentor-Gemeinschaftsschule 507,Holstentor Gemeinschaftsschule 501,Holstentor Gemeinschaftsschule 502,Johanneum 105,Julius-Leber-Schule 614,Julius-Leber-Schule 616,Julius-Leber-Schule 622,Kahlhorst Schule / AS Niederbüssau 219,Kahlhorst Schule 206,Kahlhorst Schule 221,Kastorf 1326,Katharineum 102,KITA Haus Barbara 609,Klempau 1327,Klinkrade 1404,Krummesse 1328,Labenz 1405,Linau 1406,Lüchow 1407,Luther-Schule 505,Luther-Schule 506,Maria-Montessori-Schule 706,Marien-Schule 104,Marli-Hof 707,MGH 720,Mühlenweg-Schule 304,Mühlenweg-Schule 305,Niendorf b. Berkenthin. 1329,Paul-Gerhardt-Schule 604,Paul-Gerhardt-Schule 605,Paul-Gerhardt-Schule 606,Paul-Klee-Schule / AS Wulfsdorf 217,Paul-Klee-Schule 213,Paul-Klee-Schule 214,Paul-Klee-Schule 224,Pestalozzi-Schule 613,Rondeshagen 1330,Sandesneben 1408,Schiphorst 1409,Schönberg 1410,Schule am Meer 924,Schule am Meer 925,Schule am Meer 926,Schule am Meer 927,Schule am Stadtpark 702,Schule an der Wakenitz 718,Schule Eichholz 721,Schule Falkenfeld 611,Schule Grönauer Baum 215,Schule Grönauer Baum 216,Schule Lauerholz / AS Israelsdorf 704,Schule Lauerholz 703,Schule Lauerholz 705,Schule Marli 710,Schule Marli 711,Schule Niendorf 301,Schule Rangenberg 903,Schule Roter Hahn 904,Schule Roter Hahn 908,Schule Roter Hahn 909,Schule Schönböcken 601,Schule Tremser Teich 607,Schule Wilhelmshöhe 612,Schürensöhlen 1411,Seniorenwohnanlage Rosenhof 928,Siebenbäumen 1412,Sierksrade 1331,Sirksfelde 1413,Stadtschule Travemünde 922,Stadtschule Travemünde 923,Stadtverwaltung Verkehrsangelegenheiten 713,Steinhorst 1414,Stubben 1415,Thomas-Mann-Schule 709,Thomas-Mann-Schule 715,Thomas-Mann-Schule 716,Trave- Gymnasium 902,Trave-Gymnasium 902,Trave-Gymnasium 906,Trave-Gymnasium 907,Trave GGS 905,TSV Travemünde Clubhaus 921,Verwaltungszentrum 204,Volkshochschule 201,Volkshochschule 202,Volkshochschule 203,Wentorf A.S. 1416,Willy-Brand-Schule 801,Willy-Brandt-Schule 801,Willy-Brandt-Schule 802,Willy-Brandt-Schule 803
CDU,18.1,19.4,14.4,18.1,20.4,16.3,17,26.9,22.7,18.4,19.8,24.1,21.8,9.9,13.2,14.8,15.9,12.9,14,20.1,19.8,30.7,20,15.6,7.3,10.9,15.8,20.4,19.4,17.6,17.9,23.5,19.4,17.1,10.4,15.5,18.2,14,17.4,14.9,20.9,49.6,18.2,17.8,19.7,21.8,14,22.8,25.4,10.8,13.9,20.1,18.1,17.3,16.7,15.3,10.5,9.3,9.9,12.3,10.8,10.5,20.5,16.5,14.9,18.8,9.5,11.4,24.7,20.3,23.4,22.9,30.6,18.9,12.1,15,22.8,9,23.8,16.3,17.1,14.8,25,17.8,16.2,16.9,23.8,14.4,13.4,22.7,18.6,23.5,23.7,26.1,25.4,24.8,28.2,25.4,30.2,24.2,20.2,20.5,17.6,26,17.4,23.8,15.6,17.4,14.5,17.3,22.8,21.1,19.6,16.7,18.5,26,16.9,17,21.4,31.4,18.4,26.9,19.2,23.3,26.5,9.6,20.2,26.6,23.3,17.6,21.1,18.1,24.1,16.8,13.4,20.3,24.8,14.3,9.6,16.2,16.6,18,17.1,18.7,17.9,20.4
SPD,30.5,33.5,39,31.2,37,42.1,42.6,14.6,28.7,29.5,28,27.7,27.5,24.8,27.6,35.6,38.5,33.3,29.5,25.3,27.6,31.8,40.2,29.9,25.3,25.1,36.6,35,38,36.5,34.2,21.8,24.8,22.2,22.1,33.6,25.8,29,33.8,34.5,26.7,15.8,34,35.5,27.4,20.8,27.2,30.4,33.5,19.7,19.4,36.1,39.3,40.7,36.1,33.6,28.6,27.2,20.1,26.1,26.3,23.9,30,28.4,31.9,32.5,20.7,32.4,27.2,27,29.3,31.9,30.8,35.8,27.5,38,27.9,21.8,30.9,27.4,39.2,43.4,24,36,38.1,33.6,22.5,30,22.4,23,33.9,29.5,30,25.7,26,32.3,26,36.6,25.4,25.8,27.3,30.8,36.4,29.3,32.9,30.1,27.8,30.5,32,27.2,30.2,39.1,38.5,45.4,32.7,29.6,36.4,31.4,38.8,33.6,30,26.9,25.2,33.3,33.7,30.2,33.3,23.7,25.1,35,35.1,42.2,45.1,39.5,40.7,38.1,35.8,25.4,23.7,24.8,22,31.8,33.6,30.7,32.9,35.8
Grüne,22.4,17.5,14,23.5,13.7,9.5,9,25.5,13.7,22.3,21.6,23.4,19.8,34.6,29,20.2,16.8,16.7,27.8,21.4,22.4,14.8,13.9,29.9,39.1,32.6,14,15.8,11.2,18.4,17.5,32.1,32.8,34.3,43,24.9,30.8,28.4,21.6,22,23.9,5.3,13.8,16.8,18.8,22.8,21.9,14.4,13.5,43,37.9,20,12.5,8.2,11.7,25.3,22.1,28.9,41.8,27.7,30.5,32.2,18.2,27,22.2,11.3,38.6,20,19.1,15.3,19.1,15.2,8.8,5.7,33.2,17.5,25.1,42.7,21,24.6,9.1,10.3,20.2,18.4,14.1,17.1,20.4,25.3,40,28.9,15,14.4,13.4,13.9,13.5,13.6,15.4,14.8,17.1,24.6,25,17.5,13.5,24.6,23.4,23,33.7,27.3,23.4,22.2,15.5,13.7,11.3,12.1,13.4,15,12.2,19.5,12.2,12.7,17.1,8.4,23.2,14.7,12.8,22.9,13.5,19.8,25.2,14,17.9,11.2,10.1,12.9,9.8,13.5,14.3,34.5,43.7,37.8,37.2,18.7,21.8,14.1,18.9,14.1
FDP,10.5,10.9,6.5,7,8.5,7.5,8.3,16.5,14.6,8.5,11.4,10.2,14.2,10.9,9.9,8.6,9.3,12.1,11.6,12.2,13.7,4.5,8.6,10.3,8.6,11.9,9.6,8.8,9.1,9.8,13.4,12,8.9,13.5,7.5,7.7,10.5,8.7,8.9,9,10.9,12.8,10.3,10.7,17.1,20.8,15.4,6.9,10.9,9.3,9.5,8.6,7.4,9.5,9.4,12.3,9.9,8.9,7.2,10.1,10,9.5,10.6,10.4,7.9,15.5,10.7,10.7,12,14.3,10.9,11.2,14.6,13.2,9.6,9.2,12.1,7.3,9.9,9.4,10.2,7.5,13.5,9.8,10.3,10.3,16.6,13,12.8,13.2,12.8,12.5,14.1,11.6,15.1,12.4,16,10.8,16.5,11.4,8.5,8.9,8.9,11.2,9.9,10.4,8.2,11.2,7.8,9.7,9.8,7.4,10.6,6.4,7.6,14.9,12.2,11,12.2,11,15.7,9.6,14.6,13.2,12.5,10.1,12.4,13,11.4,8.6,8.1,10.4,7,8.3,9.4,9.6,11.4,10.3,7,8.4,11.6,14.1,10,9.3,9.8,10.2
Linke,4.4,4.3,8.1,5.8,3.5,3.4,4,1.4,2.1,7.5,6.1,2.2,3.4,6.9,5.9,5.5,4.9,6.2,3.7,5,1.6,5.7,3.4,2.9,8.4,7.5,5,7.1,3.2,2.5,3.5,2.9,4.7,4.5,6.8,4.1,3.1,5.4,5.9,5.5,4.2,3,5.8,3.3,2.6,3,2.5,4.6,4.1,6.1,6.8,2.3,2.7,3.1,2.8,3.3,7.4,7.8,9.5,6.7,7.6,8.6,4.4,4.3,8.1,3.8,9.3,5.3,4.3,4.7,2.3,3.5,2.3,3.1,5.4,5,3.8,7.9,2.5,5.6,2.7,4,1.9,2.5,3.7,3.8,2.4,4.1,3.6,2,4.4,2.5,2.5,3,5.1,2.9,2.6,2.6,1.6,3.7,5.5,5.1,4.2,2.4,4.1,2.5,3.5,4.1,6.7,6.6,3.1,2.3,3.3,3.4,5.3,2.2,4.1,4.8,3.1,2.7,3.1,5.4,2,2.4,2.9,7.8,1.9,2.4,3.5,4.6,4.8,3,3.5,4.4,4.3,4,2.9,5,7.3,5.9,4.6,3.4,3.9,3.2,3.5,2.8
AfD,6.8,6,8.9,7,9,13.2,10.3,9,10.5,6.9,7.6,5.2,5.9,5,5.7,7,8.2,7.8,6.1,8.2,9.9,5.7,8,6.3,3,4.2,10.1,5,10.6,7.5,6.8,3,3.9,3,2.4,6.2,4.9,5.1,5.6,5.5,4.8,5.3,9.3,8.7,8.5,4,9,12.2,6.5,4.4,4.5,7,11.2,13,8.3,5.3,9.5,8.2,3,8,6.3,6.7,7.3,4.9,5.9,9.7,2.7,9.7,6.5,8.7,7.2,9.8,8.3,17.6,4.5,7.6,3.6,3.2,7.2,7.6,13.9,13.8,9.6,7.1,8.2,9.6,6.6,6.5,3,5.4,7.2,9.1,8.7,12.5,8.5,8.3,6,5.5,5.7,4.2,6.8,7.8,10.9,3.1,6,5.3,5.3,3.7,7.5,6.4,11.4,7.7,10,9.2,12,6.8,9.9,7.5,8.2,5.4,6.1,16.8,11.3,5.7,6.5,7.7,7.1,9.7,5,12.4,7.2,9.6,4.3,8.2,13,7.5,6.2,4.2,1.7,2.7,2.3,6.4,7.5,15.4,8.7,9
Die Partei,1,1.2,1.6,0.2,0.7,0.5,0.5,0.9,0.9,1,1,0.1,0.9,1.4,1.1,1.3,0.9,1.5,1,0.9,0.3,3.4,0.8,0.9,1.9,1.3,1.9,1.2,1.6,0.4,1,0.5,0.7,0.6,1.8,1.6,0.8,1.5,1.1,0.9,1.1,0.8,1.1,1.3,0.9,1,1.4,1,0.5,1,1.2,0.8,0.6,0.6,2.8,1.1,1.4,1.7,1.8,1.8,1.5,1.5,1.2,1.8,2.4,0.5,2.2,1.3,0.6,1,1.3,0.6,0.6,1.9,1.1,0.7,0.6,1.4,0.2,0.9,1.7,1.1,0,0.6,2.5,1.9,1,0.7,0.6,0.7,0.8,1.1,0.8,1,0.9,1.3,0.7,0.5,0.3,0.9,0.2,1.4,1.5,0.5,0.8,0.6,0.1,0.9,0.9,1.5,0.9,0.5,1.3,0.8,1.5,0.8,0.7,1.4,1,0.1,1,0,2,1.1,0.6,2,0.4,1,1.1,0.9,0.4,0.8,0,1.5,0.6,0.5,0.3,1.1,0.9,0.5,1.3,0.6,0.7,1.5,1.3,1.3
Freie Wähler,1,1.1,0.8,0.2,1.1,1.5,1.5,1.4,1.3,0.7,1.1,1.7,1.1,0.7,1.3,1.1,0.9,1.5,0.7,1.5,1.5,1.1,1.2,0.5,0.8,1.1,0.9,0.4,2,0.9,1.2,0.6,0.3,0.3,0.8,1.2,0.6,0.8,1,1.4,1.7,3.8,1,0.8,0,1,1.4,1.7,0.9,1,0.5,2.1,1.6,1.8,3.9,0.3,0.9,1.1,0.3,1.1,0.9,0.7,1.8,0.4,1.2,2.2,0.7,0.8,0.9,2.3,1.6,1,1,1.3,0.7,1.2,0.5,0.5,0.4,0.7,1.4,0.5,1,0.9,1.1,1.8,1.4,0.8,0.4,0.3,2.4,0.8,2.1,2.6,1,1.1,1.1,1,0.5,0.4,1.2,0.9,0.4,0.5,0.7,0.6,1.1,0.8,1.5,1,1.3,1.4,1.2,1.4,1.4,1.4,1.5,1.4,1,0.5,1,1.2,1.3,1.4,0.5,1.2,1.1,1.4,0.5,0.6,0.4,1.1,1.6,1.6,1.4,1,0.8,0.8,0.5,0.6,0.3,1.5,2.5,2.5,1.4,1.3
NPD,0.1,0.5,0.5,0.2,0.2,0.3,0.1,0,0,0,0,0,0.3,0.1,0,0.3,0.1,0.1,0,0.2,0.1,0,0.1,0.2,0.1,0,0.2,0,0.1,0,0,0,0.1,0,0,0.1,0,0,0.2,0.2,0,0,0.3,0,0,0,0,0.3,0,0,0,0.1,0.2,0,0,0,0.2,0.1,0.2,0.1,0,0.2,0.2,0.1,0.1,0,0.1,0.2,0.6,0.7,0,0.4,0.2,0,0.3,0.1,0.1,0.1,0,0.2,0.4,0,0,0.1,0.2,0.1,0,0.2,0,0,0,0.6,0.1,0,0.3,0.2,0,0.2,0.3,0,0.1,0,0.2,0,0.2,0,0.1,0.2,0.1,0.6,0.2,0,0.1,0,0.6,0,0,0.3,0,0.1,0.3,0.6,0,0.1,0.4,0.2,0.7,0,0.1,0.2,0.1,0,0,0.2,0.1,0.3,0,0.2,0.1,0,0,0.3,0,0.6,0.1,0.1
ÖDP,0.1,0,0,0,0,0,0.2,0,0.1,0,0,0.1,0.1,0,0.1,0.1,0.1,0,0.1,0,0.2,0,0.1,0.2,0.2,0.4,0.2,0,0,0.5,0.1,0.3,0.1,0.2,0.1,0,0.1,0.2,0.3,0.2,0.2,0,0.2,0.1,0,0,0.4,0,0.1,0,0.2,0.1,0,0,0,0,0.1,0.1,0.2,0.2,0.2,0.3,0.1,0,0.2,0,0,0.2,0,0,0.1,0,0,0,0,0.1,0.2,0.1,0,0.1,0.3,0,1,0,0.1,0,0,0,0.3,0.3,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0.4,0,0,0,0,0.3,0,0,0.1,0,0.5,0,0.3,0.1,0,0,0.3,0,0,0,0.1,0,0,0,0.1,0.2,0.1,0,0.8,0,0.1,0.2,0,0.1,0.2,0.1,0.3,0,0,0.4,0.1,0.1
