id,wahlkreis21,gültigerst21,gültigzweit21,cduerst21,spderst21,fdperst21,linerst21,gruerst21,csuerst21,afderst21,unionerst21,maxerst21,cduzweit21,spdzweit21,fdpzweit21,linzweit21,gruzweit21,csuzweit21,afdzweit21,unionzweit21,maxzweit21,unionmaxerst21,spdmaxerst21,fdpmaxerst21,linmaxerst21,grumaxerst21,afdmaxerst21,unionmaxzweit21,spdmaxzweit21,fdpmaxzweit21,linmaxzweit21,grumaxzweit21,afdmaxzweit21,wahlkreis17,gültigerst17,gültigzweit17,cduerst17,spderst17,fdperst17,linerst17,gruerst17,csuerst17,afderst17,unionerst17,parteierst17,maxerst17,cduzweit17,spdzweit17,fdpzweit17,linzweit17,gruzweit17,csuzweit17,afdzweit17,unionzweit17,parteizweit17,maxzweit17,unionmaxerst17,spdmaxerst17,fdpmaxerst17,linmaxerst17,grumaxerst17,afdmaxerst17,unionmaxzweit17,spdmaxzweit17,fdpmaxzweit17,linmaxzweit17,grumaxzweit17,afdmaxzweit17,wahlkreis13,gültigerst13,gültigzweit13,cduerst13,spderst13,fdperst13,linerst13,gruerst13,csuerst13,afderst13,unionerst13,parteierst13,maxerst13,cduzweit13,spdzweit13,fdpzweit13,linzweit13,gruzweit13,csuzweit13,afdzweit13,unionzweit13,parteizweit13,maxzweit13,unionmaxerst13,spdmaxerst13,fdpmaxerst13,linmaxerst13,grumaxerst13,afdmaxerst13,unionmaxzweit13,spdmaxzweit13,fdpmaxzweit13,linmaxzweit13,grumaxzweit13,afdmaxzweit13,wahlkreis09,gültigerst09,gültigzweit09,cduerst09,spderst09,fdperst09,linerst09,gruerst09,csuerst09,unionerst09,parteierst09,maxerst09,cduzweit09,spdzweit09,fdpzweit09,linzweit09,gruzweit09,csuzweit09,unionzweit09,parteizweit09,maxzweit09,unionmaxerst09,spdmaxerst09,fdpmaxerst09,linmaxerst09,grumaxerst09,unionmaxzweit09,spdmaxzweit09,fdpmaxzweit09,linmaxzweit09,grumaxzweit09,wahlkreis05,gültigerst05,gültigzweit05,cduerst05,spderst05,fdperst05,linerst05,gruerst05,csuerst05,unionerst05,parteierst05,maxerst05,cduzweit05,spdzweit05,fdpzweit05,linzweit05,gruzweit05,csuzweit05,unionzweit05,parteizweit05,maxzweit05,unionmaxerst05,spdmaxerst05,fdpmaxerst05,linmaxerst05,grumaxerst05,unionmaxzweit05,spdmaxzweit05,fdpmaxzweit05,linmaxzweit05,grumaxzweit05,wahlkreis02,gültigerst02,gültigzweit02,cduerst02,spderst02,fdperst02,linerst02,gruerst02,csuerst02,unionerst02,parteierst02,maxerst02,cduzweit02,spdzweit02,fdpzweit02,linzweit02,gruzweit02,csuzweit02,unionzweit02,parteizweit02,maxzweit02,unionmaxerst02,spdmaxerst02,fdpmaxerst02,linmaxerst02,grumaxerst02,unionmaxzweit02,spdmaxzweit02,fdpmaxzweit02,linmaxzweit02,grumaxzweit02,wahlkreis98,gültigerst98,gültigzweit98,cduerst98,spderst98,fdperst98,linerst98,gruerst98,csuerst98,unionerst98,parteierst98,maxerst98,cduzweit98,spdzweit98,fdpzweit98,linzweit98,gruzweit98,csuzweit98,unionzweit98,parteizweit98,maxzweit98,unionmaxerst98,spdmaxerst98,fdpmaxerst98,linmaxerst98,grumaxerst98,unionmaxzweit98,spdmaxzweit98,fdpmaxzweit98,linmaxzweit98,grumaxzweit98
1,99,1761345,1729194,100,0.9,26.2,0.8,99.1,99.2,21.8,199.2,c(unionerst = 8),100,0.9,39.5,0.8,99.1,99.2,33.7,199.2,8,0,0,0,0,0,0,0,0,0,0,0,0,Flensburg – Schleswig,170318,170465,40,28,6.5,7.1,10.5,0,6.2,40,CDU,1,34.2,23.7,11.1,8.2,13.1,0,6.8,34.2,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,160526,160636,42.5,37.2,1.9,4.6,7.8,0,3.3,42.5,CDU,1,38.2,32.6,5,5.7,9.8,0,4.1,38.2,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,159212,159148,38.8,32.7,9.6,7.5,10.3,0,38.8,CDU,1,32.1,26.3,15.2,8.5,13.8,0,32.1,CDU,1,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,169153,169231,44,44.2,3.2,3.6,4.2,0,44,SPD,2,36.4,39.1,9.7,4.8,8,0,36.4,SPD,2,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,170221,170241,41.3,48.7,4.1,1.1,4.4,0,41.3,SPD,2,36.4,44,7.5,1.3,9.1,0,36.4,SPD,2,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,171121,171118,42.4,50.2,1.8,1,3.2,0,42.4,SPD,2,35.4,47.2,6.6,1.3,6.3,0,35.4,SPD,2,0,0,0,0,0,0,0,0,0,0
1,1,180150,171914,100,0.9,23.2,0.9,99.1,99.1,20.2,199.1,c(unionerst = 8),100,0.9,39.6,0.8,99.1,99.2,33.9,199.2,8,0,0,0,0,0,0,0,0,0,0,0,0,Flensburg – Schleswig,170318,170465,40,28,6.5,7.1,10.5,0,6.2,40,CDU,1,34.2,23.7,11.1,8.2,13.1,0,6.8,34.2,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,160526,160636,42.5,37.2,1.9,4.6,7.8,0,3.3,42.5,CDU,1,38.2,32.6,5,5.7,9.8,0,4.1,38.2,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,159212,159148,38.8,32.7,9.6,7.5,10.3,0,38.8,CDU,1,32.1,26.3,15.2,8.5,13.8,0,32.1,CDU,1,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,169153,169231,44,44.2,3.2,3.6,4.2,0,44,SPD,2,36.4,39.1,9.7,4.8,8,0,36.4,SPD,2,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,170221,170241,41.3,48.7,4.1,1.1,4.4,0,41.3,SPD,2,36.4,44,7.5,1.3,9.1,0,36.4,SPD,2,0,0,0,0,0,0,0,0,0,0,Flensburg - Schleswig,171121,171118,42.4,50.2,1.8,1,3.2,0,42.4,SPD,2,35.4,47.2,6.6,1.3,6.3,0,35.4,SPD,2,0,0,0,0,0,0,0,0,0,0
2,1,145439,139194,100,0.9,30.1,0.9,99.1,99.1,24.4,199.1,c(unionerst = 8),100,0.9,44.7,0.8,99.1,99.2,38,199.2,8,0,0,0,0,0,0,0,0,0,0,0,0,Nordfriesland – Dithmarschen Nord,137897,138071,45.1,25.2,8.1,5.2,9.4,0,5.9,45.1,CDU,1,38.3,22.5,13.1,6.2,11,0,6.5,38.3,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen Nord,129879,130044,49.8,32.1,2.4,3.6,6.5,0,3.1,49.8,CDU,1,43.4,29.7,6.4,4.4,8.1,0,3.8,43.4,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen Nord,131289,131453,43.2,27.9,11.6,6.3,9.8,0,43.2,CDU,1,36.5,24.5,17.2,6.7,11.4,0,36.5,CDU,1,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen Nord,141498,141720,47.9,39.8,4.2,3.2,4,0,47.9,CDU,1,41.7,36.2,10.1,3.9,6.2,0,41.7,CDU,1,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen-Nord,142745,142901,44.3,44.1,5.3,1.1,4.4,0,44.3,CDU,1,40,42.4,8.2,1.1,6.5,0,40,SPD,2,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen-Nord,136358,136593,45.5,46.2,2.9,1.1,3.7,0,45.5,SPD,2,39.2,43.4,7.8,1.1,5.5,0,39.2,SPD,2,0,0,0,0,0,0,0,0,0,0
2,99,1010922,984926,100,0.8,17.8,0.6,99.2,99.4,15.4,199.4,c(unionerst = 8),100,0.9,28.2,0.7,99.1,99.3,27,199.3,8,0,0,0,0,0,0,0,0,0,0,0,0,Nordfriesland – Dithmarschen Nord,137897,138071,45.1,25.2,8.1,5.2,9.4,0,5.9,45.1,CDU,1,38.3,22.5,13.1,6.2,11,0,6.5,38.3,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen Nord,129879,130044,49.8,32.1,2.4,3.6,6.5,0,3.1,49.8,CDU,1,43.4,29.7,6.4,4.4,8.1,0,3.8,43.4,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen Nord,131289,131453,43.2,27.9,11.6,6.3,9.8,0,43.2,CDU,1,36.5,24.5,17.2,6.7,11.4,0,36.5,CDU,1,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen Nord,141498,141720,47.9,39.8,4.2,3.2,4,0,47.9,CDU,1,41.7,36.2,10.1,3.9,6.2,0,41.7,CDU,1,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen-Nord,142745,142901,44.3,44.1,5.3,1.1,4.4,0,44.3,CDU,1,40,42.4,8.2,1.1,6.5,0,40,SPD,2,0,0,0,0,0,0,0,0,0,0,Nordfriesland - Dithmarschen-Nord,136358,136593,45.5,46.2,2.9,1.1,3.7,0,45.5,SPD,2,39.2,43.4,7.8,1.1,5.5,0,39.2,SPD,2,0,0,0,0,0,0,0,0,0,0
3,1,136386,132017,100,1.1,28.9,0.9,98.9,99.1,24.1,199.1,c(unionerst = 8),100,0.9,41.5,0.9,99.1,99.1,35.9,199.1,8,0,0,0,0,0,0,0,0,0,0,0,0,Steinburg – Dithmarschen Süd,130883,130878,41.9,26.1,11,5.5,6.7,0,7.6,41.9,CDU,1,36.2,22.7,13.2,6.7,9.9,0,8.5,36.2,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen Süd,124886,124958,45.4,34,5.1,3.9,5.1,0,3.6,45.4,CDU,1,41.9,30,6.2,5,7.6,0,4.4,41.9,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen Süd,124972,125290,39.8,29.8,12.8,7.1,8.5,0,39.8,CDU,1,34.7,25,17.5,7.8,10.3,0,34.7,CDU,1,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen Süd,136916,136906,44.9,41.2,4.4,3.6,3.3,0,44.9,CDU,1,39,36.3,10.7,4.6,6.6,0,39,CDU,1,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen-Süd,138806,138782,43,45.8,6,1.3,3.8,0,43,SPD,2,38.5,41.2,8.8,1.3,7.7,0,38.5,SPD,2,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen-Süd,132879,133053,44.3,48.8,2.5,1.2,3.2,0,44.3,SPD,2,37.6,45.5,7.4,1.2,5.1,0,37.6,SPD,2,0,0,0,0,0,0,0,0,0,0
3,99,4563324,4681871,100,1,29,0.9,99,99.1,24,199.1,c(unionerst = 8),100,1,38,0.7,99,99.3,34.7,199.3,8,0,0,0,0,0,0,0,0,0,0,0,0,Steinburg – Dithmarschen Süd,130883,130878,41.9,26.1,11,5.5,6.7,0,7.6,41.9,CDU,1,36.2,22.7,13.2,6.7,9.9,0,8.5,36.2,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen Süd,124886,124958,45.4,34,5.1,3.9,5.1,0,3.6,45.4,CDU,1,41.9,30,6.2,5,7.6,0,4.4,41.9,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen Süd,124972,125290,39.8,29.8,12.8,7.1,8.5,0,39.8,CDU,1,34.7,25,17.5,7.8,10.3,0,34.7,CDU,1,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen Süd,136916,136906,44.9,41.2,4.4,3.6,3.3,0,44.9,CDU,1,39,36.3,10.7,4.6,6.6,0,39,CDU,1,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen-Süd,138806,138782,43,45.8,6,1.3,3.8,0,43,SPD,2,38.5,41.2,8.8,1.3,7.7,0,38.5,SPD,2,0,0,0,0,0,0,0,0,0,0,Steinburg - Dithmarschen-Süd,132879,133053,44.3,48.8,2.5,1.2,3.2,0,44.3,SPD,2,37.6,45.5,7.4,1.2,5.1,0,37.6,SPD,2,0,0,0,0,0,0,0,0,0,0
4,1,162078,157354,100,0.9,29.4,0.7,99.1,99.3,23.8,199.3,c(unionerst = 8),100,0.8,42.3,0.7,99.2,99.3,36,199.3,8,0,0,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,156102,156267,42.7,28.9,6.5,5.2,9,0,6.8,42.7,CDU,1,36.2,22.9,12.2,6.4,12.4,0,7.4,36.2,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,147840,147967,45.2,36.8,1.9,3.3,7,0,3.4,45.2,CDU,1,40.8,31.5,5.5,4.4,9.3,0,4.4,40.8,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,146614,146992,40.2,32.5,9.8,6,10.1,0,40.2,CDU,1,33.9,26.7,15.9,6.7,12.8,0,33.9,CDU,1,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,156654,156779,44.1,43.7,3.6,3.3,3.9,0,44.1,CDU,1,38.1,37.6,9.9,4.2,8,0,38.1,CDU,1,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,157234,157713,40.4,48.1,5.1,1,4.3,0,40.4,SPD,2,37.3,42.6,8,1.2,9,0,37.3,SPD,2,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,170824,170864,42.4,48.8,2.8,1,3.4,0,42.4,SPD,2,36.7,44.5,8.2,1.3,6.3,0,36.7,SPD,2,0,0,0,0,0,0,0,0,0,0
4,99,330140,335919,100,1.1,20.6,0.9,98.9,99.1,17.1,199.1,c(unionerst = 8),100,1.5,24.2,1.1,98.5,98.9,24.8,198.9,8,0,0,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,156102,156267,42.7,28.9,6.5,5.2,9,0,6.8,42.7,CDU,1,36.2,22.9,12.2,6.4,12.4,0,7.4,36.2,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,147840,147967,45.2,36.8,1.9,3.3,7,0,3.4,45.2,CDU,1,40.8,31.5,5.5,4.4,9.3,0,4.4,40.8,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,146614,146992,40.2,32.5,9.8,6,10.1,0,40.2,CDU,1,33.9,26.7,15.9,6.7,12.8,0,33.9,CDU,1,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,156654,156779,44.1,43.7,3.6,3.3,3.9,0,44.1,CDU,1,38.1,37.6,9.9,4.2,8,0,38.1,CDU,1,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,157234,157713,40.4,48.1,5.1,1,4.3,0,40.4,SPD,2,37.3,42.6,8,1.2,9,0,37.3,SPD,2,0,0,0,0,0,0,0,0,0,0,Rendsburg-Eckernförde,170824,170864,42.4,48.8,2.8,1,3.4,0,42.4,SPD,2,36.7,44.5,8.2,1.3,6.3,0,36.7,SPD,2,0,0,0,0,0,0,0,0,0,0
5,99,9962420,9938461,100,0.9,29.8,0.8,99.1,99.2,25.8,199.2,c(unionerst = 8),100,1.3,37.8,0.9,98.7,99.1,32.3,199.1,8,0,0,0,0,0,0,0,0,0,0,0,0,Kiel,151679,152069,30.7,31,7.5,7.3,14.3,0,6.1,30.7,SPD,2,26.8,23.8,11.7,10.2,17.2,0,6.9,26.8,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Kiel,144778,144969,33.1,43,2.1,5.3,10,0,2.8,33.1,SPD,2,30.3,34.7,5.3,6.9,14.1,0,3.7,30.3,SPD,2,0,0,0,0,0,0,0,0,0,0,0,0,Kiel,142041,143220,30.1,38.3,8.6,8.3,13.2,0,30.1,SPD,2,25.4,29.6,13.4,9.4,17.2,0,25.4,SPD,2,0,0,0,0,0,0,0,0,0,0,Kiel,148790,148992,33.9,50.7,3,4.1,6.2,0,33.9,SPD,2,28.8,41.5,8.9,6,12.7,0,28.8,SPD,2,0,0,0,0,0,0,0,0,0,0,Kiel,151063,151281,30.8,53.7,6.1,2,6.7,0,30.8,SPD,2,27.9,44.3,8.3,2.2,15,0,27.9,SPD,2,0,0,0,0,0,0,0,0,0,0,Kiel,142879,142934,32.2,54.9,3.5,1.7,6,0,32.2,SPD,2,28,49.2,6.9,2.4,10.3,0,28,SPD,2,0,0,0,0,0,0,0,0,0,0
5,1,156207,153273,100,0.8,18.1,0.6,99.2,99.4,15.3,199.4,c(unionerst = 8),100,1,30.4,0.8,99,99.2,26.6,199.2,8,0,0,0,0,0,0,0,0,0,0,0,0,Kiel,151679,152069,30.7,31,7.5,7.3,14.3,0,6.1,30.7,SPD,2,26.8,23.8,11.7,10.2,17.2,0,6.9,26.8,CDU,1,0,0,0,0,0,0,0,0,0,0,0,0,Kiel,144778,144969,33.1,43,2.1,5.3,10,0,2.8,33.1,SPD,2,30.3,34.7,5.3,6.9,14.1,0,3.7,30.3,SPD,2,0,0,0,0,0,0,0,0,0,0,0,0,Kiel,142041,143220,30.1,38.3,8.6,8.3,13.2,0,30.1,SPD,2,25.4,29.6,13.4,9.4,17.2,0,25.4,SPD,2,0,0,0,0,0,0,0,0,0,0,Kiel,148790,148992,33.9,50.7,3,4.1,6.2,0,33.9,SPD,2,28.8,41.5,8.9,6,12.7,0,28.8,SPD,2,0,0,0,0,0,0,0,0,0,0,Kiel,151063,151281,30.8,53.7,6.1,2,6.7,0,30.8,SPD,2,27.9,44.3,8.3,2.2,15,0,27.9,SPD,2,0,0,0,0,0,0,0,0,0,0,Kiel,142879,142934,32.2,54.9,3.5,1.7,6,0,32.2,SPD,2,28,49.2,6.9,2.4,10.3,0,28,SPD,2,0,0,0,0,0,0,0,0,0,0
