date,unionfow,spdfow,grufow,fdpfow,linfow,afdfow
1998-01-16,37,38,10,6,4,
1998-02-13,37,39,10,6,4,
1998-03-13,36,41,9,5,4,
1998-04-17,35,43,8,5,4,
1998-05-15,35,43,8,5,5,
1998-06-19,36,42,8,5,4,
1998-07-17,37,42,7,5,4,
1998-08-14,38,42,6,5,4,
1998-09-04,38,41,6,5,4,
1998-09-11,37,41,6,6,4,
1998-09-18,37.5,39.5,6,5.5,4.5,
1998-10-16,35,44,6,5,4,
1998-11-13,35,44,7,4,4,
1998-12-11,36,44,7,4,4,
1999-01-22,37,44,6,4,4,
1999-02-26,39,42,6,4,4,
1999-03-19,41,41,5,5,4,
1999-04-16,41,41,5,5,4,
1999-05-21,42,40,5,5,4,
1999-06-25,44,38,5,5,4,
1999-07-23,44,38,5,5,5,
1999-08-20,45,36,5,5,5,
1999-09-24,47,34,5,5,5,
1999-10-15,47,33,6,4,6,
1999-11-12,48,33,5,4,6,
1999-12-10,45,36,5,4,6,
2000-01-21,40,39,6,5,6,
2000-02-18,35,42,7,6,6,
2000-03-17,35,43,6,6,5,
2000-04-14,36,42,6,6,5,
2000-05-19,37,40,6,7,5,
2000-06-23,39,38,6,7,5,
2000-07-28,38,40,5,7,5,
2000-08-25,36,42,6,7,5,
2000-09-22,38,40,6,6,5,
2000-10-20,37,41,6,6,5,
2000-11-17,38,41,6,6,5,
2000-12-15,38,41,6,6,5,
2001-01-19,38,41,6,6,5,
2001-02-16,36,43,5,7,5,
2001-03-16,37,42,6,6,5,
2001-04-06,38,41,6,6,5,
2001-05-18,36,41,5,8,5,
2001-06-22,36,41,5,8,5,
2001-07-20,35,41,5,9,5,
2001-08-24,37,39,6,8,5,
2001-09-14,38,40,5,7,5,
2001-10-12,38,41,5,7,5,
2001-11-15,38,41,5,7,6,
2001-12-14,37,41,5,7,6,
2002-01-11,39,39,5,7,6,
2002-01-18,40,38,5,7,6,
2002-02-08,40,39,4,8,6,
2002-02-22,40,38,5,8,5,
2002-03-08,41,37,5,8,5,
2002-03-22,40,36,6,8,6,
2002-04-12,41,36,6,8,5,
2002-04-26,41,36,6,8,5,
2002-05-10,41,36,6,8,5,
2002-05-31,40,35,6,9,5,
2002-06-14,39,35,7,10,5,
2002-06-28,39,36,7,9,5,
2002-07-12,40,37,6,8,5,
2002-07-26,41,36,6,9,5,
2002-08-09,41,36,6,9,5,
2002-08-16,41,36,7,9,4,
2002-08-23,39,38,7,9,4,
2002-08-30,39,38,7,8,4,
2002-09-06,38,38,7,8,4,
2002-09-13,37,40,7,7.5,4.5,
2002-10-18,40,38,8,6,4,
2002-11-15,44,34,9,5,4,
2002-12-13,46,32,9,5,4,
2003-01-24,47,31,9,5,4,
2003-02-07,48,30,9,6,4,
2003-02-21,48,30,9,6,4,
2003-03-14,48,31,9,5,4,
2003-03-28,47,32,9,5,4,
2003-04-11,45,33,9,6,4,
2003-05-02,46,32,9,6,4,
2003-05-16,46,31,9,6,4,
2003-06-06,46,31,9,6,4,
2003-06-27,47,30,9,6,4,
2003-07-18,46,32,8,6,4,
2003-08-22,45,31,10,6,4,
2003-09-12,45,30,10,7,4,
2003-10-10,47,30,10,6,3,
2003-10-24,48,29,9,6,4,
2003-11-14,48,29,10,5,4,
2003-11-28,48,29,10,5,4,
2003-12-12,48,28,10,5,4,
2004-01-16,48,28,10,5,4,
2004-02-13,48,29,10,5,4,
2004-03-05,49,28,10,5,4,
2004-03-19,48,29,10,5,4,
2004-04-02,48,29,10,5,4,
2004-04-23,48,29,10,5,4,
2004-05-14,48,28,10,6,4,
2004-05-28,48,29,9,6,4,
2004-06-25,46,27,11,7,5,
2004-07-09,46,25,12,7,5,
2004-07-23,45,26,11,7,5,
2004-08-27,45,26,10,6,6,
2004-09-24,44,27,10,6,6,
2004-10-15,42,28,11,6,6,
2004-10-29,40,30,11,7,6,
2004-11-12,41,29,11,7,6,
2004-11-26,41,30,10,7,6,
2004-12-10,41,30,10,7,6,
2005-01-14,39,32,10,7,6,
2005-01-28,40,32,10,7,5,
2005-02-25,41,32,9,7,5,
2005-03-18,42,31,10,6,5,
2005-04-15,43,31,9,6,5,
2005-04-29,44,30,9,6,5,
2005-05-27,45,30,8,6,5,
2005-06-10,44,29,8,7,5,
2005-06-24,44,27,9,7,8,
2005-07-08,44,27,9,7,8,
2005-07-22,43,26,10,7,10,
2005-08-05,42,28,9,8,9,
2005-08-12,42,29,9,8,9,
2005-08-19,43,29,9,8,8,
2005-08-26,43,30,8,8,8,
2005-09-02,43,32,7,7,8,
2005-09-09,41,34,7,7,8,
2005-09-23,37,35,8,8,8,
2005-10-07,39,34,7,7,9,
2005-10-14,38,35,7,8,8,
2005-10-28,37,35,8,9,8,
2005-11-11,36,33,9,9,9,
2005-11-25,37,34,9,9,8,
2005-12-09,38,34,8,9,8,
2006-01-13,39,33,8,9,8,
2006-01-27,41,33,7,8,8,
2006-02-17,41,32,8,8,7,
2006-03-10,41,32,7,8,8,
2006-04-07,41,32,8,7,8,
2006-04-28,42,31,7,8,8,
2006-05-19,41,32,8,9,7,
2006-06-16,39,32,8,9,8,
2006-07-14,37,31,8,11,7,
2006-08-18,36,30,9,12,7,
2006-09-01,36,30,9,11,8,
2006-09-29,33,31,9,13,7,
2006-10-13,33,32,10,11,8,
2006-10-27,34,31,10,11,9,
2006-11-10,35,31,9,11,8,
2006-11-24,36,31,10,10,8,
2006-12-15,37,31,10,9,8,
2007-01-12,36,32,9,10,8,
2007-02-09,37,30,10,10,8,
2007-03-02,37,31,9,10,8,
2007-03-16,37,32,9,9,8,
2007-03-30,37,31,9,9,9,
2007-04-20,37,32,10,9,8,
2007-05-18,38,32,9,8,9,
2007-06-01,39,31,8,8,9,
2007-06-22,38,31,8,9,10,
2007-07-20,40,29,8,9,10,
2007-08-17,40,29,8,9,9,
2007-09-14,40,29,9,8,10,
2007-10-05,41,30,8,7,10,
2007-10-19,40,31,8,7,9,
2007-11-09,40,30,8,7,10,
2007-11-23,40,31,9,6,9,
2007-12-14,41,31,8,7,9,
2008-01-11,42,30,7,7,9,
2008-02-08,41,30,7,7,10,
2008-02-29,40,30,7,8,11,
2008-03-14,40,29,9,8,10,
2008-04-04,39,28,9,9,11,
2008-04-18,40,27,9,8,11,
2008-05-09,40,27,9,8,11,
2008-05-30,40,25,10,9,11,
2008-06-13,39,26,10,10,11,
2008-07-11,39,26,9,10,12,
2008-08-15,40,25,10,9,11,
2008-09-12,40,26,9,9,11,
2008-10-10,38,25,8,11,12,
2008-10-24,38,25,9,11,11,
2008-11-07,40,25,9,11,10,
2008-11-21,39,25,10,11,10,
2008-12-12,39,26,9,11,10,
2009-01-09,40,26,8,11,10,
2009-01-30,37,26,9,14,9,
2009-02-13,38,25,10,13,10,
2009-03-06,37,24,10,15,10,
2009-03-27,37,25,9,15,10,
2009-04-24,37,26,9,14,10,
2009-05-08,37,27,9,13,10,
2009-05-29,36,28,10,12,9,
2009-06-12,37,25,11,13,8,
2009-07-03,36,25,11,13,9,
2009-07-24,36,24,11,14,9,
2009-08-07,36,23,12,14,9,
2009-08-21,37,23,12,14,9,
2009-08-28,37,23,12,14,9,
2009-09-04,37,23,11,15,10,
2009-09-11,36,23,11,14,11,
2009-09-18,36,25,10,13,11,
2009-10-02,35,22,11,14,13,
2009-10-16,35,22,11,14,13,
2009-10-30,36,22,11,13,13,
2009-11-27,35,24,10,13,12,
2009-12-11,35,25,11,12,11,
2010-01-15,36,25,12,11,11,
2010-01-29,37,26,12,10,10,
2010-02-26,36,25,14,10,10,
2010-03-12,36,25,14,10,10,
2010-03-26,37,26,13,9,11,
2010-04-23,38,26,13,8,10,
2010-05-21,36,27,14,6,11,
2010-06-04,34,29,15,6,10,
2010-06-18,33,31,15,5,11,
2010-07-16,33,32,15,5,10,
2010-08-27,33,31,16,5,10,
2010-09-10,32,31,17,5,10,
2010-09-24,31,30,19,5,9,
2010-10-01,31,30,19,5,9,
2010-10-22,32,29,20,5,9,
2010-11-12,33,28,20,5,9,
2010-12-03,34,27,20,5,9,
2010-12-17,34,28,19,5,9,
2011-01-14,35,29,18,5,8,
2011-01-28,36,27,19,5,8,
2011-02-11,36,27,17,5,9,
2011-02-25,36,29,15,5,9,
2011-04-01,34,28,19,5,8,
2011-04-15,34,27,23,4,7,
2011-05-06,35,26,23,4,7,
2011-05-27,34,28,22,4,7,
2011-06-10,34,28,22,4,7,
2011-07-15,33,29,22,4,7,
2011-08-12,34,29,20,4,7,
2011-09-09,34,30,20,4,6,
2011-09-23,34,30,18,4,6,
2011-10-14,34,30,16,4,6,
2011-10-28,34,31,16,4,6,
2011-11-11,34,30,17,4,7,
2011-11-25,35,30,16,4,6,
2011-12-16,34,31,17,4,6,
2012-01-13,36,31,15,4,6,
2012-01-27,36,30,16,3,7,
2012-02-10,37,29,14,3,7,
2012-03-09,36,30,14,3,7,
2012-03-30,36,29,14,3,7,
2012-04-27,35,29,14,3,6,
2012-05-16,35,30,13,4,5,
2012-05-25,36,31,14,4,5,
2012-06-15,34,32,13,5,5,
2012-07-13,36,30,13,4,6,
2012-08-24,37,29,12,5,6,
