"Name","Nachname","Geschlecht","Geburtsjahr","Wohnort","Beruf","Partei","Mandat","Wahlkreis","Bundesland","color","y","frau","mann","jung","alt"
"Gökay Akbulut","Akbulut","weiblich",1982,"Mannheim","MdB -  Sozialwissenschaftlerin","Linke","Mandat über Landesliste","Baden-Württemberg","Baden-Württemberg","#BC3475",1,"#e6e6e6","#BC3475","#e6e6e6","#BC3475"
"Ali Abass Yahya Al-Dailami","Al-Dailami","männlich",1981,"Gießen","Angestellter","Linke","Mandat über Landesliste","Hessen","Hessen","#BC3475",1,"#BC3475","#e6e6e6","#e6e6e6","#BC3475"
"Dietmar Gerhard Bartsch","Bartsch","männlich",1958,"Prerow","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern","#BC3475",1,"#BC3475","#e6e6e6","#BC3475","#e6e6e6"
"Matthias Walter Birkwald","Birkwald","männlich",1961,"Köln","Dipl.-Sozialwissenschaftler","Linke","Mandat über Landesliste","Nordrhein-Westfalen","Nordrhein-Westfalen","#BC3475",1,"#BC3475","#e6e6e6","#BC3475","#e6e6e6"
"Sevim Dagdelen","Dagdelen","weiblich",1975,"Berlin","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Nordrhein-Westfalen","Nordrhein-Westfalen","#BC3475",1,"#e6e6e6","#BC3475","#BC3475","#e6e6e6"
"Anke Margarete Domscheit-Berg","Domscheit-Berg","weiblich",1968,"Fürstenberg/Havel","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Brandenburg","Brandenburg","#BC3475",1,"#e6e6e6","#BC3475","#BC3475","#e6e6e6"
"Klaus Friedrich Ernst","Ernst","männlich",1954,"Arnstein","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Bayern","Bayern","#BC3475",1,"#BC3475","#e6e6e6","#BC3475","#e6e6e6"
"Susanne Ferschl","Ferschl","weiblich",1973,"Kaufbeuren","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Bayern","Bayern","#BC3475",1,"#e6e6e6","#BC3475","#BC3475","#e6e6e6"
"Nicole Stephanie Gohlke","Gohlke","weiblich",1975,"München","MdB -  Sozialwissenschaftlerin","Linke","Mandat über Landesliste","Bayern","Bayern","#BC3475",1,"#e6e6e6","#BC3475","#BC3475","#e6e6e6"
"Christian Görke","Görke","männlich",1962,"Cottbus","Mitglied des Landtages","Linke","Mandat über Landesliste","Brandenburg","Brandenburg","#BC3475",1,"#BC3475","#e6e6e6","#BC3475","#e6e6e6"
"Ates Nils Gürpinar","Gürpinar","männlich",1984,"Rosenheim","Medienwissenschaftler","Linke","Mandat über Landesliste","Bayern","Bayern","#BC3475",1,"#BC3475","#e6e6e6","#e6e6e6","#BC3475"
"Gregor Gysi","Gysi","männlich",1948,"Berlin","Rechtsanwalt","Linke","Direktmandat","Berlin-Treptow-Köpenick","Berlin","#BC3475",1,"#BC3475","#e6e6e6","#BC3475","#e6e6e6"
"André Hahn","Hahn","männlich",1963,"Gohrisch","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Sachsen","Sachsen","#BC3475",1,"#BC3475","#e6e6e6","#BC3475","#e6e6e6"
"Susanne Marianne Hennig-Wellsow","Hennig-Wellsow","weiblich",1977,"Erfurt","MdL -  Dipl.-Pädagogin","Linke","Mandat über Landesliste","Thüringen","Thüringen","#BC3475",1,"#e6e6e6","#BC3475","#BC3475","#e6e6e6"
"Andrej Konstantin Hunko","Hunko","männlich",1963,"Aachen","Publizist","Linke","Mandat über Landesliste","Nordrhein-Westfalen","Nordrhein-Westfalen","#BC3475",1,"#BC3475","#e6e6e6","#BC3475","#e6e6e6"
