"Name","Nachname","Geschlecht","Geburtsjahr","Wohnort","Beruf","Partei","Mandat","Wahlkreis","Bundesland","color","y"
"Gökay Akbulut","Akbulut","weiblich",1982,"Mannheim","MdB -  Sozialwissenschaftlerin","Linke","Mandat über Landesliste","Baden-Württemberg","Baden-Württemberg","#BC3475",1
"Ali Abass Yahya Al-Dailami","Al-Dailami","männlich",1981,"Gießen","Angestellter","Linke","Mandat über Landesliste","Hessen","Hessen","#e6e6e6",1
"Dietmar Gerhard Bartsch","Bartsch","männlich",1958,"Prerow","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern","#e6e6e6",1
"Matthias Walter Birkwald","Birkwald","männlich",1961,"Köln","Dipl.-Sozialwissenschaftler","Linke","Mandat über Landesliste","Nordrhein-Westfalen","Nordrhein-Westfalen","#e6e6e6",1
"Sevim Dagdelen","Dagdelen","weiblich",1975,"Berlin","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Nordrhein-Westfalen","Nordrhein-Westfalen","#BC3475",1
"Anke Margarete Domscheit-Berg","Domscheit-Berg","weiblich",1968,"Fürstenberg/Havel","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Brandenburg","Brandenburg","#BC3475",1
"Klaus Friedrich Ernst","Ernst","männlich",1954,"Arnstein","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Bayern","Bayern","#e6e6e6",1
"Susanne Ferschl","Ferschl","weiblich",1973,"Kaufbeuren","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Bayern","Bayern","#BC3475",1
"Nicole Stephanie Gohlke","Gohlke","weiblich",1975,"München","MdB -  Sozialwissenschaftlerin","Linke","Mandat über Landesliste","Bayern","Bayern","#BC3475",1
"Christian Görke","Görke","männlich",1962,"Cottbus","Mitglied des Landtages","Linke","Mandat über Landesliste","Brandenburg","Brandenburg","#e6e6e6",1
"Ates Nils Gürpinar","Gürpinar","männlich",1984,"Rosenheim","Medienwissenschaftler","Linke","Mandat über Landesliste","Bayern","Bayern","#e6e6e6",1
"Gregor Gysi","Gysi","männlich",1948,"Berlin","Rechtsanwalt","Linke","Direktmandat","Berlin-Treptow-Köpenick","Berlin","#e6e6e6",1
"André Hahn","Hahn","männlich",1963,"Gohrisch","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Sachsen","Sachsen","#e6e6e6",1
"Susanne Marianne Hennig-Wellsow","Hennig-Wellsow","weiblich",1977,"Erfurt","MdL -  Dipl.-Pädagogin","Linke","Mandat über Landesliste","Thüringen","Thüringen","#BC3475",1
"Andrej Konstantin Hunko","Hunko","männlich",1963,"Aachen","Publizist","Linke","Mandat über Landesliste","Nordrhein-Westfalen","Nordrhein-Westfalen","#e6e6e6",1
"Katja Kipping","Kipping","weiblich",1978,"Dresden","Slawistin","Linke","Mandat über Landesliste","Sachsen","Sachsen","#BC3475",1
"Jan Korte","Korte","männlich",1977,"Berlin","MdB -  Politikwissenschaftler (M. A.)","Linke","Mandat über Landesliste","Sachsen-Anhalt","Sachsen-Anhalt","#e6e6e6",1
"Ina Latendorf","Latendorf","weiblich",1971,"Plate","Juristin","Linke","Mandat über Landesliste","Mecklenburg-Vorpommern","Mecklenburg-Vorpommern","#BC3475",1
"Caren Nicole Lay","Lay","weiblich",1972,"Bautzen","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Sachsen","Sachsen","#BC3475",1
"Ralph Lenkert","Lenkert","männlich",1967,"Jena","MdB -  Werkzeugmacher -  staatl. geprüfter Maschinenbautechniker","Linke","Mandat über Landesliste","Thüringen","Thüringen","#e6e6e6",1
"Christian Leye","Leye","männlich",1981,"Duisburg","Ökonom","Linke","Mandat über Landesliste","Nordrhein-Westfalen","Nordrhein-Westfalen","#e6e6e6",1
"Gesine Lötzsch","Lötzsch","weiblich",1961,"Berlin","Mitglied des Deutschen Bundestages","Linke","Direktmandat","Berlin-Lichtenberg","Berlin","#BC3475",1
"Thomas Lutze","Lutze","männlich",1969,"Saarbrücken","Maschinenbauer -  Bürokaufmann","Linke","Mandat über Landesliste","Saarland","Saarland","#e6e6e6",1
"Pascal Meiser","Meiser","männlich",1975,"Berlin","MdB -  Dipl.-Politikwissenschaftler","Linke","Mandat über Landesliste","Berlin","Berlin","#e6e6e6",1
"Amira Mohamed Ali","Mohamed Ali","weiblich",1980,"Oldenburg (Oldenburg)","Rechtsanwältin","Linke","Mandat über Landesliste","Niedersachsen","Niedersachsen","#BC3475",1
"Cornelia Möhring","Möhring","weiblich",1960,"Giekau","MdB -  Dipl.-Sozialökonomin","Linke","Mandat über Landesliste","Schleswig-Holstein","Schleswig-Holstein","#BC3475",1
"Zaklin Jadwiga Nastic","Nastic","weiblich",1980,"Hamburg","MdB -  Angehörigenpflegerin","Linke","Mandat über Landesliste","Hamburg","Hamburg","#BC3475",1
"Petra Angelika Pau","Pau","weiblich",1963,"Berlin","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Berlin","Berlin","#BC3475",1
"Sören Pellmann","Pellmann","männlich",1977,"Leipzig","MdB -  Grund- und Förderschullehrer","Linke","Direktmandat","Leipzig II","Sachsen","#e6e6e6",1
"Victor Angelo Perli","Perli","männlich",1982,"Wolfenbüttel","Politikwissenschaftler (M. A.)","Linke","Mandat über Landesliste","Niedersachsen","Niedersachsen","#e6e6e6",1
"Heidi Reichinnek","Reichinnek","weiblich",1988,"Osnabrück","päd. Mitarbeiterin in der Jugendhilfe","Linke","Mandat über Landesliste","Niedersachsen","Niedersachsen","#BC3475",1
"Martina Erika Renner","Renner","weiblich",1967,"Erfurt","MdB -  wiss. Mitarbeiterin","Linke","Mandat über Landesliste","Thüringen","Thüringen","#BC3475",1
"Bernd Karl Riexinger","Riexinger","männlich",1955,"Stuttgart","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Baden-Württemberg","Baden-Württemberg","#e6e6e6",1
"Petra Sitte","Sitte","weiblich",1960,"Halle (Saale)","MdB -  Dipl.-Ökonomin","Linke","Mandat über Landesliste","Sachsen-Anhalt","Sachsen-Anhalt","#BC3475",1
"Jessica Nadine Tatti","Tatti","weiblich",1981,"Reutlingen","MdB -  Sozialarbeiterin","Linke","Mandat über Landesliste","Baden-Württemberg","Baden-Württemberg","#BC3475",1
"Alexander Ulrich","Ulrich","männlich",1971,"Reichenbach-Steegen","Mitglied des Deutschen Bundestages","Linke","Mandat über Landesliste","Rheinland-Pfalz","Rheinland-Pfalz","#e6e6e6",1
"Kathrin Vogler","Vogler","weiblich",1963,"Emsdetten","MdB -  Geschäftsführerin","Linke","Mandat über Landesliste","Nordrhein-Westfalen","Nordrhein-Westfalen","#BC3475",1
