id,bundesland,wahlkreis,partei,Stimmenanteil,number
1,SH,Flensburg – Schleswig,Union,34.2,12.3652133061551
2,SH,Nordfriesland – Dithmarschen Nord,Union,38.3,12.374276871793
3,SH,Steinburg – Dithmarschen Süd,Union,36.2,12.2220550344791
4,SH,Rendsburg-Eckernförde,Union,36.2,12.5346513057593
5,SH,Kiel,Union,26.8,12.0719737934414
6,SH,Plön – Neumünster,Union,33.5,12.2526314065326
7,SH,Pinneberg,Union,34.3,12.9393566518556
8,SH,Segeberg – Stormarn-Mitte,Union,34.6,12.9401417351328
9,SH,Ostholstein – Stormarn-Nord,Union,35.6,12.9719438489992
10,SH,Herzogtum Lauenburg – Stormarn-Süd,Union,34.4,12.7876386682037
11,SH,Lübeck,Union,29.5,12.8079686607234
12,MV,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,Union,32.9,12.3008378653321
13,MV,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Union,33.7,12.2198352923151
14,MV,Rostock – Landkreis Rostock II,Union,30.5,12.6841161691118
15,MV,Vorpommern-Rügen – Vorpommern-Greifswald I,Union,32.9,12.7191929279361
16,MV,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Union,33.5,12.682448572712
17,MV,Mecklenburgische Seenplatte II – Landkreis Rostock III,Union,35.8,12.1382455178536
18,HH,Hamburg-Mitte,Union,23.5,12.088195508346
19,HH,Hamburg-Altona,Union,24.9,12.9407279863954
20,HH,Hamburg-Eimsbüttel,Union,26.9,12.0084671590012
21,HH,Hamburg-Nord,Union,31.3,12.0220969826914
22,HH,Hamburg-Wandsbek,Union,28.9,12.1795806847513
23,HH,Hamburg-Bergedorf – Harburg,Union,27.4,12.2025109608658
24,NI,Aurich – Emden,Union,28,12.4844481963664
25,NI,Unterems,Union,42.4,12.4816133130807
26,NI,Friesland – Wilhelmshaven – Wittmund,Union,32.8,12.8842027352657
27,NI,Oldenburg – Ammerland,Union,30.6,12.4642074026633
28,NI,Delmenhorst – Wesermarsch – Oldenburg-Land,Union,33.5,12.0514492178336
29,NI,Cuxhaven – Stade II,Union,38.5,12.1668209563941
30,NI,Stade I – Rotenburg II,Union,38.9,12.1678093029186
31,NI,Mittelems,Union,49.4,12.8978123194538
32,NI,Cloppenburg – Vechta,Union,53.1,12.9175742878579
33,NI,Diepholz – Nienburg I,Union,37.9,12.7781098231208
34,NI,Osterholz – Verden,Union,34.9,12.3672098310199
35,NI,Rotenburg I – Heidekreis,Union,37.7,12.9347460391
36,NI,Harburg,Union,35.9,12.0705524822697
37,NI,Lüchow-Dannenberg – Lüneburg,Union,31.3,12.6955452403054
38,NI,Osnabrück-Land,Union,40.4,12.2936524567194
39,NI,Stadt Osnabrück,Union,35.7,12.9763376708142
40,NI,Nienburg II – Schaumburg,Union,34.3,12.7815945716575
41,NI,Stadt Hannover I,Union,27.2,12.2510748987552
42,NI,Stadt Hannover II,Union,24.4,12.7960594024044
43,NI,Hannover-Land I,Union,34.8,12.7784134747926
44,NI,Celle – Uelzen,Union,36.6,12.1936209360138
45,NI,Gifhorn – Peine,Union,33.8,12.8123878359329
46,NI,Hameln-Pyrmont – Holzminden,Union,32,12.5759213506244
47,NI,Hannover-Land II,Union,31.5,12.7115993283223
48,NI,Hildesheim,Union,32.6,12.0273161293007
49,NI,Salzgitter – Wolfenbüttel,Union,29.5,12.771132040536
50,NI,Braunschweig,Union,29,12.5805630532559
51,NI,Helmstedt – Wolfsburg,Union,34.6,12.3268001405522
52,NI,Goslar – Northeim – Osterode,Union,32.1,12.9337971559726
53,NI,Göttingen,Union,30.2,12.8556012045592
54,HB,Bremen I,Union,26,12.0640966282226
55,HB,Bremen II – Bremerhaven,Union,23.9,12.2232346308883
56,BB,Prignitz – Ostprignitz-Ruppin – Havelland I,Union,29.7,12.458167277975
57,BB,Uckermark – Barnim I,Union,28.2,12.8968150590081
58,BB,Oberhavel – Havelland II,Union,28.5,12.2645087779965
59,BB,Märkisch-Oderland – Barnim II,Union,25.1,12.050931611564
60,BB,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,Union,28.4,12.5086115847807
61,BB,Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II,Union,24.3,12.7167584889103
62,BB,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Union,27,12.4393620339688
63,BB,Frankfurt (Oder) – Oder-Spree,Union,24.6,12.7499707881361
64,BB,Cottbus – Spree-Neiße,Union,24.1,12.6896784172859
65,BB,Elbe-Elster – Oberspreewald-Lausitz II,Union,27.7,12.8225891129114
66,ST,Altmark,Union,32.8,12.4596718351822
67,ST,Börde – Jerichower Land,Union,32.1,12.0632994216867
68,ST,Harz,Union,33.6,12.7294393701013
69,ST,Magdeburg,Union,27.8,12.8441108837724
70,ST,Dessau – Wittenberg,Union,31.8,12.4744951287284
71,ST,Anhalt,Union,30.7,12.2687536424492
72,ST,Halle,Union,26.5,12.654164563166
73,ST,Burgenland – Saalekreis,Union,29.9,12.2763071868103
74,ST,Mansfeld,Union,28.8,12.8877700604498
75,BE,Berlin-Mitte,Union,18.6,12.682935928693
76,BE,Berlin-Pankow,Union,19.8,12.9558847097214
77,BE,Berlin-Reinickendorf,Union,31,12.3218251070939
78,BE,Berlin-Spandau – Charlottenburg Nord,Union,28.1,12.5597653833684
79,BE,Berlin-Steglitz-Zehlendorf,Union,29.8,12.7493121880107
80,BE,Berlin-Charlottenburg-Wilmersdorf,Union,25.6,12.8726649784949
81,BE,Berlin-Tempelhof-Schöneberg,Union,25,12.1411583095323
82,BE,Berlin-Neukölln,Union,22.3,12.9997375295497
83,BE,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Union,13.9,12.1811351797078
84,BE,Berlin-Treptow-Köpenick,Union,20.2,12.3979127260391
85,BE,Berlin-Marzahn-Hellersdorf,Union,20.9,12.2254944762681
86,BE,Berlin-Lichtenberg,Union,18.5,12.0317375597078
87,NW,Aachen I,Union,27.8,12.9669584007934
88,NW,Aachen II,Union,30.7,12.699244201649
89,NW,Heinsberg,Union,39.5,12.4185035252012
90,NW,Düren,Union,34.9,12.7114781718701
91,NW,Rhein-Erft-Kreis I,Union,33.5,12.10245957179
92,NW,Euskirchen – Rhein-Erft-Kreis II,Union,35.7,12.5855320470873
93,NW,Köln I,Union,26.4,12.047154145781
94,NW,Köln II,Union,28.5,12.9381488917861
95,NW,Köln III,Union,24.4,12.8069351487793
96,NW,Bonn,Union,29.8,12.6403294077609
97,NW,Rhein-Sieg-Kreis I,Union,34.1,12.3083062430378
98,NW,Rhein-Sieg-Kreis II,Union,35.5,12.2517650572117
99,NW,Oberbergischer Kreis,Union,36.5,12.3258888828568
100,NW,Rheinisch-Bergischer Kreis,Union,35.6,12.0236479225568
101,NW,Leverkusen – Köln IV,Union,28.1,12.2320777345449
102,NW,Wuppertal I,Union,26.5,12.1171936434694
103,NW,Solingen – Remscheid – Wuppertal II,Union,31.6,12.351267209975
104,NW,Mettmann I,Union,34,12.1743153745774
105,NW,Mettmann II,Union,32.6,12.2310459869914
106,NW,Düsseldorf I,Union,32,12.8471917435527
107,NW,Düsseldorf II,Union,28.5,12.3364707971923
108,NW,Neuss I,Union,35.9,12.7218321510591
109,NW,Mönchengladbach,Union,35.8,12.4073597486131
110,NW,Krefeld I – Neuss II,Union,35.6,12.5540728319902
111,NW,Viersen,Union,38.1,12.8919187788852
112,NW,Kleve,Union,41.6,12.181899581803
113,NW,Wesel I,Union,33.7,12.6490785861388
114,NW,Krefeld II – Wesel II,Union,30.9,12.0859281986486
115,NW,Duisburg I,Union,25.7,12.8618482844904
116,NW,Duisburg II,Union,22.4,12.7992942314595
117,NW,Oberhausen – Wesel III,Union,26.3,12.2908925637603
118,NW,Mülheim – Essen I,Union,28.1,12.2916949472856
119,NW,Essen II,Union,23.4,12.1106060091406
120,NW,Essen III,Union,30.1,12.4240450807847
121,NW,Recklinghausen I,Union,28.6,12.9231408778578
122,NW,Recklinghausen II,Union,29.4,12.8102274595294
123,NW,Gelsenkirchen,Union,22.4,12.9762841679621
124,NW,Steinfurt I – Borken I,Union,43.9,12.7020372103434
125,NW,Bottrop – Recklinghausen III,Union,29.9,12.5535852294415
126,NW,Borken II,Union,47,12.7361313835718
127,NW,Coesfeld – Steinfurt II,Union,44,12.098715448752
128,NW,Steinfurt III,Union,37.8,12.3323924851138
129,NW,Münster,Union,32.8,12.5879019291606
130,NW,Warendorf,Union,40.3,12.4113489706069
131,NW,Gütersloh I,Union,38.4,12.7402077342849
132,NW,Bielefeld – Gütersloh II,Union,27.6,12.2151669273153
133,NW,Herford – Minden-Lübbecke II,Union,31.7,12.0524819870479
134,NW,Minden-Lübbecke I,Union,32.8,12.767351930961
135,NW,Lippe I,Union,31.2,12.728704665089
136,NW,Höxter – Gütersloh III – Lippe II,Union,39.8,12.94885424315
137,NW,Paderborn,Union,40.8,12.6703154924326
138,NW,Hagen – Ennepe-Ruhr-Kreis I,Union,28.9,12.7940334808081
139,NW,Ennepe-Ruhr-Kreis II,Union,27.3,12.4620457892306
140,NW,Bochum I,Union,25.4,12.1267799546476
141,NW,Herne – Bochum II,Union,23.4,12.1800165614113
142,NW,Dortmund I,Union,24.5,12.7961227416527
143,NW,Dortmund II,Union,24.5,12.821632404346
144,NW,Unna I,Union,27.2,12.4433625822421
145,NW,Hamm – Unna II,Union,30.3,12.9711439146195
146,NW,Soest,Union,36.3,12.2252829053905
147,NW,Hochsauerlandkreis,Union,41.7,12.4134921196382
