date,union,spd,gru,fdp,lin,afd,unionave,spdave,gruave,fdpave,linave,afdave,unionfow,spdfow,grufow,fdpfow,linfow,afdfow,unionall,spdall,gruall,fdpall,linall,afdall,unionfor,spdfor,grufor,fdpfor,linfor,afdfor,unionemn,spdemn,gruemn,fdpemn,linemn,afdemn,unioninf,spdinf,gruinf,fdpinf,lininf,afdinf,uniongms,spdgms,grugms,fdpgms,lingms,afdgms,unionins,spdins,gruins,fdpins,linins,afdins,unionyou,spdyou,gruyou,fdpyou,linyou,afdyou,unionges,spdges,gruges,fdpges,linges,afdges
1998-09-27,,,,,,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,,35.1,40.9,6.7,6.2,5.1,
1998-09-29,38,42,6,4,5,,,,,,,,,,,,,,,,,,,,38,42,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-02,36,41,7,6,5,,37.4,41.2,6.5,5.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,36,41,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-09,35,42,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,35,42,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-10,36,42,7,6,5,,37.1,41.4,6.4,5.6,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,36,42,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-16,35,41,6,6,5,,,,,,,,35,44,6,5,4,,,,,,,,,,,,,,35,41,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-17,36,40,8,7,5,,36.3,41.5,6.5,5.8,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,36,40,8,7,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-23,35,42,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,35,42,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-24,36,40,8,7,5,,36,41.4,6.7,5.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,36,40,8,7,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-29,39,39,6,6,5,,,,,,,,,,,,,,,,,,,,39,39,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-30,37,39,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,37,39,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-31,36,41,7,6,5,,36,41,6.7,6.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,36,41,7,6,5,,,,,,,,,,,,,,,,,,,,36,41,6.7,6.1,4.9,
1998-11-05,38,39,7,6,5,,,,,,,,,,,,,,,,,,,,38,39,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-06,36,41,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,36,41,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-07,37,42,7,5,5,,36.5,40.7,6.8,5.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,37,42,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-12,38,39,6,6,6,,,,,,,,,,,,,,,,,,,,38,39,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-13,35,42,6,6,5,,,,,,,,35,44,7,4,4,,,,,,,,,,,,,,35,42,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-14,37,41,7,6,5,,36.8,40.7,6.6,5.6,5,,,,,,,,,,,,,,,,,,,,,,,,,,37,41,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-19,37,39,7,6,6,,,,,,,,,,,,,,,,,,,,37,39,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-20,37,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-21,37,42,7,5,5,,36.7,40.9,6.6,5.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,37,42,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-26,38,38,7,5,5,,,,,,,,,,,,,,,,,,,,38,38,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-27,36,39,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,36,39,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-11-28,37,42,7,5,5,,36.7,40.6,6.7,5.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,37,42,7,5,5,,,,,,,,,,,,,,,,,,,,36.7,40.6,6.7,5.4,5.1,
1998-12-03,39,38,7,5,5,,,,,,,,,,,,,,,,,,,,39,38,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-04,37,40,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-05,39,39,7,5,5,,37.4,39.8,6.8,5.4,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-10,39,38,6,5,6,,,,,,,,,,,,,,,,,,,,39,38,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-11,37,40,6,5,5,,,,,,,,36,44,7,4,4,,,,,,,,,,,,,,37,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-12,38,39,8,6,5,,37.6,39.7,6.8,5.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,38,39,8,6,5,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-16,36.3,39.4,7.2,6,,,,,,,,,,,,,,,36.3,39.4,7.2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-17,37,40,6,5,5,,,,,,,,,,,,,,,,,,,,37,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-18,37,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-19,38,40,8,5,5,,37.4,39.9,6.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,8,5,5,,,,,,,,,,,,,,,,,,,,37.4,39.9,6.7,5.2,,
1999-01-02,37,41,6,6,5,,37.4,40,6.7,5.2,,,,,,,,,,,,,,,,,,,,,37,41,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-07,37,39,7,5,5,,,,,,,,,,,,,,,,,,,,37,39,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-08,37,40,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,37,40,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-09,39,41,7,5,4,,37.2,40.3,6.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,39,41,7,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-14,37,39,7,5,6,,,,,,,,,,,,,,,,,,,,37,39,7,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-15,36,41,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,36,41,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-16,39,41,7,6,4,,37.4,40.2,6.7,5.4,5,,,,,,,,,,,,,,,,,,,,,,,,,,39,41,7,6,4,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-21,38,39,7,5,5,,,,,,,,,,,,,,,,,,,,38,39,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-22,38,40,6,5,5,,,,,,,,37,44,6,4,4,,,,,,,,,,,,,,38,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-23,40,40,6,5,5,,37.8,40.4,6.6,5.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-28,39,39,7,5,5,,,,,,,,,,,,,,,,,,,,39,39,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-29,38,39,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,38,39,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-30,39,41,6,5,4,,38.1,40.3,6.6,5.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,39,41,6,5,4,,,,,,,,,,,,,,,,,,,,38.1,40.3,6.6,5.2,4.9,
1999-02-04,39,39,6,6,5,,,,,,,,,,,,,,,,,,,,39,39,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-05,37,41,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,37,41,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-06,39,40,7,5,5,,38.4,40.2,6.5,5.1,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,39,40,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-11,40,38,6,6,5,,,,,,,,,,,,,,,,,,,,40,38,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-12,38,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-13,41,38,6,5,5,,39,39.5,6.4,5.3,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,41,38,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-18,41,38,6,5,5,,,,,,,,,,,,,,,,,,,,41,38,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-19,40,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-20,41,39,6,5,5,,39.5,39.4,6.2,5.2,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,41,39,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-25,42,37,6,6,4,,,,,,,,,,,,,,,,,,,,42,37,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-26,40,39,6,6,5,,,,,,,,39,42,6,4,4,,,,,,,,,,,,,,40,39,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-02-27,41,40,6,5,4,,40.3,39.1,6,5.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,41,40,6,5,4,,,,,,,,,,,,,,,,,,,,40.3,39.1,6,5.2,4.7,
1999-03-04,41,38,6,5,5,,,,,,,,,,,,,,,,,,,,41,38,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-05,40,39,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,40,39,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-06,41,38,6,5,5,,40.6,39,6,5.1,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,41,38,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-11,42,37,7,5,5,,,,,,,,,,,,,,,,,,,,42,37,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-12,40,39,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,40,39,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-13,42,38,6,5,5,,40.8,38.7,6.1,5.2,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,42,38,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-17,38.7,37,6.8,7.4,5.7,,,,,,,,,,,,,,38.7,37,6.8,7.4,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-18,43,35,7,5,5,,,,,,,,,,,,,,,,,,,,43,35,7,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-19,41,39,6,5,5,,,,,,,,41,41,5,5,4,,,,,,,,,,,,,,41,39,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-20,43,38,6,5,5,,41.2,38.1,6.2,5.3,5,,,,,,,,,,,,,,,,,,,,,,,,,,43,38,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-25,44,34,7,5,6,,,,,,,,,,,,,,,,,,,,44,34,7,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-26,40,38,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,40,38,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-27,43,36,7,5,6,,41.6,37.5,6.3,5.4,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,43,36,7,5,6,,,,,,,,,,,,,,,,,,,,41.6,37.5,6.3,5.4,5.2,
1999-04-01,44,34,6,5,6,,,,,,,,,,,,,,,,,,,,44,34,6,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
