nachname,vorname,status,beruf,partei,parlament,bundesland,number,color,numlin,numspd,numgru,numfdp,numcdu,numafd
Ulrich,Alexander,aktiv,MdB,Linke,Bundestag,Rheinland-Pfalz,1,#BC347520,1,0,0,0,0,0
Al-Dailami,Ali,aktiv,MdB,Linke,Bundestag,Hessen,1,#BC347520,1,0,0,0,0,0
Ali,Amira Mohamed,aktiv,MdB,Linke,Bundestag,Niedersachsen,1,#BC347520,1,0,0,0,0,0
Hahn,André,aktiv,MdB,Linke,Bundestag,Sachsen,1,#BC347520,1,0,0,0,0,0
Hunko,Andrej,aktiv,MdB,Linke,Bundestag,Nordrhein-Westfalen,1,#BC347520,1,0,0,0,0,0
Domscheit-Berg,Anke,aktiv,MdB,Linke,Bundestag,Brandenburg,1,#BC347520,1,0,0,0,0,0
Helm,Anne,aktiv,MdL,Linke,Landtag,Berlin,1,#BC347520,1,0,0,0,0,0
Gürpinar,Ates,aktiv,MdB,Linke,Bundestag,Bayern,1,#BC347520,1,0,0,0,0,0
Demir,Ayse,extern,Vorstandssprecherin des Türkischen Bundes in Berlin-Brandenburg,Linke,Landtag,Berlin,1,#BC3475,1,0,0,0,0,0
Riexinger,Bernd,aktiv,MdB,Linke,Bundestag,Baden-Württemberg,1,#BC347520,1,0,0,0,0,0
Hoff,Bianca,extern,Hygiene-Fachkraft,Linke,Landtag,Brandenburg,1,#BC3475,1,0,0,0,0,0
Keller,Birgit,aktiv,MdL,Linke,Landtag,Thüringen,1,#BC347520,1,0,0,0,0,0
Ramelow,Bodo,aktiv,MdL,Linke,Landtag,Thüringen,1,#BC347520,1,0,0,0,0,0
Lay,Caren,aktiv,MdB,Linke,Bundestag,Sachsen,1,#BC347520,1,0,0,0,0,0
Görke,Christian,aktiv,MdB,Linke,Bundestag,Brandenburg,1,#BC347520,1,0,0,0,0,0
Leye,Christian,aktiv,MdB,Linke,Bundestag,Nordrhein-Westfalen,1,#BC347520,1,0,0,0,0,0
Schaft,Christian,aktiv,MdL,Linke,Landtag,Thüringen,1,#BC347520,1,0,0,0,0,0
Schories,Christiane,extern,Krankenpflegerin,Linke,Landtag,Hessen,1,#BC3475,1,0,0,0,0,0
Buchheim,Christina,aktiv,MdL,Linke,Landtag,Sachsen-Anhalt,1,#BC347520,1,0,0,0,0,0
Bünger,Clara,aktiv,MdB,Linke,Bundestag,,1,#BC347520,1,0,0,0,0,0
Möhring,Cornelia,aktiv,MdB,Linke,Bundestag,Schleswig-Holstein,1,#BC347520,1,0,0,0,0,0
Lander,Dennis,aktiv,MdL,Linke,Landtag,Saarland,1,#BC347520,1,0,0,0,0,0
Bartsch,Dietmar,aktiv,MdB,Linke,Bundestag,Mecklenburg-Vorpommern,1,#BC347520,1,0,0,0,0,0
Zöllner,Dirk,extern,Musiker,Linke,Landtag,Mecklenburg-Vorpommern,1,#BC3475,1,0,0,0,0,0
Angern,Eva von,aktiv,MdL,Linke,Landtag,Sachsen-Anhalt,1,#BC347520,1,0,0,0,0,0
Kemski-Lilleike,Gerald,extern,ehemaliger Gewerkschafter,Linke,Landtag,Hamburg,1,#BC3475,1,0,0,0,0,0
Lötzsch,Gesine,aktiv,MdB,Linke,Bundestag,Berlin,1,#BC347520,1,0,0,0,0,0
Akbulut,Gökay,aktiv,MdB,Linke,Bundestag,Baden-Württemberg,1,#BC347520,1,0,0,0,0,0
Gysi,Gregor,aktiv,MdB,Linke,Bundestag,Berlin,1,#BC347520,1,0,0,0,0,0
Urban,Hans-Jürgen,extern,Gewerkschafter,Linke,Landtag,Hessen,1,#BC3475,1,0,0,0,0,0
Reichinnek,Heidi,aktiv,MdB,Linke,Bundestag,Niedersachsen,1,#BC347520,1,0,0,0,0,0
Latendorf,Ina,aktiv,MdB,Linke,Bundestag,Mecklenburg-Vorpommern,1,#BC347520,1,0,0,0,0,0
Kuche,Ines,extern,Gewerkschafterin,Linke,Landtag,Sachsen,1,#BC3475,1,0,0,0,0,0
Althaus,Jacqueline,extern,Gewerkschafterin,Linke,Landtag,Thüringen,1,#BC3475,1,0,0,0,0,0
Korte,Jan,aktiv,MdB,Linke,Bundestag,Sachsen-Anhalt,1,#BC347520,1,0,0,0,0,0
