nachname,vorname,status,beruf,partei,parlament,bundesland
Lehrer,Abraham,extern,Vizepräsident des Zentralrats der Juden in Deutschland,SPD,Landtag,Nordrhein-Westfalen
Post,Achim,aktiv,MdB,SPD,Bundestag,Nordrhein-Westfalen
Ahmetovic,Adis,aktiv,MdB,SPD,Bundestag,Niedersachsen
Brugger,Agnieszka,aktiv,MdB,Grüne,Bundestag,Baden-Württemberg
Hauptmann,Agnieszka,extern,Intensivpflegerin,CDU,Landtag,Saarland
Kurtovic,Ajla,extern,Angehörige eines Opfers des Anschlags in Hanau 2020,SPD,Landtag,Hessen
Füracker,Albert,aktiv,MdL,CSU,Landtag,Bayern
Rupprecht,Albert,aktiv,MdB,CSU,Bundestag,Bayern
Stegemann,Albert,aktiv,MdB,CDU,Bundestag,Niedersachsen
Glaser,Albrecht,aktiv,MdB,AfD,Bundestag,Hessen
Trauschel,Alena,aktiv,MdL,FDP/DVP,Landtag,Baden-Württemberg
Bauer,Alexander,aktiv,MdL,CDU,Landtag,Hessen
Becker,Alexander,aktiv,MdL,CDU,Landtag,Baden-Württemberg
Dierks,Alexander,aktiv,MdL,CDU,Landtag,Sachsen
Dobrindt,Alexander,aktiv,MdB,CSU,Bundestag,Bayern
Engelhard,Alexander,aktiv,MdB,CSU,Bundestag,Bayern
Flierl,Alexander,aktiv,MdL,CSU,Landtag,Bayern
Gauland,Alexander,aktiv,MdB,AfD,Bundestag,Brandenburg
Gerst,Alexander,extern,Astronaut,Grüne,Landtag,Baden-Württemberg
Lambsdorff,Alexander Graf,aktiv,MdB,FDP,Bundestag,Nordrhein-Westfalen
Hoffmann,Alexander,aktiv,MdB,CSU,Bundestag,Bayern
Hold,Alexander,aktiv,MdL,Freie Wähler,Landtag,Bayern
Jorde,Alexander,extern,Krankenpfleger,SPD,Landtag,Niedersachsen
König,Alexander,aktiv,MdL,CSU,Landtag,Bayern
Müller,Alexander,aktiv,MdB,FDP,Bundestag,Hessen
Muthmann,Alexander,aktiv,MdL,FDP,Landtag,Bayern
Radwan,Alexander,aktiv,MdB,CSU,Bundestag,Bayern
Schweitzer,Alexander,aktiv,MdL,SPD,Landtag,Rheinland-Pfalz
Throm,Alexander,aktiv,MdB,CDU,Bundestag,Baden-Württemberg
Ulrich,Alexander,aktiv,MdB,Linke,Bundestag,Rheinland-Pfalz
Wiesner,Alexander,aktiv,MdL,AfD,Landtag,Sachsen
Schaumburg-Lippe,Alexander zu,extern,Unternehmer,FDP,Landtag,Niedersachsen
Gauß,Alexandra,extern,Bürgermeisterin von Windeck,Grüne,Landtag,Nordrhein-Westfalen
Al-Dailami,Ali,aktiv,MdB,Linke,Bundestag,Hessen
