year,USA,Kanada,Mexiko,Sonstige Nordamerika,Brasilien,Argentinien,Venezuela,Kolumbien,Sonstige Südamerika,Südafrika,Ägypten,Algerien,Nigeria,Sonstige Afrika,Russland,Deutschland,Türkei,Großbritannien,Italien,Frankreich,Polen,Kasachstan,Spanien,Ukraine,Niederlande,Tschechien,Sonstige Europa,China,Indien,Japan,Iran,Indonesien,Südkorea,Saudi-Arabien,Australien,Thailand,Taiwan,Malaysia,Pakistan,Vietnam,Irak,VAE,Philippinen,Usbekistan,Katar,Kuwait,Bangladesch,Sonstige Asien
1960,2888, 193,  63,  34,  47,  49,  57,  16,  30,  98,  16,   6,   3,  33, 886, 814,  17, 584, 109, 271, 200,  92,  49, 267,  73,  99, 609, 779, 112, 232,  37,  21,  12,   3,  88,   4,  12,   4,  12,   8,   8,   0,   8,  44,   0,   8,   2,  95
1961,2877, 194,  65,  36,  49,  51,  52,  18,  31, 102,  17,   6,   4,  33, 914, 835,  17, 589, 124, 281, 207,  95,  54, 276,  76, 108, 635, 551, 121, 283,  36,  26,  14,   4,  90,   4,  12,   5,  12,   8,   9,   0,   9,  46,   0,  10,   2, 101
1962,2984, 207,  64,  43,  54,  54,  54,  19,  35, 106,  19,   6,   4,  32, 959, 883,  22, 593, 146, 299, 217,  99,  60, 290,  83, 115, 682, 439, 133, 293,  37,  23,  17,   6,  95,   5,  14,   5,  14,   9,   9,   0,  10,  48,   0,  14,   2, 110
1963,3116, 211,  66,  36,  56,  50,  56,  21,  36, 110,  22,   5,   5,  34,1028, 946,  23, 603, 165, 334, 231, 107,  59, 310,  91, 121, 743, 436, 143, 325,  41,  23,  21,   7, 101,   6,  15,   6,  16,   9,   9,   0,  12,  52,   6,  17,   3, 116
1964,3253, 238,  74,  43,  57,  56,  56,  22,  40, 120,  26,   6,   7,  36,1094, 969,  26, 608, 176, 346, 243, 113,  64, 330,  97, 126, 792, 436, 140, 359,  48,  22,  22,   7, 109,   8,  17,   7,  16,  12,   9,   0,  13,  55,   6,  25,   3, 127
1965,3388, 252,  75,  43,  56,  59,  61,  23,  41, 128,  28,   7,  12,  39,1160, 960,  27, 622, 190, 352, 247, 120,  71, 350, 100, 122, 824, 475, 154, 386,  54,  25,  25,   4, 121,   7,  18,   8,  17,  13,  19,   0,  14,  58,   6,  35,   3, 141
1966,3559, 259,  81,  43,  64,  63,  57,  24,  44, 128,  26,   8,  13,  44,1225, 951,  32, 618, 214, 348, 252, 127,  78, 370, 104, 122, 870, 522, 160, 419,  64,  23,  30,   6, 120,  10,  20,  10,  17,  19,  28,   0,  16,  62,   6,  35,   3, 148
1967,3693, 282,  90,  48,  66,  66,  66,  25,  45, 134,  20,   8,  13,  62,1281, 936,  34, 592, 234, 372, 259, 133,  86, 387, 107, 121, 890, 432, 160, 489,  68,  24,  35,  26, 129,  12,  22,  10,  18,  23,  18,   1,  18,  64,   7,  25,   3, 158
1968,3828, 303,  94,  49,  77,  69,  66,  27,  49, 138,  23,   9,   7,  81,1317, 985,  36, 606, 249, 385, 276, 137,  97, 398, 113, 127, 959, 468, 174, 562,  82,  28,  37,  29, 134,  17,  24,  10,  21,  24,  20,   1,  22,  66,   7,  22,   4, 180
1969,4022, 307, 102,  55,  84,  77,  69,  28,  53, 143,  20,  11,  12,  91,1372,1052,  39, 628, 270, 414, 293, 142,  97, 414, 116, 135,1027, 576, 178, 653,  83,  33,  42,  35, 142,  14,  26,   9,  20,  27,  23,  20,  23,  69,   7,  27,   4, 190
1970,4326, 341, 114,  65,  94,  83,  74,  28,  59, 150,  22,  15,  22,  94,1442,1026,  43, 653, 296, 440, 304, 150, 117, 436, 142, 154,1099, 770, 182, 768,  92,  36,  54,  45, 148,  15,  29,  15,  20,  28,  24,  15,  25,  72,   8,  25,   4, 223
1971,4351, 352, 126,  69, 102,  89,  62,  30,  63, 168,  23,  19,  32,  89,1531,1037,  48, 660, 311, 463, 313, 159, 128, 462, 141, 162,1122, 874, 192, 796, 102,  39,  58,  60, 153,  19,  32,  17,  19,  24,  29,  21,  28,  77,   9,  27,   4, 264
1972,4558, 381, 132,  73, 114,  90,  62,  31,  65, 172,  26,  28,  41,  85,1611,1042,  54, 648, 328, 482, 330, 167, 145, 486, 158, 164,1168, 929, 203, 852, 106,  43,  60,  70, 157,  22,  36,  18,  19,  23,  30,  23,  26,  81,  11,  28,   4, 258
1973,4762, 381, 144,  83, 132,  94,  66,  34,  67, 173,  24,  38,  50,  93,1679,1086,  59, 660, 353, 518, 336, 174, 155, 507, 165, 164,1243, 966, 209, 914, 130,  49,  73,  95, 171,  24,  40,  18,  20,  25,  31,  31,  32,  84,  12,  24,   4, 277
1974,4593, 390, 155,  83, 143,  96,  75,  36,  67, 177,  26,  32,  62,  91,1743,1063,  61, 617, 358, 500, 346, 180, 173, 526, 160, 166,1233, 985, 216, 914, 144,  51,  76,  99, 172,  24,  39,  19,  21,  19,  31,  31,  30,  87,  10,  19,   5, 287
1975,4401, 397, 164,  86, 150,  95,  64,  36,  67, 185,  31,  32,  47,  92,1832,1002,  65, 603, 341, 448, 375, 190, 181, 553, 152, 174,1252,1142, 234, 868, 139,  54,  82,  83, 176,  24,  44,  19,  23,  22,  33,  31,  32,  92,  11,  17,   5, 303
1976,4607, 399, 184, 100, 154, 100,  57,  38,  70, 193,  34,  39,  55,  98,1903,1091,  73, 598, 366, 507, 398, 197, 198, 574, 169, 180,1324,1191, 245, 907, 156,  62,  93, 102, 174,  29,  56,  24,  23,  14,  49,  40,  35,  95,  10,  18,   6, 320
1977,4735, 408, 192,  98, 162, 101,  64,  39,  69, 200,  38,  42,  50, 103,1967,1053,  81, 604, 354, 482, 418, 203, 195, 594, 164, 186,1341,1304, 259, 933, 164,  82, 106, 118, 188,  32,  61,  23,  24,  15,  44,  39,  37,  98,  10,  17,   6, 331
1978,4883, 416, 222,  95, 176, 103,  69,  42,  72, 202,  39,  62,  48, 110,2035,1079,  77, 605, 371, 507, 431, 210, 200, 614, 170, 188,1396,1455, 264, 902, 162,  94, 113, 115, 202,  35,  71,  23,  26,  15,  42,  45,  37, 102,  10,  21,   6, 338
1979,4894, 442, 240,  99, 187, 111,  76,  44,  75, 219,  43,  46,  70, 121,2052,1118,  75, 644, 385, 530, 441, 212, 203, 619, 187, 183,1432,1487, 277, 953, 164,  95, 133, 138, 205,  37,  76,  27,  28,  16,  53,  36,  38, 103,  14,  18,   7, 349
