"NA","Province/State","country","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","3/24/20","3/25/20","3/26/20","3/27/20","3/28/20","3/29/20","3/30/20","3/31/20","4/1/20","4/2/20","4/3/20","4/4/20","4/5/20","4/6/20","4/7/20","4/8/20","4/9/20","4/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","4/18/20","4/19/20","4/20/20","4/21/20","4/22/20","4/23/20","4/24/20","4/25/20","4/26/20","4/27/20","4/28/20","4/29/20","4/30/20","5/1/20","5/2/20","5/3/20","5/4/20","5/5/20","5/6/20","5/7/20","5/8/20","5/9/20","5/10/20","5/11/20","5/12/20","5/13/20","5/14/20","5/15/20","5/16/20","5/17/20","5/18/20","5/19/20","5/20/20","5/21/20","5/22/20","5/23/20","5/24/20","5/25/20","5/26/20","5/27/20","5/28/20","5/29/20","5/30/20","5/31/20","6/1/20","6/2/20","6/3/20","6/4/20","6/5/20","6/6/20","6/7/20","6/8/20","6/9/20","6/10/20","6/11/20","6/12/20","6/13/20","6/14/20","6/15/20","6/16/20","6/17/20","6/18/20","6/19/20","6/20/20","6/21/20","6/22/20","6/23/20","6/24/20","6/25/20","6/26/20","6/27/20","6/28/20","6/29/20","6/30/20","7/1/20","7/2/20","7/3/20","7/4/20","7/5/20","7/6/20","7/7/20","7/8/20","7/9/20","7/10/20","7/11/20","7/12/20","7/13/20","7/14/20","7/15/20","7/16/20","7/17/20","7/18/20","7/19/20","7/20/20","7/21/20","7/22/20","7/23/20","7/24/20","7/25/20","7/26/20","7/27/20","7/28/20","7/29/20","7/30/20","7/31/20","8/1/20","8/2/20","8/3/20","8/4/20","8/5/20","8/6/20","8/7/20","8/8/20","8/9/20","8/10/20","8/11/20","8/12/20","8/13/20","8/14/20","8/15/20","8/16/20","8/17/20","8/18/20","8/19/20","8/20/20","8/21/20","8/22/20","8/23/20","8/24/20","8/25/20","8/26/20","8/27/20","8/28/20","8/29/20","8/30/20","8/31/20","9/1/20","9/2/20","9/3/20","9/4/20","9/5/20","9/6/20","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","9/15/20","9/16/20","9/17/20","9/18/20","9/19/20","9/20/20","9/21/20","9/22/20","9/23/20","9/24/20","9/25/20","9/26/20","9/27/20","9/28/20","9/29/20","9/30/20","10/1/20","10/2/20","10/3/20","10/4/20","10/5/20"
NA,"","Jamaica","18.1096","-77.2975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","8","8","10","10","12","13","15","16","16","19","19","21","26","26","26","30","32","36","36","44","47","47","53","58","58","63","63","63","63","65","69","73","73","125","143","143","163","173","223","223","233","257","288","305","350","364","364","396","422","432","463","469","471","473","478","488","490","490","502","505","507","509","509","511","517","520","520","520","529","534","544","550","552","556","564","569","569","575","581","586","588","590","591","591","595","596","598","599","605","605","611","614","615","617","621","621","626","638","652","657","659","665","670","678","684","686","690","696","698","702","707","715","721","728","732","737","745","751","753","753","758","758","759","762","763","765","768","774","790","809","810","816","821","831","837","842","853","855","856","864","878","883","894","905","920","928","958","987","1003","1023","1031","1047","1065","1071","1082","1082","1113","1129","1146","1192","1290","1346","1346","1529","1612","1732","1804","1870","2011","2113","2357","2459","2459","2683","2896","2964","3024","3103","3183","3323","3437","3511","3511","3623","3771","3933","4042","4164","4374","4571","4758","4988","5143","5270","5395","5588","5723","5854","6017","6170","6408","6482","6555","6704","6795","6895","7012"
NA,"","Japan","36.204824","138.252924","2","2","2","2","4","4","7","7","11","15","20","20","20","22","23","23","23","24","24","26","27","28","33","43","54","60","67","79","85","95","112","137","149","160","173","192","218","236","245","259","278","298","333","365","420","466","499","527","585","640","696","733","795","826","843","893","928","968","1022","1059","1104","1144","1217","1314","1416","1530","1728","1907","2001","2255","2535","2818","3154","3525","3876","4110","4485","5020","5614","6250","6951","7473","7773","8277","8835","9398","9958","10548","10914","11258","11641","12037","12469","12854","13186","13405","13576","13860","14076","14284","14558","14861","15061","15229","15354","15455","15553","15640","15755","15824","15861","15948","15998","16096","16148","16202","16226","16259","16287","16321","16362","16385","16410","16451","16472","16502","16528","16598","16673","16716","16751","16787","16837","16867","16911","16958","17000","17039","17060","17111","17146","17187","17250","17293","17369","17439","17484","17530","17588","17658","17725","17780","17820","17879","17963","18055","18162","18254","18366","18476","18615","18838","19055","19185","19461","19668","19848","20055","20261","20617","21044","21430","21841","22125","22437","23172","23510","24104","24946","25446","25706","26463","27136","28114","28883","29684","30548","31142","32116","33382","35144","36234","37804","39116","40099","41347","42686","44167","45764","47342","48782","49617","50302","51288","52471","53818","55051","56074","56717","57636","58728","59900","60949","61916","62658","63158","63888","64779","65653","66499","67353","67958","68396","69023","69619","70278","70866","71467","71918","72213","72724","73264","73916","74558","75206","75646","75914","76446","76997","77488","78061","78662","79142","79462","79773","80009","80490","81054","81703","82186","82484","83022","83591","84244","84768","85345","85746","86027"
NA,"","Jordan","31.24","36.51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","8","17","34","52","69","85","85","112","127","154","172","212","235","246","259","268","274","278","299","310","323","345","349","353","358","372","372","381","389","391","397","401","402","407","413","417","425","428","435","437","441","444","447","449","449","451","453","459","460","461","465","471","473","494","508","522","540","562","576","582","586","596","607","613","629","649","672","684","700","704","708","711","718","720","728","730","734","739","746","755","757","765","784","795","808","831","845","863","890","915","953","961","979","981","987","1001","1008","1015","1033","1042","1047","1071","1086","1104","1111","1121","1128","1132","1133","1136","1147","1150","1164","1167","1169","1169","1169","1173","1176","1179","1183","1198","1201","1206","1209","1214","1218","1223","1113","1120","1131","1146","1154","1168","1176","1182","1187","1191","1193","1208","1213","1218","1224","1231","1232","1237","1246","1252","1268","1283","1303","1320","1329","1339","1378","1398","1438","1482","1498","1532","1576","1609","1639","1716","1756","1801","1869","1893","1966","2034","2097","2161","2233","2301","2353","2411","2478","2581","2659","2739","2945","3062","3314","3528","3677","3852","4131","4344","4540","4779","5045","5679","6042","6591","7211","8061","8492","9226","10049","11825","13101","13650","14749","15640","17464"
NA,"","Kazakhstan","48.0196","66.9237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","9","10","33","35","44","49","53","60","62","72","81","111","150","228","284","302","343","380","435","464","531","584","662","697","727","781","812","865","951","1091","1232","1295","1402","1546","1615","1676","1852","1995","2135","2289","2482","2601","2717","2835","3027","3138","3402","3597","3857","3920","4049","4205","4422","4578","4834","4975","5090","5207","5279","5417","5571","5689","5850","6157","6751","6751","6969","7234","7919","7919","8531","8969","8969","9304","9576","9932","10382","10858","11308","11571","12067","12067","12312","12511","12694","12859","13074","13319","13872","13872","14238","14496","15192","15542","15877","15877","16779","17225","17732","18231","18765","19285","19750","20319","20319","21327","21819","22308","41065","42574","45719","47171","48574","49683","51059","51059","54747","56455","58253","58253","61755","63514","65188","66895","68703","68703","71838","73468","75153","75153","78486","80226","81720","83122","84648","86192","87664","89078","90367","90367","92662","93820","94882","95942","96922","97829","98701","99442","100164","100855","101372","101848","102287","102696","103033","103300","103571","103815","104071","104313","104543","104718","104902","105075","105243","105408","105558","105684","105795","105872","105944","106032","106121","106225","106301","106361","106425","106498","106584","106661","106729","106803","106855","106920","106984","107056","107134","107199","107262","107307","107374","107450","107529","107590","107659","107723","107775","107833","107908","107979","108044","108106","108177","108236","108296"
NA,"","Kenya","-0.0236","37.9062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3","3","3","3","7","7","7","15","16","25","28","31","31","38","42","50","59","81","110","122","126","142","158","172","179","184","189","191","197","208","216","225","234","246","262","270","281","296","303","320","336","343","355","363","374","384","396","411","435","465","490","535","582","607","621","649","672","700","715","737","758","781","830","887","912","963","1029","1109","1161","1192","1214","1286","1348","1471","1618","1745","1888","1962","2021","2093","2216","2340","2474","2600","2767","2872","2989","3094","3215","3305","3457","3594","3727","3860","4044","4257","4374","4478","4738","4797","4952","5206","5384","5533","5811","6070","6190","6366","6673","6941","7188","7577","7886","8067","8250","8528","8975","9448","9726","10105","10294","10791","11252","11673","12062","12750","13353","13771","14168","14805","15601","16268","16643","17603","17975","18581","19125","19913","20636","21363","22053","22597","23202","23873","24411","25138","25837","26436","26928","27425","28104","28754","29334","29849","30120","30365","30636","31015","31441","31763","32118","32364","32557","32803","33016","33389","33630","33794","34057","34201","34315","34493","34705","34884","35020","35103","35205","35356","35460","35603","35793","35969","36157","36205","36301","36301","36576","36724","36829","36981","37079","37218","37348","37489","37707","37871","38115","38168","38378","38529","38713","38923","39184","39427","39449"
NA,"","Korea, South","35.90775700000001","127.766922","1","1","2","2","3","4","4","4","4","11","12","15","15","16","19","23","24","24","25","27","28","28","28","28","28","29","30","31","31","104","204","433","602","833","977","1261","1766","2337","3150","3736","4335","5186","5621","6088","6593","7041","7314","7478","7513","7755","7869","7979","8086","8162","8236","8320","8413","8565","8652","8799","8961","8961","9037","9137","9241","9332","9478","9583","9661","9786","9887","9976","10062","10156","10237","10284","10331","10384","10423","10450","10480","10512","10537","10564","10591","10613","10635","10653","10661","10674","10683","10694","10708","10718","10728","10738","10752","10761","10765","10774","10780","10793","10801","10804","10806","10810","10822","10840","10874","10909","10936","10962","10991","11018","11037","11050","11065","11078","11110","11122","11142","11165","11190","11206","11225","11265","11344","11402","11441","11468","11503","11541","11590","11629","11668","11719","11776","11814","11852","11902","11947","12003","12051","12085","12121","12155","12198","12257","12306","12373","12421","12438","12484","12535","12563","12602","12653","12715","12757","12800","12850","12904","12967","13030","13091","13137","13181","13244","13293","13338","13373","13417","13479","13512","13551","13612","13672","13711","13745","13771","13816","13879","13938","13979","14092","14150","14175","14203","14251","14269","14305","14336","14366","14389","14423","14456","14499","14519","14562","14598","14626","14660","14714","14770","14873","15039","15318","15515","15761","16058","16346","16670","17002","17399","17665","17945","18265","18706","19077","19400","19699","19947","20182","20449","20644","20842","21010","21177","21296","21432","21588","21743","21919","22055","22176","22285","22391","22504","22657","22783","22893","22975","23045","23106","23216","23341","23455","23516","23611","23661","23699","23812","23889","23952","24027","24091","24164","24239"
NA,"","Kosovo","42.602636","20.902977","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","13","16","19","20","21","24","31","33","61","63","71","86","88","91","94","106","112","125","126","135","140","145","165","184","224","227","250","283","362","377","387","423","449","480","510","561","598","604","630","669","703","731","763","780","790","799","806","813","823","851","855","856","860","861","862","870","884","895","919","927","945","955","978","985","988","989","1003","1004","1025","1032","1038","1038","1047","1048","1052","1064","1070","1083","1110","1123","1142","1147","1158","1194","1234","1263","1269","1298","1326","1384","1437","1486","1615","1756","1833","1916","1998","2073","2169","2216","2268","2363","2432","2494","2590","2677","2799","2878","2991","3064","3178","3356","3508","3703","3886","4100","4307","4512","4715","4931","5118","5237","5369","5472","5617","5735","5877","6045","6286","6467","6680","6917","7137","7413","7652","7846","8104","8104","8104","8799","9049","9274","9274","9688","9869","9869","9869","10419","10419","10419","10795","11130","11275","11275","11275","11545","11545","11545","12168","12168","12448","12448","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683","12683"
NA,"","Kuwait","29.311659999999996","47.481766","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","11","26","43","45","45","45","56","56","56","58","58","61","64","64","69","72","80","80","104","112","123","130","142","148","159","176","188","189","191","195","208","225","235","255","266","289","317","342","417","479","556","665","743","855","910","993","1154","1234","1300","1355","1405","1524","1658","1751","1915","1995","2080","2248","2399","2614","2892","3075","3288","3440","3740","4024","4377","4619","4983","5278","5804","6289","6567","7208","7623","8688","9286","10277","11028","11975","12860","13802","14850","15691","16764","17568","18609","19564","20464","21302","21967","22575","23267","24112","25184","26192","27043","27762","28649","29359","29921","30644","31131","31848","32510","33140","33823","34432","34952","35466","35920","36431","36958","37533","38074","38678","39145","39650","40291","41033","41879","42788","43703","44391","44942","45524","46195","46940","47859","48672","49303","49941","50644","51245","52007","52840","53580","54058","54894","55508","56174","56877","57668","58221","58904","59204","59763","60434","61185","61872","62625","63309","63773","64379","65149","65903","66529","66957","67448","67911","68299","68774","69425","70045","70727","71199","71713","72400","73068","73785","74486","75185","75697","76205","76827","77470","78145","78767","79269","79957","80528","80960","81573","82271","82945","83578","84224","84636","85109","85811","86478","87378","88243","88963","89582","90387","91244","92082","92822","93475","94211","94764","95472","96301","96999","97824","98528","99049","99434","99964","100683","101299","101851","102441","103199","103544","103981","104568","105182","105676","106087","106458","107025","107592"
NA,"","Kyrgyzstan","41.20438","74.766098","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","6","14","14","16","42","44","44","58","58","84","94","107","111","116","130","144","147","216","228","270","280","298","339","377","419","430","449","466","489","506","554","568","590","612","631","665","665","682","695","708","729","746","756","769","795","830","843","871","895","906","931","1002","1016","1037","1044","1082","1111","1117","1138","1216","1243","1270","1313","1350","1365","1403","1433","1468","1520","1594","1662","1722","1748","1817","1845","1871","1899","1936","1974","2007","2032","2055","2093","2166","2166","2207","2285","2472","2562","2657","2657","2789","2981","3356","3356","3726","3954","4204","4446","4513","5017","5296","5506","6261","6767","6878","7094","7377","8141","8279","8847","9358","9910","10410","11117","11444","11444","12282","12498","13101","24606","27143","27143","28251","28980","31247","31247","32124","32813","33296","33844","34592","35223","35805","36299","36719","37129","37541","38110","38659","39162","39571","39919","40085","40455","40759","41069","41373","41645","41856","41991","42146","42325","42507","42703","42889","43023","43126","43245","43358","43459","43587","43712","43820","43898","43958","44036","44135","44199","44293","44403","44458","44487","44613","44684","44761","44828","44881","44928","44999","45072","45153","45244","45335","45335","45471","45542","45630","45757","45932","46090","46251","46355","46522","46669","46841","47056","47184","47428","47635"
NA,"","Laos","19.856270000000002","102.495496","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","6","6","8","8","8","9","10","10","10","10","11","12","14","15","16","16","18","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23"
