date,casebis4,case5bis14,case15bis34,case35bis59,case60bis79,caseab80,deathbis4,death5bis14,death15bis34,death35bis59,death60bis79,deathab80
2020-10-02,1.75,6.83,39.86,35.15,10.71,5.7,0,0,0,8.7,34.78,56.52
2020-10-03,1.86,6.66,38.99,35.91,12.95,3.62,0,0,0,8.33,33.33,58.33
2020-10-04,2.53,7.67,40.51,35.54,10.63,3.14,0,0,0,11.11,33.33,55.56
2020-10-05,1.38,6.09,38.13,37.96,11.93,4.51,0,0,0,0,25.71,74.29
2020-10-06,2.59,7.45,38.48,36.69,11.61,3.18,0,0,0,0,29.63,70.37
2020-10-07,1.52,6.47,37.21,39.33,12.07,3.41,0,0,0,17.14,34.29,48.57
2020-10-08,1.99,6.64,38.12,37.82,11.82,3.62,0,0,0,2.5,40,57.5
2020-10-09,2.22,6.53,38.48,37.63,11.26,3.88,0,0,0,5,32.5,62.5
2020-10-10,1.87,7.14,37.7,38.19,11.08,4.02,0,0,0,2.7,21.62,75.68
2020-10-11,2.46,7.3,38.01,36.21,12.54,3.48,0,0,0,0,40.91,59.09
2020-10-12,2.2,6.57,38.27,36.34,11.4,5.21,0,0,0,1.67,28.33,70
2020-10-13,1.96,6.41,37.22,38.13,12.78,3.5,0,0,0,7.41,29.63,62.96
2020-10-14,2.48,6.27,36.74,37.69,12.52,4.31,0,0,0,4.92,34.43,60.66
2020-10-15,1.97,6.37,37.37,37.71,12.63,3.95,0,0,0,9.09,20.78,70.13
2020-10-16,2.18,5.86,37.42,36.89,12.66,4.99,0,0,0,3.45,25.29,71.26
2020-10-17,1.79,5.87,36.87,38.23,12.7,4.54,0,0,0,3.39,27.12,69.49
2020-10-18,2.12,6.8,38.04,36.08,12.21,4.76,0,0,0,3.85,23.08,73.08
2020-10-19,2.4,6.76,36.13,37.83,12.37,4.52,0,0,0,7.14,28.57,64.29
2020-10-20,1.83,6.11,34.58,38.62,13.42,5.45,0,0,0,6.4,32.8,60.8
2020-10-21,1.91,5.96,35.2,39.51,12.66,4.75,0,0,0,4.38,31.39,64.23
2020-10-22,1.89,5.75,35.98,38,12.93,5.45,0,0,0,2.14,32.62,65.24
2020-10-23,1.91,6.05,35.58,38.43,12.82,5.22,0,0,0,3.19,28.72,68.09
2020-10-24,1.98,6.7,35.33,38.31,12.76,4.92,0,0,0,3.42,31.62,64.96
2020-10-25,2.03,5.99,34.85,37.61,13.64,5.88,0,0.86,0,6.03,28.45,64.66
2020-10-26,2.28,5.97,34.63,37.25,13.62,6.26,0,0,0,3.98,30.09,65.93
2020-10-27,1.93,5.59,34.03,39.36,13.65,5.45,0,0,1.32,6.17,28.19,64.32
2020-10-28,2,6.12,32.92,40.04,13.6,5.31,0,0,0.43,4.72,33.48,61.37
2020-10-29,1.94,6.11,33.69,39.53,13.55,5.18,0,0.39,0,2.76,34.25,62.6
2020-10-30,1.89,6.68,34.32,38.54,13.33,5.23,0,0,0,4.22,21.94,73.84
2020-10-31,2.02,6.44,33.34,38.31,14.07,5.81,0,0,0,5.41,28.11,66.49
2020-11-01,2.39,6.47,34.41,37.68,13.43,5.62,0,0,0,3.7,36.42,59.88
2020-11-02,2.02,6.19,34.56,37.7,13.15,6.38,0,0.38,0,4.55,30.3,64.77
2020-11-03,1.95,6.14,33.39,39.19,13.69,5.64,0,0,0,6.05,32.17,61.78
2020-11-04,1.71,6.06,31.81,40.13,14.08,6.22,0,0,0.33,3.64,24.5,71.52
2020-11-05,1.78,6.4,33.55,38.36,14.07,5.84,0,0,0.31,4.35,28.57,66.77
2020-11-06,2.02,6.63,33.8,38.33,13.74,5.48,0,0,0.89,4.91,25,69.2
2020-11-07,2.17,7.26,33.29,37.66,13.61,6.02,0,0,0.49,3.9,30.73,64.88
2020-11-08,1.98,7.11,32.64,37.72,14.25,6.3,0,0,0,1.33,31.33,67.33
2020-11-09,1.82,6.93,34.18,37.54,13.31,6.22,0,0,0.34,4.41,29.15,66.1
2020-11-10,1.94,6.58,32.11,39.35,13.5,6.52,0,0,0,5.35,24.53,70.13
2020-11-11,1.77,6.76,32.48,38.29,13.7,7,0,0,0.25,1.76,31.66,66.33
2020-11-12,1.86,7.06,32.08,38.53,13.9,6.58,0,0,0.25,3.82,25.95,69.97
2020-11-13,1.93,7.2,31.86,37.89,13.85,7.27,0,0,0.52,3.87,25.52,70.1
2020-11-14,2.09,7.4,30.73,37.67,13.87,8.25,0,0,0,4.6,20.98,74.43
2020-11-15,2.05,7.71,30.36,37.84,14.05,7.99,0,0,0,1.44,26.44,72.12
2020-11-16,1.89,6.94,30.97,37.34,14.21,8.65,0,0,0,3.34,27.68,68.97
2020-11-17,1.64,6.31,29.56,39.79,14.44,8.26,0,0,0,4.41,27.31,68.28
2020-11-18,1.69,7.33,30.58,38.88,13.7,7.83,0,0,0,2.38,24.55,73.07
