"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","totrel"
"Berlin","Kreisfreie Stadt","Berlin",3664088,3944,3,"de-be-11000000",108
"Flensburg","Kreisfreie Stadt","Schleswig-Holstein",89934,46,0,"de-sh-01001000",51
"Kiel","Kreisfreie Stadt","Schleswig-Holstein",246601,124,0,"de-sh-01002000",50
"Lübeck","Kreisfreie Stadt","Schleswig-Holstein",215846,118,3,"de-sh-01003000",55
"Neumünster","Kreisfreie Stadt","Schleswig-Holstein",79905,28,0,"de-sh-01004000",35
"Dithmarschen","Kreis","Schleswig-Holstein",133251,61,0,"de-sh-01051000",46
"Herzogtum Lauenburg","Kreis","Schleswig-Holstein",199152,129,1,"de-sh-01053000",65
"Nordfriesland","Kreis","Schleswig-Holstein",167147,93,0,"de-sh-01054000",56
"Ostholstein","Kreis","Schleswig-Holstein",201487,95,0,"de-sh-01055000",47
"Pinneberg","Kreis","Schleswig-Holstein",317085,410,0,"de-sh-01056000",129
"Plön","Kreis","Schleswig-Holstein",129353,38,0,"de-sh-01057000",29
"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein",274765,70,0,"de-sh-01058000",25
"Schleswig-Flensburg","Kreis","Schleswig-Holstein",202647,67,0,"de-sh-01059000",33
"Segeberg","Kreis","Schleswig-Holstein",278007,189,1,"de-sh-01060000",68
"Steinburg","Kreis","Schleswig-Holstein",130706,50,0,"de-sh-01061000",38
"Stormarn","Kreis","Schleswig-Holstein",244989,333,1,"de-sh-01062000",136
"Hamburg","Kreisfreie Stadt","Hamburg",1852478,1945,6,"de-hh-02000000",105
"Braunschweig","Kreisfreie Stadt","Niedersachsen",248561,213,2,"de-ni-03101000",86
"Salzgitter","Kreisfreie Stadt","Niedersachsen",103866,113,1,"de-ni-03102000",109
"Wolfsburg","Kreisfreie Stadt","Niedersachsen",123840,111,1,"de-ni-03103000",90
"Gifhorn","Landkreis","Niedersachsen",177227,231,0,"de-ni-03151000",130
"Goslar","Landkreis","Niedersachsen",134688,146,0,"de-ni-03153000",108
"Helmstedt","Landkreis","Niedersachsen",91518,107,2,"de-ni-03154000",117
"Northeim","Landkreis","Niedersachsen",131772,77,0,"de-ni-03155000",58
"Peine","Landkreis","Niedersachsen",135844,112,0,"de-ni-03157000",82
"Wolfenbüttel","Landkreis","Niedersachsen",119361,104,1,"de-ni-03158000",87
"Göttingen","Landkreis","Niedersachsen",323900,315,1,"de-ni-03159000",97
"Region Hannover","Landkreis","Niedersachsen",1155330,1180,0,"de-ni-03241000",102
"Diepholz","Landkreis","Niedersachsen",218072,117,0,"de-ni-03251000",54
"Hameln-Pyrmont","Landkreis","Niedersachsen",148580,107,0,"de-ni-03252000",72
"Hildesheim","Landkreis","Niedersachsen",275464,325,5,"de-ni-03254000",118
"Holzminden","Landkreis","Niedersachsen",70207,75,0,"de-ni-03255000",107
