"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","Datum","totrel"
"Flensburg","Kreisfreie Stadt","Schleswig-Holstein",89934,71,1,"de-sh-01001000","29.4.2022",79
"Kiel","Kreisfreie Stadt","Schleswig-Holstein",246601,215,0,"de-sh-01002000","29.4.2022",87
"Lübeck","Kreisfreie Stadt","Schleswig-Holstein",215846,135,1,"de-sh-01003000","29.4.2022",63
"Neumünster","Kreisfreie Stadt","Schleswig-Holstein",79905,81,0,"de-sh-01004000","29.4.2022",101
"Regionalverband Saarbrücken","Landkreis","Saarland",327502,704,1,"de-sl-10041000","29.4.2022",215
"Merzig-Wadern","Landkreis","Saarland",103471,136,0,"de-sl-10042000","29.4.2022",131
"Neunkirchen","Landkreis","Saarland",131172,202,0,"de-sl-10043000","29.4.2022",154
"Saarlouis","Landkreis","Saarland",193732,251,1,"de-sl-10044000","29.4.2022",130
"Saarpfalz-Kreis","Landkreis","Saarland",141656,189,0,"de-sl-10045000","29.4.2022",133
"St. Wendel","Landkreis","Saarland",86458,153,0,"de-sl-10046000","29.4.2022",177
"Dithmarschen","Kreis","Schleswig-Holstein",133251,98,2,"de-sh-01051000","29.4.2022",74
"Herzogtum Lauenburg","Kreis","Schleswig-Holstein",199152,151,0,"de-sh-01053000","29.4.2022",76
"Nordfriesland","Kreis","Schleswig-Holstein",167147,137,1,"de-sh-01054000","29.4.2022",82
"Ostholstein","Kreis","Schleswig-Holstein",201487,116,1,"de-sh-01055000","29.4.2022",58
"Pinneberg","Kreis","Schleswig-Holstein",317085,470,1,"de-sh-01056000","29.4.2022",148
"Plön","Kreis","Schleswig-Holstein",129353,51,0,"de-sh-01057000","29.4.2022",39
"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein",274765,98,0,"de-sh-01058000","29.4.2022",36
"Schleswig-Flensburg","Kreis","Schleswig-Holstein",202647,116,0,"de-sh-01059000","29.4.2022",57
"Segeberg","Kreis","Schleswig-Holstein",278007,272,1,"de-sh-01060000","29.4.2022",98
"Steinburg","Kreis","Schleswig-Holstein",130706,65,1,"de-sh-01061000","29.4.2022",50
"Stormarn","Kreis","Schleswig-Holstein",244989,365,0,"de-sh-01062000","29.4.2022",149
"Berlin","Kreisfreie Stadt","Berlin",3664088,4480,4,"de-be-11000000","29.4.2022",122
"Brandenburg an der Havel","Kreisfreie Stadt","Brandenburg",72040,159,0,"de-bb-12051000","29.4.2022",221
"Cottbus","Kreisfreie Stadt","Brandenburg",98693,290,0,"de-bb-12052000","29.4.2022",294
"Frankfurt (Oder)","Kreisfreie Stadt","Brandenburg",57015,190,0,"de-bb-12053000","29.4.2022",333
"Potsdam","Kreisfreie Stadt","Brandenburg",182112,275,0,"de-bb-12054000","29.4.2022",151
"Barnim","Landkreis","Brandenburg",187343,348,0,"de-bb-12060000","29.4.2022",186
"Dahme-Spreewald","Landkreis","Brandenburg",173316,390,0,"de-bb-12061000","29.4.2022",225
"Elbe-Elster","Landkreis","Brandenburg",101085,389,0,"de-bb-12062000","29.4.2022",385
"Havelland","Landkreis","Brandenburg",164693,267,1,"de-bb-12063000","29.4.2022",162
"Märkisch-Oderland","Landkreis","Brandenburg",197195,376,0,"de-bb-12064000","29.4.2022",191
"Oberhavel","Landkreis","Brandenburg",214234,403,0,"de-bb-12065000","29.4.2022",188
"Oberspreewald-Lausitz","Landkreis","Brandenburg",108396,383,0,"de-bb-12066000","29.4.2022",353
"Oder-Spree","Landkreis","Brandenburg",179276,465,1,"de-bb-12067000","29.4.2022",259
"Ostprignitz-Ruppin","Landkreis","Brandenburg",98808,209,0,"de-bb-12068000","29.4.2022",212
"Potsdam-Mittelmark","Landkreis","Brandenburg",217954,280,0,"de-bb-12069000","29.4.2022",128
"Prignitz","Landkreis","Brandenburg",76096,233,0,"de-bb-12070000","29.4.2022",306
"Spree-Neiße","Landkreis","Brandenburg",113011,326,0,"de-bb-12071000","29.4.2022",288
"Teltow-Fläming","Landkreis","Brandenburg",171554,323,1,"de-bb-12072000","29.4.2022",188
"Uckermark","Landkreis","Brandenburg",118250,250,0,"de-bb-12073000","29.4.2022",211
"Rostock","Kreisfreie Stadt","Mecklenburg-Vorpommern",209061,146,0,"de-mv-13003000","29.4.2022",70
"Schwerin","Kreisfreie Stadt","Mecklenburg-Vorpommern",95609,165,1,"de-mv-13004000","29.4.2022",173
"Mecklenburgische Seenplatte","Landkreis","Mecklenburg-Vorpommern",258057,231,0,"de-mv-13071000","29.4.2022",90
"Rostock","Landkreis","Mecklenburg-Vorpommern",217072,309,0,"de-mv-13072000","29.4.2022",142
"Vorpommern-Rügen","Landkreis","Mecklenburg-Vorpommern",225383,268,1,"de-mv-13073000","29.4.2022",119
