...1,Typ,Bundesland,Einwohner,Tote,Infizierte,Fälle pro 100.000,hc-key...8,lat,lon,bl,inf,tot,hc-key...14
null,null,null,null,614,23478,null,null,null,null,Baden-Württemberg,2086860,14246,de-bw
null,null,null,null,760,31773,null,null,null,null,Bayern,2767775,21315,de-by
null,null,null,null,46,4446,null,null,null,null,Berlin,735479,4243,de-be
null,null,null,null,48,1867,null,null,null,null,Brandenburg,511358,5180,de-bb
null,null,null,null,11,442,null,null,null,null,Bremen,114552,680,de-hb
null,null,null,null,42,3739,null,null,null,null,Hamburg,348358,2293,de-hh
null,null,null,null,138,5815,null,null,null,null,Hessen,1062551,9176,de-he
null,null,null,null,11,600,null,null,null,null,Mecklenburg-Vorpommern,237300,1761,de-mv
null,null,null,null,190,7670,null,null,null,null,Niedersachsen,1040326,7447,de-ni
null,null,null,null,534,25651,null,null,null,null,Nordrhein-Westfalen,3043990,22213,de-nw
null,null,null,null,65,4701,null,null,null,null,Rheinland-Pfalz,570130,4990,de-rp
null,null,null,null,35,1842,null,null,null,null,Saarland,158166,1400,de-sl
null,null,null,null,64,3601,null,null,null,null,Sachsen,932847,14299,de-sn
null,null,null,null,18,1137,null,null,null,null,Sachsen-Anhalt,408719,4745,de-st
null,null,null,null,40,2084,null,null,null,null,Schleswig-Holstein,317110,2109,de-sh
null,null,null,null,25,1443,null,null,null,null,Thüringen,409586,6605,de-th
Hamburg,Kreisfreie Stadt,Hamburg,1841179,2293,348358,null,de-hh-02000000,53.5463773461,10.0207944156,null,null,null,null
Berlin,Kreisfreie Stadt,Berlin,3754418,4243,735479,null,de-be-11000000,52.5015315807,13.4018502444,null,null,null,null
Flensburg,Kreisfreie Stadt,Schleswig-Holstein,89934,57,12729,1383,de-sh-01001000,54.7849933768,9.43852835486,null,null,null,null
Kiel,Kreisfreie Stadt,Schleswig-Holstein,246601,157,28169,805,de-sh-01002000,54.3248406926,10.1322443646,null,null,null,null
Lübeck,Kreisfreie Stadt,Schleswig-Holstein,215846,126,27629,790,de-sh-01003000,53.8723167338,10.7272831058,null,null,null,null
