Bundesland,Tote,Infizierte,pop,hckey,einwohner,lat,lon
Baden-Württemberg,15747,3477453,11097320.1094391,de-bw,11103043,48.2,8.5
Bayern,23526,4620823,13144380.3009576,de-by,13140183,49,12
Berlin,4480,997355,3663919.06005222,de-be,3664088,52.3,13.2
Brandenburg,5556,761059,2532753.28467153,de-bb,2531071,53,12.8
Bremen,749,185452,679782.02247191,de-hb,680130,52.8,8
Hamburg,2524,540800,1853310.64356436,de-hh,1852478,53.4,9.4
Hessen,9915,1719615,6295739.41798942,de-he,6293154,50.6,8.5
Mecklenburg-Vorpommern,2155,466532,1611480.21828104,de-mv,1610774,54,11.1
Niedersachsen,8724,2146681,7998824.06209573,de-ni,8003421,52.1,8.7
Nordrhein-Westfalen,24709,4931158,17924290.9319899,de-nw,17925570,51.3,8.2
Rheinland-Pfalz,5508,1071474,4097892.81045752,de-rp,4098391,49.7,7.8
Saarland,1635,299067,984077.205882353,de-sl,983991,49,7.4
Sachsen,15272,1462933,4054506.97674419,de-sn,4056941,50.9,13.5
Sachsen-Anhalt,5248,689114,2179921.01551481,de-st,2180684,51.6,12.4
Schleswig-Holstein,2441,651363,2910084.48928121,de-sh,2910875,54.6,9.3
Thüringen,7103,689890,2119083.8150289,de-th,2120237,50.3,11.5
