land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24
Österreich,Austria,Burgenland,AT,AT11,39,37,28,14,6,4,3,3,1,1,0,2,3,5,7,9,11,11,8,7,16,24,28,35,53,73,90,125,153,287,522,752,943,826,625,447,296,272,220,252,280,239,213
Österreich,Austria,Niederösterreich,AT,AT12,63,62,34,9,9,7,9,9,4,2,3,4,5,5,5,11,15,12,10,15,21,24,33,61,85,100,108,128,171,276,444,665,788,732,603,454,389,338,288,311,313,273,231
Österreich,Austria,Wien,AT,AT13,46,52,28,17,17,17,20,20,17,16,16,15,16,20,23,25,32,34,37,59,88,97,117,185,221,232,243,283,323,406,511,583,815,804,538,413,381,326,237,239,264,231,188
Österreich,Austria,Kärnten,AT,AT21,24,25,15,4,2,0,0,0,1,0,1,2,2,2,3,3,2,4,8,21,22,10,7,13,23,37,40,68,98,153,310,565,1077,1237,1021,798,615,535,385,348,362,301,230
Österreich,Austria,Steiermark,AT,AT22,49,54,29,12,9,4,4,2,1,1,0,1,3,5,6,8,10,8,6,11,17,23,25,34,48,48,45,63,119,257,457,759,923,839,731,593,503,404,286,288,300,243,203
Österreich,Austria,Oberösterreich,AT,AT31,61,45,18,5,3,1,2,2,1,2,2,3,13,31,37,35,35,27,19,29,41,38,35,48,67,76,88,132,198,400,709,1178,1474,1326,1056,698,525,449,319,304,296,234,192
Österreich,Austria,Salzburg,AT,AT32,88,60,23,6,1,0,1,1,0,0,1,4,6,5,8,12,12,14,17,26,31,25,22,32,54,70,79,155,310,501,675,970,1330,1366,1095,776,648,539,435,589,650,481,394
Österreich,Austria,Tirol,AT,AT33,148,180,92,18,10,3,3,2,1,1,1,1,2,4,5,7,11,9,5,27,45,51,67,109,136,122,124,197,306,494,739,1153,1438,1340,1043,692,544,430,293,345,344,218,195
Österreich,Austria,Vorarlberg,AT,AT34,79,62,30,5,3,3,3,5,3,2,2,0,1,1,1,2,8,10,8,16,21,22,41,95,130,108,109,149,267,535,823,1231,1515,1242,797,594,483,380,339,372,366,253,203
Belgien,Belgium,Brussels,BE,BE1,124,192,166,124,79,48,40,28,24,21,20,17,8,10,18,20,25,56,97,126,147,142,147,177,282,396,516,864,1350,1993,2152,1425,738,446,300,221,190,190,179,155,222,285,264
