land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25,2021-05-02,2021-05-09,2021-05-16,2021-05-23,2021-05-30,2021-06-06,2021-06-13,2021-06-20,2021-06-27,2021-07-04,2021-07-11,2021-07-18,2021-07-25,2021-08-01,2021-08-08,2021-08-15,2021-08-22,2021-08-29,2021-09-05,2021-09-12,2021-09-19,2021-09-26,2021-10-03,2021-10-10,2021-10-17,2021-10-24,2021-10-31
Österreich,Austria,Burgenland,AT,AT11,58,32,24,16,8,4,2,3,2,1,0,1,4,6,6,8,11,12,9,6,13,21,29,35,45,64,82,109,148,230,513,855,949,823,613,465,358,266,233,255,283,252,217,196,188,206,253,330,404,466,495,539,511,402,307,235,195,136,84,60,50,32,21,22,22,20,17,16,20,33,38,55,92,120,163,193,196,162,144,179,191,255,422
Österreich,Austria,Niederösterreich,AT,AT12,86,53,31,12,8,6,7,6,4,3,3,4,5,4,4,9,14,13,11,14,20,24,30,49,84,100,100,121,151,238,435,664,782,745,623,500,407,334,288,287,302,270,231,212,211,226,275,356,413,443,506,555,552,465,349,279,219,166,113,83,72,58,41,27,16,13,14,24,32,43,56,80,120,148,178,253,293,255,227,236,312,473,704
Österreich,Austria,Wien,AT,AT13,66,46,26,18,17,16,20,21,17,17,15,14,15,19,22,24,31,35,38,51,80,93,103,158,223,232,235,276,293,368,563,663,752,741,551,431,363,294,241,232,244,234,201,192,186,197,243,316,396,455,547,622,611,545,487,414,318,231,149,102,73,60,58,53,41,34,42,61,73,85,99,135,205,264,314,384,424,376,320,298,276,313,414
Österreich,Austria,Kärnten,AT,AT21,40,24,11,2,1,0,0,0,1,1,0,1,3,2,3,3,2,3,8,19,21,11,7,10,20,31,39,58,89,130,281,567,994,1216,1094,831,604,516,445,429,456,393,313,284,255,256,271,316,356,394,394,385,410,417,401,359,313,249,176,115,73,53,38,21,9,3,8,23,41,59,68,84,105,115,146,186,207,220,258,278,276,399,640
Österreich,Austria,Steiermark,AT,AT22,69,50,28,15,9,6,4,2,1,0,0,1,2,4,6,7,10,9,6,9,17,23,25,32,47,50,45,58,101,212,443,755,903,838,735,625,499,388,313,297,314,271,221,224,231,239,278,310,325,351,374,392,380,339,323,350,352,301,212,125,81,55,34,15,7,6,11,31,41,50,63,84,129,152,163,192,223,211,227,285,320,421,591
Österreich,Austria,Oberösterreich,AT,AT31,85,41,17,8,3,1,1,1,1,2,2,2,8,27,38,34,34,28,20,24,37,42,35,41,65,74,86,122,176,346,691,1205,1462,1317,1057,723,537,444,353,337,327,270,213,192,174,170,202,246,287,345,395,435,440,414,403,387,336,260,178,121,91,63,41,22,12,10,14,29,45,59,75,112,180,249,300,352,386,382,389,401,455,643,981
Österreich,Austria,Salzburg,AT,AT32,129,57,22,8,3,1,0,1,1,1,0,3,5,4,7,11,13,14,14,20,27,26,23,28,51,63,74,121,247,466,687,971,1219,1281,1178,871,626,533,495,601,656,544,449,392,327,271,261,319,412,490,548,556,492,416,374,369,340,244,142,87,57,35,22,18,13,8,10,55,112,116,108,140,177,227,294,349,351,298,302,351,419,639,1002
Österreich,Austria,Tirol,AT,AT33,244,143,69,19,10,5,3,2,1,1,1,1,1,3,5,6,8,11,8,27,50,56,69,100,127,116,127,176,274,480,792,1205,1433,1331,1058,759,504,348,317,327,322,255,216,228,213,178,166,196,235,276,357,443,458,396,382,393,360,282,194,152,116,96,75,35,13,7,17,38,56,70,95,131,152,164,183,204,196,184,194,198,235,375,585
Österreich,Austria,Vorarlberg,AT,AT34,113,61,30,8,3,1,1,3,3,2,2,1,1,1,1,2,7,10,10,15,18,19,31,80,128,114,109,152,247,431,787,1236,1500,1319,839,579,493,394,340,360,369,294,310,287,198,179,142,130,150,145,135,192,250,279,325,405,459,387,280,193,159,137,77,34,19,13,11,30,62,74,91,133,184,210,221,250,267,224,181,155,149,270,582
Belgien,Belgium,Brussels,BE,BE1,151,163,154,129,80,49,39,30,24,20,18,16,13,15,17,18,24,47,89,127,145,141,139,178,282,369,518,855,1368,1999,2104,1416,732,447,307,215,184,189,179,150,219,288,263,243,261,266,269,323,363,407,527,657,645,538,471,485,450,370,305,285,285,230,178,116,81,87,137,209,262,306,372,452,504,541,576,578,556,510,461,428,474,638,783
