land,country,name,id,nuts,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-04,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14,2021-03-21,2021-03-28,2021-04-04,2021-04-11,2021-04-18,2021-04-25
Österreich,Austria,Burgenland,AT,AT11,38,37,28,14,6,4,3,3,1,1,0,2,3,5,7,9,11,11,8,7,16,23,28,35,53,73,89,124,152,286,521,750,940,824,623,446,295,271,219,251,279,238,212,201,201,212,270,347,423,505,514,515,475,419,332,219
Österreich,Austria,Niederösterreich,AT,AT12,63,62,34,9,9,7,9,9,4,2,3,4,5,5,5,11,15,12,10,15,21,24,33,60,84,100,108,127,170,275,442,662,785,729,600,452,387,336,287,310,312,272,230,198,205,226,286,375,422,447,500,557,560,475,356,273
Österreich,Austria,Wien,AT,AT13,46,52,28,17,17,17,20,20,17,16,16,15,16,20,23,25,32,34,36,59,88,96,117,184,220,231,241,281,321,403,507,578,809,798,534,410,378,323,236,238,263,229,186,180,187,211,250,322,405,497,562,614,630,580,484,339
Österreich,Austria,Kärnten,AT,AT21,24,25,15,4,2,0,0,0,1,0,1,2,2,2,3,3,2,4,8,21,22,10,7,13,23,37,40,68,98,153,310,565,1076,1236,1021,797,615,535,385,348,362,301,230,474,494,269,287,330,369,380,370,373,400,432,428,345
Österreich,Austria,Steiermark,AT,AT22,49,54,29,12,9,4,4,2,1,1,0,1,3,5,6,8,10,8,6,11,17,23,25,34,48,48,45,63,118,257,455,757,920,837,729,591,501,403,285,287,299,242,202,241,258,239,278,315,336,351,353,375,384,349,330,350
Österreich,Austria,Oberösterreich,AT,AT31,60,44,18,5,3,1,2,2,1,2,2,3,13,31,37,35,35,27,19,29,41,37,35,48,66,76,87,131,197,398,705,1171,1466,1319,1050,694,522,446,317,303,294,233,191,261,249,172,202,247,294,356,388,419,435,428,417,386
Österreich,Austria,Salzburg,AT,AT32,87,60,23,6,1,0,1,1,0,0,1,4,6,5,8,12,12,14,17,26,31,25,22,32,54,69,79,154,308,499,672,964,1323,1359,1089,772,644,536,432,586,646,478,391,460,412,279,269,330,419,502,547,534,478,420,396,376
Österreich,Austria,Tirol,AT,AT33,147,180,92,18,10,3,3,2,1,1,1,1,2,4,5,7,11,9,5,27,45,51,67,108,135,122,124,196,304,492,736,1149,1432,1335,1039,690,542,428,292,343,343,217,194,258,249,187,180,199,239,290,354,439,462,420,425,399
Österreich,Austria,Vorarlberg,AT,AT34,78,62,29,5,3,3,3,5,3,2,2,0,1,1,1,2,8,10,8,16,20,22,41,95,129,108,109,148,265,532,817,1222,1504,1234,791,590,480,377,337,369,363,251,202,318,316,171,138,140,150,142,139,199,246,296,343,405
Belgien,Belgium,Brussels,BE,BE1,123,191,165,123,78,47,40,28,24,21,20,17,8,10,18,20,25,55,96,125,146,141,146,176,280,393,513,858,1341,1979,2138,1416,733,443,298,219,188,188,178,154,221,284,262,244,257,261,272,325,361,413,538,661,646,526,471,479
