date,fall,hospital,tot
11/2020,6432,524,84
12/2020,22387,2230,476
13/2020,33962,5145,1461
14/2020,36053,6106,2270
15/2020,27133,4736,1877
16/2020,17338,3380,1222
17/2020,12350,2236,727
18/2020,7434,1363,387
19/2020,6230,1082,257
20/2020,4759,758,164
21/2020,3602,512,112
22/2020,3207,422,64
23/2020,2352,307,45
24/2020,2344,290,33
25/2020,4185,324,41
26/2020,3165,296,24
27/2020,2693,263,26
28/2020,2422,257,25
29/2020,3041,322,30
30/2020,3937,335,33
31/2020,4840,387,36
32/2020,6068,405,34
33/2020,7956,446,31
34/2020,9596,438,31
35/2020,8833,373,18
36/2020,8615,406,35
37/2020,9762,476,68
38/2020,12291,687,82
39/2020,13070,783,110
40/2020,15933,890,122
41/2020,26124,1618,245
42/2020,42056,2361,463
43/2020,74870,4170,1015
44/2020,110995,6002,1621
45/2020,125718,6919,1899
46/2020,127817,7620,2529
47/2020,128394,8176,3218
48/2020,123146,8397,3587
49/2020,128368,9259,4466
50/2020,156306,11353,5743
51/2020,174695,12658,6437
52/2020,138927,11115,5700
53/2020,123082,11055,5711
1/2021,145493,11260,5719
2/2021,118915,10005,5083
3/2021,95553,8936,4085
4/2021,78176,7576,3080
5/2021,64586,6518,2249
6/2021,50818,5240,1676
7/2021,52438,5156,1472
8/2021,56390,4854,1219
9/2021,58433,4446,1046
10/2021,71396,4918,1096
11/2021,92666,5800,1277
12/2021,116350,6903,1520
13/2021,110127,6959,1582
14/2021,118270,7616,1579
15/2021,142090,7850,1618
16/2021,144801,8024,1611
17/2021,124813,6778,1296
18/2021,100979,5529,1006
19/2021,70815,4067,665
20/2021,52708,2795,443
21/2021,29902,1722,259
22/2021,20690,1143,141
23/2021,14060,812,66
24/2021,7279,526,46
25/2021,4847,362,30
26/2021,4380,318,24
27/2021,5585,363,25
28/2021,9108,413,29
29/2021,12640,586,40
30/2021,15515,786,71
31/2021,20423,1011,88
32/2021,32070,1670,144
33/2021,49648,2354,223
34/2021,66382,3189,347
35/2021,74751,3265,428
36/2021,71674,3287,445
37/2021,61478,2776,384
38/2021,53608,2470,349
39/2021,56489,2542,419
40/2021,58009,2615,483
41/2021,65357,3057,574
42/2021,97723,4729,1033
43/2021,137026,5901,1262
44/2021,177887,6998,1655
45/2021,271290,8738,2251
46/2021,351716,10303,2672
47/2021,403328,10908,3037
48/2021,388246,10504,2809
49/2021,338189,9707,2466
50/2021,273604,7874,1939
51/2021,193933,5444,1247
52/2021,208746,5237,994
1/2022,338100,5192,821
2/2022,486010,5047,657
3/2022,795989,6692,813
4/2022,1110871,8019,1035
5/2022,1290563,9697,1346
6/2022,1308009,10002,1523
7/2022,1191346,10041,1539
8/2022,1091013,9640,1361
9/2022,1128965,9297,1343
10/2022,1402666,10745,1455
11/2022,1570182,11545,1476
12/2022,1574004,11161,1325
13/2022,1284829,9760,967
14/2022,978719,8427,685
15/2022,772344,6433,382
16/2022,718855,5448,198
