date,erst,zweit,bion,moderna,astra
2020-12-27,23716,0,23716,0,0
2020-12-28,18740,0,18740,0,0
2020-12-29,42649,0,42649,0,0
2020-12-30,58039,0,58039,0,0
2020-12-31,38739,0,38739,0,0
2021-01-01,24750,0,24750,0,0
2021-01-02,52177,0,52177,0,0
2021-01-03,24985,0,24985,0,0
2021-01-04,48708,0,48708,0,0
2021-01-05,52472,0,52472,0,0
2021-01-06,59185,0,59185,0,0
2021-01-07,58458,0,58458,0,0
2021-01-08,60444,0,60444,0,0
2021-01-09,57332,0,57332,0,0
2021-01-10,33417,0,33417,0,0
2021-01-11,65713,0,65713,0,0
2021-01-12,82075,0,82075,0,0
2021-01-13,99076,0,98281,795,0
2021-01-14,100153,114,95619,4648,0
2021-01-15,92389,428,87367,5450,0
2021-01-16,56696,397,55235,1858,0
2021-01-17,30895,13754,43235,1414,0
2021-01-18,58292,16372,72626,2038,0
2021-01-19,68757,27229,94465,1521,0
2021-01-20,78385,50654,127740,1299,0
2021-01-21,60782,35435,95118,1099,0
2021-01-22,84260,31355,114278,1337,0
2021-01-23,49031,43996,92644,383,0
2021-01-24,38211,28088,66055,244,0
2021-01-25,58186,39761,96474,1473,0
2021-01-26,53188,49597,101197,1588,0
2021-01-27,54056,59493,111638,1911,0
2021-01-28,51746,48941,94204,6483,0
2021-01-29,56061,53793,108450,1404,0
2021-01-30,39588,48587,87302,873,0
2021-01-31,31325,31478,62461,342,0
2021-02-01,50382,65900,114705,1577,0
2021-02-02,58303,69846,126121,2028,0
2021-02-03,58278,85198,137982,5494,0
2021-02-04,63502,72814,131254,5062,0
2021-02-05,60075,73877,129834,4118,0
2021-02-06,49282,55444,101325,3401,0
2021-02-07,33507,26539,56587,3459,0
2021-02-08,54886,51814,102676,4008,16
2021-02-09,59723,65379,121677,3319,106
2021-02-10,75368,75422,138356,4932,7502
2021-02-11,71530,72682,124424,5962,13826
2021-02-12,80223,78658,135545,9536,13800
2021-02-13,63675,46712,94329,3378,12680
2021-02-14,39805,27002,56977,2851,6979
2021-02-15,70849,56309,108779,3320,15059
2021-02-16,81606,54789,108347,4634,23414
2021-02-17,94921,54797,123343,7107,19268
2021-02-18,93720,52512,115033,7216,23983
2021-02-19,97394,53524,119143,7978,23797
2021-02-20,75015,37666,86353,5460,20868
2021-02-21,56605,28935,65796,4220,15524
2021-02-22,99239,53262,119239,7498,25764
2021-02-23,104634,56161,127681,6367,26747
2021-02-24,117123,58180,133080,7638,34585
2021-02-25,127479,52966,125484,6215,48746
2021-02-26,137312,59042,133320,7163,55871
2021-02-27,107928,38857,93940,4159,48686
2021-02-28,85901,28001,67289,3621,42992
2021-03-01,141713,50291,129116,7816,55072
2021-03-02,161894,55678,143826,8427,65319
2021-03-03,173913,67312,162242,11637,67346
2021-03-04,176987,62759,143755,12609,83382
2021-03-05,188305,63381,141827,12440,97419
2021-03-06,146684,47357,108247,7918,77876
2021-03-07,113639,34546,83967,6634,57584
2021-03-08,178518,53293,136431,11425,83955
2021-03-09,192759,55042,140446,11776,95579
2021-03-10,211619,67585,158573,11901,108730
2021-03-11,224570,62892,154083,12501,120878
2021-03-12,231719,69422,150612,14263,136266
2021-03-13,187749,48253,113027,8784,114191
2021-03-14,129871,35242,88153,4834,72126
2021-03-15,175637,57098,147427,11482,73826
2021-03-16,110703,65877,165281,9779,1520
2021-03-17,120044,76892,180430,15055,1451
2021-03-18,115228,73278,170666,16354,1486
2021-03-19,147110,79554,177516,17201,31947
2021-03-20,152813,52650,132648,13848,58967
2021-03-21,124684,39127,106191,8893,48727
2021-03-22,155286,67303,145733,18027,58829
