date,erst,zweit,dritt,bion,moderna,astra,johnson,average,erstave,zweitave,drittave,bionave,modernaave,astraave,johnsonave
2020-12-28,18037,64,0,18099,1,1,0,,0,0,0,0,0,0,0
2020-12-29,50052,652,1,50704,0,1,0,,0,0,0,0,0,0,0
2020-12-30,64169,34,0,64202,1,0,0,,0,0,0,0,0,0,0
2020-12-31,49929,87,0,50013,2,1,0,,0,0,0,0,0,0,0
2021-01-01,25673,13,1,25664,16,5,2,,0,0,0,0,0,0,0
2021-01-02,48007,78,0,48082,1,0,2,,0,0,0,0,0,0,0
2021-01-03,22579,9,0,22577,11,0,0,39912,39778,134,0,39906,5,1,1
2021-01-04,46112,103,0,46184,13,0,18,43928,43789,139,0,43918,6,1,3
2021-01-05,52649,95,0,52729,15,0,0,44220,44160,60,0,44207,8,1,3
2021-01-06,63096,86,0,63170,9,3,0,44074,44006,67,0,44060,10,1,3
2021-01-07,54816,189,0,54992,9,3,1,44787,44705,82,0,44771,11,2,3
2021-01-08,62767,105,0,62815,54,3,0,50099,50004,95,0,50078,16,1,3
2021-01-09,60618,151,0,60756,12,1,0,51911,51805,105,0,51889,18,1,3
2021-01-10,35898,118,0,35996,18,1,1,53829,53708,121,0,53806,19,2,3
2021-01-11,68554,101,0,68636,17,2,0,57035,56914,121,0,57013,19,2,0
2021-01-12,79111,71,0,79153,24,4,1,60812,60694,117,0,60788,20,2,0
2021-01-13,112104,205,0,111126,1183,0,0,67830,67695,134,0,67639,188,2,0
2021-01-14,83934,217,0,78980,5169,2,0,71993,71855,138,0,71066,925,2,0
2021-01-15,90902,921,0,86517,5285,19,2,76129,75874,255,0,74452,1673,4,1
2021-01-16,56873,1223,0,56400,1694,1,1,75747,75339,408,0,73830,1913,4,1
2021-01-17,30808,17016,0,46557,1265,1,1,77434,74612,2822,0,75338,2091,4,1
2021-01-18,67629,15632,0,78996,4263,2,0,79521,74480,5041,0,76818,2698,4,1
2021-01-19,83818,35994,0,115992,3769,51,0,85325,75153,10173,0,82081,3233,11,1
