date,erst,zweit,bion,moderna,astra,average
2020-12-27,24460,11,23716,0,0,
2020-12-28,18341,0,18341,0,0,
2020-12-29,48879,589,49468,0,0,
2020-12-30,62454,4,62458,0,0,
2020-12-31,49905,140,50045,0,0,
2021-01-01,19273,0,19272,0,1,
2021-01-02,52822,276,53098,0,0,39593
2021-01-03,24208,1,24209,0,0,39556
2021-01-04,48390,0,48390,0,0,43849
2021-01-05,54036,25,54060,1,0,44505
2021-01-06,62857,1,62850,6,2,44562
2021-01-07,55857,4,55857,4,0,45393
2021-01-08,63169,318,63439,48,0,51709
2021-01-09,61320,46,61366,0,0,52890
2021-01-10,35263,8,35271,0,0,54471
2021-01-11,67396,48,67443,1,0,57193
2021-01-12,82735,50,82778,5,2,61296
2021-01-13,111380,196,110779,797,0,68256
2021-01-14,82525,187,78084,4628,0,72092
2021-01-15,90806,603,85952,5438,19,76080
2021-01-16,56559,899,55686,1772,0,75522
2021-01-17,31332,17128,47154,1305,1,77406
2021-01-18,66537,15729,78231,4034,1,79524
2021-01-19,81774,33413,111669,3468,50,84153
2021-01-20,80572,51536,129354,2750,4,87086
2021-01-21,64216,40732,102236,2712,0,90262
2021-01-22,67582,34702,100229,2043,12,91816
2021-01-23,40615,44936,85167,383,1,95829
2021-01-24,25645,24386,49783,244,4,96054
2021-01-25,56058,38070,92404,1722,2,97748
2021-01-26,50429,48648,97419,1652,6,95447
2021-01-27,51385,59685,109105,1957,8,92441
2021-01-28,45132,46335,89831,1635,1,90515
2021-01-29,51010,57336,106876,1405,65,91381
2021-01-30,35444,52284,86853,874,1,91692
2021-01-31,26693,31426,57743,376,0,92848
2021-02-01,60051,61792,119576,2210,57,96807
2021-02-02,63921,67017,128055,2868,15,101359
2021-02-03,64581,95113,153285,6389,20,108305
2021-02-04,61578,70510,126208,5874,6,114108
2021-02-05,67613,77489,138697,6398,7,119359
2021-02-06,47067,52994,97594,2466,1,121121
2021-02-07,28185,26071,51905,2349,2,120569
2021-02-08,53440,56699,106256,3859,24,118897
2021-02-09,59235,74194,129436,3883,110,119253
2021-02-10,74320,75473,138889,3865,7039,117838
2021-02-11,74525,68277,120058,7292,15452,119369
2021-02-12,80759,74966,131600,9873,14252,120886
2021-02-13,62174,46117,92404,3048,12839,122062
2021-02-14,39942,25065,55255,2402,7350,123598
2021-02-15,71149,55811,107415,4813,14732,126001
2021-02-16,81614,53744,106163,5672,23523,126277
2021-02-17,94375,55725,122418,7951,19731,126320
2021-02-18,92142,51162,110900,7936,24468,126392
2021-02-19,99353,53872,118171,9800,25254,126035
2021-02-20,76435,37823,88166,4470,21622,126887
2021-02-21,56918,28991,67376,3228,15305,129873
2021-02-22,100012,60400,126285,9098,25029,134652
2021-02-23,107172,59696,132313,7158,27397,139154
2021-02-24,116115,59283,132301,7736,35361,142768
2021-02-25,130242,58429,130831,6647,51193,149249
2021-02-26,143979,65087,139916,8717,60433,157226
2021-02-27,108512,40162,92976,4190,51508,162143
2021-02-28,83839,24288,62406,3956,41765,165317
2021-03-01,146057,49296,128508,9452,57393,170308
2021-03-02,165905,53622,140519,10115,68893,177831
2021-03-03,174445,68932,156761,13802,72814,187542
2021-03-04,180068,62627,142337,13978,86380,195260
2021-03-05,201261,67371,147100,13321,108211,203769
2021-03-06,153079,49295,110731,8596,83047,211441
2021-03-07,115855,34379,82370,6737,61127,217456
2021-03-08,186358,52485,135623,10998,92222,223669
2021-03-09,195309,54769,140129,12731,97218,228033
2021-03-10,217584,65661,157602,11402,114241,233729
2021-03-11,220503,60914,149068,13222,119127,239260
2021-03-12,251666,71595,152664,17535,153062,247065
2021-03-13,196782,49457,114635,9737,121867,253331
2021-03-14,134968,36000,89455,5146,76367,256293
2021-03-15,189267,58860,152344,12377,83406,257619
2021-03-16,112012,67033,166082,11051,1912,247472
2021-03-17,125609,79397,185633,17965,1408,236295
2021-03-18,119287,75453,174987,18177,1576,223912
2021-03-19,160620,82771,184258,20517,38616,212502
2021-03-20,166207,53890,136424,15272,68401,208768
2021-03-21,127285,38780,104604,9209,52252,208067
2021-03-22,189826,76187,165524,23639,76850,210622
2021-03-23,213755,83752,180111,20124,97272,227546
2021-03-24,245501,88009,196895,33066,103549,245903
2021-03-25,256887,80044,188333,27242,121356,266216
2021-03-26,284768,88955,201363,36379,135981,284835
2021-03-27,222629,63206,151632,27360,106843,294226
2021-03-28,143293,52755,117490,18526,60032,298510
2021-03-29,218663,88994,187109,25710,94838,304459
2021-03-30,233863,93350,215081,26074,86058,308702
2021-03-31,237451,103030,248797,38037,53647,309698
2021-04-01,229442,92419,234728,31971,55162,307545
2021-04-02,157954,71615,181172,16520,31877,286952
2021-04-03,165618,66028,173344,17071,41231,279211
2021-04-04,142460,53590,135299,11112,49639,279211
2021-04-05,175958,73433,168052,17914,63425,270887
2021-04-06,278767,99087,257584,33183,87087,278122
2021-04-07,579844,97090,541558,35765,99611,326186
2021-04-08,640943,89732,571432,35242,124001,384588
2021-04-09,533772,87988,486042,35520,100198,440616
2021-04-10,302163,65472,244921,23193,99521,460043
2021-04-11,209714,50028,166989,18036,74717,469142
2021-04-12,338205,76572,278073,28601,108103,492768
2021-04-13,497055,73095,428253,26612,115285,520239
2021-04-14,689764,82764,616236,33188,123104,533895
2021-04-15,606674,69321,529845,36253,109897,526084
2021-04-16,516870,74582,436185,30718,124549,521754
2021-04-17,304626,55416,221806,21882,116354,520669
2021-04-18,225954,38739,170159,14218,80316,521377
2021-04-19,337222,60433,288753,31706,77196,518931
2021-04-20,492225,61132,376771,37781,138805,516532
2021-04-21,639741,70723,447575,38937,223952,507665
2021-04-22,563493,64540,375970,40642,211421,500814
2021-04-23,479892,65964,347290,41534,157032,494300
