date,erst,zweit,bion,moderna,astra,johnson,average,erstave,zweitave,bionave,modernaave,astraave,johnsonave
2020-12-28,18035,65,18100,0,0,0,,,,,,,
2020-12-29,49967,653,50619,0,1,0,,,,,,,
2020-12-30,64016,32,64048,0,0,0,,,,,,,
2020-12-31,49947,87,50034,0,0,0,,,,,,,
2021-01-01,25531,6,25528,6,3,0,,,,,,,
2021-01-02,48011,76,48087,0,0,0,,,,,,,
2021-01-03,22548,4,22550,2,0,0,39854,39722,132,39852,1,1,0
2021-01-04,46001,51,46051,1,0,0,43847,43717,130,43845,1,1,0
2021-01-05,52628,87,52714,1,0,0,44146,44097,49,44145,1,0,0
2021-01-06,63037,88,63116,6,3,0,44015,43958,57,44011,2,1,0
2021-01-07,54808,20,54820,5,2,1,44699,44652,47,44695,3,1,0
2021-01-08,62656,103,62707,51,1,0,50017,49956,61,50006,9,1,0
2021-01-09,60565,144,60705,3,1,0,51820,51749,71,51809,10,1,0
2021-01-10,35919,114,36024,9,0,0,53746,53659,87,53734,11,1,0
2021-01-11,68137,55,68176,14,2,0,56909,56821,87,56895,13,1,0
2021-01-12,78958,60,78998,17,3,0,60666,60583,83,60649,15,2,0
2021-01-13,111779,203,110805,1177,0,0,67646,67546,100,67462,182,1,0
2021-01-14,83893,212,78947,5158,0,0,71828,71701,127,70909,918,1,0
2021-01-15,90650,918,86272,5277,19,0,75944,75700,244,74275,1665,4,0
2021-01-16,56787,1223,56327,1682,1,0,75558,75160,398,73650,1905,4,0
2021-01-17,30792,17015,46543,1262,1,1,77240,74428,2812,75153,2084,4,0
2021-01-18,67247,15623,78613,4256,1,0,79337,74301,5036,76644,2690,4,0
2021-01-19,83597,36131,115912,3765,51,0,85153,74964,10189,81917,3225,10,0
2021-01-20,78928,53644,129729,2839,4,0,88094,70271,17824,84620,3463,11,0
2021-01-21,64466,40902,102550,2817,2,0,91132,67495,23637,87992,3128,11,0
2021-01-22,68680,33507,99983,2191,13,0,92649,64357,28292,89951,2687,10,0
2021-01-23,40438,46480,86560,355,3,0,96779,62021,34757,94270,2498,11,0
2021-01-24,25676,22101,47574,199,4,0,96774,61290,35484,94417,2346,11,0
2021-01-25,52219,38782,89547,1451,3,0,97936,59143,38792,95979,1945,11,0
2021-01-26,50574,47663,96790,1440,7,0,94866,54426,40440,93248,1613,5,0
2021-01-27,50918,58421,107539,1791,8,1,91547,50424,41122,90078,1463,6,0
2021-01-28,46804,45649,90821,1629,3,0,89702,47901,41800,88402,1294,6,0
2021-01-29,49799,57729,105976,1481,71,0,90465,45204,45261,89258,1192,14,0
2021-01-30,34577,53498,87192,880,3,0,90630,44367,46263,89348,1267,14,0
2021-01-31,25749,31388,56754,378,5,0,91967,44377,47590,90660,1293,14,0
2021-02-01,58216,61808,117757,2212,55,0,96113,45234,50879,94690,1402,22,0
2021-02-02,65498,67202,129552,3127,21,0,101037,47366,53671,99370,1643,24,0
2021-02-03,64543,98271,156391,6397,26,0,108676,49312,59364,106349,2301,26,0
2021-02-04,62061,72377,128534,5897,8,0,114674,51492,63182,111737,2910,27,0
2021-02-05,69345,78125,140994,6468,8,0,120380,54284,66096,116739,3623,18,0
2021-02-06,45570,48519,91454,2634,1,0,121239,55855,65384,117348,3873,18,0
2021-02-07,28268,25261,51192,2334,2,1,120723,56214,64509,116553,4153,17,0
2021-02-08,53020,56357,105512,3834,30,1,119202,55472,63730,114804,4384,14,0
2021-02-09,60210,74266,130851,3440,186,0,119456,54717,64739,114990,4429,37,0
2021-02-10,77755,77353,142429,4289,8390,0,118355,56604,61751,112995,4128,1232,0
2021-02-11,75516,68757,120574,7309,16388,2,119760,58526,61234,111858,4330,3572,1
2021-02-12,80217,75763,132201,9373,14403,3,120976,60079,60897,110602,4745,5629,1
2021-02-13,62037,45518,90878,3262,13414,1,122900,62432,60468,110520,4834,7545,1
2021-02-14,39580,25761,55561,2481,7298,1,124587,64048,60539,111144,4855,8587,1
2021-02-15,70114,55591,104838,5320,15546,1,126920,66490,60430,111047,5068,10804,1
2021-02-16,78342,56371,108804,6215,19693,1,126954,69080,57873,107898,5464,13590,1
2021-02-17,95303,56370,122650,8058,20964,1,126463,71587,54876,105072,6003,15387,1
2021-02-18,91490,53283,112530,8288,23951,5,126534,73869,52665,103923,6142,16467,2
2021-02-19,103073,55889,121341,10039,27581,1,126960,77134,49826,102372,6238,18350,2
2021-02-20,76094,36244,86508,4476,21353,1,127644,79142,48501,101747,6411,19484,2
2021-02-21,57649,28269,66490,3646,15781,1,130583,81724,48860,103309,6577,20696,2
2021-02-22,98026,58301,123502,9072,23752,1,134958,85711,49247,105975,7113,21868,2
2021-02-23,110063,60526,134235,7268,29085,1,140083,90243,49840,109608,7264,23210,2
2021-02-24,117210,59361,131971,7663,36937,1,143640,93372,50268,110940,7207,25491,2
2021-02-25,130476,59307,131890,6789,51105,0,150070,98942,51128,113705,6993,29371,1
2021-02-26,146221,67559,141837,8878,63066,0,157901,105106,52795,116633,6827,34440,1
2021-02-27,108168,39758,92674,4087,51164,1,162985,109688,53297,117514,6772,38699,1
2021-02-28,79133,24139,61502,3964,37805,2,165464,112757,52707,116802,6817,41845,1
2021-03-01,149001,49972,130706,9710,58557,0,171556,120039,51517,117831,6908,46817,1
2021-03-02,167617,52148,140640,10084,69041,0,178581,128261,50321,118746,7311,52525,1
2021-03-03,177557,70725,158376,15175,74731,0,188826,136882,51944,122518,8384,57924,0
2021-03-04,182315,63308,141765,14517,89342,0,196803,144287,52516,123929,9488,63387,0
2021-03-05,207990,67384,148439,13397,113538,1,205602,153112,52491,124872,10133,70597,1
2021-03-06,154097,48702,109421,8858,84521,0,213441,159673,53768,127264,10815,75362,0
2021-03-07,114339,33480,79850,6664,61305,0,219805,164702,55103,129885,11201,78719,0
2021-03-08,186363,51805,134362,10985,92821,0,225404,170040,55365,130408,11383,83614,0
2021-03-09,198021,54930,140500,12805,99647,0,230145,174383,55762,130388,11772,87986,0
2021-03-10,222429,67428,159822,12253,117783,1,236084,180793,55291,130594,11354,94137,0
2021-03-11,224100,60928,147967,13746,123316,0,241714,186763,54951,131480,11244,98990,0
2021-03-12,256424,71082,151865,17334,158307,0,249161,193682,55479,131970,11806,105386,0
2021-03-13,190827,50360,116259,9590,115338,0,254645,198929,55716,132946,11911,109788,0
2021-03-14,134703,35694,88188,5522,76689,0,257871,201838,56032,134138,11748,111986,0
2021-03-15,189516,59291,153119,12757,82931,0,259390,202289,57102,136817,12001,110573,0
2021-03-16,111148,68359,166998,11310,1199,0,248898,189878,59020,140603,11787,96509,0
2021-03-17,124666,81120,186977,18058,751,0,236888,175912,60976,144482,12617,79790,0
2021-03-18,118232,75755,174599,18223,1165,0,223882,160788,63094,148286,13256,62340,0
2021-03-19,161215,84612,186223,20873,38732,0,212214,147187,65027,153195,13762,45258,0
2021-03-20,167447,53364,135636,15349,69827,0,209303,143847,65456,155963,14585,38756,0
2021-03-21,126588,38290,102411,9216,53251,0,208515,142687,65827,157995,15112,35408,0
2021-03-22,193236,76697,166895,23880,79160,0,211533,143219,68314,159963,16701,34869,0
2021-03-23,217236,84351,182145,19768,99673,1,228973,158374,70598,162127,17910,48937,0
2021-03-24,250304,89678,200558,33176,106246,2,248144,176323,71821,164067,20069,64008,0
2021-03-25,252138,81322,186014,27718,119728,1,268068,195452,72616,165697,21426,80945,1
2021-03-26,286084,89028,200221,37352,137538,2,286538,213290,73247,167697,23780,95060,1
2021-03-27,219355,62471,149785,27705,104334,2,295254,220706,74548,169718,25545,99990,1
2021-03-28,143437,53325,115522,18563,62676,1,299809,223113,76696,171591,26880,101336,1
2021-03-29,217512,88780,189027,25030,92235,0,305003,226581,78422,174753,27045,103204,1
2021-03-30,236969,92760,219043,24522,86166,0,309023,229400,79623,180024,27724,101275,1
2021-03-31,235254,101751,248008,36185,52813,0,308598,227250,81348,186803,28154,93641,1
2021-04-01,236465,91123,239651,32519,55418,0,307759,225011,82748,194465,28839,84454,1
2021-04-02,158015,68105,179826,14418,31877,0,286475,206715,79759,191552,25563,69360,0
2021-04-03,167784,64588,174500,15847,42025,0,279410,199348,80062,195082,23869,60459,0
2021-04-04,142854,50480,132469,10057,50808,0,278920,199265,79655,197503,22654,58763,0
2021-04-05,178044,70341,165319,17892,65178,0,270648,193626,77021,194117,21634,54898,0
2021-04-06,279432,94961,255358,32249,86788,2,277028,199693,77336,199304,22738,54987,0
2021-04-07,572317,96521,542670,37129,89040,0,324433,247844,76588,241399,22873,60162,0
2021-04-08,611761,87887,572065,35693,91893,0,377584,301458,76126,288887,23326,65373,0
2021-04-09,544049,89127,491109,36752,105315,1,435735,356606,79129,333356,26517,75864,0
2021-04-10,307900,65151,248723,23270,101058,0,455832,376622,79210,343959,27577,84297,0
2021-04-11,213862,50438,170618,18695,74987,0,465970,386766,79204,349409,28811,87751,0
2021-04-12,342773,76464,279174,29282,110782,1,490378,410299,80078,365674,30439,94266,1
2021-04-13,503816,73797,432686,27360,117569,0,519409,442354,77055,391006,29740,98663,0
2021-04-14,692660,83349,617261,33609,125141,0,534719,459546,75173,401662,29237,103821,0
2021-04-15,610767,70431,534648,36268,110281,1,532083,459404,72680,396317,29319,106448,0
2021-04-16,523136,74359,438699,32689,126109,0,526986,456416,70570,388830,28739,109418,0
2021-04-17,309786,56699,225111,22722,118653,0,526048,456686,69362,385457,28661,111932,0
2021-04-18,230796,39082,172267,15415,82197,0,526845,459105,67740,385692,28192,112962,0
2021-04-19,341293,61549,294142,32998,75705,1,524503,458893,65609,387831,28723,107951,0
2021-04-20,498527,62917,382388,39309,139746,1,522193,458138,64055,380645,30430,111119,0
2021-04-21,648422,73414,454911,41760,225166,0,514454,451818,62636,357452,31594,125408,0
2021-04-22,571877,67388,382160,43721,213386,0,508464,446262,62201,335668,32659,140137,0
2021-04-23,487763,69212,353676,43652,159647,1,502675,441209,61466,323522,34225,144929,0
2021-04-24,307057,59159,235302,49411,81503,0,502637,440819,61817,324978,38038,139621,0
2021-04-25,234153,49176,187995,33725,61609,0,504558,441299,63259,327225,40654,136680,0
2021-04-26,359379,74115,318175,42560,72688,71,508937,443883,65054,330658,42020,136249,10
2021-04-27,694391,91611,677080,51578,56795,553,541017,471863,69154,372757,43772,124399,89
2021-04-28,997458,126381,1008654,60767,53586,833,598446,521725,76720,451863,46488,99888,208
2021-04-29,814327,132792,824937,64012,57259,913,642425,556361,86064,515117,49386,77584,339
2021-04-30,668219,136365,678948,57361,67375,901,677798,582141,95657,561584,51345,64402,467
2021-05-01,262899,73778,253094,41549,39466,2573,673578,575832,97745,564126,50222,58397,835
2021-05-02,199667,65662,195809,37561,30151,1809,671006,570906,100101,565242,50770,53903,1093
2021-05-03,337240,115018,318212,70663,61795,1590,673687,567743,105944,565248,54784,52347,1310
2021-05-04,684527,158915,626632,63551,150294,2966,681893,566334,115559,558041,56495,65704,1655
2021-05-05,919761,228104,851800,79029,212551,4486,685325,555234,130091,535633,59104,88413,2177
2021-05-06,772285,219557,693454,92235,201601,4555,691714,549228,142486,516850,63136,109033,2697
2021-05-07,657542,234123,588155,86765,212540,4207,704154,547703,156451,503879,67336,129771,3169
2021-05-08,273831,152600,268039,71963,84713,1718,716976,549265,167711,506014,71681,136235,3047
2021-05-09,184970,101570,194129,56633,34710,1068,720006,547165,172841,505774,74406,136886,2941
2021-05-10,399789,190031,373497,81900,130689,3738,739658,556101,183557,513672,76011,146728,3248
2021-05-11,802007,284378,826326,80038,176373,3649,774364,572884,201480,542200,78366,150454,3346
2021-05-12,1055593,361260,1093954,91829,225313,5759,812791,592288,220503,576793,80195,152277,3528
2021-05-13,271310,158315,315619,66799,44556,2652,732474,520720,211754,522817,76561,129842,3256
2021-05-14,534275,222761,545641,64963,138633,7800,713241,503111,210131,516744,73446,119284,3769
2021-05-15,239178,161429,279468,60389,56469,4283,709552,498160,211392,518376,71793,115249,4136
2021-05-16,165508,116993,200025,52794,24953,4729,708975,495380,213595,519219,71245,113855,4659
2021-05-17,359340,196291,338583,85741,121544,9765,704091,489602,214490,514231,71793,112549,5520
2021-05-18,525431,346926,589818,101190,173576,7776,673516,450091,223425,480444,74815,112149,6109
2021-05-19,576312,522190,804511,100296,181531,12166,628037,381622,246415,439095,76025,105895,7024
2021-05-20,466719,482015,684669,96577,156647,10844,702195,409538,292658,491816,80279,121908,8195
2021-05-21,418239,433469,596591,85778,157447,11894,715720,392961,322759,499095,83252,124595,8780
2021-05-22,229452,244835,306538,69598,83863,14291,726246,391572,334674,502962,84568,128509,10209
2021-05-23,133807,151594,193129,59477,23927,8870,726660,387043,339617,501977,85522,128362,10801
