date,erst,zweit,dritt,bion,moderna,astra,johnson,novavax,average,erstave,zweitave,drittave,bionave,modernaave,astraave,johnsonave,novavaxave
2020-12-28,18037,64,0,18099,1,1,0,0,,0,0,0,0,0,0,0,0
2020-12-29,50052,652,1,50704,0,1,0,0,,0,0,0,0,0,0,0,0
2020-12-30,64169,34,0,64202,1,0,0,0,,0,0,0,0,0,0,0,0
2020-12-31,49930,87,0,50014,2,1,0,0,,0,0,0,0,0,0,0,0
2021-01-01,25674,13,1,25665,16,5,2,0,,0,0,0,0,0,0,0,0
2021-01-02,48007,78,0,48082,1,0,2,0,,0,0,0,0,0,0,0,0
2021-01-03,22579,9,0,22577,11,0,0,0,39912,39778,134,0,39906,5,1,1,0
2021-01-04,46112,103,0,46184,13,0,18,0,43929,43789,139,0,43918,6,1,3,0
2021-01-05,52649,95,0,52729,15,0,0,0,44220,44160,60,0,44208,8,1,3,0
2021-01-06,63096,86,0,63170,9,3,0,0,44074,44007,67,0,44060,10,1,3,0
2021-01-07,54816,189,0,54992,9,3,1,0,44787,44705,82,0,44771,11,2,3,0
2021-01-08,62767,105,0,62815,54,3,0,0,50099,50004,95,0,50078,16,1,3,0
2021-01-09,60619,151,0,60757,12,1,0,0,51911,51805,105,0,51889,18,1,3,0
2021-01-10,35898,118,0,35996,18,1,1,0,53829,53708,121,0,53806,19,2,3,0
2021-01-11,68556,101,0,68638,17,2,0,0,57035,56914,121,0,57014,19,2,0,0
2021-01-12,79111,71,0,79153,24,4,1,0,60812,60695,117,0,60789,20,2,0,0
2021-01-13,112105,205,0,111127,1183,0,0,0,67830,67696,134,0,67640,188,2,0,0
2021-01-14,83934,217,0,78980,5169,2,0,0,71994,71856,138,0,71067,925,2,0,0
2021-01-15,90905,921,0,86520,5285,19,2,0,76130,75875,255,0,74453,1673,4,1,0
2021-01-16,56875,1223,0,56402,1694,1,1,0,75749,75341,408,0,73831,1913,4,1,0
2021-01-17,30808,17015,0,46556,1265,1,1,0,77435,74613,2822,0,75339,2091,4,1,0
2021-01-18,67628,15634,0,78997,4263,2,0,0,79522,74481,5041,0,76819,2698,4,1,0
2021-01-19,83824,35992,0,115996,3769,51,0,0,85327,75154,10172,0,82083,3233,11,1,0
2021-01-20,79051,53858,0,130061,2844,4,0,0,88269,70432,17837,0,84787,3470,11,1,0
2021-01-21,64655,40913,1,102738,2826,4,1,0,91329,67678,23651,0,88181,3135,12,1,0
2021-01-22,68771,33583,0,100143,2197,14,0,0,92833,64516,28317,0,90128,2694,11,0,0
2021-01-23,40541,46516,0,86691,361,5,0,0,96970,62183,34787,0,94455,2504,12,0,0
2021-01-24,25700,22130,0,47622,204,4,0,0,96971,61453,35518,0,94607,2352,12,0,0
2021-01-25,52304,38729,0,89575,1455,3,0,0,98081,59264,38817,0,96118,1951,12,0,0
2021-01-26,50815,47730,3,97098,1443,7,0,0,95043,54548,40494,1,93418,1619,6,0,0
2021-01-27,50999,58487,0,107682,1794,8,2,0,91697,50541,41155,1,90221,1469,6,0,0
2021-01-28,46846,45730,0,90938,1635,3,0,0,89841,47997,41844,0,88536,1298,6,0,0
2021-01-29,49856,57931,0,106229,1486,71,1,0,90617,45294,45322,0,89405,1197,14,0,0
2021-01-30,34628,53487,0,87226,884,3,2,0,90768,44450,46318,0,89481,1272,14,1,0
2021-01-31,25780,31460,0,56849,385,5,1,0,92112,44461,47651,0,90800,1297,14,1,0
2021-02-01,58327,62128,1,118175,2224,56,1,0,96315,45322,50993,1,94885,1407,22,1,0
2021-02-02,65574,67305,0,129712,3140,25,2,0,101220,47430,53790,0,99544,1650,24,1,0
2021-02-03,64678,98429,0,156679,6401,27,0,0,108880,49384,59496,0,106544,2308,27,1,0
2021-02-04,62129,72504,0,128724,5901,8,0,0,114888,51567,63321,0,111942,2917,28,1,0
2021-02-05,69413,78196,0,141122,6477,9,1,0,120577,54361,66216,0,116927,3630,19,1,0
2021-02-06,45620,48596,0,91575,2639,1,1,0,121449,55932,65517,0,117548,3881,19,1,0
2021-02-07,28307,25278,0,51239,2342,3,1,0,120926,56293,64634,0,116747,4161,18,1,0
2021-02-08,53052,56468,0,105647,3842,30,1,0,119364,55539,63825,0,114957,4392,15,1,0
2021-02-09,60259,74506,1,131132,3448,186,0,0,119634,54780,64854,0,115160,4436,38,1,0
2021-02-10,77818,77745,0,142864,4300,8398,1,0,118556,56657,61899,0,113186,4136,1234,1,0
2021-02-11,75702,69036,0,120896,7321,16519,2,0,120000,58596,61404,0,112068,4338,3592,1,0
2021-02-12,80279,75984,0,132450,9385,14422,6,0,121236,60148,61088,0,110829,4754,5651,2,0
2021-02-13,62059,45829,0,91197,3275,13415,1,0,123189,62497,60692,0,110775,4845,7568,2,0
2021-02-14,39641,25835,0,55687,2485,7303,1,0,124888,64116,60772,0,111410,4865,8610,2,0
2021-02-15,70184,55690,0,104988,5326,15548,12,0,127224,66563,60661,0,111316,5077,10827,3,0
2021-02-16,78388,56570,0,109032,6218,19707,1,0,127251,69153,58098,0,108159,5473,13616,3,0
2021-02-17,95456,56490,0,122897,8065,20980,4,0,126735,71673,55062,0,105307,6011,15413,4,0
2021-02-18,91867,53352,1,112896,8294,24024,6,0,126804,73982,52821,0,104164,6150,16486,4,0
2021-02-19,103167,55942,0,121405,10047,27656,1,0,127210,77252,49958,0,102586,6244,18376,4,0
2021-02-20,76211,36346,0,86711,4484,21356,6,0,127877,79273,48604,0,101945,6417,19511,4,0
2021-02-21,57732,28316,0,66581,3651,15813,3,0,130816,81858,48958,0,103501,6584,20726,5,0
2021-02-22,98330,58385,0,123623,9079,24012,1,0,135222,85879,49343,0,106164,7120,21935,3,0
2021-02-23,110041,60596,0,134347,7368,28920,2,0,140319,90401,49918,0,109780,7284,23252,3,0
2021-02-24,117682,59517,1,132202,7665,37332,1,0,143927,93576,50351,0,111109,7227,25588,3,0
2021-02-25,130967,59405,1,132024,6795,51554,0,0,150377,99161,51215,0,113842,7013,29520,2,0
2021-02-26,146569,67661,1,141954,8890,63387,0,0,158252,105362,52889,0,116777,6847,34625,2,0
2021-02-27,108496,39818,0,92778,4093,51440,3,0,163360,109974,53385,0,117644,6792,38923,1,0
2021-02-28,79407,24210,13,61674,3973,37981,2,0,165871,113070,52799,2,116943,6838,42089,1,0
2021-03-01,149440,50039,0,131119,9720,58640,0,0,171981,120372,51607,2,118014,6929,47036,1,0
2021-03-02,167956,52273,0,140943,10120,69166,0,0,179065,128645,50418,2,118956,7322,52786,1,0
2021-03-03,177803,70811,0,158650,15190,74773,1,0,189267,137234,52031,2,122735,8397,58134,1,0
2021-03-04,182617,63354,1,141996,14523,89453,0,0,197210,144613,52595,2,124159,9501,63549,1,0
2021-03-05,208466,67437,1,148612,13402,113888,2,0,206020,153455,52563,2,125110,10146,70763,1,0
2021-03-06,154144,48747,0,109470,8869,84552,0,0,213817,159976,53839,2,127495,10828,75493,1,0
2021-03-07,114380,33538,0,79898,6691,61329,0,0,220144,164972,55171,0,130098,11216,78829,0,0
2021-03-08,186487,51878,0,134466,10995,92903,1,0,225699,170265,55434,0,130576,11399,83723,1,0
2021-03-09,198102,54970,1,140578,12810,99685,0,0,230391,174571,55819,0,130524,11783,88083,1,0
2021-03-10,222542,67481,2,159925,12260,117839,1,0,236307,180963,55344,1,130706,11364,94236,1,0
2021-03-11,224348,60981,1,148030,13784,123516,0,0,241929,186924,55005,1,131568,11259,99102,1,0
2021-03-12,256764,71152,0,151940,17338,158637,1,0,249360,193824,55535,1,132044,11821,105494,0,0
2021-03-13,190925,50398,0,116332,9600,115391,0,0,254850,199078,55771,1,133024,11925,109900,0,0
2021-03-14,134776,35702,2,88274,5523,76683,0,0,258073,201992,56080,1,134221,11759,112093,0,0
2021-03-15,189691,59325,0,153306,12759,82951,0,0,259595,202450,57144,1,136912,12011,110672,0,0
2021-03-16,111234,68336,0,167052,11316,1202,0,0,249094,190040,59054,1,140694,11797,96603,0,0
2021-03-17,124721,81185,0,187084,18065,756,1,0,237077,176066,61011,0,144574,12626,79877,0,0
2021-03-18,118261,75821,0,174675,18235,1172,0,0,224042,160910,63131,0,148380,13262,62399,0,0
2021-03-19,161319,84674,1,186323,20884,38787,0,0,212339,147275,65063,0,153292,13769,45277,0,0
2021-03-20,167501,53406,1,135702,15357,69849,0,0,209422,143929,65493,1,156059,14591,38771,0,0
2021-03-21,126612,38330,0,102478,9214,53249,1,0,208631,142763,65868,0,158089,15119,35424,0,0
2021-03-22,193263,76735,3,166952,23887,79162,0,0,211629,143273,68355,1,160038,16708,34882,0,0
2021-03-23,217501,84402,0,182237,19863,99801,2,0,229105,158454,70650,1,162207,17929,48968,1,0
2021-03-24,250965,89693,0,200978,33201,106476,3,0,248355,176489,71866,1,164192,20092,64071,1,0
2021-03-25,252785,81388,1,186477,27731,119965,1,0,268369,195707,72661,1,165878,21448,81041,1,0
2021-03-26,286445,89073,1,200550,37368,137599,2,0,286872,213582,73290,1,167911,23803,95157,1,0
2021-03-27,219813,62493,0,149881,27721,104701,3,0,295643,221055,74588,1,169936,25569,100136,2,0
2021-03-28,143467,53341,0,115547,18567,62693,1,0,300196,223463,76732,1,171803,26905,101485,2,0
2021-03-29,217574,88996,0,189260,25038,92272,0,0,305420,226936,78484,0,174990,27070,103358,2,0
2021-03-30,237071,92954,2,219270,24536,86220,1,0,309437,229731,79705,1,180280,27737,101418,2,0
2021-03-31,235884,101949,1,248763,36249,52821,1,0,309034,227577,81456,1,187107,28173,93753,1,0
2021-04-01,237260,91297,0,240522,32537,55497,1,0,308232,225359,82872,1,194828,28859,84543,1,0
2021-04-02,158147,68129,1,179953,14431,31893,0,0,286911,207031,79880,1,191885,25583,69442,1,0
2021-04-03,167869,64689,0,174660,15859,42039,0,0,279804,199610,80194,1,195425,23888,60491,1,0
2021-04-04,142903,50597,0,132593,10089,50816,2,0,279332,199530,79802,1,197860,22677,58794,1,0
2021-04-05,178091,70421,4,165419,17899,65198,0,0,271038,193889,77148,1,194454,21657,54926,1,0
2021-04-06,279609,94915,3,255472,32252,86800,3,0,277396,199966,77428,1,199626,22759,55009,1,0
2021-04-07,573252,96556,1,543496,37142,89170,1,0,324821,248162,76658,1,241731,22887,60202,1,0
2021-04-08,612912,87920,3,573163,35722,91947,3,0,378003,301826,76175,2,289251,23342,65409,1,0
2021-04-09,544997,89162,0,491999,36765,105393,2,0,436272,357090,79180,2,333829,26533,75909,2,0
2021-04-10,308037,65158,0,248815,23279,101100,1,0,456363,377114,79247,2,344422,27593,84346,2,0
2021-04-11,213944,50426,0,170655,18701,75014,0,0,466487,387263,79223,2,349860,28823,87803,1,0
2021-04-12,343090,76498,2,279314,29311,110962,3,0,490926,410834,80091,1,366131,30453,94341,2,0
2021-04-13,504462,73809,2,433247,27359,117667,0,0,520033,442956,77076,1,391527,29754,98750,1,0
2021-04-14,694179,83393,2,618646,33622,125306,0,0,535428,460232,75195,1,402263,29251,103913,1,0
2021-04-15,612538,70359,0,536190,36279,110427,1,0,532865,460178,72686,1,396981,29331,106553,1,0
2021-04-16,524644,74422,2,440134,32704,126229,1,0,527852,457271,70581,1,389572,28751,109529,1,0
2021-04-17,310052,56726,1,225255,22733,118791,0,0,526936,457558,69376,1,386206,28673,112057,1,0
2021-04-18,230914,39091,1,172316,15423,82267,0,0,527741,459983,67757,1,386443,28204,113093,1,0
2021-04-19,342216,61576,4,294933,33028,75834,1,0,525485,459858,65625,2,388674,28735,108074,0,0
2021-04-20,499971,62962,2,383400,39340,140192,3,0,523294,459216,64076,2,381553,30447,111292,1,0
2021-04-21,650053,73456,1,455944,41808,225758,0,0,515570,452913,62656,2,358310,31616,125643,1,0
2021-04-22,573744,67430,2,383132,44098,213946,0,0,509610,447371,62238,2,336445,32733,140431,1,0
2021-04-23,488698,69273,1,354331,43677,159962,2,0,503739,442235,61502,2,324187,34301,145250,1,0
2021-04-24,307409,59172,0,235386,49558,81636,1,0,503711,441858,61851,2,325635,38133,139942,1,0
2021-04-25,234344,49194,0,188068,33736,61733,1,0,505644,442348,63295,1,327885,40749,137009,1,0
2021-04-26,360286,74146,0,318867,42593,72902,70,0,510021,444929,65090,1,331304,42116,136590,11,0
2021-04-27,696308,91701,5,678758,51693,57008,555,0,542175,472977,69196,1,373498,43880,124706,90,0
2021-04-28,999728,126643,1,1010901,60843,53793,835,0,599726,522931,76794,1,452778,46600,100140,209,0
2021-04-29,816406,133271,2,827104,64133,57528,914,0,643798,557597,86200,1,516202,49462,77795,340,0
