date,erst,zweit,dritt,bion,moderna,astra,johnson,average,erstave,zweitave,drittave,bionave,modernaave,astraave,johnsonave
2020-12-28,18036,65,0,18101,0,0,0,,,,,,,,
2020-12-29,49971,653,0,50623,0,1,0,,,,,,,,
2020-12-30,64023,32,0,64055,0,0,0,,,,,,,,
2020-12-31,49947,87,0,50034,0,0,0,,,,,,,,
2021-01-01,25531,6,0,25528,6,3,0,,,,,,,,
2021-01-02,48015,76,0,48091,0,0,0,,,,,,,,
2021-01-03,22548,4,0,22550,2,0,0,39856,39724,132,0,39855,1,1,0
2021-01-04,46003,51,0,46053,1,0,0,43850,43720,130,0,43848,1,1,0
2021-01-05,52627,87,0,52713,1,0,0,44148,44099,49,0,44146,1,0,0
2021-01-06,63040,88,0,63119,6,3,0,44016,43959,57,0,44013,2,1,0
2021-01-07,54809,20,0,54821,5,2,1,44701,44653,47,0,44696,3,1,0
2021-01-08,62660,103,0,62711,51,1,0,50019,49957,61,0,50008,9,1,0
2021-01-09,60617,144,0,60757,3,1,0,51829,51758,71,0,51818,10,1,0
2021-01-10,35919,114,0,36024,9,0,0,53755,53668,87,0,53743,11,1,0
2021-01-11,68137,55,0,68176,14,2,0,56917,56830,87,0,56903,13,1,0
2021-01-12,78960,60,0,79000,17,3,0,60675,60592,83,0,60658,15,2,0
2021-01-13,111783,203,0,110809,1177,0,0,67655,67555,100,0,67471,182,1,0
2021-01-14,83896,212,0,78950,5158,0,0,71838,71710,127,0,70918,918,1,0
2021-01-15,90655,918,0,86277,5277,19,0,75953,75710,244,0,74285,1665,4,0
2021-01-16,56789,1219,0,56325,1682,1,0,75560,75163,397,0,73652,1905,4,0
2021-01-17,30793,17003,0,46532,1262,1,1,77240,74430,2810,0,75153,2084,4,0
2021-01-18,67253,15598,0,78594,4256,1,0,79335,74304,5030,0,76641,2690,4,0
2021-01-19,83598,36050,0,115832,3765,51,0,85139,74967,10172,0,81903,3225,10,0
2021-01-20,78930,53586,0,129673,2839,4,0,88071,70273,17798,0,84598,3463,11,0
2021-01-21,64468,40851,1,102501,2817,2,0,91102,67498,23604,0,87962,3128,11,0
2021-01-22,68682,33474,0,99952,2191,13,0,92614,64359,28254,0,89916,2687,10,0
2021-01-23,40438,46469,0,86549,355,3,0,96742,62023,34719,0,94233,2498,11,0
2021-01-24,25675,22068,0,47540,199,4,0,96734,61292,35442,0,94377,2346,11,0
2021-01-25,52220,38744,0,89510,1451,3,0,97893,59144,38749,0,95937,1945,11,0
2021-01-26,50575,47607,0,96735,1440,7,0,94827,54427,40400,0,93209,1613,5,0
2021-01-27,50921,58372,0,107493,1791,8,1,91509,50426,41084,0,90040,1463,6,0
2021-01-28,46805,45612,0,90785,1629,3,0,89666,47902,41764,0,88366,1294,6,0
2021-01-29,49808,57745,0,106001,1481,71,0,90437,45206,45231,0,89230,1192,14,0
2021-01-30,34582,53377,0,87076,880,3,0,90587,44369,46218,0,89306,1267,14,0
2021-01-31,25751,31357,0,56725,378,5,0,91925,44380,47545,0,90618,1293,14,0
2021-02-01,58238,61778,0,117749,2212,55,0,96075,45240,50835,0,94652,1402,22,0
2021-02-02,65486,67184,0,129522,3127,21,0,101002,47370,53632,0,99336,1643,24,0
2021-02-03,64545,98219,0,156341,6397,26,0,108641,49316,59325,0,106314,2301,26,0
2021-02-04,62060,72343,1,128499,5897,8,0,114639,51496,63143,0,111702,2910,27,0
2021-02-05,69346,78059,0,140927,6470,8,0,120332,54287,66045,0,116691,3623,18,0
2021-02-06,45571,48485,0,91421,2634,1,0,121203,55857,65346,0,117312,3874,18,0
2021-02-07,28270,25242,0,51175,2334,2,1,120690,56217,64473,0,116519,4153,17,0
2021-02-08,53022,56336,0,105493,3834,30,1,119167,55471,63695,0,114768,4385,14,0
2021-02-09,60211,74224,1,130810,3440,186,0,119419,54718,64701,0,114952,4429,37,0
2021-02-10,77755,77313,0,142389,4289,8390,0,118320,56605,61715,0,112959,4128,1232,0
2021-02-11,75516,68720,0,120537,7308,16389,2,119724,58527,61197,0,111822,4330,3572,1
2021-02-12,80219,75719,0,132161,9370,14404,3,120943,60081,60863,0,110569,4744,5629,1
2021-02-13,62038,45495,0,90856,3262,13414,1,122869,62433,60436,0,110489,4834,7545,1
2021-02-14,39582,25727,0,55529,2481,7298,1,124554,64049,60505,0,111111,4855,8587,1
2021-02-15,70114,55533,0,104780,5320,15546,1,126881,66491,60390,0,111009,5067,10804,1
2021-02-16,78343,56353,0,108787,6215,19693,1,126918,69081,57837,0,107863,5464,13591,1
2021-02-17,95304,56340,0,122621,8058,20964,1,126429,71588,54841,0,105039,6002,15387,1
2021-02-18,91495,53270,1,112521,8288,23952,5,126505,73871,52634,0,103894,6142,16467,2
2021-02-19,103071,55866,0,121316,10039,27581,1,126933,77135,49798,0,102344,6238,18350,2
2021-02-20,76094,36228,0,86492,4476,21353,1,127617,79143,48474,0,101721,6411,19484,2
2021-02-21,57650,28260,0,66482,3646,15781,1,130560,81724,48836,0,103286,6577,20696,2
2021-02-22,98024,58286,0,123486,9071,23752,1,134941,85712,49229,0,105958,7113,21868,2
2021-02-23,110063,60511,0,134221,7267,29085,1,140066,90243,49823,0,109591,7264,23210,2
2021-02-24,117212,59336,1,131947,7663,36938,1,143624,93373,50251,0,110924,7207,25492,2
