date,erst,zweit,bion,moderna,astra,johnson,average
2020-12-27,24083,13,23716,0,0,0,
2020-12-28,17743,139,17882,0,0,0,
2020-12-29,49249,706,49954,0,1,0,
2020-12-30,63299,121,63420,0,0,0,
2020-12-31,49609,89,49698,0,0,0,
2021-01-01,25333,9,25334,5,3,0,
2021-01-02,47663,286,47949,0,0,0,39763
2021-01-03,22403,5,22407,1,0,0,39522
2021-01-04,45670,50,45719,1,0,0,43499
2021-01-05,51486,278,51763,1,0,0,43757
2021-01-06,62277,7,62275,6,3,0,43595
2021-01-07,53904,21,53921,3,1,0,44199
2021-01-08,61457,108,61513,51,1,0,49374
2021-01-09,59820,147,59964,3,0,0,51090
2021-01-10,35079,149,35220,8,0,0,52922
2021-01-11,67399,102,67486,13,2,0,56033
2021-01-12,78202,64,78250,15,1,0,59819
2021-01-13,110521,201,109552,1170,0,0,66739
2021-01-14,82841,189,77885,5145,0,0,70897
2021-01-15,89568,846,85144,5265,5,0,75018
2021-01-16,56320,1022,55662,1679,1,0,74643
2021-01-17,29784,17772,46293,1261,1,1,76404
2021-01-18,66158,15670,77685,4142,1,0,78451
2021-01-19,82334,36411,115075,3662,8,0,84234
2021-01-20,77581,54527,129363,2742,3,0,87289
2021-01-21,63658,41330,102246,2740,2,0,90426
2021-01-22,68028,33455,99288,2187,8,0,92007
2021-01-23,40431,46000,86074,354,3,0,96163
2021-01-24,25454,21834,47086,198,4,0,96124
2021-01-25,52262,38667,89509,1417,3,0,97425
2021-01-26,50609,46806,95973,1435,7,0,94377
2021-01-27,50769,58525,107500,1786,8,0,91118
2021-01-28,46357,45897,90623,1628,3,0,89299
2021-01-29,49972,57693,106178,1480,7,0,90182
2021-01-30,34357,53653,87128,880,2,0,90408
2021-01-31,25751,31115,56485,376,5,0,91776
2021-02-01,57969,61555,117264,2209,51,0,95861
2021-02-02,64792,67219,128937,3061,13,0,100803
2021-02-03,63518,97526,154689,6328,26,1,108196
2021-02-04,61196,71845,127203,5833,5,0,114023
2021-02-05,68899,77491,139932,6450,8,0,119555
2021-02-06,45374,48290,91037,2626,1,0,120363
2021-02-07,28252,25054,50977,2327,2,0,119854
2021-02-08,52861,55988,105001,3821,27,0,118329
2021-02-09,60196,73863,130512,3434,113,0,118622
2021-02-10,77324,76826,141584,4235,8331,0,117637
2021-02-11,75205,68493,120117,7265,16314,2,119159
2021-02-12,79513,75652,131643,9297,14222,3,120413
2021-02-13,61924,45450,90766,3257,13350,1,122372
2021-02-14,39495,25712,55486,2474,7246,1,124072
2021-02-15,69522,55742,104578,5229,15456,1,126417
2021-02-16,77703,56349,108386,6119,19546,1,126416
2021-02-17,94426,56288,121991,7999,20723,1,125925
2021-02-18,91236,52981,112178,8221,23817,1,125999
2021-02-19,102757,55526,120918,9962,27402,1,126444
2021-02-20,75791,36252,86357,4464,21221,1,127111
2021-02-21,57421,28373,66505,3641,15647,1,130052
2021-02-22,97541,57689,122660,8994,23575,1,134333
2021-02-23,109097,60486,133540,7210,28832,1,139409
2021-02-24,116470,59136,131344,7611,36650,1,142965
2021-02-25,129754,58992,131141,6760,50845,0,149326
2021-02-26,145470,66834,140668,8833,62803,0,157044
2021-02-27,107826,39894,92657,4082,50981,0,162140
2021-02-28,78773,24061,61275,3953,37605,1,164575
2021-03-01,148275,49812,130132,9623,58332,0,170697
2021-03-02,166438,52099,139721,9990,68826,0,177691
2021-03-03,175768,70215,156693,14948,74342,0,187744
2021-03-04,181614,62814,141012,14470,88946,0,195699
2021-03-05,207055,68499,149423,13365,112765,1,204735
2021-03-06,153023,48648,109213,8440,84018,0,212442
2021-03-07,114045,33481,79733,6656,61137,0,218827
2021-03-08,185857,51588,133901,10955,92589,0,224449
2021-03-09,197343,54848,140080,12785,99326,0,229257
2021-03-10,221091,67039,159038,12034,117057,1,235278
2021-03-11,223324,60879,147615,13717,122871,0,240960
2021-03-12,255587,70847,151563,17295,157576,0,248229
2021-03-13,190309,50279,116010,9567,115011,0,253788
2021-03-14,134351,35651,88004,5512,76486,0,256999
2021-03-15,188424,59221,152747,12737,82161,0,258456
2021-03-16,110733,68136,166601,11251,1017,0,247982
2021-03-17,124032,80893,186196,17987,742,0,236095
2021-03-18,117899,75567,174150,18157,1159,0,223133
2021-03-19,160530,84156,185362,20788,38536,0,211454
2021-03-20,166990,53258,135373,15288,69587,0,208549
2021-03-21,126302,38185,102171,9189,53127,0,207761
2021-03-22,192747,76384,166389,23789,78953,0,210830
2021-03-23,216843,83801,181406,19691,99547,0,228227
2021-03-24,249413,89596,200134,33026,105849,0,247382
2021-03-25,251449,81137,185469,27662,119455,0,267256
2021-03-26,285325,88391,199535,37161,137020,0,285689
2021-03-27,218887,62326,149554,27617,104041,1,294398
2021-03-28,143117,53246,115328,18503,62532,0,298952
2021-03-29,216878,88552,188654,24899,91877,0,304137
2021-03-30,236395,92528,218614,24386,85923,0,308177
2021-03-31,234663,101477,247434,36036,52670,0,307767
2021-04-01,235847,90523,238630,32450,55290,0,306879
2021-04-02,157697,67955,179495,14385,31772,0,285727
2021-04-03,167452,64311,174081,15800,41882,0,278663
2021-04-04,142563,50357,132185,10062,50673,0,278171
2021-04-05,177592,70167,164937,17860,64962,0,269932
2021-04-06,278967,94662,254868,32211,86550,0,276319
2021-04-07,571548,96290,542075,36949,88814,0,323704
2021-04-08,610913,87524,571217,35560,91660,0,376857
2021-04-09,542714,88870,490000,36561,105023,0,434847
2021-04-10,307520,65050,248484,23222,100864,0,454962
2021-04-11,213590,50318,170366,18665,74877,0,465104
2021-04-12,342095,76370,278828,29182,110454,1,489490
2021-04-13,503078,73641,432232,27211,117276,0,518503
2021-04-14,691701,83157,616425,33536,124897,0,533792
2021-04-15,609919,70170,533916,36205,109967,1,531170
2021-04-16,522287,74095,438046,32534,125802,0,526142
2021-04-17,309368,56609,224873,22684,118420,0,525200
2021-04-18,230401,38996,172030,15383,81984,0,525984
2021-04-19,340814,61360,293748,32918,75507,1,523657
2021-04-20,497990,62646,381921,39216,139499,0,521359
2021-04-21,647721,73005,454167,41682,224877,0,513626
2021-04-22,571286,67114,381679,43650,213071,0,507670
2021-04-23,487177,68806,353150,43530,159303,0,501899
2021-04-24,306530,58953,234971,49340,81172,0,501828
2021-04-25,233763,49049,187760,33678,61374,0,503745
2021-04-26,358770,73957,317869,42473,72316,69,508110
2021-04-27,693216,91857,676559,51493,56560,461,540172
2021-04-28,995903,126788,1008187,60534,53253,717,597596
2021-04-29,812420,133387,824259,63607,57060,881,641511
2021-04-30,666363,136976,678298,57253,66955,833,676847
2021-05-01,259758,76256,252806,41487,39147,2574,672638
2021-05-02,197530,67380,195566,37512,30025,1807,670080
2021-05-03,335155,116354,317869,70580,61473,1587,672763
2021-05-04,680827,161690,626265,63138,150154,2960,680970
2021-05-05,914624,231937,850789,78956,212345,4471,684380
2021-05-06,766889,223138,692539,91895,201399,4194,690697
2021-05-07,651829,237939,586926,86684,212303,3855,703044
2021-05-08,271642,154057,267643,71770,84568,1718,715856
2021-05-09,183553,102549,193883,56550,34603,1066,718883
2021-05-10,395630,193466,373094,81689,130584,3729,738539
2021-05-11,797852,287783,825862,79871,176266,3636,773270
2021-05-12,1049063,366397,1093095,91636,225146,5583,811684
2021-05-13,268375,160822,315308,66768,44474,2647,731565
2021-05-14,525888,230407,545136,64887,138476,7796,712498
2021-05-15,234487,165519,279020,60301,56404,4281,708827
2021-05-16,160582,121975,200172,52736,24923,4726,708321
2021-05-17,349214,205977,338310,85679,121443,9759,703477
2021-05-18,517237,354500,589467,101084,173415,7771,672920
2021-05-19,563479,533950,804002,100079,181235,12113,627487
2021-05-20,455402,491402,683008,96463,156491,10842,701431
2021-05-21,405705,444753,595868,85620,157153,11817,714883
2021-05-22,214695,258994,306075,69503,83831,14280,725409
2021-05-23,124710,160372,192938,59387,23890,8867,725770
2021-05-24,141114,184825,235692,61546,20658,8043,693020
2021-05-25,271984,383211,446490,79670,103922,25113,662085
2021-05-26,469323,709953,884808,82396,133864,78208,673778
2021-05-27,403980,636492,738973,88857,131526,81116,687159
2021-05-28,355994,546809,602749,86049,130257,83748,694637
2021-05-29,151564,258194,261545,62541,57885,27787,685504
2021-05-30,97657,185738,197031,47007,28330,11027,685263
2021-05-31,178144,367990,366956,67221,69487,42470,716719
2021-06-01,399564,587645,733001,79336,90373,84499,764150
2021-06-02,516462,729558,988061,72189,82098,103672,773684
2021-06-03,230283,411893,474680,64156,50135,53205,716785
2021-06-04,290839,519165,584823,71158,76808,77215,703528
2021-06-05,96184,316016,271032,66431,44127,30610,703877
2021-06-06,59341,232803,205682,40991,27229,18242,705127
2021-06-07,191944,420513,400672,84916,72443,54426,714601
2021-06-08,335911,711209,840962,75099,62823,68236,723160
2021-06-09,440392,973942,1167779,86913,63932,95710,747205
2021-06-10,396225,786089,948600,89598,55678,88438,824368
2021-06-11,355912,697578,799385,88844,68538,96723,859151
2021-06-12,121969,311289,283044,71654,43324,35236,862160
2021-06-13,64402,218333,179719,63427,25799,13790,860815
2021-06-14,208849,440313,425591,101047,67307,55217,866059
2021-06-15,338759,698859,789839,104308,84434,59037,864702
2021-06-16,455625,914822,1092021,105840,96359,76227,858432
2021-06-17,388974,747386,873210,102909,91984,68257,851867
2021-06-18,336647,645784,724039,93668,95939,68785,841716
2021-06-19,118101,307388,271717,81817,50819,21136,840606
2021-06-20,67412,226947,178437,71298,31814,12810,842267
2021-06-21,204547,420248,406220,97051,85261,36263,838786
2021-06-22,365983,700171,834442,95490,102293,33929,842862
2021-06-23,477714,845297,1078064,95528,115206,34213,836086
2021-06-24,478054,545235,785967,87023,110410,39889,819933
2021-06-25,370946,539028,684419,76196,109745,39614,809582
2021-06-26,134256,272858,252624,69019,72431,13040,806957
2021-06-27,89451,202057,172568,58064,56755,4121,806549
2021-06-28,239273,383797,395460,89683,113681,24246,806303
2021-06-29,382508,541644,677012,92528,132570,22042,786017
2021-06-30,442678,568762,759186,93683,136224,22347,741507
2021-07-01,446521,527218,735776,83015,132687,22261,734428
2021-07-02,374110,463113,642667,94310,79009,21237,724035
2021-07-03,147801,227533,253979,79230,27074,15051,719495
2021-07-04,92602,179932,181291,68142,14523,8578,716785
2021-07-05,193876,338147,383540,94178,39461,14844,703778
2021-07-06,267287,503115,611079,98685,45131,15507,681814
2021-07-07,320605,666004,821379,95292,51243,18695,678266
2021-07-08,260135,577613,675568,100674,42515,18991,658839
2021-07-09,217099,530974,586525,98231,43014,20303,646103
2021-07-10,95181,246091,226654,84063,20940,9615,641237
2021-07-11,60919,166662,145536,63479,10282,8284,634815
2021-07-12,149687,311710,344910,78515,23936,14036,624726
2021-07-13,178325,574414,621258,77241,34496,19744,622203
2021-07-14,200507,760711,821162,71199,46957,21900,618575
2021-07-15,167427,582045,620061,69736,38410,21265,605965
2021-07-16,145943,488818,520197,62328,31662,20574,589777
