date,erst,zweit,bion,moderna,astra,average
2020-12-27,23861,137,23716,0,0,
2020-12-28,18385,0,18385,0,0,
2020-12-29,47987,589,48576,0,0,
2020-12-30,61168,4,61172,0,0,
2020-12-31,48731,117,48848,0,0,
2021-01-01,19274,0,19273,0,1,
2021-01-02,52394,216,52610,0,0,38980
2021-01-03,24087,0,24087,0,0,38993
2021-01-04,48341,0,48341,0,0,43273
2021-01-05,53331,23,53353,1,0,43955
2021-01-06,62782,1,62780,1,2,44185
2021-01-07,55979,4,55983,0,0,45205
2021-01-08,62367,299,62666,0,0,51403
2021-01-09,60834,50,60884,0,0,52585
2021-01-10,34975,6,34981,0,0,54142
2021-01-11,66091,47,66137,1,0,56684
2021-01-12,82519,49,82566,0,2,60858
2021-01-13,110525,184,109912,797,0,67704
2021-01-14,82216,279,77911,4584,0,71492
2021-01-15,89230,670,84444,5437,19,75382
2021-01-16,56106,970,55304,1772,0,74838
2021-01-17,30737,16666,46097,1305,1,76613
2021-01-18,65535,15628,77594,3568,1,78759
2021-01-19,80159,32042,109162,2989,50,82992
2021-01-20,79687,50530,127486,2727,4,85779
2021-01-21,64291,39668,101369,2590,0,88846
2021-01-22,67284,34253,99524,2001,12,90508
2021-01-23,40675,44609,84900,383,1,94538
2021-01-24,25416,23734,48904,244,2,94787
2021-01-25,58146,37727,94149,1722,2,96889
2021-01-26,50930,48098,97368,1654,6,95007
2021-01-27,51579,58960,108605,1926,8,92196
2021-01-28,44935,45848,89147,1635,1,90313
2021-01-29,51133,56436,106096,1405,68,91175
2021-01-30,34934,50782,84841,874,1,91237
2021-01-31,26574,30391,56622,343,0,92353
2021-02-01,58472,61576,117780,2211,57,95807
2021-02-02,62546,66422,126083,2871,14,100084
2021-02-03,63313,93300,150643,5951,19,106666
2021-02-04,60295,69493,124325,5457,6,112238
2021-02-05,65584,75396,135093,5880,7,117011
2021-02-06,46071,51727,95331,2466,1,118737
2021-02-07,28071,25234,50954,2349,2,118214
2021-02-08,53185,55968,105274,3861,18,116658
2021-02-09,59128,72538,127676,3882,108,117043
2021-02-10,73303,74662,137351,3592,7022,115808
2021-02-11,73333,68041,119007,6949,15418,117463
2021-02-12,79793,75528,131803,9472,14046,119512
2021-02-13,61538,45961,91895,3035,12569,120898
2021-02-14,39777,25018,55103,2401,7291,122539
2021-02-15,70402,55681,106946,4398,14739,124958
2021-02-16,81372,52939,105659,5236,23416,125335
2021-02-17,94171,55287,122236,7524,19698,125549
2021-02-18,91823,51646,111357,7762,24350,125848
2021-02-19,98779,53367,117686,9356,25104,125394
2021-02-20,76368,37584,87876,4472,21604,126316
2021-02-21,56884,28892,67273,3228,15275,129314
2021-02-22,99442,60574,126356,8808,24852,134161
2021-02-23,106421,59318,131758,6825,27156,138651
2021-02-24,114870,58555,131295,7520,34610,142075
2021-02-25,129640,57620,130196,6518,50546,148331
2021-02-26,142721,63198,137934,8564,59421,156012
2021-02-27,107871,39488,92220,4182,50957,160785
2021-02-28,83724,24221,62329,3895,41721,163952
2021-03-01,144413,49125,128283,9006,56249,168741
2021-03-02,164499,53522,140361,9648,68012,176210
2021-03-03,172794,67689,155698,13310,71475,185789
2021-03-04,177944,62335,142290,13513,84476,193363
2021-03-05,196880,65942,146199,12791,103832,201492
2021-03-06,152639,48913,110249,8556,82747,209234
2021-03-07,114541,34495,82541,6721,59774,215104
2021-03-08,184583,52245,135291,10989,90548,221289
2021-03-09,194079,54731,140075,12597,96138,225687
2021-03-10,214547,65170,155671,11498,112548,231292
2021-03-11,217015,60911,148167,13072,116687,236670
2021-03-12,246910,71441,151689,17157,149505,244603
2021-03-13,195997,49334,114320,9593,121418,250857
2021-03-14,134766,36035,89495,5051,76255,253966
2021-03-15,187576,58816,151276,12278,82838,255333
2021-03-16,112234,67005,166627,10698,1914,245394
2021-03-17,123978,78868,184576,16896,1374,234412
2021-03-18,118097,74798,174251,17082,1562,222265
2021-03-19,157407,82086,182320,19542,37631,211000
2021-03-20,163935,53781,135143,15022,67551,207055
2021-03-21,126639,38768,103996,9168,52243,206284
2021-03-22,184772,76844,164146,23004,74466,208459
2021-03-23,209114,83081,178947,19180,94068,224595
2021-03-24,232959,87539,193906,29682,96910,241403
2021-03-25,243293,79272,185399,23652,113514,259927
2021-03-26,265607,88434,200467,30946,122628,276291
2021-03-27,215687,63103,150198,25891,102701,285016
2021-03-28,140735,52386,116284,17941,58896,288975
2021-03-29,207566,88060,185467,23296,86863,293834
2021-03-30,217337,92074,211601,23291,74519,296293
2021-03-31,212726,100959,243112,31309,39264,295320
2021-04-01,201283,90387,227476,27437,36757,290906
2021-04-02,153922,71015,178837,15610,30490,272463
2021-04-03,157655,65709,166189,16769,40406,264545
2021-04-04,139765,53309,132531,11052,49491,264538
2021-04-05,170560,72495,162785,17647,62623,257028
2021-04-06,227128,94911,215014,27932,79093,258832
