bundesland,impfungen,quote,hckey,einwohner,lat,lon
Baden-Württemberg,197488,1.5435307971951266,de-bw,11100394,48.2,8.5
Bayern,322334,1.9422560619690894,de-by,13124737,49,12
Berlin,92763,2.0331157645569915,de-be,3669491,52.3,13.2
Brandenburg,59545,2.3165931306363912,de-bb,2521893,53,12.8
Bremen,17447,2.2875740235642295,de-hb,681202,52.8,8
Hamburg,39932,1.9589087147239712,de-hh,1847253,53.4,9.4
Hessen,123506,1.5435713286090507,de-he,6288080,50.6,8.5
Mecklenburg-Vorpommern,53688,3.105827982424394,de-mv,1608138,54,11.1
Niedersachsen,135814,1.6312408614482972,de-ni,7993608,52.1,8.7
Nordrhein-Westfalen,337831,1.6197939502723011,de-nw,17947221,51.3,8
Rheinland-Pfalz,125693,2.9679501443976566,de-rp,4093903,49.7,7.6
Saarland,21339,1.7525816025542946,de-sl,986887,49,7.1
Sachsen,75882,1.7505773002803802,de-sn,4071971,50.9,13.5
Sachsen-Anhalt,53631,1.920418519925897,de-st,2194782,51.6,12.2
Schleswig-Holstein,85412,2.8886899905743322,de-sh,2903773,54.6,9.3
Thüringen,40813,1.8318835199388013,de-th,2133378,50.3,11.5
