bundesland,impfungen,erstimpfungen,zweitimpfungen,drittimpfungen,erstquote,zweitquote,drittquote,pop,hckey,einwohner,lat,lon,stand
Baden-Württemberg,23020088,8341348,8191148,6383151,75.1,73.8,57.5,11106988.0159787,de-bw,11103043,48.2,8.5,29.4.2022
Bayern,27196139,9842844,9804823,7423711,74.9,74.6,56.5,13141313.7516689,de-by,13140183,49,12,29.4.2022
Berlin,8033172,2901371,2859997,2215454,79.2,78.1,60.5,3663347.22222222,de-be,3664088,52.3,13.2,29.4.2022
Brandenburg,4802971,1760247,1733645,1324515,69.5,68.5,52.3,2532729.49640288,de-bb,2531071,53,12.8,29.4.2022
Bremen,1684283,617161,591731,437762,90.7,87,64.4,680442.116868798,de-hb,680130,52.8,8,29.4.2022
Hamburg,4317961,1598229,1548153,1129443,86.3,83.6,61,1851945.53881808,de-hh,1852478,53.4,9.4,29.4.2022
Hessen,13261604,4882463,4686138,3583012,77.6,74.5,56.9,6291833.7628866,de-he,6293154,50.6,8.5,29.4.2022
Mecklenburg-Vorpommern,3357842,1211703,1195171,925843,75.2,74.2,57.5,1611307.18085106,de-mv,1610774,54,11.1,29.4.2022
Niedersachsen,17945595,6364362,6172830,5130485,79.5,77.1,64.1,8005486.79245283,de-ni,8003421,52.1,8.7,29.4.2022
Nordrhein-Westfalen,40581120,14611636,14150901,11126846,81.5,78.9,62.1,17928387.7300613,de-nw,17925570,51.3,8.2,29.4.2022
Rheinland-Pfalz,8817586,3210336,3072560,2437678,78.3,75,59.5,4100045.97701149,de-rp,4098391,49.7,7.8,29.4.2022
Saarland,2299333,818599,803816,653841,83.2,81.7,66.4,983893.028846154,de-sl,983991,49,7.4,29.4.2022
Sachsen,7249105,2668550,2613533,1970524,65.8,64.4,48.6,4055547.11246201,de-sn,4056941,50.9,13.5,29.4.2022
Sachsen-Anhalt,4394869,1608475,1597128,1198902,73.8,73.2,55,2179505.4200542,de-st,2180684,51.6,12.4,29.4.2022
Schleswig-Holstein,6863337,2351650,2317955,2106949,80.8,79.6,72.4,2910457.92079208,de-sh,2910875,54.6,9.3,29.4.2022
Thüringen,4067389,1499208,1468494,1100787,70.7,69.3,51.9,2120520.50919378,de-th,2120237,50.3,11.5,29.4.2022
