bundesland,erste,quote,zweite,hckey,einwohner,lat,lon,zweitquote
Baden-Württemberg,760957,68.5522513885543,349550,de-bw,11100394,48.2,8.5,31.4898732423372
Bayern,987892,75.2694701615735,466823,de-by,13124737,49,12,35.5681793852326
Berlin,251855,68.6348597121508,135254,de-be,3669491,52.3,13.2,36.8590630144617
Brandenburg,150903,59.8371937270931,79254,de-bb,2521893,53,12.8,31.4263927930329
Bremen,53856,79.0602493827088,23908,de-hb,681202,52.8,8,35.0967848009841
Hamburg,135475,73.338627681211,65116,de-hh,1847253,53.4,9.4,35.2501795909927
Hessen,431409,68.6074286586685,190260,de-he,6288080,50.6,8.5,30.2572486355135
Mecklenburg-Vorpommern,104531,65.0012623294767,56328,de-mv,1608138,54,11.1,35.0268447110882
Niedersachsen,520719,65.141923396794,225366,de-ni,7993608,52.1,8.7,28.1932764278659
Nordrhein-Westfalen,1194725,66.5688019331795,546939,de-nw,17947221,51.3,8.2,30.4748573609251
Rheinland-Pfalz,302015,73.771899334205,143346,de-rp,4093903,49.7,7.8,35.0145081600614
Saarland,78174,79.2127163494909,29511,de-sl,986887,49,7.4,29.903119607412
Sachsen,289566,71.1119995697415,121373,de-sn,4071971,50.9,13.5,29.8069411594532
Sachsen-Anhalt,137976,62.8654690989811,64872,de-st,2194782,51.6,12.4,29.5573774525215
Schleswig-Holstein,205395,70.733834910649,98039,de-sh,2903773,54.6,9.3,33.7626253842845
Thüringen,151124,70.8378918316398,78753,de-th,2133378,50.3,11.5,36.9146958485557
