bundesland,impfungen,quote,hckey,einwohner,lat,lon
Baden-Württemberg,295508,20.8027751087033,de-bw,11100394,48.2,8.5
Bayern,440401,24.7518102648457,de-by,13124737,49,12
Berlin,130266,26.5540915620177,de-be,3669491,52.3,13.2
Brandenburg,86804,29.281178860483,de-bb,2521893,53,12.8
Bremen,24656,28.5010907190525,de-hb,681202,52.8,8
Hamburg,57119,25.1043035252886,de-hh,1847253,53.4,9.4
Hessen,176896,20.7953779214005,de-he,6288080,50.6,8.5
Mecklenburg-Vorpommern,71322,35.0025930610433,de-mv,1608138,54,11.1
Niedersachsen,196370,18.9662790569665,de-ni,7993608,52.1,8.7
Nordrhein-Westfalen,456593,19.9137794090795,de-nw,17947221,51.3,8
Rheinland-Pfalz,159127,34.5635937148486,de-rp,4093903,49.7,7.6
Saarland,30425,21.8758581276276,de-sl,986887,49,7.1
Sachsen,105841,21.9841938952905,de-sn,4071971,50.9,13.5
Sachsen-Anhalt,70505,22.9289287045365,de-st,2194782,51.6,12.2
Schleswig-Holstein,103043,31.0461595999412,de-sh,2903773,54.6,9.3
Thüringen,63042,25.0129137921175,de-th,2133378,50.3,11.5
