bundesland,erste,erstquote,zweite,zweitquote,hckey,einwohner,lat,lon
Baden-Württemberg,7736585,69.7,7481288.79483501,67.4,de-bw,11100394,48.2,8.5
Bayern,9186190,69.9,8897068.14020029,67.7,de-by,13124737,49,12
Berlin,2675359,73,2569077.61506849,70.1,de-be,3669491,52.3,13.2
Brandenburg,1662928,65.7,1589526.30745814,62.8,de-bb,2521893,53,12.8
Bremen,573323,84.3,550199.652431791,80.9,de-hb,681202,52.8,8
Hamburg,1438447,77.6,1395812.61726804,75.3,de-hh,1847253,53.4,9.4
Hessen,4537817,72.1,4292359.49237171,68.2,de-he,6288080,50.6,8.5
Mecklenburg-Vorpommern,1136448,70.6,1088157.00849858,67.6,de-mv,1608138,54,11.1
Niedersachsen,5949288,74.3,5685053.1359354,71,de-ni,7993608,52.1,8.7
Nordrhein-Westfalen,13655614,76.2,12992546.1286089,72.5,de-nw,17947221,51.3,8.2
Rheinland-Pfalz,3007415,73.4,2818939.40054496,68.8,de-rp,4093903,49.7,7.8
Saarland,772685,78.5,744139.949044586,75.6,de-sl,986887,49,7.4
Sachsen,2492074,61.4,2382487.68403909,58.7,de-sn,4071971,50.9,13.5
Sachsen-Anhalt,1487090,68.2,1434758.38709677,65.8,de-st,2194782,51.6,12.4
Schleswig-Holstein,2221147,76.3,2154192.37221494,74,de-sh,2903773,54.6,9.3
Thüringen,1394779,65.8,1343905.60182371,63.4,de-th,2133378,50.3,11.5
