bundesland,impfungen,erstimpfungen,zweitimpfungen,drittimpfungen,erstquote,zweitquote,drittquote,pop,hckey,einwohner,lat,lon
Baden-Württemberg,18535720,7863336,7614943,3528727,70.8,68.6,31.8,11106406.779661,de-bw,11100394,48.2,8.5
Bayern,22020077,9339167,9059254,4121644,71.1,68.9,31.4,13135255.9774965,de-by,13124737,49,12
Berlin,6355947,2717170,2590531,1173052,74.2,70.7,32,3661954.17789757,de-be,3669491,52.3,13.2
Brandenburg,3859882,1689434,1611782,670083,66.7,63.7,26.5,2532884.55772114,de-bb,2521893,53,12.8
Bremen,1309188,585256,558110,212823,86.1,82.1,31.3,679739.837398374,de-hb,681202,52.8,8
Hamburg,3243643,1454085,1410586,484476,78.5,76.1,26.2,1852337.57961783,de-hh,1847253,53.4,9.4
Hessen,10476460,4603809,4354958,1765579,73.2,69.2,28.1,6289356.55737705,de-he,6288080,50.6,8.5
Mecklenburg-Vorpommern,2652370,1152560,1104999,460059,71.6,68.6,28.6,1609720.67039106,de-mv,1608138,54,11.1
Niedersachsen,14008529,6019014,5759546,2659568,75.2,72,33.2,8004007.9787234,de-ni,7993608,52.1,8.7
Nordrhein-Westfalen,32381208,13832157,13168032,6181305,77.2,73.5,34.5,17917301.8134715,de-nw,17947221,51.3,8.2
Rheinland-Pfalz,7043631,3046087,2851533,1310884,74.3,69.6,32,4099713.3243607,de-rp,4093903,49.7,7.8
Saarland,1852216,782236,753004,365525,79.5,76.5,37.1,983944.65408805,de-sl,986887,49,7.4
Sachsen,5862144,2534375,2416002,1012036,62.5,59.6,24.9,4055000,de-sn,4071971,50.9,13.5
Sachsen-Anhalt,3460865,1506720,1457615,603687,69.1,66.8,27.7,2180492.04052098,de-st,2194782,51.6,12.4
Schleswig-Holstein,5266130,2244832,2177341,977290,77.1,74.8,33.6,2911584.95460441,de-sh,2903773,54.6,9.3
Thüringen,3288010,1423930,1367693,589120,67.2,64.5,27.8,2118943.45238095,de-th,2133378,50.3,11.5
