bundesland,impfungen,erstimpfungen,zweitimpfungen,drittimpfungen,erstquote,zweitquote,drittquote,pop,hckey,einwohner,lat,lon,stand
Baden-Württemberg,21286135,8112141,7984214,5668204,73.1,71.9,51.1,11097320.1094391,de-bw,11103043,48.2,8.5,25.1.2022
Bayern,25050654,9608542,9514991,6430777,73.1,72.4,48.9,13144380.3009576,de-by,13140183,49,12,25.1.2022
Berlin,7293336,2806562,2726539,1887668,76.6,74.4,51.5,3663919.06005222,de-be,3664088,52.3,13.2,25.1.2022
Brandenburg,4438367,1734936,1692124,1123738,68.5,66.9,44.4,2532753.28467153,de-bb,2531071,53,12.8,25.1.2022
Bremen,1527782,605006,585786,384942,89,86.1,56.6,679782.02247191,de-hb,680130,52.8,8,25.1.2022
Hamburg,3751568,1497475,1460695,900832,80.8,78.9,48.6,1853310.64356436,de-hh,1852478,53.4,9.4,25.1.2022
Hessen,12079094,4759579,4536932,3033929,75.6,72.1,48.2,6295739.41798942,de-he,6293154,50.6,8.5,25.1.2022
Mecklenburg-Vorpommern,3057052,1181215,1160001,781553,73.3,72,48.5,1611480.21828104,de-mv,1610774,54,11.1,25.1.2022
Niedersachsen,16161500,6183091,5996885,4413571,77.3,74.9,55.1,7998824.06209573,de-ni,8003421,52.1,8.7,25.1.2022
Nordrhein-Westfalen,36674964,14231887,13715787,9534648,79.4,76.5,53.2,17924290.9319899,de-nw,17925570,51.3,8.2,25.1.2022
Rheinland-Pfalz,8076017,3134888,2977912,2129834,76.5,72.7,52,4097892.81045752,de-rp,4098391,49.7,7.8,25.1.2022
Saarland,2120122,803007,784122,582155,81.6,79.7,59.2,984077.205882353,de-sl,983991,49,7.4,25.1.2022
Sachsen,6689580,2615157,2528346,1647285,64.5,62.3,40.6,4054506.97674419,de-sn,4056941,50.9,13.5,25.1.2022
Sachsen-Anhalt,3948149,1545564,1535085,975286,70.9,70.4,44.7,2179921.01551481,de-st,2180684,51.6,12.4,25.1.2022
Schleswig-Holstein,6122523,2307697,2268883,1679529,79.3,77.9,57.7,2910084.48928121,de-sh,2910875,54.6,9.3,25.1.2022
Thüringen,3748286,1466406,1434560,941344,69.2,67.7,44.4,2119083.8150289,de-th,2120237,50.3,11.5,25.1.2022
