bundesland,erste,quote,zweite,hckey,einwohner,lat,lon,zweitquote
Baden-Württemberg,1421665,12.8073381899778,596626,de-bw,11100394,48.2,8.5,5.37481822717284
Bayern,1693785,12.9052871688019,807125,de-by,13124737,49,12,6.14964703673681
Berlin,487011,13.2718952029042,241500,de-be,3669491,52.3,13.2,6.58129424489664
Brandenburg,357347,14.169792294915,112420,de-bb,2521893,53,12.8,4.45776248238922
Bremen,106519,15.6369182709387,39419,de-hb,681202,52.8,8,5.78668295160613
Hamburg,241908,13.0955532349927,101059,de-hh,1847253,53.4,9.4,5.47077200578372
Hessen,773784,12.3055686314423,379060,de-he,6288080,50.6,8.5,6.02823119298737
Mecklenburg-Vorpommern,186794,11.6155454320463,81997,de-mv,1608138,54,11.1,5.09887833009356
Niedersachsen,1001007,12.5225930518484,437802,de-ni,7993608,52.1,8.7,5.4769010439341
Nordrhein-Westfalen,2313386,12.8899398965444,943776,de-nw,17947221,51.3,8.2,5.25861914777781
Rheinland-Pfalz,554729,13.5501256380525,194446,de-rp,4093903,49.7,7.8,4.74964844062011
Saarland,147936,14.9901660473793,55404,de-sl,986887,49,7.4,5.61401659967149
Sachsen,470039,11.5432796549877,275836,de-sn,4071971,50.9,13.5,6.77401680905881
Sachsen-Anhalt,296609,13.5142806893805,106468,de-st,2194782,51.6,12.4,4.85096014091605
Schleswig-Holstein,436079,15.0176683921229,128037,de-sh,2903773,54.6,9.3,4.40933227218519
Thüringen,305079,14.3002787129144,132864,de-th,2133378,50.3,11.5,6.22786960398017
