week,15/2022,14/2022,13/2022,12/2022,11/2022,10/2022,9/2022,8/2022,7/2022,6/2022,5/2022,4/2022,3/2022,2/2022,1/2022,52/2021,51/2021,50/2021,49/2021,48/2021,47/2021,46/2021,45/2021,44/2021,43/2021,42/2021,41/2021,40/2021,39/2021,38/2021,37/2021,36/2021,35/2021,34/2021,33/2021,32/2021,31/2021,30/2021,29/2021,28/2021,27/2021,26/2021,25/2021,24/2021,23/2021,22/2021,21/2021,20/2021,19/2021,18/2021,17/2021,16/2021,15/2021,14/2021,13/2021,12/2021,11/2021,10/2021,9/2021,8/2021,7/2021,6/2021,5/2021,4/2021,3/2021,2/2021,1/2021,53/2020,52/2020,51/2020,50/2020,49/2020,48/2020,47/2020,46/2020,45/2020,44/2020,43/2020,42/2020,41/2020,40/2020,39/2020,38/2020,37/2020,36/2020,35/2020,34/2020,33/2020,32/2020,31/2020,30/2020,29/2020,28/2020,27/2020,26/2020,25/2020,24/2020,23/2020,22/2020,21/2020,20/2020,19/2020,18/2020,17/2020,16/2020,15/2020,14/2020,13/2020,12/2020,11/2020,10/2020
0-4, 581.03, 750.29, 979.41,1294.97,1266.90,1184.51,1093.92,1145.34,1204.44,1327.29,1308.07,1293.20,1034.63, 479.25,230.08,160.01,190.14,273.03,307.85, 305.46, 289.11,241.89,178.78,111.84, 89.64, 68.23, 50.79, 46.76, 55.65, 58.85, 71.43, 88.03, 86.01, 74.60, 47.09,31.04,19.05,13.15, 8.77, 6.53, 4.53, 4.48, 6.47, 9.62,15.47,25.82,35.57, 58.00, 74.85,103.67,127.63,140.64,128.37,101.58,112.54,126.83,102.06, 75.78,59.86,47.67, 34.79, 33.96, 38.17, 38.57, 42.86, 46.74, 47.97, 38.50, 53.08, 78.00, 67.14, 58.02, 58.45, 60.16, 60.87, 60.87, 56.18, 36.66,22.42,13.18, 8.21, 7.51, 7.31, 5.67, 5.72, 5.59, 7.16, 6.93, 4.74, 3.78,4.08,3.55,3.70,3.65,3.45,4.01,2.77,2.70,2.19, 3.07, 2.92, 3.48, 3.35, 4.69,  4.01,  6.00,  6.80, 6.40, 3.58, 0.88,0.23
5-9,1017.29,1495.86,2028.48,2749.79,2688.84,2556.77,2197.58,2440.02,2866.02,3443.94,3713.48,3471.54,2474.30,1127.35,482.19,351.20,508.46,755.16,896.83, 961.13, 968.82,849.86,640.35,351.84,294.22,196.32,135.43,134.69,141.51,139.84,155.75,174.44,185.49,147.98, 98.43,48.66,30.50,19.24,12.74, 8.62, 5.55, 6.48, 9.33,15.04,30.34,40.44,49.61, 90.44,108.87,147.27,181.92,222.75,185.01,124.25,137.54,177.53,126.39, 97.50,72.31,53.18, 41.05, 36.90, 42.47, 43.58, 50.48, 58.15, 63.54, 51.41, 80.35,114.50,113.09, 97.69,101.28,103.82, 96.10, 89.04, 73.79, 48.71,25.77,16.41,11.44,10.33, 9.44, 8.62, 8.43, 9.38,10.02,10.86, 7.56, 5.18,4.02,3.70,3.04,3.22,3.67,4.68,3.25,2.62,2.96, 2.11, 2.96, 2.78, 3.20, 4.10,  4.33,  6.24,  7.72, 6.58, 4.47, 1.48,0.26
10-14,1047.95,1676.98,2368.93,3035.17,3023.79,2657.33,2031.63,2324.56,2848.65,3568.77,3858.51,3454.41,2254.74,1171.11,577.95,385.09,493.03,751.52,913.86,1031.17,1082.82,945.35,734.16,417.04,360.80,241.42,184.02,175.03,179.08,169.02,196.77,207.89,226.14,185.96,144.02,70.07,40.00,27.03,21.07,14.42, 8.05, 8.40,12.21,17.88,35.49,42.50,58.15,100.91,122.57,164.56,192.69,234.68,205.69,139.11,130.20,154.12,112.45, 77.26,62.23,50.52, 42.36, 37.93, 46.50, 50.68, 60.00, 73.02, 89.53, 71.33, 90.90,141.90,152.94,138.36,139.41,142.44,143.75,128.40,109.69, 73.56,44.35,30.66,19.17,15.76,13.85,13.37,11.57,12.97,15.46,14.63, 9.80, 6.79,5.13,3.92,2.74,2.82,3.95,5.15,3.19,2.79,3.22, 2.90, 3.17, 3.38, 3.68, 5.07,  6.28,  8.21, 11.54,10.23, 6.76, 2.74,0.51
15-19,1234.74,1632.92,2242.21,2809.34,2982.60,2942.72,2092.81,1943.77,2241.61,2579.12,2589.94,2239.62,1655.04,1211.53,785.81,379.85,312.31,438.09,531.32, 628.97, 650.88,565.73,478.22,305.20,255.06,180.38,127.10,117.95,118.75,119.89,146.55,177.69,201.93,181.03,144.60,90.96,61.45,47.86,41.98,33.40,15.06,10.76,11.56,17.74,32.07,44.55,58.16,100.89,128.06,182.74,224.62,268.26,280.60,195.73,171.31,186.37,143.95,106.57,83.26,79.73, 68.14, 61.71, 75.71, 90.08,108.95,139.68,165.68,128.53,152.48,219.72,228.77,200.17,193.63,213.03,226.17,218.11,186.37,126.09,76.67,53.67,34.46,27.15,26.91,21.47,19.94,21.65,22.87,19.14,14.16, 9.46,6.40,5.03,3.89,3.58,4.30,6.40,2.90,4.20,4.15, 3.97, 4.77, 6.72, 6.79,10.50, 14.81, 22.27, 27.90,24.19,13.92, 4.72,1.17
20-24,1279.86,1513.78,1962.72,2474.42,2706.82,2635.14,2074.74,1711.46,1833.87,1907.67,1856.39,1635.01,1314.15,1028.29,896.62,434.70,287.76,340.05,396.15, 461.68, 488.20,447.54,372.37,259.58,205.30,158.71,108.52, 91.02, 89.42, 90.32,108.43,136.16,149.57,150.82,126.90,96.88,61.15,50.98,45.77,32.95,19.34,12.12, 9.65,13.65,26.34,38.00,52.80, 91.48,122.35,171.16,210.50,246.69,252.82,214.31,186.13,187.14,151.08,118.65,96.44,91.94, 86.38, 80.19, 95.77,114.78,140.86,186.83,238.27,187.81,198.45,264.61,236.10,200.74,195.62,223.26,241.16,256.52,227.79,165.58,95.96,61.04,37.98,34.70,33.15,28.09,27.28,29.10,33.78,25.38,16.41,11.44,8.27,6.61,5.10,5.60,5.56,8.36,5.49,4.97,6.30, 6.85, 9.17,11.07,12.95,20.98, 26.91, 37.74, 49.01,49.67,31.66, 7.02,1.53
25-29,1259.43,1489.29,1930.25,2361.72,2487.64,2298.64,1910.59,1635.07,1754.92,1849.69,1811.67,1593.40,1284.85, 926.76,765.63,390.83,280.36,332.57,395.75, 451.75, 468.07,437.44,349.93,243.58,190.84,147.35,100.16, 87.40, 86.51, 83.80, 99.76,123.57,128.33,128.74,102.44,73.21,48.99,39.79,35.29,27.07,16.10,10.10, 9.44,12.64,22.61,32.59,49.97, 80.36,105.23,151.70,187.67,219.83,221.90,187.53,170.49,171.04,142.75,111.34,86.87,84.59, 79.63, 74.48, 91.29,108.57,130.25,173.81,219.28,171.53,191.80,246.19,219.22,186.06,183.01,201.83,217.41,226.87,210.44,149.08,91.02,54.67,35.60,29.21,30.14,24.97,23.65,24.85,24.30,17.10,12.31,10.42,8.37,6.31,4.66,6.39,6.55,8.12,4.95,4.52,6.39, 7.02, 7.92,10.63,13.84,20.23, 26.18, 39.39, 50.52,54.73,40.63,11.17,1.55
30-34,1223.36,1494.78,1911.47,2358.54,2372.82,2154.04,1837.94,1725.58,1867.93,2018.78,1993.23,1739.36,1267.28, 789.54,590.89,358.77,303.90,397.27,483.19, 538.09, 553.91,480.82,363.39,249.54,192.69,144.09, 96.02, 86.15, 85.59, 82.46, 91.49,111.64,118.08,107.27, 78.55,54.76,37.21,27.09,23.42,15.59,10.43, 7.70, 7.47,11.36,21.27,31.39,49.20, 81.31,105.12,148.18,187.24,212.41,215.37,181.60,170.31,176.95,141.53,107.97,87.69,81.11, 73.95, 69.97, 88.01,103.33,125.62,162.19,207.70,164.73,179.82,233.20,206.59,169.68,167.62,180.63,187.90,187.67,171.42,120.26,69.11,42.23,27.29,23.31,21.61,16.84,16.79,15.39,16.95,12.70, 9.28, 7.58,6.86,5.41,4.64,4.66,5.79,7.53,4.01,3.69,4.82, 5.66, 7.06, 8.69,10.12,16.14, 21.61, 31.23, 43.34,47.14,36.75, 9.59,1.24
35-39,1235.18,1535.21,1986.00,2467.59,2428.69,2186.25,1904.94,1906.32,2104.91,2342.49,2354.17,1971.39,1335.43, 741.22,515.74,351.72,326.47,455.20,554.60, 630.24, 635.30,531.46,400.14,267.93,199.89,144.61,101.17, 89.29, 85.92, 80.27, 91.10,109.79,113.52, 99.66, 71.25,46.23,30.24,22.06,17.14,12.21, 7.22, 6.43, 6.90,10.34,20.83,32.00,45.66, 79.82,106.26,150.62,189.33,213.24,213.01,179.16,169.78,178.97,143.40,109.00,86.66,79.04, 70.22, 67.97, 84.41, 98.40,119.89,151.51,191.90,152.73,179.99,230.98,207.58,172.84,164.76,173.75,173.66,169.18,152.73,101.82,58.55,34.53,21.79,19.05,17.14,13.21,12.21,13.53,14.33,12.17, 9.70, 7.30,6.82,4.82,3.84,4.27,5.59,7.35,3.67,2.95,4.57, 5.20, 6.65, 7.98, 8.86,14.38, 18.58, 31.11, 41.62,45.12,33.09,10.36,1.27
40-44,1198.12,1508.97,1998.50,2443.21,2389.92,2130.59,1783.54,1801.77,2017.94,2279.02,2273.60,1894.74,1241.30, 714.91,486.88,327.14,307.57,443.09,553.30, 645.79, 658.84,554.91,419.43,275.40,210.59,151.15,100.26, 87.31, 83.48, 77.68, 88.60,107.75,113.17,103.16, 74.68,46.77,28.68,19.68,14.56,10.11, 6.85, 5.44, 7.11,10.51,21.39,31.74,43.89, 78.97,105.94,153.55,190.15,215.20,213.11,184.37,165.56,180.54,138.91,106.28,84.97,82.11, 71.36, 68.86, 84.95,101.87,123.74,150.07,189.80,159.61,188.86,238.20,216.59,175.04,174.88,183.68,178.59,176.23,156.49,105.44,57.68,37.18,20.93,17.20,16.76,13.64,12.87,13.13,14.28,12.71, 9.71, 8.62,6.38,5.02,3.73,4.29,5.28,9.14,3.14,3.48,4.23, 4.79, 7.09, 8.04, 9.02,13.86, 20.28, 33.31, 45.88,46.10,35.73,11.24,1.69
45-49,1047.67,1307.01,1717.64,2088.16,2039.81,1773.90,1430.52,1394.76,1538.74,1694.79,1662.18,1368.15, 954.77, 613.00,420.40,261.48,240.30,343.00,439.67, 520.65, 538.42,466.20,359.42,240.93,179.49,131.12, 86.10, 75.72, 69.52, 66.30, 75.24, 90.17, 91.96, 81.81, 61.68,38.78,23.43,18.09,13.70, 8.68, 6.63, 5.22, 5.44, 9.35,17.36,25.97,41.34, 71.15,100.84,147.94,179.23,211.82,201.93,174.21,158.90,162.18,129.43,103.20,85.25,80.48, 74.88, 70.51, 89.10,105.27,128.96,158.19,194.47,169.78,193.43,247.15,220.28,183.54,179.77,192.04,184.38,188.27,166.72,115.51,61.94,40.57,23.85,17.81,17.42,13.80,12.19,12.05,13.76,11.40, 9.07, 7.67,6.63,4.65,3.61,4.31,5.36,7.59,2.86,3.20,4.29, 5.10, 6.59, 8.90, 9.33,15.65, 23.31, 38.07, 53.81,57.88,41.64,14.89,1.97
