"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"null","null","null","null","null","null","null","null",4000,"null","null","null"
"Berlin","Kreisfreie Stadt","Berlin","3754418","3122","153452","4087","112",4195,"de-be-11000000","52.5015315807","13.4018502444"
"Flensburg","Kreisfreie Stadt","Schleswig-Holstein","90164","39","2095","2324","61",55,"de-sh-01001000","54.7849933768","9.43852835486"
"Kiel","Kreisfreie Stadt","Schleswig-Holstein","246794","93","4216","1708","71",174,"de-sh-01002000","54.3248406926","10.1322443646"
"Lübeck","Kreisfreie Stadt","Schleswig-Holstein","216530","92","4982","2301","73",157,"de-sh-01003000","53.8723167338","10.7272831058"
"Neumünster","Kreisfreie Stadt","Schleswig-Holstein","80196","22","1524","1900","112",90,"de-sh-01004000","54.0811244365","9.98448195474"
"Dithmarschen","Kreis","Schleswig-Holstein","133193","42","1611","1210","53",70,"de-sh-01051000","54.1329109614","9.10781447873"
"Herzogtum Lauenburg","Kreis","Schleswig-Holstein","198019","104","4160","2101","124",245,"de-sh-01053000","53.5890024203","10.6018592215"
"Nordfriesland","Kreis","Schleswig-Holstein","165951","75","2348","1415","34",57,"de-sh-01054000","54.6095639996","8.88688779292"
"Ostholstein","Kreis","Schleswig-Holstein","200539","79","2667","1330","55",110,"de-sh-01055000","54.1896490274","10.8194270205"
"Pinneberg","Kreis","Schleswig-Holstein","316103","327","9016","2852","92",291,"de-sh-01056000","53.7180840651","9.73686669973"
"Plön","Kreis","Schleswig-Holstein","128686","28","1076","836","36",46,"de-sh-01057000","54.2433885939","10.3636951573"
"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein","274098","46","3367","1228","45",124,"de-sh-01058000","54.2896157359","9.78174206802"
"Schleswig-Flensburg","Kreis","Schleswig-Holstein","201156","54","2510","1248","28",56,"de-sh-01059000","54.6190195643","9.48870921465"
"Segeberg","Kreis","Schleswig-Holstein","277175","145","5883","2122","96",267,"de-sh-01060000","53.9199857446","10.1409147199"
"Steinburg","Kreis","Schleswig-Holstein","131013","29","1831","1398","82",108,"de-sh-01061000","53.9289451889","9.51938189615"
"Stormarn","Kreis","Schleswig-Holstein","244156","286","5849","2396","88",214,"de-sh-01062000","53.7208005726","10.3316398811"
"Hamburg","Kreisfreie Stadt","Hamburg","1847253","1412","65606","3552","128",2367,"de-hh-02000000","53.5463773461","10.0207944156"
"Braunschweig","Kreisfreie Stadt","Niedersachsen","249406","152","5079","2036","89",222,"de-ni-03101000","52.275221093","10.5241080552"
"Salzgitter","Kreisfreie Stadt","Niedersachsen","104291","60","3890","3730","226",236,"de-ni-03102000","52.124474442","10.3707262339"
"Wolfsburg","Kreisfreie Stadt","Niedersachsen","124371","75","2850","2292","174",216,"de-ni-03103000","52.4107473932","10.7848707661"
"Gifhorn","Landkreis","Niedersachsen","176523","168","4940","2799","153",270,"de-ni-03151000","52.5802562309","10.6041704601"
"Goslar","Landkreis","Niedersachsen","136292","107","2024","1485","60",82,"de-ni-03153000","51.8746771574","10.400392667"
"Helmstedt","Landkreis","Niedersachsen","91297","83","1987","2176","91",83,"de-ni-03154000","52.2607443342","10.8888387183"
"Northeim","Landkreis","Niedersachsen","132285","40","1846","1395","54",72,"de-ni-03155000","51.7425873324","9.84800893097"
"Peine","Landkreis","Niedersachsen","134801","96","4390","3257","139",187,"de-ni-03157000","52.3041913284","10.2552878088"
"Wolfenbüttel","Landkreis","Niedersachsen","119622","89","2218","1854","92",110,"de-ni-03158000","52.1269975166","10.583953795"
"Göttingen","Landkreis","Niedersachsen","326041","226","6478","1987","61",199,"de-ni-03152000","51.4989390206","9.92623513116"
"Region Hannover","Landkreis","Niedersachsen","1157115","910","40016","3458","110",1272,"de-ni-03241000","52.4219370696","9.71979904802"
"Diepholz","Landkreis","Niedersachsen","217089","89","5414","2494","75",163,"de-ni-03251000","52.7284857794","8.70179913631"
"Hameln-Pyrmont","Landkreis","Niedersachsen","148549","92","3549","2389","85",127,"de-ni-03252000","52.0951381895","9.38989545155"
"Hildesheim","Landkreis","Niedersachsen","275817","267","7373","2673","68",187,"de-ni-03254000","52.0902189983","9.94348097201"
"Holzminden","Landkreis","Niedersachsen","70458","56","1276","1811","44",31,"de-ni-03255000","51.8806325752","9.55140269027"
