"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon"
"Berlin","Kreisfreie Stadt","Berlin","3664088",3944,306775,8372.47904526311,296.7,10872,3,"de-be-11000000","52.5015315807","13.4018502444"
"Flensburg","Kreisfreie Stadt","Schleswig-Holstein","89934",46,3828,4256.5,197.9,178,0,"de-sh-01001000","54.7849933768","9.43852835486"
"Kiel","Kreisfreie Stadt","Schleswig-Holstein","246601",124,10010,4059.2,163,402,0,"de-sh-01002000","54.3248406926","10.1322443646"
"Lübeck","Kreisfreie Stadt","Schleswig-Holstein","215846",118,9769,4525.9,242.3,523,3,"de-sh-01003000","53.8723167338","10.7272831058"
"Neumünster","Kreisfreie Stadt","Schleswig-Holstein","79905",28,3500,4380.2,157.7,126,0,"de-sh-01004000","54.0811244365","9.98448195474"
"Dithmarschen","Kreis","Schleswig-Holstein","133251",61,3557,2669.4,87.8,117,0,"de-sh-01051000","54.1329109614","9.10781447873"
"Herzogtum Lauenburg","Kreis","Schleswig-Holstein","199152",129,8974,4506.1,216.9,432,1,"de-sh-01053000","53.5890024203","10.6018592215"
"Nordfriesland","Kreis","Schleswig-Holstein","167147",93,4831,2890.3,121.4,203,0,"de-sh-01054000","54.6095639996","8.88688779292"
"Ostholstein","Kreis","Schleswig-Holstein","201487",95,5641,2799.7,148.4,299,0,"de-sh-01055000","54.1896490274","10.8194270205"
"Pinneberg","Kreis","Schleswig-Holstein","317085",410,16559,5222.3,180.1,571,0,"de-sh-01056000","53.7180840651","9.73686669973"
"Plön","Kreis","Schleswig-Holstein","129353",38,2872,2220.3,108.2,140,0,"de-sh-01057000","54.2433885939","10.3636951573"
"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein","274765",70,7259,2641.9,157.6,433,0,"de-sh-01058000","54.2896157359","9.78174206802"
"Schleswig-Flensburg","Kreis","Schleswig-Holstein","202647",67,4864,2400.2,98.7,200,0,"de-sh-01059000","54.6190195643","9.48870921465"
"Segeberg","Kreis","Schleswig-Holstein","278007",189,11052,3975.4,170.9,475,1,"de-sh-01060000","53.9199857446","10.1409147199"
"Steinburg","Kreis","Schleswig-Holstein","130706",50,4030,3083.3,143.1,187,0,"de-sh-01061000","53.9289451889","9.51938189615"
"Stormarn","Kreis","Schleswig-Holstein","244989",333,11515,4700.2,213.9,524,1,"de-sh-01062000","53.7208005726","10.3316398811"
"Hamburg","Kreisfreie Stadt","Hamburg","1852478",1945,126147,6809.6,242.7,4496,6,"de-hh-02000000","53.5463773461","10.0207944156"
"Braunschweig","Kreisfreie Stadt","Niedersachsen","248561",213,10997,4424.3,164.5,409,2,"de-ni-03101000","52.275221093","10.5241080552"
"Salzgitter","Kreisfreie Stadt","Niedersachsen","103866",113,8852,8522.5,246.5,256,1,"de-ni-03102000","52.124474442","10.3707262339"
"Wolfsburg","Kreisfreie Stadt","Niedersachsen","123840",111,7329,5918.1,228.5,283,1,"de-ni-03103000","52.4107473932","10.7848707661"
"Gifhorn","Landkreis","Niedersachsen","177227",231,10629,5997.4,202,358,0,"de-ni-03151000","52.5802562309","10.6041704601"
"Goslar","Landkreis","Niedersachsen","134688",146,4562,3387.1,120.3,162,0,"de-ni-03153000","51.8746771574","10.400392667"
"Helmstedt","Landkreis","Niedersachsen","91518",107,4079,4457,239.3,219,2,"de-ni-03154000","52.2607443342","10.8888387183"
"Northeim","Landkreis","Niedersachsen","131772",77,4856,3685.2,147.2,194,0,"de-ni-03155000","51.7425873324","9.84800893097"
"Peine","Landkreis","Niedersachsen","135844",112,8148,5998.1,139.9,190,0,"de-ni-03157000","52.3041913284","10.2552878088"
"Wolfenbüttel","Landkreis","Niedersachsen","119361",104,4867,4077.5,179.3,214,1,"de-ni-03158000","52.1269975166","10.583953795"
"Göttingen","Landkreis","Niedersachsen","323900",315,14071,4344.2,228.8,741,1,"de-ni-03159000","51.4989390206","9.92623513116"
"Region Hannover","Landkreis","Niedersachsen","1155330",1180,74219,6424.1,204.7,2365,0,"de-ni-03241000","52.4219370696","9.71979904802"
"Diepholz","Landkreis","Niedersachsen","218072",117,10487,4809,185.7,405,0,"de-ni-03251000","52.7284857794","8.70179913631"
"Hameln-Pyrmont","Landkreis","Niedersachsen","148580",107,6865,4620.4,160.9,239,0,"de-ni-03252000","52.0951381895","9.38989545155"
"Hildesheim","Landkreis","Niedersachsen","275464",325,14082,5112.1,188,518,5,"de-ni-03254000","52.0902189983","9.94348097201"
"Holzminden","Landkreis","Niedersachsen","70207",75,2902,4133.5,293.4,206,0,"de-ni-03255000","51.8806325752","9.55140269027"
"Nienburg (Weser)","Landkreis","Niedersachsen","121645",167,5460,4488.5,141.4,172,0,"de-ni-03256000","52.6092228116","9.1143129274"
"Schaumburg","Landkreis","Niedersachsen","158406",103,7658,4834.4,161.6,256,2,"de-ni-03257000","52.2927923256","9.20656190484"
"Celle","Landkreis","Niedersachsen","179386",94,8323,4639.7,194,348,0,"de-ni-03351000","52.7133432321","10.1035661643"
"Cuxhaven","Landkreis","Niedersachsen","198826",186,7142,3592.1,126.7,252,0,"de-ni-03352000","53.6165865049","8.81238237187"
"Harburg","Landkreis","Niedersachsen","256016",134,11161,4359.5,162.1,415,1,"de-ni-03353000","53.3157734164","9.96273884793"
"Lüchow-Dannenberg","Landkreis","Niedersachsen","48503",28,1623,3346.2,187.6,91,0,"de-ni-03354000","53.0198717176","11.1229198942"
"Lüneburg","Landkreis","Niedersachsen","184235",80,6600,3582.4,146,269,0,"de-ni-03355000","53.232575345","10.5732569229"
"Osterholz","Landkreis","Niedersachsen","114640",68,4269,3723.8,165.7,190,0,"de-ni-03356000","53.2510067251","8.80808093198"
"Rotenburg (Wümme)","Landkreis","Niedersachsen","164486",106,6157,3743.2,110.6,182,0,"de-ni-03357000","53.2507583937","9.30658483814"
"Heidekreis","Landkreis","Niedersachsen","140885",117,5190,3683.9,146.9,207,1,"de-ni-03358000","52.9283300914","9.76941135878"
"Stade","Landkreis","Niedersachsen","205357",152,8642,4208.3,147.1,302,0,"de-ni-03359000","53.578976226","9.41807038986"
"Uelzen","Landkreis","Niedersachsen","92566",125,3557,3842.7,166.4,154,0,"de-ni-03360000","52.9836349419","10.5475810531"
"Verden","Landkreis","Niedersachsen","137574",85,7037,5115.1,234.8,323,1,"de-ni-03361000","52.973235647","9.17546449952"
"Delmenhorst","Kreisfreie Stadt","Niedersachsen","77503",76,5371,6930.1,154.8,120,0,"de-ni-03401000","53.0494043992","8.64568293102"
"Emden","Kreisfreie Stadt","Niedersachsen","49874",20,2047,4104.3,94.2,47,0,"de-ni-03402000","53.3606790665","7.18158411476"
"Oldenburg (Oldb)","Kreisfreie Stadt","Niedersachsen","169605",55,7118,4196.8,100.2,170,0,"de-ni-03403000","53.1445781697","8.22435903936"
"Osnabrück","Kreisfreie Stadt","Niedersachsen","164223",111,10768,6556.9,182.7,300,0,"de-ni-03404000","52.2776798178","8.04703290985"
"Wilhelmshaven","Kreisfreie Stadt","Niedersachsen","75189",64,3164,4208.1,146.3,110,1,"de-ni-03405000","53.5659448147","8.08620462896"
"Ammerland","Landkreis","Niedersachsen","125643",72,4802,3821.9,87.5,110,0,"de-ni-03451000","53.2184881736","8.01326226621"
"Aurich","Landkreis","Niedersachsen","190178",71,6043,3177.5,117.3,223,0,"de-ni-03452000","53.4964307678","7.36808958075"
"Cloppenburg","Landkreis","Niedersachsen","172632",197,17149,9933.8,197.5,341,2,"de-ni-03453000","52.9110290194","7.90471393786"
"Emsland","Landkreis","Niedersachsen","328930",234,21572,6558.2,206.7,680,1,"de-ni-03454000","52.7382970162","7.40268865164"
"Friesland","Landkreis","Niedersachsen","98971",46,2762,2790.7,76.8,76,0,"de-ni-03455000","53.510362974","7.98324746163"
"Grafschaft Bentheim","Landkreis","Niedersachsen","137891",133,8536,6190.4,239.3,330,0,"de-ni-03456000","52.4760534093","7.01985676166"
"Leer","Landkreis","Niedersachsen","171483",77,7209,4203.9,135.9,233,0,"de-ni-03457000","53.2435417357","7.46976164078"
"Oldenburg","Landkreis","Niedersachsen","131467",128,7252,5516.2,127.8,168,0,"de-ni-03458000","52.9880769073","8.38939656642"
"Osnabrück","Landkreis","Niedersachsen","359471",340,24263,6749.6,190.6,685,1,"de-ni-03459000","52.3816139244","8.04515734225"
"Vechta","Landkreis","Niedersachsen","143698",101,12818,8920.1,283.2,407,0,"de-ni-03460000","52.6602901512","8.22305794318"
"Wesermarsch","Landkreis","Niedersachsen","88524",119,4591,5186.2,167.2,148,0,"de-ni-03461000","53.357641762","8.38864623114"
