"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"null","null","null","null","null","null","null","null",1500,"null","null","null"
"Berlin","Kreisfreie Stadt","Berlin","3657463","3756","240189","6567","279.7",10230,"de-be-11000000","52.5015315807","13.4018502444"
"Flensburg","Kreisfreie Stadt","Schleswig-Holstein","89934","39","3156","3509.2","93.4",84,"de-sh-01001000","54.7849933768","9.43852835486"
"Kiel","Kreisfreie Stadt","Schleswig-Holstein","246601","117","8226","3335.8","120.8",298,"de-sh-01002000","54.3248406926","10.1322443646"
"Lübeck","Kreisfreie Stadt","Schleswig-Holstein","215846","105","7541","3493.7","104.7",226,"de-sh-01003000","53.8723167338","10.7272831058"
"Neumünster","Kreisfreie Stadt","Schleswig-Holstein","79905","25","2767","3462.9","87.6",70,"de-sh-01004000","54.0811244365","9.98448195474"
"Dithmarschen","Kreis","Schleswig-Holstein","133251","57","2954","2216.9","102.8",137,"de-sh-01051000","54.1329109614","9.10781447873"
"Herzogtum Lauenburg","Kreis","Schleswig-Holstein","199152","121","6912","3470.7","108",215,"de-sh-01053000","53.5890024203","10.6018592215"
"Nordfriesland","Kreis","Schleswig-Holstein","167147","89","3821","2286","101.7",170,"de-sh-01054000","54.6095639996","8.88688779292"
"Ostholstein","Kreis","Schleswig-Holstein","201487","88","4266","2117.3","68",137,"de-sh-01055000","54.1896490274","10.8194270205"
"Pinneberg","Kreis","Schleswig-Holstein","317085","396","13687","4316.5","92.7",294,"de-sh-01056000","53.7180840651","9.73686669973"
"Plön","Kreis","Schleswig-Holstein","129353","36","2111","1632","78.9",102,"de-sh-01057000","54.2433885939","10.3636951573"
"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein","274765","66","5678","2066.5","78.6",216,"de-sh-01058000","54.2896157359","9.78174206802"
"Schleswig-Flensburg","Kreis","Schleswig-Holstein","202647","62","3813","1881.6","104.6",212,"de-sh-01059000","54.6190195643","9.48870921465"
"Segeberg","Kreis","Schleswig-Holstein","278007","177","8995","3235.5","82",228,"de-sh-01060000","53.9199857446","10.1409147199"
"Steinburg","Kreis","Schleswig-Holstein","130706","48","3096","2368.7","55.9",73,"de-sh-01061000","53.9289451889","9.51938189615"
"Stormarn","Kreis","Schleswig-Holstein","244989","324","9241","3772","110.6",271,"de-sh-01062000","53.7208005726","10.3316398811"
"Hamburg","Kreisfreie Stadt","Hamburg","1852478","1844","103336","5578.3","136.5",2529,"de-hh-02000000","53.5463773461","10.0207944156"
"Braunschweig","Kreisfreie Stadt","Niedersachsen","248561","196","8503","3420.9","107",266,"de-ni-03101000","52.275221093","10.5241080552"
"Salzgitter","Kreisfreie Stadt","Niedersachsen","103866","86","7053","6790.5","188.7",196,"de-ni-03102000","52.124474442","10.3707262339"
"Wolfsburg","Kreisfreie Stadt","Niedersachsen","123840","97","5737","4632.6","139.7",173,"de-ni-03103000","52.4107473932","10.7848707661"
"Gifhorn","Landkreis","Niedersachsen","177227","196","8359","4716.5","209.9",372,"de-ni-03151000","52.5802562309","10.6041704601"
"Goslar","Landkreis","Niedersachsen","134688","138","3513","2608.3","84.6",114,"de-ni-03153000","51.8746771574","10.400392667"
"Helmstedt","Landkreis","Niedersachsen","91518","98","3101","3388.4","94",86,"de-ni-03154000","52.2607443342","10.8888387183"
"Northeim","Landkreis","Niedersachsen","131772","65","3576","2713.8","163.2",215,"de-ni-03155000","51.7425873324","9.84800893097"
"Peine","Landkreis","Niedersachsen","135844","106","6906","5083.8","120",163,"de-ni-03157000","52.3041913284","10.2552878088"
"Wolfenbüttel","Landkreis","Niedersachsen","119361","101","3659","3065.5","98",117,"de-ni-03158000","52.1269975166","10.583953795"
"Göttingen","Landkreis","Niedersachsen","323900","287","10358","3197.9","114.2",370,"de-ni-03159000","51.4989390206","9.92623513116"
"Region Hannover","Landkreis","Niedersachsen","1155330","1110","62181","5382.1","118.6",1370,"de-ni-03241000","52.4219370696","9.71979904802"
"Diepholz","Landkreis","Niedersachsen","218072","112","8714","3995.9","100",218,"de-ni-03251000","52.7284857794","8.70179913631"
