"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Inzidenz","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon","Datum"
"Flensburg","Kreisfreie Stadt","Schleswig-Holstein","89934","71","23934","928.458647452576","835","1","de-sh-01001000",54.78499338,9.438528355,"29.4.2022"
"Kiel","Kreisfreie Stadt","Schleswig-Holstein","246601","215","56807","922.542893175616","2275","0","de-sh-01002000",54.32484069,10.13224436,"29.4.2022"
"Lübeck","Kreisfreie Stadt","Schleswig-Holstein","215846","135","51821","1084.56955421921","2341","1","de-sh-01003000",53.87231673,10.72728311,"29.4.2022"
"Neumünster","Kreisfreie Stadt","Schleswig-Holstein","79905","81","19135","1028.7216069082","822","0","de-sh-01004000",54.08112444,9.984481955,"29.4.2022"
"Regionalverband Saarbrücken","Landkreis","Saarland","327502","704","97681","736.789393652558","2413","1","de-sl-10041000",49.25138239,6.957296528,"29.4.2022"
"Merzig-Wadern","Landkreis","Saarland","103471","136","31827","983.8505474964","1018","0","de-sl-10042000",49.49576456,6.680484797,"29.4.2022"
"Neunkirchen","Landkreis","Saarland","131172","202","38903","788.277986155582","1034","0","de-sl-10043000",49.37570165,7.117203207,"29.4.2022"
"Saarlouis","Landkreis","Saarland","193732","251","62415","869.758222699399","1685","1","de-sl-10044000",49.35534155,6.775543339,"29.4.2022"
"Saarpfalz-Kreis","Landkreis","Saarland","141656","189","42071","799.824927994578","1133","0","de-sl-10045000",49.24869939,7.242221249,"29.4.2022"
"St. Wendel","Landkreis","Saarland","86458","153","26170","988.919475352194","855","0","de-sl-10046000",49.51957311,7.100433245,"29.4.2022"
"Dithmarschen","Kreis","Schleswig-Holstein","133251","98","31362","1231.51045770763","1641","2","de-sh-01051000",54.13291096,9.107814479,"29.4.2022"
"Herzogtum Lauenburg","Kreis","Schleswig-Holstein","199152","151","44636","676.367799469752","1347","0","de-sh-01053000",53.58900242,10.60185922,"29.4.2022"
"Nordfriesland","Kreis","Schleswig-Holstein","167147","137","40556","1320.99289846662","2208","1","de-sh-01054000",54.609564,8.886887793,"29.4.2022"
"Ostholstein","Kreis","Schleswig-Holstein","201487","116","38730","1535.08663089926","3093","1","de-sh-01055000",54.18964903,10.81942702,"29.4.2022"
"Pinneberg","Kreis","Schleswig-Holstein","317085","470","72999","766.986770108961","2432","1","de-sh-01056000",53.71808407,9.7368667,"29.4.2022"
"Plön","Kreis","Schleswig-Holstein","129353","51","23118","751.432127588846","972","0","de-sh-01057000",54.24338859,10.36369516,"29.4.2022"
"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein","274765","98","59235","1075.46448783506","2955","0","de-sh-01058000",54.28961574,9.781742068,"29.4.2022"
"Schleswig-Flensburg","Kreis","Schleswig-Holstein","202647","116","44329","1157.18466101151","2345","0","de-sh-01059000",54.61901956,9.488709215,"29.4.2022"
"Segeberg","Kreis","Schleswig-Holstein","278007","272","66872","1030.90929365088","2866","1","de-sh-01060000",53.91998574,10.14091472,"29.4.2022"
"Steinburg","Kreis","Schleswig-Holstein","130706","65","22812","1125.4265297691","1471","1","de-sh-01061000",53.92894519,9.519381896,"29.4.2022"
"Stormarn","Kreis","Schleswig-Holstein","244989","365","55017","982.493091526558","2407","0","de-sh-01062000",53.72080057,10.33163988,"29.4.2022"
"Berlin","Kreisfreie Stadt","Berlin","3664088","4480","997355","525.342186104701","19249","4","de-be-11000000",52.50153158,13.40185024,"29.4.2022"
"Brandenburg an der Havel","Kreisfreie Stadt","Brandenburg","72040","159","19621","421.987784564131","304","0","de-bb-12051000",52.40271509,12.51933378,"29.4.2022"
"Cottbus","Kreisfreie Stadt","Brandenburg","98693","290","35985","810.59446971923","800","0","de-bb-12052000",51.772693,14.36621885,"29.4.2022"
"Frankfurt (Oder)","Kreisfreie Stadt","Brandenburg","57015","190","17185","578.795053933176","330","0","de-bb-12053000",52.32476308,14.49034875,"29.4.2022"
"Potsdam","Kreisfreie Stadt","Brandenburg","182112","275","52070","701.216833596907","1277","0","de-bb-12054000",52.42617849,13.02854917,"29.4.2022"
"Barnim","Landkreis","Brandenburg","187343","348","48333","552.996375631862","1036","0","de-bb-12060000",52.82322798,13.70373113,"29.4.2022"
"Dahme-Spreewald","Landkreis","Brandenburg","173316","390","53246","882.203604975882","1529","0","de-bb-12061000",52.04230693,13.81994078,"29.4.2022"
"Elbe-Elster","Landkreis","Brandenburg","101085","389","36465","578.720878468616","585","0","de-bb-12062000",51.61227102,13.45958892,"29.4.2022"
"Havelland","Landkreis","Brandenburg","164693","267","42479","363.099828165132","598","1","de-bb-12063000",52.62082081,12.62834691,"29.4.2022"
"Märkisch-Oderland","Landkreis","Brandenburg","197195","376","56083","437.130758893481","862","0","de-bb-12064000",52.60672381,14.14646433,"29.4.2022"
"Oberhavel","Landkreis","Brandenburg","214234","403","59767","642.755118235201","1377","0","de-bb-12065000",52.90683265,13.20530222,"29.4.2022"
"Oberspreewald-Lausitz","Landkreis","Brandenburg","108396","383","38475","649.470460164582","704","0","de-bb-12066000",51.61630052,13.9436173,"29.4.2022"
"Oder-Spree","Landkreis","Brandenburg","179276","465","56952","531.582587741806","953","1","de-bb-12067000",52.24400851,14.21905943,"29.4.2022"
"Ostprignitz-Ruppin","Landkreis","Brandenburg","98808","209","29031","452.392518824387","447","0","de-bb-12068000",52.99142304,12.63595895,"29.4.2022"
"Potsdam-Mittelmark","Landkreis","Brandenburg","217954","280","62976","675.371867458271","1472","0","de-bb-12069000",52.24629471,12.6891435,"29.4.2022"
"Prignitz","Landkreis","Brandenburg","76096","233","25188","649.179983179142","494","0","de-bb-12070000",53.10932673,11.96182693,"29.4.2022"
"Spree-Neiße","Landkreis","Brandenburg","113011","326","40643","607.905425135606","687","0","de-bb-12071000",51.75859324,14.43312857,"29.4.2022"
"Teltow-Fläming","Landkreis","Brandenburg","171554","323","52605","562.505100434848","965","1","de-bb-12072000",52.07318431,13.2760182,"29.4.2022"
"Uckermark","Landkreis","Brandenburg","118250","250","33955","401.69133192389","475","0","de-bb-12073000",53.20590307,13.86129862,"29.4.2022"
"Rostock","Kreisfreie Stadt","Mecklenburg-Vorpommern","209061","146","61328","619.914761720263","1296","0","de-mv-13003000",54.14638839,12.14174712,"29.4.2022"
"Schwerin","Kreisfreie Stadt","Mecklenburg-Vorpommern","95609","165","27773","754.11310650671","721","1","de-mv-13004000",53.62151005,11.41652995,"29.4.2022"
"Mecklenburgische Seenplatte","Landkreis","Mecklenburg-Vorpommern","258057","231","59483","583.20448583065","1505","0","de-mv-13071000",53.54369275,13.00246062,"29.4.2022"
"Rostock","Landkreis","Mecklenburg-Vorpommern","217072","309","69170","645.407975234024","1401","0","de-mv-13072000",53.91204551,12.22083383,"29.4.2022"
"Vorpommern-Rügen","Landkreis","Mecklenburg-Vorpommern","225383","268","63040","518.228970241766","1168","1","de-mv-13073000",54.28420295,12.99152542,"29.4.2022"
"Nordwestmecklenburg","Landkreis","Mecklenburg-Vorpommern","157975","131","47097","781.769267289128","1235","0","de-mv-13074000",53.82151223,11.25210947,"29.4.2022"
"Vorpommern-Greifswald","Landkreis","Mecklenburg-Vorpommern","235773","498","71948","575.12946775076","1356","0","de-mv-13075000",53.78951116,13.78069636,"29.4.2022"
"Ludwigslust-Parchim","Landkreis","Mecklenburg-Vorpommern","211844","407","66693","739.223201978815","1566","0","de-mv-13076000",53.45004704,11.53414161,"29.4.2022"
"Chemnitz","Kreisfreie Stadt","Sachsen","244401","836","79435","470.538172920733","1150","1","de-sn-14511000",50.82630369,12.9118299,"29.4.2022"
"Erzgebirgskreis","Landkreis","Sachsen","331917","1648","128707","338.036316307993","1122","0","de-sn-14521000",50.60889842,12.94507247,"29.4.2022"
"Mittelsachsen","Landkreis","Sachsen","301474","1015","110095","456.092399344554","1375","0","de-sn-14522000",50.95581664,13.13750681,"29.4.2022"
"Vogtlandkreis","Landkreis","Sachsen","223905","1228","80446","530.582166543847","1188","0","de-sn-14523000",50.45679294,12.23499962,"29.4.2022"
"Zwickau","Landkreis","Sachsen","312033","1493","110784","399.637217858368","1247","0","de-sn-14524000",50.7507748,12.52580551,"29.4.2022"
"Dresden","Kreisfreie Stadt","Sachsen","556227","1688","203845","583.934257056921","3248","0","de-sn-14612000",51.06644429,13.78344907,"29.4.2022"
"Bautzen","Landkreis","Sachsen","298010","1404","118881","484.547498406094","1444","0","de-sn-14625000",51.26891358,14.23100852,"29.4.2022"
