"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Inzidenz","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon","Datum"
"Berlin","Kreisfreie Stadt","Berlin","3664088",4245,741869,1043,38215,20,"de-be-11000000","52.5015315807","13.4018502444","1.3.2022"
"Flensburg","Kreisfreie Stadt","Schleswig-Holstein","89934",57,12729,1383.2,1244,0,"de-sh-01001000","54.7849933768","9.43852835486","1.3.2022"
"Kiel","Kreisfreie Stadt","Schleswig-Holstein","246601",157,28169,804.9,1985,0,"de-sh-01002000","54.3248406926","10.1322443646","1.3.2022"
"Lübeck","Kreisfreie Stadt","Schleswig-Holstein","215846",126,27629,790.4,1706,0,"de-sh-01003000","53.8723167338","10.7272831058","1.3.2022"
"Neumünster","Kreisfreie Stadt","Schleswig-Holstein","79905",49,10554,1279,1022,0,"de-sh-01004000","54.0811244365","9.98448195474","1.3.2022"
"Dithmarschen","Kreis","Schleswig-Holstein","133251",79,12547,921.6,1228,1,"de-sh-01051000","54.1329109614","9.10781447873","1.3.2022"
"Herzogtum Lauenburg","Kreis","Schleswig-Holstein","199152",144,24353,794.9,1583,1,"de-sh-01053000","53.5890024203","10.6018592215","1.3.2022"
"Nordfriesland","Kreis","Schleswig-Holstein","167147",105,16976,1355.7,2266,1,"de-sh-01054000","54.6095639996","8.88688779292","1.3.2022"
"Ostholstein","Kreis","Schleswig-Holstein","201487",104,17186,809.5,1631,1,"de-sh-01055000","54.1896490274","10.8194270205","1.3.2022"
"Pinneberg","Kreis","Schleswig-Holstein","317085",438,41471,577.1,1830,1,"de-sh-01056000","53.7180840651","9.73686669973","1.3.2022"
"Plön","Kreis","Schleswig-Holstein","129353",44,9122,660.2,854,1,"de-sh-01057000","54.2433885939","10.3636951573","1.3.2022"
"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein","274765",84,24856,976.5,2683,1,"de-sh-01058000","54.2896157359","9.78174206802","1.3.2022"
"Schleswig-Flensburg","Kreis","Schleswig-Holstein","202647",88,18891,1189.3,2410,1,"de-sh-01059000","54.6190195643","9.48870921465","1.3.2022"
"Segeberg","Kreis","Schleswig-Holstein","278007",231,34005,774.8,2154,2,"de-sh-01060000","53.9199857446","10.1409147199","1.3.2022"
"Steinburg","Kreis","Schleswig-Holstein","130706",61,11614,940.3,1229,2,"de-sh-01061000","53.9289451889","9.51938189615","1.3.2022"
"Stormarn","Kreis","Schleswig-Holstein","244989",349,31929,695.5,1704,2,"de-sh-01062000","53.7208005726","10.3316398811","1.3.2022"
"Hamburg","Kreisfreie Stadt","Hamburg","1852478",2294,349305,548.2,10155,2,"de-hh-02000000","53.5463773461","10.0207944156","1.3.2022"
"Braunschweig","Kreisfreie Stadt","Niedersachsen","248561",228,29238,1163.1,2891,2,"de-ni-03101000","52.275221093","10.5241080552","1.3.2022"
"Salzgitter","Kreisfreie Stadt","Niedersachsen","103866",131,19710,1469.2,1526,2,"de-ni-03102000","52.124474442","10.3707262339","1.3.2022"
"Wolfsburg","Kreisfreie Stadt","Niedersachsen","123840",133,19688,2016.3,2497,1,"de-ni-03103000","52.4107473932","10.7848707661","1.3.2022"
"Gifhorn","Landkreis","Niedersachsen","177227",265,24945,1438.3,2549,1,"de-ni-03151000","52.5802562309","10.6041704601","1.3.2022"
"Goslar","Landkreis","Niedersachsen","134688",161,16034,1319.3,1777,1,"de-ni-03153000","51.8746771574","10.400392667","1.3.2022"
"Helmstedt","Landkreis","Niedersachsen","91518",121,10953,1031.5,944,1,"de-ni-03154000","52.2607443342","10.8888387183","1.3.2022"
"Northeim","Landkreis","Niedersachsen","131772",93,13531,1855.5,2445,1,"de-ni-03155000","51.7425873324","9.84800893097","1.3.2022"
"Peine","Landkreis","Niedersachsen","135844",125,19141,1224.2,1663,1,"de-ni-03157000","52.3041913284","10.2552878088","1.3.2022"
"Wolfenbüttel","Landkreis","Niedersachsen","119361",112,12870,1159.5,1384,1,"de-ni-03158000","52.1269975166","10.583953795","1.3.2022"
"Göttingen","Landkreis","Niedersachsen","323900",340,28620,1083.1,3508,2,"de-ni-03159000","51.4989390206","9.92623513116","1.3.2022"
"Region Hannover","Landkreis","Niedersachsen","1155330",1309,182873,1344.4,15532,3,"de-ni-03241000","52.4219370696","9.71979904802","1.3.2022"
"Diepholz","Landkreis","Niedersachsen","218072",124,28395,956.6,2086,3,"de-ni-03251000","52.7284857794","8.70179913631","1.3.2022"
"Hameln-Pyrmont","Landkreis","Niedersachsen","148580",118,19714,1451.1,2156,3,"de-ni-03252000","52.0951381895","9.38989545155","1.3.2022"
"Hildesheim","Landkreis","Niedersachsen","275464",356,34524,1304.3,3593,3,"de-ni-03254000","52.0902189983","9.94348097201","1.3.2022"
"Holzminden","Landkreis","Niedersachsen","70207",85,7849,1196.5,840,3,"de-ni-03255000","51.8806325752","9.55140269027","1.3.2022"
"Nienburg (Weser)","Landkreis","Niedersachsen","121645",180,15178,1195.3,1454,1,"de-ni-03256000","52.6092228116","9.1143129274","1.3.2022"
"Schaumburg","Landkreis","Niedersachsen","158406",130,19646,1206.4,1911,1,"de-ni-03257000","52.2927923256","9.20656190484","1.3.2022"
"Celle","Landkreis","Niedersachsen","179386",113,23091,1077,1932,1,"de-ni-03351000","52.7133432321","10.1035661643","1.3.2022"
"Cuxhaven","Landkreis","Niedersachsen","198826",208,21556,1117.6,2222,1,"de-ni-03352000","53.6165865049","8.81238237187","1.3.2022"
"Harburg","Landkreis","Niedersachsen","256016",157,33290,842.9,2158,1,"de-ni-03353000","53.3157734164","9.96273884793","1.3.2022"
"Lüchow-Dannenberg","Landkreis","Niedersachsen","48503",30,4549,1059.7,514,1,"de-ni-03354000","53.0198717176","11.1229198942","1.3.2022"
"Lüneburg","Landkreis","Niedersachsen","184235",87,20362,780.5,1438,1,"de-ni-03355000","53.232575345","10.5732569229","1.3.2022"
"Osterholz","Landkreis","Niedersachsen","114640",72,12834,681.3,781,1,"de-ni-03356000","53.2510067251","8.80808093198","1.3.2022"
"Rotenburg (Wümme)","Landkreis","Niedersachsen","164486",119,17592,806.8,1327,1,"de-ni-03357000","53.2507583937","9.30658483814","1.3.2022"
"Heidekreis","Landkreis","Niedersachsen","140885",127,15064,981.7,1383,1,"de-ni-03358000","52.9283300914","9.76941135878","1.3.2022"
"Stade","Landkreis","Niedersachsen","205357",173,23279,746,1532,1,"de-ni-03359000","53.578976226","9.41807038986","1.3.2022"
"Uelzen","Landkreis","Niedersachsen","92566",135,8895,965.8,894,1,"de-ni-03360000","52.9836349419","10.5475810531","1.3.2022"
"Verden","Landkreis","Niedersachsen","137574",129,19761,819.2,1127,1,"de-ni-03361000","52.973235647","9.17546449952","1.3.2022"
"Delmenhorst","Kreisfreie Stadt","Niedersachsen","77503",83,12864,732.9,568,1,"de-ni-03401000","53.0494043992","8.64568293102","1.3.2022"
"Emden","Kreisfreie Stadt","Niedersachsen","49874",25,6301,1377.5,687,1,"de-ni-03402000","53.3606790665","7.18158411476","1.3.2022"
"Oldenburg (Oldb)","Kreisfreie Stadt","Niedersachsen","169605",57,19445,658.6,1117,1,"de-ni-03403000","53.1445781697","8.22435903936","1.3.2022"
"Osnabrück","Kreisfreie Stadt","Niedersachsen","164223",122,25290,1192.3,1958,1,"de-ni-03404000","52.2776798178","8.04703290985","1.3.2022"
"Wilhelmshaven","Kreisfreie Stadt","Niedersachsen","75189",74,8476,562.6,423,1,"de-ni-03405000","53.5659448147","8.08620462896","1.3.2022"
"Ammerland","Landkreis","Niedersachsen","125643",84,12215,799.1,1004,1,"de-ni-03451000","53.2184881736","8.01326226621","1.3.2022"
"Aurich","Landkreis","Niedersachsen","190178",91,18040,1114.2,2119,1,"de-ni-03452000","53.4964307678","7.36808958075","1.3.2022"
"Cloppenburg","Landkreis","Niedersachsen","172632",210,32784,1301,2246,1,"de-ni-03453000","52.9110290194","7.90471393786","1.3.2022"
"Emsland","Landkreis","Niedersachsen","328930",268,49381,1408.5,4633,1,"de-ni-03454000","52.7382970162","7.40268865164","1.3.2022"
"Friesland","Landkreis","Niedersachsen","98971",51,8021,815.4,807,1,"de-ni-03455000","53.510362974","7.98324746163","1.3.2022"
"Grafschaft Bentheim","Landkreis","Niedersachsen","137891",149,20524,1469.3,2026,1,"de-ni-03456000","52.4760534093","7.01985676166","1.3.2022"
"Leer","Landkreis","Niedersachsen","171483",93,18918,1154.1,1979,1,"de-ni-03457000","53.2435417357","7.46976164078","1.3.2022"
"Oldenburg","Landkreis","Niedersachsen","131467",133,17129,761.4,1001,1,"de-ni-03458000","52.9880769073","8.38939656642","1.3.2022"
"Osnabrück","Landkreis","Niedersachsen","359471",377,55973,1250.4,4495,1,"de-ni-03459000","52.3816139244","8.04515734225","1.3.2022"
"Vechta","Landkreis","Niedersachsen","143698",102,26794,678.5,975,1,"de-ni-03460000","52.6602901512","8.22305794318","1.3.2022"
"Wesermarsch","Landkreis","Niedersachsen","88524",138,10993,615.7,545,1,"de-ni-03461000","53.357641762","8.38864623114","1.3.2022"
"Wittmund","Landkreis","Niedersachsen","57384",47,4204,726.7,417,3,"de-ni-03462000","53.5734137385","7.7061235505","1.3.2022"
"Bremen","Kreisfreie Stadt","Bremen","566573",529,94204,653.4,3702,3,"de-ni-04011000","53.1195434664","8.78049374679","1.3.2022"
"Bremerhaven","Kreisfreie Stadt","Bremen","113557",152,21145,1003.9,1140,3,"de-hb-04012000","53.5381662933","8.58850522385","1.3.2022"
"Düsseldorf","Kreisfreie Stadt","Nordrhein-Westfalen","620523",723,119031,867.2,5381,1,"de-nw-05111000","51.235456959","6.81020262394","1.3.2022"
"Duisburg","Kreisfreie Stadt","Nordrhein-Westfalen","495885",848,83423,600.5,2978,2,"de-nw-05112000","51.439615769","6.73469184999","1.3.2022"
"Essen","Kreisfreie Stadt","Nordrhein-Westfalen","582415",728,93328,762,4438,1,"de-nw-05113000","51.433832766","7.01715391614","1.3.2022"
"Krefeld","Kreisfreie Stadt","Nordrhein-Westfalen","226844",238,41217,795.3,1804,1,"de-nw-05114000","51.3452191428","6.57966800647","1.3.2022"
"Mönchengladbach","Kreisfreie Stadt","Nordrhein-Westfalen","259665",293,41025,813,2111,1,"de-nw-05116000","51.1671935981","6.41197447381","1.3.2022"
"Mülheim an der Ruhr","Kreisfreie Stadt","Nordrhein-Westfalen","170921",301,28634,638.9,1092,1,"de-nw-05117000","51.4137814936","6.878461621","1.3.2022"
"Oberhausen","Kreisfreie Stadt","Nordrhein-Westfalen","209566",432,34662,586.9,1230,1,"de-nw-05119000","51.5131313527","6.84712049817","1.3.2022"
"Remscheid","Kreisfreie Stadt","Nordrhein-Westfalen","111516",237,23428,1098.5,1225,1,"de-nw-05120000","51.1826933037","7.22411565185","1.3.2022"
"Solingen","Kreisfreie Stadt","Nordrhein-Westfalen","159193",266,35240,1250.1,1990,1,"de-nw-05122000","51.1624551579","7.06606973298","1.3.2022"
"Wuppertal","Kreisfreie Stadt","Nordrhein-Westfalen","355004",578,72204,1026.2,3643,2,"de-nw-05124000","51.2506036112","7.16893008228","1.3.2022"
"Kleve","Kreis","Nordrhein-Westfalen","313586",289,43511,775.9,2433,2,"de-nw-05154000","51.6523631313","6.25880908496","1.3.2022"
"Mettmann","Kreis","Nordrhein-Westfalen","484322",919,88935,1669.8,8087,4,"de-nw-05158000","51.2571043543","6.96906518309","1.3.2022"
"Rhein-Kreis Neuss","Kreis","Nordrhein-Westfalen","452001",469,72330,1273.9,5758,1,"de-nw-05162000","51.1435712356","6.64932316692","1.3.2022"
"Viersen","Kreis","Nordrhein-Westfalen","298536",366,44954,917.5,2739,1,"de-nw-05166000","51.2828202383","6.32612051327","1.3.2022"
"Wesel","Kreis","Nordrhein-Westfalen","460113",384,70891,899.3,4138,1,"de-nw-05170000","51.6270425398","6.61836262868","1.3.2022"
"Bonn","Kreisfreie Stadt","Nordrhein-Westfalen","330579",342,56422,942.9,3117,1,"de-nw-05314000","50.7057346173","7.10983940994","1.3.2022"
"Köln","Kreisfreie Stadt","Nordrhein-Westfalen","1083498",975,214243,936.1,10143,1,"de-nw-05315000","50.9456668791","6.97321855167","1.3.2022"
"Leverkusen","Kreisfreie Stadt","Nordrhein-Westfalen","163905",151,30118,1286.7,2109,3,"de-nw-05316000","51.0530662603","7.01547411084","1.3.2022"
"Städteregion Aachen","Kreis","Nordrhein-Westfalen","556631",733,98395,772,4297,1,"de-nw-05334000","50.7275046127","6.21672721805","1.3.2022"
"Düren","Kreis","Nordrhein-Westfalen","265140",369,46087,1135.2,3010,2,"de-nw-05358000","50.8178950546","6.44556160998","1.3.2022"
"Rhein-Erft-Kreis","Kreis","Nordrhein-Westfalen","469611",500,80822,784.1,3682,2,"de-nw-05362000","50.9049330282","6.71649101914","1.3.2022"
"Euskirchen","Kreis","Nordrhein-Westfalen","194359",283,31437,1132.4,2201,2,"de-nw-05366000","50.5364731669","6.6441519123","1.3.2022"
"Heinsberg","Kreis","Nordrhein-Westfalen","256458",464,38228,728,1867,2,"de-nw-05370000","51.0493489074","6.16411292416","1.3.2022"
"Oberbergischer Kreis","Kreis","Nordrhein-Westfalen","271699",374,53082,1160.5,3153,2,"de-nw-05374000","51.0127091971","7.51662881723","1.3.2022"
"Rheinisch-Bergischer Kreis","Kreis","Nordrhein-Westfalen","283275",214,44931,920,2606,2,"de-nw-05378000","51.0230044262","7.19484653806","1.3.2022"
"Rhein-Sieg-Kreis","Kreis","Nordrhein-Westfalen","600375",672,92163,883.8,5306,2,"de-nw-05382000","50.7606389137","7.23457302819","1.3.2022"
"Bottrop","Kreisfreie Stadt","Nordrhein-Westfalen","117388",158,19709,666.2,782,1,"de-nw-05512000","51.5716938262","6.9201161778","1.3.2022"
"Gelsenkirchen","Kreisfreie Stadt","Nordrhein-Westfalen","259105",527,48450,760.7,1971,1,"de-nw-05513000","51.5539564213","7.07124023772","1.3.2022"
"Münster","Kreisfreie Stadt","Nordrhein-Westfalen","316403",178,40632,1051.5,3327,1,"de-nw-05515000","51.954316786","7.62364679497","1.3.2022"
"Borken","Kreis","Nordrhein-Westfalen","371898",355,68473,1572.7,5849,1,"de-nw-05554000","51.9613198354","6.89961561244","1.3.2022"
