"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"Berlin","Kreisfreie Stadt","Berlin","3664088","3777","253555","6920","346",12678,"de-be-11000000","52.5015315807","13.4018502444"
"Flensburg","Kreisfreie Stadt","Schleswig-Holstein","89934","39","3286","3653.8","144.6",130,"de-sh-01001000","54.7849933768","9.43852835486"
"Kiel","Kreisfreie Stadt","Schleswig-Holstein","246601","119","8544","3464.7","129.8",320,"de-sh-01002000","54.3248406926","10.1322443646"
"Lübeck","Kreisfreie Stadt","Schleswig-Holstein","215846","110","7908","3663.7","161.2",348,"de-sh-01003000","53.8723167338","10.7272831058"
"Neumünster","Kreisfreie Stadt","Schleswig-Holstein","79905","25","2968","3714.4","249",199,"de-sh-01004000","54.0811244365","9.98448195474"
"Dithmarschen","Kreis","Schleswig-Holstein","133251","59","3055","2292.7","75.8",101,"de-sh-01051000","54.1329109614","9.10781447873"
"Herzogtum Lauenburg","Kreis","Schleswig-Holstein","199152","125","7259","3645","174.7",348,"de-sh-01053000","53.5890024203","10.6018592215"
"Nordfriesland","Kreis","Schleswig-Holstein","167147","90","3978","2379.9","82.6",138,"de-sh-01054000","54.6095639996","8.88688779292"
"Ostholstein","Kreis","Schleswig-Holstein","201487","88","4444","2205.6","88.3",178,"de-sh-01055000","54.1896490274","10.8194270205"
"Pinneberg","Kreis","Schleswig-Holstein","317085","398","14154","4463.8","145.4",461,"de-sh-01056000","53.7180840651","9.73686669973"
"Plön","Kreis","Schleswig-Holstein","129353","36","2220","1716.2","84.3",109,"de-sh-01057000","54.2433885939","10.3636951573"
"Rendsburg-Eckernförde","Kreis","Schleswig-Holstein","274765","67","5917","2153.5","89.2",245,"de-sh-01058000","54.2896157359","9.78174206802"
"Schleswig-Flensburg","Kreis","Schleswig-Holstein","202647","63","3969","1958.6","77",156,"de-sh-01059000","54.6190195643","9.48870921465"
"Segeberg","Kreis","Schleswig-Holstein","278007","177","9323","3353.5","114.4",318,"de-sh-01060000","53.9199857446","10.1409147199"
"Steinburg","Kreis","Schleswig-Holstein","130706","48","3259","2493.4","124.7",163,"de-sh-01061000","53.9289451889","9.51938189615"
"Stormarn","Kreis","Schleswig-Holstein","244989","325","9608","3921.8","148.6",364,"de-sh-01062000","53.7208005726","10.3316398811"
"Hamburg","Kreisfreie Stadt","Hamburg","1852478","1860","106945","5773.1","159.5",2954,"de-hh-02000000","53.5463773461","10.0207944156"
"Braunschweig","Kreisfreie Stadt","Niedersachsen","248561","199","8840","3556.5","134.4",334,"de-ni-03101000","52.275221093","10.5241080552"
"Salzgitter","Kreisfreie Stadt","Niedersachsen","103866","87","7410","7134.2","344.7",358,"de-ni-03102000","52.124474442","10.3707262339"
"Wolfsburg","Kreisfreie Stadt","Niedersachsen","123840","97","5994","4840.1","188.1",233,"de-ni-03103000","52.4107473932","10.7848707661"
"Gifhorn","Landkreis","Niedersachsen","177227","202","8811","4971.6","252.8",448,"de-ni-03151000","52.5802562309","10.6041704601"
"Goslar","Landkreis","Niedersachsen","134688","139","3705","2750.8","144.8",195,"de-ni-03153000","51.8746771574","10.400392667"
"Helmstedt","Landkreis","Niedersachsen","91518","100","3245","3545.8","155.2",142,"de-ni-03154000","52.2607443342","10.8888387183"
"Northeim","Landkreis","Niedersachsen","131772","66","3812","2892.9","179.9",237,"de-ni-03155000","51.7425873324","9.84800893097"
"Peine","Landkreis","Niedersachsen","135844","106","7119","5240.6","153.1",208,"de-ni-03157000","52.3041913284","10.2552878088"
"Wolfenbüttel","Landkreis","Niedersachsen","119361","102","3796","3180.3","111.4",133,"de-ni-03158000","52.1269975166","10.583953795"
"Göttingen","Landkreis","Niedersachsen","323900","294","10905","3366.8","161.2",522,"de-ni-03159000","51.4989390206","9.92623513116"
"Region Hannover","Landkreis","Niedersachsen","1155330","1119","64122","5550.1","152.9",1767,"de-ni-03241000","52.4219370696","9.71979904802"
"Diepholz","Landkreis","Niedersachsen","218072","112","8975","4115.6","119.2",260,"de-ni-03251000","52.7284857794","8.70179913631"
"Hameln-Pyrmont","Landkreis","Niedersachsen","148580","102","5772","3884.8","142.7",212,"de-ni-03252000","52.0951381895","9.38989545155"
"Hildesheim","Landkreis","Niedersachsen","275464","306","11784","4277.9","129.2",356,"de-ni-03254000","52.0902189983","9.94348097201"
"Holzminden","Landkreis","Niedersachsen","70207","67","2417","3442.7","85.5",60,"de-ni-03255000","51.8806325752","9.55140269027"
"Nienburg (Weser)","Landkreis","Niedersachsen","121645","165","4863","3997.7","81.4",99,"de-ni-03256000","52.6092228116","9.1143129274"
"Schaumburg","Landkreis","Niedersachsen","158406","88","6576","4151.4","166.7",264,"de-ni-03257000","52.2927923256","9.20656190484"
"Celle","Landkreis","Niedersachsen","179386","86","6719","3745.6","152.7",274,"de-ni-03351000","52.7133432321","10.1035661643"
"Cuxhaven","Landkreis","Niedersachsen","198826","182","6139","3087.6","96.6",192,"de-ni-03352000","53.6165865049","8.81238237187"
"Harburg","Landkreis","Niedersachsen","256016","124","9373","3661.1","127.7",327,"de-ni-03353000","53.3157734164","9.96273884793"
"Lüchow-Dannenberg","Landkreis","Niedersachsen","48503","27","1278","2634.9","167",81,"de-ni-03354000","53.0198717176","11.1229198942"
"Lüneburg","Landkreis","Niedersachsen","184235","73","5270","2860.5","115.1",212,"de-ni-03355000","53.232575345","10.5732569229"
"Osterholz","Landkreis","Niedersachsen","114640","67","3551","3097.5","123",141,"de-ni-03356000","53.2510067251","8.80808093198"
"Rotenburg (Wümme)","Landkreis","Niedersachsen","164486","102","5239","3185.1","104",171,"de-ni-03357000","53.2507583937","9.30658483814"
"Heidekreis","Landkreis","Niedersachsen","140885","111","4417","3135.2","85.9",121,"de-ni-03358000","52.9283300914","9.76941135878"
"Stade","Landkreis","Niedersachsen","205357","141","7329","3568.9","114.9",236,"de-ni-03359000","53.578976226","9.41807038986"
"Uelzen","Landkreis","Niedersachsen","92566","116","2948","3184.8","164.2",152,"de-ni-03360000","52.9836349419","10.5475810531"
"Verden","Landkreis","Niedersachsen","137574","74","5868","4265.3","222.4",306,"de-ni-03361000","52.973235647","9.17546449952"
"Delmenhorst","Kreisfreie Stadt","Niedersachsen","77503","73","4695","6057.8","197.4",153,"de-ni-03401000","53.0494043992","8.64568293102"
"Emden","Kreisfreie Stadt","Niedersachsen","49874","16","1730","3468.7","92.2",46,"de-ni-03402000","53.3606790665","7.18158411476"
