land,anteil,hckey,lat,lon
Baden-Württemberg,98.7,de-bw,48.2,8.5
Bayern,99.9,de-by,49,12
Berlin,98.2,de-be,52.3,13.4
Brandenburg,89.7,de-bb,53,12.8
Bremen,100,de-hb,53.1,8.2
Hamburg,97.6,de-hh,53.6,10
Hessen,99.9,de-he,50.6,9
Mecklenburg-Vorpommern,100,de-mv,54,12
Niedersachsen,81.9,de-ni,52.5,9.5
Nordrhein-Westfalen,99.4,de-nw,51.5,7.8
Rheinland-Pfalz,97.8,de-rp,49.9,7.8
Saarland,100,de-sl,49.1,7.4
Sachsen,99.8,de-sn,51.1,13.5
Sachsen-Anhalt,98.7,de-st,51.7,12.2
Schleswig-Holstein,86.2,de-sh,54.6,9.3
Thüringen,99,de-th,51,11.2
