date,confirmed,recovered,death
1/22/20,557,30,17
1/23/20,655,32,18
1/24/20,941,39,26
1/25/20,1433,42,42
1/26/20,2118,56,56
1/27/20,2927,65,82
1/28/20,5578,108,131
1/29/20,6167,127,133
1/30/20,8235,145,171
1/31/20,9927,225,213
2/1/20,12038,287,259
2/2/20,16787,476,362
2/3/20,19887,627,426
2/4/20,23898,857,492
2/5/20,27643,1129,564
2/6/20,30803,1492,634
2/7/20,34396,2016,719
2/8/20,37130,2616,806
2/9/20,40160,3245,906
2/10/20,42769,3947,1013
2/11/20,44811,4684,1113
2/12/20,45229,5151,1118
2/13/20,60382,6294,1371
2/14/20,66909,8057,1523
2/15/20,69052,9396,1666
2/16/20,71235,10866,1770
2/17/20,73270,12583,1868
2/18/20,75152,14352,2008
2/19/20,75652,16121,2123
2/20/20,76212,18179,2248
2/21/20,76841,18892,2252
2/22/20,78602,22889,2459
2/23/20,78982,23394,2470
2/24/20,79546,25227,2630
2/25/20,80399,27905,2710
2/26/20,81376,30386,2771
2/27/20,82736,33278,2814
2/28/20,84122,36710,2873
2/29/20,86013,39781,2942
3/1/20,88394,42717,2996
3/2/20,90377,45601,3085
3/3/20,92971,48227,3160
3/4/20,95279,51169,3255
3/5/20,98090,53795,3349
3/6/20,102003,55863,3460
3/7/20,106098,58357,3564
3/8/20,110047,60694,3803
3/9/20,114219,62493,3993
3/10/20,119041,64400,4267
3/11/20,126702,66998,4611
3/12/20,132492,68321,4917
3/13/20,146876,70248,5414
3/14/20,157950,72620,5834
3/15/20,169219,76031,6475
3/16/20,184027,78086,7153
3/17/20,199970,80830,7967
3/18/20,219535,83317,8874
3/19/20,246584,84958,9985
3/20/20,277359,87403,11470
3/21/20,309350,91650,13192
3/22/20,344205,97867,14878
3/23/20,387040,98335,16827
3/24/20,428219,107974,19117
3/25/20,479220,113753,21927
3/26/20,542097,122125,24962
3/27/20,607138,130910,28450
3/28/20,674418,139421,32180
3/29/20,733655,148877,35699
3/30/20,798949,164214,39780
3/31/20,875794,177804,44528
4/1/20,958602,193076,50526
4/2/20,1041662,210219,56413
4/3/20,1125221,225641,62574
4/4/20,1183584,246053,68488
4/5/20,1256176,259889,73676
4/6/20,1329331,276598,79614
4/7/20,1399162,299860,87872
4/8/20,1482540,328742,94683
4/9/20,1569554,353996,102467
4/10/20,1655088,375734,109845
4/11/20,1729371,401984,116017
4/12/20,1849067,421367,121876
4/13/20,1919809,448624,127842
4/14/20,2003820,473698,134812
4/15/20,2080934,510237,143285
4/16/20,2176465,541120,150544
4/17/20,2264462,567304,158938
4/18/20,2341702,591170,165083
4/19/20,2418307,622953,170316
4/20/20,2494325,645131,176188
4/21/20,2570074,679933,183461
4/22/20,2651321,710018,190325
4/23/20,2735570,738748,197153
4/24/20,2819666,788777,203923
4/25/20,2901925,816532,209551
4/26/20,2973513,845344,213530
4/27/20,3043705,873228,218276
4/28/20,3119245,906440,224854
4/29/20,3196355,948517,231579
4/30/20,3279850,1013633,237421
5/1/20,3368226,1051790,242572
5/2/20,3447426,1092441,248067
5/3/20,3523799,1124974,251578
5/4/20,3601488,1159060,255791
5/5/20,3681990,1195533,261614
5/6/20,3772018,1241652,268119
5/7/20,3860724,1281177,273429
5/8/20,3951003,1317590,278981
5/9/20,4036226,1371031,283206
5/10/20,4111202,1404840,286765
5/11/20,4187833,1451725,290251
5/12/20,4272324,1488767,295736
5/13/20,4357304,1544639,300868
5/14/20,4453535,1584350,306037
5/15/20,4549267,1632453,311258
5/16/20,4643706,1688864,315434
5/17/20,4721728,1729872,318621
5/18/20,4810895,1782788,322384
5/19/20,4907670,1834840,327031
5/20/20,5009548,1893810,331810
5/21/20,5116192,1945030,336469
5/22/20,5222614,2053577,341713
5/23/20,5327418,2108411,345640
5/24/20,5421629,2163938,348656
5/25/20,5508346,2227667,349868
5/26/20,5602313,2282819,354110
5/27/20,5705075,2346146,359166
5/28/20,5824358,2413009,363718
5/29/20,5945261,2490274,368326
5/30/20,6081776,2560724,372350
5/31/20,6188184,2637108,375042
6/1/20,6284179,2692033,378115
6/2/20,6406143,2796145,382792
6/3/20,6520392,2875236,388224
6/4/20,6651336,2945306,393258
6/5/20,6782559,3014471,397836
6/6/20,6916296,3086675,401605
6/7/20,7028659,3141784,404345
6/8/20,7131156,3293395,408047
6/9/20,7256216,3375665,412821
6/10/20,7391321,3454836,417864
6/11/20,7529341,3540715,422504
6/12/20,7658106,3620435,426713
6/13/20,7793395,3706327,430829
6/14/20,7925679,3777146,434229
6/15/20,8045337,3857421,437645
6/16/20,8187421,3955284,444355
6/17/20,8331167,4074115,449502
6/18/20,8472230,4155278,454412
6/19/20,8652145,4250268,460478
6/20/20,8809593,4366122,464587
6/21/20,8937295,4434808,468601
6/22/20,9076656,4526441,472163
6/23/20,9243465,4630496,477380
6/24/20,9416059,4746247,482555
6/25/20,9594440,4839131,487247
6/26/20,9786037,4945111,491995
6/27/20,9964169,5051397,496458
